GeneID,dcp2.1
YBR196C-A,0
YBR196C-B,0
YBR197C,1132
YBR198C,1135
YBR199W,1333
YBR200W,467
YBR201C-A,115
YBR201W,176
YBR202W,366
YBR203W,142
YBR204C,238
YBR205W,1402
YBR207W,1246
YBR208C,2046
YBR210W,1974
YBR211C,444
YBR212W,542
YBR213W,61
YBR214W,937
YBR215W,285
YBR216C,153
YBR217W,760
YBR218C,580
YBR220C,256
YBR221C,12895
YBR222C,1156
YBR223C,225
YBR225W,280
YBR227C,210
YBR228W,368
YBR229C,1197
YBR230C,4043
YBR230W-A,636
YBR231C,210
YBR233W,74
YBR233W-A,1120
YBR234C,2051
YBR235W,986
YBR236C,300
YBR237W,361
YBR238C,1116
YBR239C,192
YBR240C,31
YBR241C,485
YBR242W,992
YBR243C,181
YBR244W,809
YBR246W,606
YBR247C,654
YBR248C,764
YBR249C,5897
YBR250W,90
YBR251W,582
YBR252W,5401
YBR253W,1439
YBR254C,842
YBR255C-A,2143
YBR255W,389
YBR256C,3991
YBR257W,346
YBR258C,658
YBR259W,116
YBR260C,442
YBR261C,640
YBR262C,3280
YBR263W,443
YBR264C,1113
YBR265W,952
YBR267W,349
YBR268W,1606
YBR269C,1948
YBR270C,229
YBR271W,248
YBR272C,1144
YBR273C,419
YBR274W,359
YBR275C,274
YBR276C,377
YBR277C,0
YBR278W,451
YBR279W,539
YBR280C,77
YBR281C,867
YBR282W,774
YBR283C,1091
YBR284W,289
YBR285W,0
YBR286W,361
YBR287W,3158
YBR288C,555
YBR289W,72
YBR290W,1269
YBR291C,2963
YBR292C,719
YBR293W,451
YBR295W,321
YBR296C,0
YBR296C-A,103
YBR297W,1375
YBR298C,1239
YBR299W,38
YBR300C,34
YCL001W,8839
YCL002C,3077
YCL004W,540
YCL005W,3486
YCL005W-A,11114
YCL007C,102
YCL008C,3461
YCL009C,16562
YCL010C,1537
YCL011C,1921
YCL012C,4048
YCL014W,567
YCL016C,551
YCL017C,3616
YCL018W,2853
YCL019W,620
YCL020W,47
YCL021W-A,0
YCL024W,914
YCL025C,3403
YCL026C-A,88
YCL026C-B,152
YCL027W,131
YCL028W,1604
YCL029C,606
YCL030C,1067
YCL031C,5359
YCL032W,1297
YCL033C,2593
YCL034W,1413
YCL035C,18085
YCL036W,612
YCL037C,5328
YCL038C,771
YCL039W,1366
YCL040W,4854
YCL042W,297
YCL043C,21804
YCL044C,1853
YCL045C,1407
YCL047C,1032
YCL048W-A,1053
YCL049C,3578
YCL050C,7215
YCL051W,1097
YCL052C,1242
YCL054W,1125
YCL054W-A,0
YCL055W,497
YCL056C,2854
YCL057C-A,6658
YCL057W,2719
YCL058W-A,1868
YCL059C,1404
YCL061C,443
YCL063W,609
YCL064C,186
YCR002C,1676
YCR003W,3451
YCR004C,3581
YCR005C,1927
YCR006C,789
YCR007C,793
YCR008W,2286
YCR009C,4489
YCR011C,808
YCR012W,398200
YCR014C,83
YCR015C,2093
YCR016W,957
YCR017C,5737
YCR018C-A,363
YCR019W,1058
YCR020C,35
YCR020C-A,3215
YCR020W-B,6678
YCR021C,224
YCR022C,19
YCR023C,3734
YCR024C,496
YCR024C-A,6172
YCR024C-B,40
YCR025C,30
YCR026C,605
YCR027C,1395
YCR028C,1844
YCR028C-A,14579
YCR030C,3655
YCR031C,80078
YCR032W,650
YCR033W,966
YCR034W,5177
YCR035C,2304
YCR036W,2344
YCR037C,1174
YCR042C,1179
YCR043C,13580
YCR044C,6468
YCR045W-A,731
YCR046C,4813
YCR047C,1526
YCR047W-A,37
YCR048W,1419
YCR050C,70
YCR051W,5565
YCR052W,648
YCR053W,9254
YCR054C,1108
YCR057C,2116
YCR059C,3426
YCR060W,3957
YCR061W,862
YCR063W,938
YCR064C,50
YCR065W,427
YCR066W,451
YCR067C,1894
YCR068W,2144
YCR069W,2013
YCR071C,1571
YCR072C,404
YCR073C,725
YCR073W-A,2756
YCR075C,3553
YCR075W-A,2800
YCR076C,1727
YCR077C,2859
YCR079W,1098
YCR081C-A,0
YCR081W,946
YCR082W,5077
YCR083W,1034
YCR084C,2521
YCR085W,38
YCR086W,704
YCR087C-A,3274
YCR087W,33
YCR088W,1415
YCR089W,1675
YCR090C,3932
YCR091W,375
YCR092C,458
YCR093W,3863
YCR094W,1904
YCR095C,1185
YCR095W-A,889
YCR096C,0
YCR097W,0
YCR097W-A,0
YCR098C,706
YCR101C,1414
YCR102C,62
YCR102W-A,51
YCR106W,1591
YCR107W,33
YDL001W,253
YDL002C,846
YDL003W,484
YDL004W,12560
YDL005C,652
YDL006W,503
YDL007W,1733
YDL008W,2198
YDL009C,398
YDL010W,1044
YDL012C,1609
YDL013W,448
YDL014W,3224
YDL015C,3866
YDL017W,306
YDL018C,1372
YDL019C,340
YDL020C,2160
YDL021W,101
YDL022W,2263
YDL024C,23
YDL025C,364
YDL025W-A,24
YDL026W,76
YDL027C,342
YDL028C,176
YDL029W,1674
YDL030W,154
YDL031W,136
YDL033C,310
YDL035C,89
YDL036C,293
YDL037C,24
YDL040C,1481
YDL042C,159
YDL043C,844
YDL044C,228
YDL045C,471
YDL045W-A,4134
YDL046W,14180
YDL047W,1524
YDL048C,742
YDL049C,106
YDL051W,2080
YDL052C,4242
YDL053C,762
YDL054C,546
YDL055C,11507
YDL056W,262
YDL057W,68
YDL058W,301
YDL059C,131
YDL060W,510
YDL061C,36422
YDL063C,594
YDL064W,1217
YDL065C,442
YDL066W,2853
YDL067C,4891
YDL069C,493
YDL070W,688
YDL072C,8700
YDL073W,467
YDL074C,1236
YDL075W,29885
YDL076C,419
YDL077C,283
YDL078C,1510
YDL079C,202
YDL080C,314
YDL081C,40142
YDL082W,17324
YDL083C,68148
YDL084W,2816
YDL085C-A,724
YDL085W,0
YDL086C-A,121
YDL086W,3486
YDL087C,508
YDL088C,374
YDL089W,250
YDL090C,502
YDL091C,403
YDL092W,2438
YDL093W,90
YDL094C,79
YDL095W,462
YDL097C,1496
YDL098C,399
YDL099W,760
YDL100C,4728
YDL101C,319
YDL102W,384
YDL103C,932
YDL104C,94
YDL105W,125
YDL106C,364
YDL107W,153
YDL108W,849
YDL109C,264
YDL110C,969
YDL111C,3866
YDL112W,231
YDL113C,583
YDL114W-A,38
YDL115C,923
YDL116W,515
YDL117W,528
YDL119C,398
YDL120W,948
YDL121C,5676
YDL122W,835
YDL123W,1956
YDL124W,7744
YDL125C,17435
YDL126C,1413
YDL127W,230
YDL128W,2023
YDL129W,80
YDL130W,28568
YDL130W-A,2987
YDL131W,1056
YDL132W,383
YDL133C-A,16654
YDL133W,545
YDL134C,2194
YDL135C,1821
YDL136W,29365
YDL137W,10216
YDL138W,295
YDL139C,136
YDL140C,1516
YDL141W,821
YDL142C,481
YDL143W,2417
YDL144C,905
YDL145C,1458
YDL146W,56
YDL147W,4240
YDL148C,639
YDL149W,77
YDL150W,556
YDL153C,974
YDL155W,491
YDL156W,32
YDL157C,2857
YDL159W,255
YDL159W-A,0
YDL160C,1681
YDL160C-A,522
YDL161W,1157
YDL164C,368
YDL165W,512
YDL166C,333
YDL167C,1037
YDL168W,906
YDL169C,121
YDL170W,483
YDL171C,893
YDL173W,457
YDL174C,1545
YDL175C,307
YDL176W,417
YDL177C,457
YDL178W,479
YDL179W,589
YDL180W,161
YDL181W,4284
YDL182W,1239
YDL183C,194
YDL184C,11330
YDL185W,1239
YDL187C,718
YDL188C,1487
YDL189W,580
YDL190C,553
YDL191W,72556
YDL192W,19197
YDL193W,985
YDL194W,137
YDL195W,1904
YDL196W,68
YDL197C,1120
YDL198C,3017
YDL199C,173
YDL200C,549
YDL201W,647
YDL202W,932
YDL203C,309
YDL204W,1021
YDL205C,959
YDL206W,98
YDL207W,481
YDL208W,9655
YDL209C,365
YDL210W,0
YDL211C,172
YDL212W,14430
YDL213C,1854
YDL215C,229
YDL216C,235
YDL217C,346
YDL218W,0
YDL219W,1211
YDL220C,419
YDL221W,52
YDL222C,151
YDL223C,0
YDL224C,2391
YDL225W,317
YDL226C,826
YDL227C,164
YDL229W,17651
YDL230W,507
YDL231C,2463
YDL232W,3250
YDL233W,239
YDL234C,228
YDL235C,3571
YDL236W,876
YDL237W,721
YDL238C,227
YDL240W,208
YDL241W,341
YDL243C,800
YDR001C,1197
YDR002W,5933
YDR003W,2129
YDR003W-A,181
YDR004W,406
YDR005C,767
YDR006C,996
YDR007W,1587
YDR008C,58
YDR009W,86
YDR011W,1645
YDR012W,14649
YDR013W,700
YDR014W,318
YDR014W-A,0
YDR016C,869
YDR017C,214
YDR018C,107
YDR019C,1280
YDR020C,484
YDR021W,130
YDR022C,818
YDR023W,3840
YDR025W,22785
YDR026C,485
YDR027C,148
YDR028C,1385
YDR030C,190
YDR031W,1106
YDR032C,5471
YDR033W,11398
YDR034C,752
YDR034C-D,51
YDR034W-B,690
YDR035W,828
YDR036C,431
YDR037W,6926
YDR039C,51
YDR040C,302
YDR041W,1396
YDR042C,74
YDR043C,575
YDR044W,848
YDR045C,2531
YDR046C,4790
YDR047W,3358
YDR048C,37
YDR049W,210
YDR050C,63495
YDR051C,512
YDR052C,246
YDR054C,584
YDR055W,4406
YDR056C,2361
YDR057W,189
YDR058C,262
YDR059C,2615
YDR060W,1416
YDR061W,395
YDR062W,2145
YDR063W,1752
YDR064W,83864
YDR065W,232
YDR066C,257
YDR067C,516
YDR068W,364
YDR069C,446
YDR070C,196
YDR071C,4075
YDR072C,885
YDR073W,1876
YDR074W,1783
YDR075W,255
YDR076W,230
YDR077W,95391
YDR078C,633
YDR079C-A,1540
YDR079W,420
YDR080W,135
YDR081C,156
YDR082W,448
YDR083W,553
YDR084C,2795
YDR085C,539
YDR086C,13720
YDR087C,837
YDR088C,172
YDR089W,272
YDR090C,941
YDR091C,1289
YDR092W,1276
YDR093W,889
YDR096W,431
YDR097C,209
YDR098C,2087
YDR099W,2732
YDR100W,3403
YDR101C,4881
YDR103W,733
YDR104C,155
YDR105C,327
YDR106W,50
YDR107C,280
YDR108W,128
YDR109C,179
YDR110W,563
YDR111C,178
YDR113C,388
YDR114C,28
YDR115W,4307
YDR116C,848
YDR117C,359
YDR118W,45
YDR119W,1617
YDR119W-A,1131
YDR120C,572
YDR121W,141
YDR122W,862
YDR123C,685
YDR124W,945
YDR125C,224
YDR126W,447
YDR127W,2000
YDR128W,309
YDR129C,2081
YDR130C,633
YDR131C,512
YDR132C,507
YDR133C,103099
YDR135C,2775
YDR137W,456
YDR138W,371
YDR139C,1191
YDR140W,3653
YDR141C,786
YDR142C,444
YDR143C,351
YDR144C,489
YDR145W,963
YDR146C,259
YDR147W,1039
YDR148C,1121
YDR150W,500
YDR151C,1168
YDR152W,1031
YDR153C,408
YDR154C,233
YDR155C,32099
YDR156W,10917
YDR158W,10903
YDR159W,273
YDR160W,355
YDR161W,658
YDR162C,466
YDR163W,285
YDR164C,360
YDR165W,1182
YDR166C,505
YDR167W,1738
YDR168W,711
YDR169C,370
YDR170C,534
YDR171W,619
YDR172W,2747
YDR173C,74
YDR174W,0
YDR175C,875
YDR176W,363
YDR177W,2524
YDR178W,3572
YDR179C,721
YDR179W-A,135
YDR180W,123
YDR181C,273
YDR182W,558
YDR183W,537
YDR184C,1608
YDR185C,375
YDR186C,851
YDR188W,2729
YDR189W,469
YDR190C,3709
YDR191W,129
YDR192C,124
YDR194C,582
YDR195W,115
YDR196C,1626
YDR197W,217
YDR198C,417
YDR200C,365
YDR201W,617
YDR202C,321
YDR204W,538
YDR205W,1035
YDR206W,860
YDR207C,255
YDR208W,908
YDR210W,4255
YDR211W,792
YDR212W,2893
YDR213W,123
YDR214W,8988
YDR216W,1035
YDR217C,224
YDR219C,299
YDR221W,345
YDR222W,512
YDR223W,91
YDR224C,12759
YDR225W,41691
YDR226W,4818
YDR227W,123
YDR228C,2110
YDR229W,104
YDR231C,1067
YDR232W,3235
YDR233C,9584
YDR234W,1548
YDR235W,536
YDR236C,1745
YDR237W,494
YDR238C,1049
YDR239C,137
YDR240C,85
YDR242W,93
YDR243C,335
YDR244W,135
YDR245W,1409
YDR246W,832
YDR246W-A,34
YDR247W,418
YDR248C,430
YDR249C,986
YDR250C,60
YDR251W,953
YDR252W,448
YDR253C,153
YDR254W,506
YDR255C,510
YDR257C,1120
YDR258C,965
YDR259C,119
YDR260C,1511
YDR261C,236
YDR262W,838
YDR263C,79
YDR264C,1808
YDR265W,330
YDR266C,537
YDR267C,760
YDR268W,391
YDR270W,412
YDR272W,1547
YDR275W,1123
YDR276C,22597
YDR277C,585
YDR279W,288
YDR280W,1143
YDR281C,20
YDR282C,375
YDR283C,219
YDR284C,1257
YDR285W,25
YDR286C,579
YDR287W,353
YDR288W,501
YDR289C,500
YDR291W,501
YDR292C,328
YDR293C,979
YDR294C,1704
YDR295C,89
YDR296W,1377
YDR297W,3288
YDR298C,4168
YDR299W,549
YDR300C,402
YDR301W,229
YDR302W,1733
YDR303C,461
YDR304C,3244
YDR305C,162
YDR306C,589
YDR307W,528
YDR308C,480
YDR309C,1560
YDR310C,118
YDR311W,268
YDR312W,407
YDR313C,85
YDR314C,284
YDR315C,465
YDR316W,531
YDR316W-A,199
YDR317W,54
YDR318W,403
YDR319C,2367
YDR320C,459
YDR320C-A,1531
YDR320W-B,399
YDR321W,1794
YDR322C-A,4212
YDR322W,894
YDR323C,119
YDR324C,658
YDR325W,279
YDR326C,487
YDR328C,2914
YDR329C,344
YDR330W,180
YDR331W,638
YDR332W,98
YDR333C,673
YDR334W,305
YDR335W,1036
YDR336W,111
YDR337W,909
YDR338C,299
YDR339C,3832
YDR341C,2453
YDR342C,578
YDR344C,157
YDR345C,341
YDR346C,1039
YDR347W,1160
YDR348C,650
YDR349C,2444
YDR350C,1222
YDR351W,779
YDR352W,1481
YDR353W,4115
YDR354W,2433
YDR356W,231
YDR357C,1258
YDR358W,256
YDR359C,559
YDR361C,923
YDR362C,163
YDR363W,295
YDR363W-A,4509
YDR364C,675
YDR365C,815
YDR367W,2633
YDR368W,944
YDR369C,198
YDR370C,581
YDR371W,466
YDR372C,1779
YDR373W,4016
YDR374W-A,800
YDR375C,686
YDR376W,359
YDR377W,10770
YDR378C,2494
YDR379C-A,1174
YDR379W,287
YDR380W,550
YDR381C-A,1176
YDR381W,8477
YDR382W,20256
YDR383C,306
YDR384C,3417
YDR385W,11405
YDR386W,70
YDR387C,275
YDR388W,1710
YDR389W,888
YDR390C,443
YDR391C,3568
YDR392W,404
YDR393W,339
YDR394W,905
YDR395W,707
YDR397C,3136
YDR398W,1213
YDR399W,7899
YDR400W,1028
YDR404C,8693
YDR405W,475
YDR406W,38
YDR407C,688
YDR408C,2054
YDR409W,136
YDR410C,1456
YDR411C,885
YDR412W,1001
YDR414C,480
YDR415C,42
YDR416W,192
YDR418W,52607
YDR419W,151
YDR420W,489
YDR421W,58
YDR422C,528
YDR423C,409
YDR424C,736
YDR425W,130
YDR427W,1420
