Geneid,dcp2_1
YAL012W,15919
YAL069W,2
YAL068W-A,1
YAL068C,108
YAL067W-A,0
YAL067C,253
YAL066W,4
YAL065C,167
YAL064W-B,272
YAL064C-A,78
YAL064W,69
YAL063C-A,142
YAL063C,1572
YAL062W,250
YAL061W,1192
YAL060W,4080
YAL059C-A,14
YAL059W,1621
YAL058W,1257
YAL056C-A,23
YAL056W,2388
YAL055W,288
YAL054C,1136
YAL053W,12598
YAL051W,2184
YAL049C,2337
YAL048C,1796
YAL047W-A,13
YAL047C,788
YAL046C,688
YAL045C,3
YAL044W-A,1387
YAL044C,2730
YAL043C,3622
YAL042C-A,22
YAL042W,5915
YAL041W,3031
YAL040C,12552
YAL039C,1400
YAL038W,41975
YAL037C-B,14
YAL037C-A,4
YAL037W,294
YAL036C,2334
YAL035W,6162
YAL034C-B,5
YAL034W-A,487
YAL034C,2301
YAL033W,1169
YAL032C,775
YAL031W-A,24
YAL031C,1277
YAL030W,1264
YAL029C,5059
YAL028W,1068
YAL027W,509
YAL026C-A,474
YAL026C,4097
YAL025C,1971
YAL024C,1422
YAL023C,9954
YAL022C,4440
YAL021C,6718
YAL020C,1575
YAL019W-A,41
YAL019W,4404
YAL018C,17
YAL017W,5325
YAL016C-B,0
YAL016C-A,14
YAL016W,3878
YAL015C,1012
YAL014C,2558
YAL013W,815
YAL011W,517
YAL010C,1203
YAL009W,892
YAL008W,641
YAL007C,2807
YAL005C,15909
YAL004W,8
YAL003W,8943
YAL002W,3291
YAL001C,2077
YAR002W,2759
YAR002C-A,4705
YAR003W,1169
YAR007C,2527
YAR008W,698
YAR009C,3278
YAR010C,294
YAR014C,3667
YAR015W,2292
YAR018C,1369
YAR019C,1698
YAR019W-A,135
YAR020C,151
YAR023C,373
YAR027W,2226
YAR028W,891
YAR029W,188
YAR030C,175
YAR031W,528
YAR033W,756
YAR035W,778
YAR035C-A,2
YAR042W,3870
YAR047C,3
YAR050W,1268
YAR053W,37
YAR060C,2
YAR064W,3
YAR066W,131
YAR068W,517
YAR069C,7
YAR070C,5
YAR071W,158
YAR073W,148
YAR075W,40
Q0010,31
Q0017,9
Q0032,0
Q0045,12959
Q0070,10327
Q0065,9145
Q0060,4756
Q0055,11155
Q0050,15031
Q0075,446
Q0080,17
Q0085,273
Q0092,4
Q0105,6003
Q0120,6040
Q0115,3871
Q0110,3585
Q0130,4171
Q0140,99
Q0142,3
Q0143,2
Q0144,0
Q0160,745
Q0182,173
Q0250,3782
Q0255,412
Q0275,7763
Q0297,1468
YER054C,1000
YER114C,3145
YER169W,2031
YEL077C,1609
YEL077W-A,65
YEL076C-A,39
YEL076C,112
YEL075W-A,315
YEL075C,22
YEL074W,198
YEL073C,616
YEL072W,1146
YEL071W,6890
YEL070W,295
YEL069C,25
YEL068C,608
YEL067C,354
YEL066W,688
YEL065W,6782
YEL064C,1398
YEL063C,9994
YEL062W,1347
YEL061C,1335
YEL060C,7166
YEL059C-A,699
YEL059W,36
YEL058W,5305
YEL057C,178
YEL056W,1796
YEL055C,4365
YEL054C,6706
YEL053W-A,10
YEL053C,2686
YEL052W,2794
YEL051W,2612
YEL050W-A,2
YEL050C,2196
YEL049W,226
YEL048C,562
YEL047C,2804
YEL046C,15124
YEL045C,1469
YEL044W,985
YEL043W,3320
YEL042W,5442
YEL041W,617
YEL040W,12632
YEL039C,1449
YEL038W,1477
YEL037C,3161
YEL036C,3308
YEL035C,9
YEL034C-A,9
YEL034W,18415
YEL033W,6855
YEL032W,4513
YEL032C-A,0
YEL031W,11170
YEL030C-A,15
YEL030W,1069
YEL029C,1530
YEL028W,687
YEL027W,6931
YEL026W,4242
YEL025C,3099
YEL024W,5054
YEL023C,1048
YEL022W,3689
YEL021W,1558
YEL020C-B,3
YEL020W-A,2213
YEL020C,1098
YEL019C,441
YEL018C-A,2
YEL018W,500
YEL017C-A,1664
YEL017W,2693
YEL016C,1698
YEL015W,3209
YEL014C,7
YEL013W,5348
YEL012W,685
YEL011W,3706
YEL010W,6
YEL009C-A,119
YEL009C,10368
YEL008W,35
YEL008C-A,410
YEL007W,5966
YEL006W,2369
YEL005C,1069
YEL004W,784
YEL003W,1514
YEL002C,4966
YEL001C,4922
YER001W,4792
YER002W,1472
YER003C,3603
YER004W,2461
YER005W,2573
YER006W,3266
YER006C-A,80
YER007W,265
YER007C-A,1760
YER008C,3115
YER009W,3877
YER010C,1978
YER011W,353
YER012W,2702
YER013W,1125
YER014W,1056
YER014C-A,13
YER015W,1306
YER016W,1080
YER017C,4244
YER018C,1268
YER019W,2785
