GeneID,wt.1
YAL001C,222
YAL002W,324
YAL003W,32089
YAL005C,4854
YAL007C,4468
YAL008W,593
YAL009W,351
YAL010C,197
YAL011W,124
YAL012W,19696
YAL013W,160
YAL014C,799
YAL015C,107
YAL016C-A,0
YAL016W,2541
YAL017W,286
YAL018C,0
YAL019W,850
YAL020C,495
YAL021C,671
YAL022C,485
YAL023C,1115
YAL024C,255
YAL025C,1662
YAL026C,955
YAL027W,287
YAL028W,23
YAL029C,654
YAL030W,878
YAL031C,370
YAL032C,114
YAL033W,1249
YAL034C,172
YAL034W-A,280
YAL035W,2301
YAL036C,2262
YAL037W,74
YAL038W,98068
YAL039C,442
YAL040C,4573
YAL041W,301
YAL042W,4095
YAL043C,194
YAL044C,1208
YAL044W-A,3182
YAL045C,53
YAL046C,516
YAL047C,118
YAL048C,167
YAL049C,955
YAL051W,189
YAL053W,1849
YAL054C,0
YAL055W,91
YAL056W,356
YAL058W,206
YAL059C-A,0
YAL059W,1772
YAL060W,479
YAL061W,35
YAL062W,409
YAL063C,0
YAL063C-A,95
YAL064W-B,40
YAL066W,0
YAL067C,33
YAR002C-A,4709
YAR002W,454
YAR003W,222
YAR007C,445
YAR008W,385
YAR014C,674
YAR015W,978
YAR018C,230
YAR019C,46
YAR019W-A,0
YAR020C,0
YAR023C,88
YAR027W,517
YAR028W,585
YAR029W,0
YAR030C,0
YAR033W,380
YAR035W,0
YAR042W,300
YAR075W,0
YBL001C,2550
YBL002W,10692
YBL003C,14385
YBL004W,1305
YBL005W,187
YBL005W-A,313
YBL006C,1820
YBL006W-A,0
YBL007C,2095
YBL008W,335
YBL009W,190
YBL010C,171
YBL011W,931
YBL013W,62
YBL014C,321
YBL015W,327
YBL016W,618
YBL017C,703
YBL018C,1129
YBL019W,58
YBL020W,1166
YBL021C,347
YBL022C,571
YBL023C,277
YBL024W,1865
YBL025W,302
YBL026W,1330
YBL027W,54863
YBL028C,3358
YBL029C-A,1165
YBL029W,139
YBL030C,26111
YBL031W,71
YBL032W,652
YBL033C,416
YBL034C,281
YBL035C,186
YBL036C,602
YBL037W,317
YBL038W,541
YBL039C,2374
YBL039W-B,286
YBL040C,3418
YBL041W,2776
YBL042C,2820
YBL043W,108
YBL045C,4131
YBL046W,178
YBL047C,1955
YBL049W,48
YBL050W,1578
YBL051C,1129
YBL052C,237
YBL054W,426
YBL055C,374
YBL056W,1393
YBL057C,1196
YBL058W,1105
YBL059C-A,1496
YBL060W,140
YBL061C,456
YBL063W,115
YBL064C,1364
YBL066C,411
YBL067C,688
YBL068W,1794
YBL069W,885
YBL071W-A,1270
YBL072C,35682
YBL074C,80
YBL075C,0
YBL076C,3515
YBL078C,317
YBL079W,1230
YBL080C,124
YBL081W,1791
YBL082C,1059
YBL084C,221
YBL085W,682
YBL086C,135
YBL087C,10993
YBL088C,165
YBL089W,458
YBL090W,1849
YBL091C,861
YBL091C-A,293
YBL092W,80210
YBL093C,1178
YBL094C,0
YBL095W,280
YBL097W,54
YBL098W,507
YBL099W,8305
YBL100W-A,30
YBL101C,305
YBL102W,288
YBL103C,230
YBL104C,127
YBL105C,717
YBL106C,28
YBL107C,1203
YBR001C,240
YBR002C,505
YBR003W,1030
YBR004C,922
YBR005W,920
YBR006W,211
YBR007C,113
YBR008C,357
YBR009C,11091
YBR010W,6912
YBR011C,15061
YBR014C,900
YBR015C,3684
YBR016W,1569
YBR017C,911
YBR018C,0
YBR021W,240
YBR022W,601
YBR023C,2125
YBR024W,145
YBR025C,6540
YBR026C,800
YBR028C,678
YBR029C,788
YBR030W,385
YBR031W,21161
YBR033W,0
YBR034C,2289
YBR035C,1479
YBR036C,1607
YBR037C,442
YBR038W,1067
YBR039W,3595
YBR041W,1239
YBR042C,770
YBR043C,403
YBR044C,175
YBR046C,277
YBR047W,119
YBR048W,75434
YBR049C,378
YBR050C,0
YBR051W,50
YBR052C,1229
YBR053C,507
YBR054W,3782
YBR055C,251
YBR056C-B,0
YBR056W,437
YBR056W-A,681
YBR057C,417
YBR058C,612
YBR058C-A,6256
YBR059C,629
YBR060C,190
YBR061C,543
YBR062C,286
YBR065C,467
YBR066C,215
YBR067C,5674
YBR068C,3356
YBR069C,3230
YBR070C,918
YBR071W,875
YBR072W,73
YBR073W,791
YBR074W,1536
YBR076C-A,54
YBR077C,958
YBR078W,15612
YBR079C,656
YBR080C,1131
YBR081C,170
YBR082C,7745
YBR083W,288
YBR084C-A,38454
YBR084W,1860
YBR085C-A,3734
YBR085W,239
YBR086C,2982
YBR087W,471
YBR088C,1967
YBR089C-A,2175
YBR091C,954
YBR092C,1542
YBR093C,822
YBR094W,240
YBR095C,259
YBR096W,1498
YBR097W,245
YBR098W,64
YBR101C,416
YBR102C,235
YBR103C-A,0
YBR103W,173
YBR104W,928
YBR105C,550
YBR106W,7479
YBR107C,147
YBR108W,81
YBR109C,10624
YBR110W,1446
YBR111C,2622
YBR111W-A,765
YBR112C,284
YBR114W,200
YBR115C,1009
YBR116C,0
YBR117C,20
YBR118W,124821
YBR119W,141
YBR120C,800
YBR121C,7459
YBR122C,1182
YBR123C,114
YBR124W,0
YBR125C,683
YBR126C,1385
YBR126W-A,4399
YBR127C,8417
YBR128C,28
YBR129C,192
YBR130C,539
YBR131W,125
YBR132C,167
