trx,cds,utr5,utr3,
YAL067C,13,10,NA,3
YAL063C-A,60,14,41,3
YAL063C,487,459,NA,22
YAL054C,131,108,NA,17
YAL049C,503,371,20,55
YAL047C,183,170,1,3
YAL046C,162,109,0,28
YAL044C,703,570,0,63
YAL043C,622,571,0,19
YAL040C,1298,990,201,69
YAL039C,250,206,18,14
YAL037C-A,2,0,2,0
YAL036C,594,547,8,3
YAL034C-B,0,0,0,0
YAL034C,312,200,81,19
YAL032C,121,95,0,10
YAL031C,255,224,4,18
YAL029C,1047,1012,NA,25
YAL026C-A,64,57,NA,0
YAL026C,798,797,0,NA
YAL025C,680,502,6,135
YAL024C,238,226,NA,10
YAL023C,1919,1728,67,72
YAL022C,509,477,0,7
YAL021C,952,845,17,66
YAL020C,131,111,NA,16
YAL018C,6,4,0,2
YAL015C,182,178,NA,0
YAL014C,258,193,15,36
YAL010C,179,163,1,9
YAL007C,512,368,14,68
YAL005C,20464,19811,229,NA
YAL001C,432,422,0,NA
YAR002C-A,682,564,0,46
YAR007C,786,723,23,16
YAR014C,589,477,39,60
YAR018C,379,338,0,11
YAR019C,224,217,NA,4
YAR023C,151,59,81,NA
YAR047C,1,1,NA,0
YAL066W,2,0,2,NA
YAL064W-B,83,25,50,5
YAL062W,164,161,NA,0
YAL061W,130,92,3,24
YAL060W,848,738,4,55
YAL059W,259,192,NA,60
YAL058W,216,196,2,9
YAL056W,474,437,10,10
YAL055W,81,59,0,7
YAL053W,2135,1950,83,44
YAL051W,405,385,NA,17
YAL047W-A,2,2,NA,0
YAL044W-A,234,144,NA,52
YAL042W,732,662,0,34
YAL041W,482,451,11,6
YAL038W,24885,22199,223,1560
YAL037W,16,15,NA,NA
YAL035W,2756,2699,11,NA
YAL034W-A,75,55,2,9
YAL033W,186,157,NA,15
YAL030W,180,104,0,47
YAL028W,103,91,3,3
YAL027W,114,96,NA,11
YAL019W,879,858,NA,6
YAL017W,1048,948,84,NA
YAL016W,1241,1142,30,36
YAL013W,194,154,3,25
YAL012W,2263,1930,64,140
YAL011W,163,147,NA,9
YAL009W,118,104,NA,10
YAL008W,108,69,2,18
YAL004W,308,0,278,30
YAL003W,5154,3588,0,959
YAL002W,514,500,NA,6
YAR002W,427,385,6,15
YAR003W,225,150,8,57
YAR008W,131,103,13,9
YAR015W,545,418,37,55
YAR019W-A,104,2,NA,99
YAR027W,497,313,61,73
YAR028W,167,126,2,19
YAR029W,48,10,17,16
YAR031W,98,85,NA,10
YAR033W,89,64,8,3
YAR035W,62,55,NA,5
YAR042W,712,665,NA,36
YAR050W,675,659,NA,8
YAR053W,11,7,1,NA
YAR071W,246,239,NA,0
YBL113C,6564,6387,NA,101
YBL107C,192,139,NA,32
YBL106C,170,168,NA,1
YBL105C,828,717,68,24
YBL104C,354,339,NA,8
YBL103C,384,283,54,45
YBL101C,394,382,NA,9
YBL093C,226,156,18,36
YBL091C-A,91,60,NA,19
YBL091C,605,515,1,40
YBL088C,1003,993,NA,6
YBL087C,4027,3080,34,448
YBL086C,97,85,5,3
YBL084C,472,459,NA,10
YBL080C,178,162,0,10
YBL078C,293,143,0,126
YBL076C,5490,5210,0,121
YBL075C,367,344,NA,14
YBL074C,169,158,NA,NA
YBL072C,8802,7180,0,696
YBL071C,2,1,NA,1
YBL070C,29,1,28,NA
YBL067C,325,281,37,NA
YBL066C,427,390,3,30
YBL064C,669,579,9,31
YBL061C,481,434,10,4
YBL059C-A,247,115,6,72
YBL057C,219,156,0,31
YBL055C,227,206,3,11
YBL052C,405,356,31,8
YBL051C,869,704,14,111
YBL047C,2183,1993,59,85
YBL045C,2630,2021,248,244
YBL042C,1606,1486,24,44
YBL040C,610,492,24,36
YBL039C,1636,1524,NA,85
YBL036C,323,272,0,25
YBL035C,332,311,5,5
YBL034C,417,396,NA,14
YBL033C,313,257,5,18
YBL030C,4670,3076,467,883
YBL029C-A,223,118,30,28
YBL028C,378,211,9,120
YBL023C,547,497,6,27
YBL022C,1303,1215,32,23
YBL021C,112,74,0,22
YBL018C,169,127,10,13
YBL017C,1701,1654,NA,26
YBL014C,339,324,1,8
YBL010C,177,142,NA,25
YBL007C,1769,1697,17,34
YBL006C,324,207,0,80
YBL003C,3192,1954,47,732
YBL001C,499,319,0,96
YBR001C,575,544,8,13
YBR002C,216,171,0,30
YBR004C,336,306,0,12
YBR007C,292,261,NA,28
YBR008C,454,368,37,34
YBR009C,3504,2219,118,890
YBR011C,2561,2033,37,298
YBR012C,1,1,NA,0
YBR013C,0,0,0,0
YBR014C,295,224,8,33
YBR015C,920,775,37,61
YBR017C,1173,1086,8,44
YBR018C,20,13,0,7
YBR019C,9,7,NA,1
YBR023C,1358,1300,NA,41
YBR025C,2768,2233,38,359
YBR026C,572,472,NA,75
YBR028C,352,314,24,3
YBR029C,915,783,15,58
YBR034C,711,580,0,93
YBR035C,736,584,13,75
YBR036C,1061,850,20,118
YBR037C,258,224,5,14
YBR042C,205,181,4,13
YBR043C,1113,945,57,64
YBR044C,238,226,1,6
YBR045C,67,59,NA,7
YBR046C,175,129,3,31
YBR049C,754,627,37,70
YBR050C,21,14,5,0
YBR052C,606,439,56,32
YBR053C,447,395,0,21
YBR055C,450,423,0,14
YBR057C,284,220,20,28
YBR058C,601,576,0,5
