GeneID,wt.2
YBR199W,1000
YBR200W,304
YBR201C-A,74
YBR201W,191
YBR202W,263
YBR203W,49
YBR204C,154
YBR205W,1790
YBR207W,642
YBR208C,470
YBR210W,1082
YBR211C,267
YBR212W,166
YBR213W,81
YBR214W,455
YBR215W,138
YBR216C,56
YBR217W,146
YBR218C,656
YBR220C,207
YBR221C,9118
YBR222C,820
YBR223C,44
YBR225W,93
YBR227C,136
YBR228W,82
YBR229C,881
YBR230C,2239
YBR230W-A,213
YBR231C,67
YBR233W,37
YBR233W-A,812
YBR234C,1322
YBR235W,665
YBR236C,128
YBR237W,101
YBR238C,1280
YBR239C,83
YBR240C,38
YBR241C,202
YBR242W,707
YBR243C,230
YBR244W,507
YBR246W,313
YBR247C,447
YBR248C,542
YBR249C,3653
YBR250W,0
YBR251W,334
YBR252W,5013
YBR253W,711
YBR254C,645
YBR255C-A,952
YBR255W,161
YBR256C,1393
YBR257W,226
YBR258C,296
YBR259W,83
YBR260C,292
YBR261C,448
YBR262C,1204
YBR263W,1528
YBR264C,471
YBR265W,533
YBR267W,312
YBR268W,1404
YBR269C,971
YBR270C,0
YBR271W,210
YBR272C,442
YBR273C,369
YBR274W,213
YBR275C,164
YBR276C,336
YBR277C,16
YBR278W,173
YBR279W,404
YBR280C,42
YBR281C,553
YBR282W,493
YBR283C,1564
YBR284W,44
YBR285W,0
YBR286W,926
YBR287W,4259
YBR288C,477
YBR289W,40
YBR290W,607
YBR291C,618
YBR292C,272
YBR293W,63
YBR295W,148
YBR296C,62
YBR296C-A,0
YBR297W,179
YBR298C,63
YBR299W,0
YBR300C,0
YCL001W,3997
YCL002C,969
YCL004W,109
YCL005W,638
YCL005W-A,8955
YCL007C,99
YCL008C,793
YCL009C,10346
YCL010C,231
YCL011C,869
YCL012C,767
YCL014W,193
YCL016C,67
YCL017C,1450
YCL018W,804
YCL019W,464
YCL020W,0
YCL021W-A,0
YCL024W,166
YCL025C,955
YCL026C-A,48
YCL026C-B,144
YCL027W,40
YCL028W,1005
YCL029C,186
YCL030C,296
YCL031C,1894
YCL032W,322
YCL033C,1075
YCL034W,374
YCL035C,3880
YCL036W,291
YCL037C,1689
YCL038C,228
YCL039W,277
YCL040W,1000
YCL042W,67
YCL043C,15100
YCL044C,612
YCL045C,864
YCL047C,460
YCL048W-A,0
YCL049C,545
YCL050C,2707
YCL051W,319
YCL052C,441
YCL054W,664
YCL054W-A,2298
YCL055W,166
YCL056C,326
YCL057C-A,3160
YCL057W,1136
YCL058W-A,746
YCL059C,693
YCL061C,107
YCL063W,368
YCL064C,557
YCR002C,551
YCR003W,1048
YCR004C,1343
YCR005C,688
YCR006C,56
YCR007C,51
YCR008W,1251
YCR009C,1442
YCR011C,347
YCR012W,268412
YCR014C,0
YCR015C,1118
YCR016W,468
YCR017C,2102
YCR018C-A,45
YCR019W,250
YCR020C,0
YCR020C-A,807
YCR020W-B,1006
YCR021C,604
YCR022C,0
YCR023C,726
YCR024C,166
YCR024C-A,4004
YCR024C-B,0
YCR025C,0
YCR026C,229
YCR027C,424
YCR028C,613
YCR028C-A,6395
YCR030C,923
YCR031C,51181
YCR032W,123
YCR033W,313
YCR034W,3513
YCR035C,870
YCR036W,416
YCR037C,276
YCR042C,262
YCR043C,5560
YCR044C,2895
YCR045W-A,0
YCR046C,1637
YCR047C,664
YCR047W-A,0
YCR048W,549
YCR050C,0
YCR051W,1527
YCR052W,337
YCR053W,3537
YCR054C,321
YCR057C,1097
YCR059C,1217
YCR060W,1608
YCR061W,519
YCR063W,117
YCR064C,102
YCR065W,104
YCR066W,66
YCR067C,700
YCR068W,375
YCR069W,1022
YCR071C,455
YCR072C,178
YCR073C,88
YCR073W-A,717
YCR075C,485
YCR075W-A,754
YCR076C,224
YCR077C,898
YCR079W,229
YCR081C-A,19
YCR081W,231
YCR082W,1563
YCR083W,507
YCR084C,1131
YCR085W,0
YCR086W,101
YCR087C-A,1319
YCR087W,0
YCR088W,261
YCR089W,122
YCR090C,1425
YCR091W,24
YCR092C,135
YCR093W,1708
YCR094W,735
YCR095C,342
YCR095W-A,44
YCR096C,18
YCR097W,741
YCR097W-A,0
YCR098C,449
YCR101C,171
YCR102C,26
YCR102W-A,0
YCR106W,226
YCR107W,0
YDL001W,137
YDL002C,423
YDL003W,241
YDL004W,10079
YDL005C,320
YDL006W,411
YDL007W,1384
YDL008W,1267
YDL009C,105
YDL010W,574
YDL012C,872
YDL013W,213
YDL014W,2442
YDL015C,3646
YDL017W,154
YDL018C,719
YDL019C,378
YDL020C,530
YDL021W,0
YDL022W,511
YDL024C,0
YDL025C,51
YDL025W-A,0
YDL026W,0
YDL027C,167
YDL028C,59
YDL029W,926
YDL030W,136
YDL031W,107
YDL033C,279
YDL035C,112
YDL036C,259
YDL037C,549
YDL040C,1342
YDL042C,134
YDL043C,386
YDL044C,69
YDL045C,395
YDL045W-A,2281
YDL046W,10155
YDL047W,668
YDL048C,1709
YDL049C,25
YDL051W,2144
YDL052C,3081
YDL053C,600
YDL054C,241
YDL055C,13253
YDL056W,134
YDL057W,40
YDL058W,310
YDL059C,86
YDL060W,511
YDL061C,47060
YDL063C,615
YDL064W,1415
YDL065C,240
YDL066W,5493
YDL067C,4129
YDL069C,327
YDL070W,1179
YDL072C,3958
YDL073W,313
YDL074C,822
YDL075W,54523
YDL076C,298
YDL077C,151
YDL078C,1334
YDL079C,0
YDL080C,181
YDL081C,90457
YDL082W,18518
YDL083C,96177
YDL084W,3536
YDL085C-A,780
YDL085W,0
YDL086C-A,118
YDL086W,1767
YDL087C,170
YDL088C,258
YDL089W,282
YDL090C,261
YDL091C,223
YDL092W,1452
YDL093W,176
YDL094C,0
YDL095W,584
YDL097C,1205
YDL098C,333
YDL099W,395
YDL100C,3438
YDL101C,221
YDL102W,209
YDL103C,602
YDL104C,55
YDL105W,27
YDL106C,106
YDL107W,91
YDL108W,437
YDL109C,22
YDL110C,297
YDL111C,1774
YDL112W,271
YDL113C,179
YDL114W-A,37
YDL115C,295
YDL116W,359
YDL117W,360
YDL119C,121
YDL120W,668
YDL121C,3332
YDL122W,863
YDL123W,1035
YDL124W,3085
YDL125C,8929
YDL126C,1810
YDL127W,165
YDL128W,2286
YDL129W,144
YDL130W,44794
YDL130W-A,714
YDL131W,779
YDL132W,288
YDL133C-A,18480
YDL133W,141
YDL134C,1793
YDL135C,1695
YDL136W,32318
YDL137W,7391
YDL138W,76
YDL139C,62
YDL140C,1426
YDL141W,397
YDL142C,277
YDL143W,1862
YDL144C,800
YDL145C,1710
YDL146W,164
YDL147W,2461
YDL148C,505
YDL149W,35
YDL150W,480
YDL153C,973
YDL155W,236
YDL156W,0
YDL157C,3282
YDL159W,149
YDL159W-A,0
YDL160C,961
YDL160C-A,586
YDL161W,981
YDL164C,220
YDL165W,435
YDL166C,302
YDL167C,920
YDL168W,566
YDL169C,32
YDL170W,133
YDL171C,1216
YDL173W,268
YDL174C,985
YDL175C,119
YDL176W,102
YDL177C,164
YDL178W,443
YDL179W,250
YDL180W,86
YDL181W,5993
YDL182W,924
YDL183C,37
YDL184C,32848
YDL185W,1434
YDL187C,98
YDL188C,1290
YDL189W,186
YDL190C,461
YDL191W,102459
YDL192W,20242
YDL193W,555
YDL194W,45
YDL195W,1323
YDL196W,14
YDL197C,151
YDL198C,2143
YDL199C,45
YDL200C,228
YDL201W,725
YDL202W,504
YDL203C,154
YDL204W,163
YDL205C,1197
YDL206W,101
YDL207W,259
YDL208W,6795
YDL209C,132
YDL210W,0
YDL211C,74
YDL212W,11131
YDL213C,1354
YDL215C,74
YDL216C,81
YDL217C,242
YDL218W,0
YDL219W,1238
YDL220C,220
YDL221W,0
YDL222C,0
YDL223C,0
YDL224C,952
YDL225W,300
YDL226C,623
YDL227C,272
YDL229W,25646
YDL230W,218
YDL231C,556
YDL232W,2753
YDL233W,168
YDL234C,217
YDL235C,3127
YDL236W,897
YDL237W,690
YDL238C,141
YDL240W,139
YDL241W,223
YDL243C,68
YDR001C,490
YDR002W,4498
YDR003W,722
YDR003W-A,0
YDR004W,164
YDR005C,485
YDR006C,472
YDR007W,183
YDR008C,0
YDR009W,0
YDR011W,637
YDR012W,17284
YDR013W,411
YDR014W,131
YDR014W-A,0
YDR016C,532
YDR017C,166
YDR018C,0
YDR019C,167
YDR020C,342
YDR021W,111
YDR022C,365
YDR023W,4969
YDR025W,31936
YDR026C,186
YDR027C,128
YDR028C,709
YDR030C,98
YDR031W,568
YDR032C,3403
YDR033W,24387
YDR034C,314
YDR034C-D,171
YDR034W-B,318
YDR035W,638
YDR036C,369
YDR037W,4422
YDR039C,0
YDR040C,0
YDR041W,769
YDR042C,203
YDR043C,354
YDR044W,511
YDR045C,1687
YDR046C,1522
YDR047W,1890
YDR048C,0
YDR049W,139
YDR050C,68495
YDR051C,396
YDR052C,146
YDR054C,440
YDR055W,1419
YDR056C,2393
YDR057W,157
YDR058C,36
YDR059C,763
YDR060W,1077
YDR061W,399
YDR062W,2616
YDR063W,1153
YDR064W,103586
YDR065W,148
YDR066C,180
YDR067C,259
YDR068W,171
YDR069C,135
YDR070C,78
YDR071C,2596
YDR072C,805
YDR073W,717
YDR074W,592
YDR075W,303
YDR076W,90
YDR077W,15288
YDR078C,158
YDR079C-A,866
YDR079W,383
YDR080W,91
YDR081C,143
YDR082W,101
YDR083W,499
YDR084C,1869
YDR085C,131
YDR086C,12211
YDR087C,798
YDR088C,88
YDR089W,114
YDR090C,500
YDR091C,1255
YDR092W,1086
YDR093W,792
YDR096W,220
YDR097C,144
YDR098C,1723
YDR099W,2713
YDR100W,1529
YDR101C,2926
YDR103W,405
YDR104C,74
YDR105C,300
YDR106W,39
YDR107C,255
YDR108W,106
YDR109C,53
YDR110W,432
YDR111C,80
YDR113C,172
YDR114C,0
YDR115W,2755
YDR116C,501
YDR117C,288
YDR118W,39
YDR119W,1895
YDR119W-A,180
YDR120C,553
YDR121W,172
YDR122W,396
YDR123C,243
YDR124W,195
YDR125C,53
YDR126W,133
YDR127W,1143
YDR128W,173
YDR129C,1394
YDR130C,184
YDR131C,144
YDR132C,268
YDR133C,15583
YDR135C,2743
YDR137W,184
YDR138W,258
YDR139C,1269
YDR140W,1569
YDR141C,469
YDR142C,348
YDR143C,393
YDR144C,744
YDR145W,541
YDR146C,174
YDR147W,181
YDR148C,855
YDR150W,382
YDR151C,490
YDR152W,784
YDR153C,286
YDR154C,0
YDR155C,48332
YDR156W,5782
YDR158W,8459
YDR159W,177
YDR160W,132
YDR161W,720
YDR162C,169
YDR163W,137
YDR164C,297
YDR165W,1005
YDR166C,366
YDR167W,1092
YDR168W,675
YDR169C,209
YDR170C,541
YDR171W,220
YDR172W,1784
YDR173C,84
YDR174W,2372
YDR175C,674
YDR176W,163
YDR177W,1394
YDR178W,2017
YDR179C,251
YDR179W-A,97
YDR180W,146
YDR181C,106
YDR182W,695
YDR183W,355
YDR184C,1164
YDR185C,158
YDR186C,345
YDR188W,2325
YDR189W,317
YDR190C,2258
YDR191W,38
YDR192C,59
YDR194C,681
YDR195W,82
YDR196C,802
YDR197W,198
YDR198C,234
YDR200C,154
YDR201W,435
YDR202C,215
YDR204W,249
YDR205W,432
YDR206W,405
YDR207C,95
YDR208W,460
YDR210W,3873
YDR211W,686
YDR212W,2192
YDR213W,73
YDR214W,2571
YDR216W,33
YDR217C,143
YDR219C,184
YDR221W,355
YDR222W,398
YDR223W,0
YDR224C,14028
YDR225W,34113
YDR226W,9390
YDR227W,46
YDR228C,547
YDR229W,72
YDR231C,319
YDR232W,3369
YDR233C,11880
YDR234W,1025
YDR235W,312
YDR236C,723
YDR237W,399
YDR238C,1036
YDR239C,147
YDR240C,103
YDR242W,33
YDR243C,195
YDR244W,78
YDR245W,1698
YDR246W,365
YDR246W-A,0
YDR247W,604
YDR248C,456
YDR249C,447
YDR250C,0
YDR251W,853
YDR252W,147
YDR253C,32
YDR254W,149
YDR255C,156
YDR257C,560
YDR258C,241
YDR259C,55
YDR260C,539
YDR261C,312
YDR262W,532
YDR263C,17
YDR264C,823
YDR265W,127
YDR266C,306
YDR267C,378
YDR268W,235
YDR270W,228
YDR272W,955
YDR275W,515
YDR276C,29406
YDR277C,65
YDR279W,288
YDR280W,560
YDR281C,1071
YDR282C,185
YDR283C,284
YDR284C,939
YDR285W,0
YDR286C,166
YDR287W,238
YDR288W,284
YDR289C,240
YDR291W,238
YDR292C,316
YDR293C,854
YDR294C,1607
YDR295C,74
YDR296W,702
YDR297W,2313
YDR298C,3994
YDR299W,422
YDR300C,277
YDR301W,181
YDR302W,1310
YDR303C,424
YDR304C,3171
YDR305C,103
YDR306C,229
YDR307W,352
YDR308C,324
YDR309C,385
YDR310C,156
YDR311W,136
YDR312W,350
YDR313C,32
YDR314C,125
YDR315C,233
YDR316W,311
YDR316W-A,307
YDR317W,55
YDR318W,140
YDR319C,704
YDR320C,210
YDR320C-A,1155
YDR320W-B,90
YDR321W,1710
YDR322C-A,3530
YDR322W,547
YDR323C,39
YDR324C,688
YDR325W,201
YDR326C,617
YDR328C,1565
YDR329C,255
YDR330W,148
YDR331W,429
YDR332W,57
YDR333C,275
YDR334W,286
YDR335W,779
YDR336W,103
YDR337W,867
YDR338C,209
YDR339C,2100
YDR341C,2355
YDR342C,102
YDR344C,73
YDR345C,883
YDR346C,1526
YDR347W,1186
YDR348C,467
YDR349C,1044
YDR350C,446
YDR351W,384
YDR352W,1118
YDR353W,3116
YDR354W,977
YDR356W,200
YDR357C,498
YDR358W,84
YDR359C,263
YDR361C,652
YDR362C,102
YDR363W,33
YDR363W-A,2376
YDR364C,291
YDR365C,925
YDR367W,2426
YDR368W,1103
YDR369C,72
YDR370C,192
YDR371W,191
YDR372C,1460
YDR373W,2089
YDR374W-A,346
YDR375C,449
YDR376W,209
YDR377W,8296
YDR378C,2524
YDR379C-A,190
YDR379W,81
YDR380W,117
YDR381C-A,455
YDR381W,4604
YDR382W,55702
YDR383C,123
YDR384C,662
YDR385W,14798
YDR386W,33
YDR387C,139
YDR388W,1023
YDR389W,497
YDR390C,303
YDR391C,820
YDR392W,144
YDR393W,244
YDR394W,664
YDR395W,799
YDR397C,1803
YDR398W,737
YDR399W,3549
YDR400W,894
YDR404C,3272
YDR405W,161
YDR406W,27
YDR407C,450
YDR408C,971
YDR409W,58
YDR410C,1379
YDR411C,467
YDR412W,1162
YDR414C,531
YDR415C,39
YDR416W,176
YDR418W,69261
YDR419W,88
YDR420W,418
YDR421W,61
YDR422C,356
YDR423C,207
YDR424C,1268
YDR425W,160
YDR427W,1187
YDR428C,793
YDR429C,1601
YDR430C,451
YDR432W,731
YDR434W,749
YDR435C,313
YDR436W,152
YDR437W,259
YDR438W,29
YDR439W,226
YDR440W,230
YDR441C,2277
YDR443C,167
YDR444W,296
YDR445C,149
YDR446W,0
YDR447C,27666
YDR448W,169
YDR449C,994
YDR450W,22431
YDR451C,298
YDR452W,841
YDR453C,36
YDR454C,8236
YDR456W,1116
YDR457W,440
YDR458C,378
YDR459C,155
YDR460W,135
YDR461C-A,102
YDR461W,3390
YDR462W,586
YDR463W,458
YDR464W,0
YDR465C,692
YDR466W,101
YDR468C,651
YDR469W,561
YDR470C,295
YDR471W,32743
YDR472W,1063
YDR473C,114
YDR475C,149
YDR476C,882
YDR477W,579
YDR478W,275
YDR479C,122
YDR480W,110
YDR481C,1134
YDR482C,189
YDR483W,2668
YDR484W,172
YDR485C,98
YDR486C,485
YDR487C,3969
YDR488C,141
YDR489W,377
YDR490C,222
YDR492W,2168
YDR493W,766
YDR494W,674
YDR495C,40
YDR496C,412
YDR497C,6245
YDR498C,157
YDR499W,90
YDR500C,16683
YDR501W,0
YDR502C,948
YDR503C,367
YDR505C,462
YDR506C,32
YDR507C,379
YDR508C,786
YDR510C-A,0
YDR510W,4795
YDR511W,890
YDR513W,2440
YDR514C,171
YDR515W,140
YDR516C,619
YDR517W,1073
YDR518W,785
YDR519W,3233
YDR520C,57
YDR524C,954
YDR524C-A,0
YDR524C-B,98192
YDR525W-A,3251
YDR527W,287
YDR528W,410
YDR529C,5416
YDR530C,131
YDR531W,654
YDR532C,213
YDR533C,915
YDR534C,0
YDR536W,0
YDR538W,917
YDR539W,309
YDR540C,97
YDR541C,242
YEL001C,3713
YEL002C,3076
YEL003W,2117
YEL004W,429
YEL005C,173
YEL006W,389
YEL007W,1322
YEL008C-A,91
YEL009C,11244
YEL009C-A,0
YEL011W,68
YEL012W,167
YEL013W,1419
YEL015W,423
YEL016C,165
YEL017C-A,16000
YEL017W,691
YEL018W,236
YEL019C,23
YEL020C,34
YEL020C-B,545
YEL020W-A,3181
YEL021W,1171
YEL022W,341
YEL023C,54
YEL024W,3925
YEL025C,361
YEL026W,22383
YEL027W,52613
YEL028W,152
YEL029C,994
YEL030W,27
YEL031W,2793
YEL032W,201
YEL033W,0
YEL034W,84649
YEL036C,572
YEL037C,962
YEL038W,2872
YEL039C,249
YEL040W,2622
YEL041W,0
YEL042W,2607
YEL043W,229
YEL044W,942
YEL045C,0
YEL046C,3176
YEL047C,1181
YEL048C,492
YEL049W,0
YEL050C,1056
YEL051W,2793
YEL052W,526
YEL053C,649
YEL054C,45234
YEL055C,1365
YEL056W,443
YEL057C,0
YEL058W,1704
YEL059C-A,888
YEL059W,0
YEL060C,313
YEL061C,170
YEL062W,312
YEL063C,730
YEL064C,100
YEL065W,427
YEL066W,1235
YEL068C,582
YEL070W,0
YEL071W,4344
YEL072W,134
YEL073C,86
YEL075C,0
YER001W,2238
YER002W,1610
YER003C,3824
YER004W,2297
YER005W,112
YER006C-A,0
YER006W,1015
YER007C-A,3107
YER007W,44
YER008C,464
YER009W,27309
YER010C,431
YER011W,76
YER012W,1667
YER013W,72
YER014W,105
YER015W,0
YER016W,496
YER017C,483
YER018C,299
YER019C-A,9369
YER019W,749
YER020W,300
YER021W,472
YER022W,200
YER023C-A,0
YER023W,762
YER024W,0
YER025W,3509
YER026C,1253
YER027C,762
YER028C,44
YER029C,455
YER030W,1219
YER031C,2008
YER032W,125
YER033C,91
YER034W,58
YER035W,554
YER036C,3177
YER037W,590
YER038C,206
YER038W-A,23
YER039C-A,64
YER040W,233
YER041W,103
YER042W,1145
YER043C,11897
YER044C,5850
YER045C,295
YER046W,235
YER047C,120
YER048C,529
YER048W-A,2014
YER049W,1308
YER050C,1185
YER051W,79
YER052C,1760
YER053C,1085
YER053C-A,4404
YER054C,0
YER055C,5722
YER056C,7733
YER056C-A,38147
YER057C,9565
YER058W,317
YER059W,203
YER060W,555
YER061C,165
YER062C,535
YER063W,587
YER064C,130
YER065C,64
YER066W,104
YER067W,240
YER068W,375
YER069W,297
YER070W,1097
YER071C,1383
YER072W,19207
YER073W,1825
YER074W,34653
YER074W-A,1918
YER075C,97
YER076C,64
YER078C,248
YER079W,101
YER080W,399
YER081W,1851
YER082C,312
YER083C,1434
YER084W-A,38
YER086W,1753
YER087C-A,44
YER087C-B,3190
YER087W,141
YER088C,785
YER089C,1457
YER090W,875
YER091C,5862
YER092W,728
YER093C,122
YER093C-A,438
YER094C,2404
YER095W,824
YER096W,47
YER098W,0
YER099C,660
YER100W,254
YER101C,62
YER102W,72304
YER103W,47
YER104W,153
YER105C,344
YER107C,666
YER110C,2601
YER111C,34
YER112W,976
YER113C,578
YER114C,664
YER115C,309
YER116C,207
YER117W,66906
YER118C,374
YER119C,212
YER120W,8747
YER121W,22
YER122C,1407
YER123W,477
YER124C,2042
YER125W,1361
YER126C,893
YER127W,363
YER128W,242
YER129W,314
YER130C,1956
YER131W,28710
YER132C,452
YER133W,2621
YER134C,534
YER136W,603
YER137C,181
YER138W-A,39
YER139C,169
YER140W,209
YER141W,1610
YER142C,195
YER143W,226
YER144C,576
YER145C,815
YER146W,2816
