trx,cds,utr5,utr3,
YAL067C,5,5,NA,0
YAL063C-A,0,0,0,0
YAL063C,5,5,NA,0
YAL054C,12,12,NA,0
YAL049C,311,274,2,0
YAL047C,40,36,0,0
YAL046C,98,79,0,0
YAL044C,567,506,0,1
YAL043C,222,217,0,0
YAL040C,168,145,12,0
YAL039C,471,431,3,0
YAL037C-A,0,0,0,0
YAL036C,299,281,0,0
YAL034C-B,0,0,0,0
YAL034C,29,23,6,0
YAL032C,65,60,0,0
YAL031C,61,59,0,0
YAL029C,137,132,NA,0
YAL026C-A,8,7,NA,0
YAL026C,157,157,0,NA
YAL025C,218,201,0,0
YAL024C,61,60,NA,0
YAL023C,880,857,5,1
YAL022C,175,167,0,0
YAL021C,516,482,0,1
YAL020C,27,26,NA,0
YAL018C,3,2,0,0
YAL015C,44,42,NA,0
YAL014C,67,57,2,0
YAL010C,59,54,0,0
YAL007C,359,329,5,1
YAL005C,8858,8657,18,NA
YAL001C,94,92,0,NA
YAR002C-A,477,430,0,0
YAR007C,421,410,1,0
YAR014C,182,172,6,0
YAR018C,119,112,0,1
YAR019C,36,35,NA,0
YAR023C,2,1,1,NA
YAR047C,0,0,0,0
YAL066W,0,0,0,0
YAL064W-B,5,0,5,0
YAL062W,14,13,NA,0
YAL061W,46,43,2,0
YAL060W,330,309,0,0
YAL059W,115,109,NA,0
YAL058W,66,58,0,0
YAL056W,45,42,0,0
YAL055W,29,24,0,0
YAL053W,577,531,21,1
YAL051W,78,77,NA,0
YAL047W-A,0,0,0,0
YAL044W-A,142,110,NA,0
YAL042W,380,352,0,0
YAL041W,131,128,0,0
YAL038W,12959,12342,4,9
YAL037W,6,6,NA,NA
YAL035W,1359,1318,0,NA
YAL034W-A,37,32,0,0
YAL033W,84,70,NA,0
YAL030W,129,103,0,0
YAL028W,20,16,1,0
YAL027W,46,44,NA,0
YAL019W,215,214,NA,0
YAL017W,238,227,8,NA
YAL016W,592,586,3,0
YAL013W,97,92,0,0
YAL012W,1803,1667,5,1
YAL011W,44,44,NA,0
YAL009W,22,18,NA,0
YAL008W,124,103,1,0
YAL004W,5,0,1,4
YAL003W,2882,2590,0,5
YAL002W,44,42,NA,0
YAR002W,296,284,1,0
YAR003W,51,49,1,0
YAR008W,24,19,2,0
YAR015W,245,226,3,0
YAR019W-A,6,0,NA,6
YAR027W,175,146,12,0
YAR028W,36,32,0,0
YAR029W,0,0,0,0
YAR031W,31,29,NA,0
YAR033W,39,36,1,0
YAR035W,10,10,NA,0
YAR042W,152,148,NA,0
YAR050W,7,7,NA,0
YAR053W,1,0,0,NA
YAR071W,57,56,NA,0
YBL113C,146,137,NA,0
YBL107C,99,93,NA,0
YBL106C,22,21,NA,0
YBL105C,138,132,4,0
YBL104C,73,71,NA,0
YBL103C,86,79,2,2
YBL101C,145,141,NA,0
YBL093C,123,113,1,0
YBL091C-A,51,45,NA,1
YBL091C,409,393,0,0
YBL088C,19,19,NA,0
YBL087C,1728,1544,2,1
YBL086C,70,61,0,0
YBL084C,54,53,NA,0
YBL080C,69,63,0,0
YBL078C,127,113,0,0
YBL076C,1521,1486,0,0
YBL075C,19,19,NA,0
YBL074C,24,23,NA,NA
YBL072C,3217,2990,0,7
YBL071C,0,0,0,0
YBL070C,0,0,0,0
YBL067C,97,80,7,NA
YBL066C,37,33,1,1
YBL064C,407,366,0,0
YBL061C,193,186,1,0
YBL059C-A,154,121,0,1
YBL057C,110,99,0,0
YBL055C,105,101,0,0
YBL052C,19,18,1,0
YBL051C,359,339,1,0
YBL047C,1279,1252,9,0
YBL045C,1250,1175,17,2
YBL042C,316,301,0,0
YBL040C,307,245,1,1
YBL039C,728,719,NA,0
YBL036C,228,210,0,1
YBL035C,145,143,0,0
YBL034C,108,107,NA,0
YBL033C,193,175,0,0
YBL030C,2310,2070,27,2
YBL029C-A,104,67,12,0
YBL028C,153,125,0,0
YBL023C,217,205,0,0
YBL022C,638,617,3,0
YBL021C,40,38,0,0
YBL018C,70,46,4,0
YBL017C,422,418,NA,0
YBL014C,19,18,0,1
YBL010C,61,58,NA,1
YBL007C,721,709,2,0
YBL006C,105,91,0,0
YBL003C,1046,869,0,9
YBL001C,381,326,0,0
YBR001C,173,162,2,0
YBR002C,46,44,0,0
YBR004C,68,60,0,0
