trx,cds,utr5,utr3,
YAL067C,16,16,NA,0
YAL063C-A,26,5,19,0
YAL063C,141,138,NA,2
YAL054C,52,39,NA,11
YAL049C,341,247,12,48
YAL047C,84,81,0,1
YAL046C,120,87,0,24
YAL044C,518,404,0,35
YAL043C,419,385,0,20
YAL040C,666,511,98,39
YAL039C,302,250,9,26
YAL037C-A,2,0,1,1
YAL036C,350,323,4,2
YAL034C-B,1,1,NA,0
YAL034C,111,71,28,5
YAL032C,53,44,0,2
YAL031C,163,147,4,10
YAL029C,694,669,NA,19
YAL026C-A,49,43,NA,0
YAL026C,556,556,0,NA
YAL025C,246,177,1,48
YAL024C,238,227,NA,9
YAL023C,1749,1592,64,54
YAL022C,268,246,0,6
YAL021C,834,750,13,48
YAL020C,58,50,NA,8
YAL018C,4,2,0,2
YAL015C,114,111,NA,0
YAL014C,103,82,4,10
YAL010C,87,77,0,8
YAL007C,439,306,21,69
YAL005C,15158,14670,172,NA
YAL001C,226,222,0,NA
YAR002C-A,623,488,0,57
YAR007C,399,375,8,6
YAR014C,337,297,7,21
YAR018C,273,254,0,9
YAR019C,127,122,NA,3
YAR023C,35,16,19,NA
YAR047C,0,0,0,0
YAL066W,1,1,0,NA
YAL064W-B,34,11,22,1
YAL062W,117,114,NA,2
YAL061W,52,37,2,10
YAL060W,370,340,3,10
YAL059W,109,75,NA,32
YAL058W,165,149,4,5
YAL056W,272,260,1,3
YAL055W,32,23,0,3
YAL053W,1069,945,53,36
YAL051W,205,185,NA,16
YAL047W-A,1,1,NA,0
YAL044W-A,153,95,NA,40
YAL042W,609,533,0,29
YAL041W,312,290,4,8
YAL038W,32939,29298,273,1670
YAL037W,9,9,NA,NA
YAL035W,2007,1974,6,NA
YAL034W-A,37,33,1,1
YAL033W,109,88,NA,10
YAL030W,200,99,0,56
YAL028W,45,41,0,1
YAL027W,57,47,NA,5
YAL019W,476,467,NA,3
YAL017W,576,537,34,NA
YAL016W,736,649,34,24
YAL013W,151,120,0,20
YAL012W,1748,1484,53,107
YAL011W,61,55,NA,4
YAL009W,86,76,NA,6
YAL008W,139,100,3,28
YAL004W,267,1,252,14
YAL003W,5653,4158,0,838
YAL002W,227,220,NA,3
YAR002W,306,280,4,14
YAR003W,158,96,3,47
YAR008W,60,46,6,6
YAR015W,306,240,17,28
YAR019W-A,33,4,NA,27
YAR027W,224,146,30,31
YAR028W,78,57,1,12
YAR029W,16,7,5,3
YAR031W,44,37,NA,6
YAR033W,53,36,3,9
YAR035W,39,34,NA,4
YAR042W,481,448,NA,27
YAR050W,199,196,NA,1
YAR053W,9,6,0,NA
YAR071W,158,153,NA,0
YBL113C,3724,3630,NA,59
YBL107C,153,105,NA,36
YBL106C,99,96,NA,2
YBL105C,487,435,25,16
YBL104C,209,201,NA,6
YBL103C,144,97,24,20
YBL101C,429,410,NA,17
YBL093C,107,82,4,15
YBL091C-A,47,34,NA,7
YBL091C,473,415,2,28
YBL088C,325,322,NA,1
YBL087C,3160,2388,24,332
YBL086C,78,72,0,0
YBL084C,283,278,NA,2
YBL080C,115,108,0,5
YBL078C,111,54,4,41
YBL076C,3464,3273,0,99
YBL075C,121,113,NA,2
YBL074C,36,35,NA,NA
YBL072C,7712,6468,0,592
YBL071C,0,0,0,0
YBL070C,8,1,5,NA
YBL067C,286,238,43,NA
YBL066C,256,221,1,27
YBL064C,344,293,4,20
YBL061C,367,328,10,9
YBL059C-A,184,83,6,55
