Geneid,WT_2
YAL012W,18759
YAL069W,2
YAL068W-A,2
YAL068C,90
YAL067W-A,0
YAL067C,313
YAL066W,4
YAL065C,47
YAL064W-B,107
YAL064C-A,27
YAL064W,16
YAL063C-A,63
YAL063C,417
YAL062W,246
YAL061W,375
YAL060W,2267
YAL059C-A,4
YAL059W,1650
YAL058W,1234
YAL056C-A,12
YAL056W,2332
YAL055W,197
YAL054C,568
YAL053W,8091
YAL051W,1671
YAL049C,2120
YAL048C,973
YAL047W-A,7
YAL047C,617
YAL046C,583
YAL045C,3
YAL044W-A,941
YAL044C,2239
YAL043C,3055
YAL042C-A,4
YAL042W,7137
YAL041W,3220
YAL040C,9950
YAL039C,1464
YAL038W,59475
YAL037C-B,14
YAL037C-A,2
YAL037W,154
YAL036C,3044
YAL035W,9757
YAL034C-B,1
YAL034W-A,449
YAL034C,1232
YAL033W,1188
YAL032C,651
YAL031W-A,6
YAL031C,1099
YAL030W,1404
YAL029C,5960
YAL028W,354
YAL027W,405
YAL026C-A,664
YAL026C,5503
YAL025C,2826
YAL024C,2241
YAL023C,15614
YAL022C,3434
YAL021C,8628
YAL020C,1282
YAL019W-A,17
YAL019W,4716
YAL018C,31
YAL017W,3753
YAL016C-B,1
YAL016C-A,19
YAL016W,3927
YAL015C,742
YAL014C,1425
YAL013W,1117
YAL011W,583
YAL010C,861
YAL009W,817
YAL008W,761
YAL007C,3740
YAL005C,15145
YAL004W,3
YAL003W,12811
YAL002W,2297
YAL001C,1865
YAR002W,2395
YAR002C-A,5719
YAR003W,1120
YAR007C,2468
YAR008W,751
YAR009C,6647
YAR010C,855
YAR014C,3239
YAR015W,1450
YAR018C,934
YAR019C,1571
YAR019W-A,31
YAR020C,50
YAR023C,123
YAR027W,1329
YAR028W,936
YAR029W,127
YAR030C,48
YAR031W,566
YAR033W,529
YAR035W,339
YAR035C-A,3
YAR042W,4001
YAR047C,19
YAR050W,459
YAR053W,8
YAR060C,4
YAR064W,3
YAR066W,155
YAR068W,536
YAR069C,14
YAR070C,22
YAR071W,714
YAR073W,220
YAR075W,33
Q0010,26
Q0017,6
Q0032,0
Q0045,16167
