trx,cds,utr5,utr3,
YBR115C,1279,1241,NA,24
YBR120C,158,103,20,15
YBR121C,2139,2012,54,NA
YBR122C,313,211,8,64
YBR123C,163,153,2,2
YBR125C,199,156,26,11
YBR126C,1345,1117,46,112
YBR127C,2895,2495,40,297
YBR128C,22,20,0,NA
YBR129C,97,83,3,4
YBR130C,178,153,7,11
YBR132C,307,235,21,41
YBR133C,447,408,10,16
YBR138C,146,129,1,8
YBR140C,1092,1071,NA,10
YBR141C,45,40,0,4
YBR143C,1028,897,5,83
YBR144C,0,0,0,0
YBR150C,218,209,0,5
YBR154C,308,249,17,24
YBR156C,99,91,0,8
YBR157C,41,35,NA,2
YBR162C,2509,1987,210,201
YBR164C,319,206,42,45
YBR166C,323,285,5,15
YBR167C,28,21,NA,3
YBR169C,492,435,0,34
YBR170C,212,178,3,17
YBR172C,324,274,13,24
YBR173C,406,259,11,88
YBR174C,16,0,2,14
YBR177C,966,834,1,76
YBR179C,260,245,6,3
YBR181C,6773,5880,86,341
YBR182C,91,67,NA,22
YBR182C-A,2,1,0,1
YBR185C,203,168,0,23
YBR188C,71,40,11,14
YBR193C,109,81,1,19
YBR195C,90,79,0,5
YBR196C,8504,7587,110,413
YBR197C,102,59,0,35
YBR198C,307,274,5,14
YBR201C-A,42,13,4,21
YBR204C,131,108,5,12
YBR208C,490,421,51,12
YBR211C,50,45,3,NA
YBR216C,153,131,2,15
YBR218C,2618,2473,9,74
YBR221C,1934,1242,315,252
YBR222C,686,589,12,36
YBR223C,110,104,0,4
YBR229C,610,570,0,22
YBR230C,545,369,14,87
YBR231C,52,45,1,2
YBR234C,744,657,17,34
YBR236C,256,225,5,13
YBR238C,201,192,NA,NA
YBR239C,118,105,5,6
YBR240C,30,24,NA,6
YBR241C,132,117,2,5
YBR243C,227,201,0,15
YBR245C,437,435,NA,NA
YBR247C,291,240,0,29
YBR248C,402,360,5,18
YBR249C,2168,1813,95,157
YBR254C,89,67,0,16
YBR255C-A,68,38,1,15
YBR256C,522,448,0,38
YBR258C,31,20,1,8
YBR260C,243,219,0,21
YBR261C,234,171,2,32
YBR262C,126,66,3,33
YBR264C,52,51,0,0
YBR269C,258,160,0,59
YBR270C,46,36,10,0
YBR272C,202,172,0,28
YBR273C,228,204,0,13
YBR275C,304,303,NA,NA
YBR276C,418,406,3,3
YBR277C,1,0,NA,1
YBR280C,116,107,0,7
YBR281C,270,245,0,12
YBR283C,1152,910,99,99
YBR288C,219,198,2,8
YBR291C,77,67,1,4
YBR292C,44,9,31,NA
YBR296C,18,14,0,4
YBR298C,81,56,17,0
YBL102W,290,218,16,29
YBL100W-C,2,0,1,1
YBL099W,4053,3154,562,208
YBL098W,382,353,NA,10
YBL097W,87,72,4,8
YBL095W,114,89,0,14
YBL092W,5447,3991,230,617
YBL090W,202,142,0,25
YBL089W,102,89,0,1
YBL085W,281,275,NA,4
YBL081W,225,188,24,9
YBL079W,856,830,7,NA
YBL071W-A,101,40,4,41
YBL068W,255,206,2,22
YBL063W,96,94,0,NA
YBL060W,88,84,0,0
YBL059W,39,36,NA,2
YBL058W,589,507,3,43
YBL056W,599,463,9,97
YBL054W,175,146,14,9
YBL050W,271,214,13,17
YBL048W,16,13,NA,0
YBL046W,96,74,NA,15
YBL043W,47,36,2,8
YBL041W,439,370,4,23
YBL039W-B,33,9,13,7
YBL038W,221,180,13,7
YBL037W,405,375,13,8
YBL032W,450,351,22,51
YBL031W,56,43,0,4
YBL029W,69,57,NA,7
YBL027W,4330,3363,58,242
YBL026W,255,123,41,53
YBL025W,52,29,3,18
YBL024W,573,558,5,NA
YBL020W,228,213,2,4
YBL019W,70,66,NA,3
YBL016W,191,159,NA,20
YBL015W,295,235,5,45
YBL011W,507,441,10,37
YBL009W,216,204,1,3
YBL008W,175,165,NA,7
YBL005W,127,117,2,8
YBL004W,1146,1115,NA,11
YBL002W,999,629,4,211
YBR003W,354,316,2,17
YBR005W,121,85,9,25
YBR006W,103,91,0,9
YBR010W,2347,1756,27,275
YBR016W,233,126,5,63
YBR020W,16,13,0,2
YBR021W,324,291,5,16
YBR022W,99,63,2,18
YBR024W,117,98,11,NA
YBR030W,117,106,2,3
YBR031W,8617,7783,0,458
YBR033W,34,32,NA,1
YBR038W,950,870,8,47
YBR039W,1069,819,34,136
YBR041W,416,374,1,22
YBR047W,15,12,0,3
YBR048W,4665,3438,0,821
YBR051W,3,3,NA,0
YBR054W,2110,1278,324,438
YBR056W,329,313,0,4
YBR056W-A,129,26,5,82
YBR071W,444,282,20,106
YBR072W,173,113,9,36
YBR073W,652,638,NA,8
YBR074W,471,453,NA,5
YBR076W,6,5,NA,1
YBR078W,6505,4882,499,791
YBR083W,280,259,8,NA
YBR084W,1208,1151,0,26
YBR085W,18,16,1,0
YBR087W,264,233,0,17
YBR094W,324,299,10,NA
YBR096W,426,339,13,27
YBR097W,235,224,NA,8
YBR098W,46,42,0,3
YBR103W,126,105,16,3
YBR104W,116,106,5,3
YBR106W,1409,1065,43,180
YBR108W,393,361,2,23
YBR110W,261,227,0,22
YBR111W-A,124,60,5,33
YBR114W,144,131,5,7
YBR118W,45548,41773,61,1464
YBR119W,77,55,2,12
YBR131W,52,50,0,2
YBR135W,270,171,27,40
YBR136W,356,334,NA,18
YBR137W,184,142,NA,27
YBR139W,629,566,NA,39
YBR141W-A,12,1,0,8
YBR142W,290,258,5,15
YBR145W,111,90,3,6
YBR146W,535,363,10,117
YBR147W,49,42,3,0
YBR148W,29,28,NA,1
YBR149W,1022,841,14,91
YBR151W,393,275,37,49
YBR152W,21,19,0,NA
YBR153W,61,44,3,8
YBR155W,111,104,2,3
YBR158W,507,374,60,56
YBR159W,609,530,10,35
YBR160W,301,245,10,25
YBR161W,145,125,7,9
YBR162W-A,262,113,0,67
YBR163W,123,114,4,1
YBR165W,75,56,1,14
YBR168W,71,57,10,NA
YBR171W,211,157,10,19
YBR175W,52,43,NA,6
YBR176W,92,78,5,1
YBR178W,8,8,0,0
YBR183W,236,192,11,16
YBR184W,31,29,NA,2
YBR186W,8,8,0,NA
YBR187W,352,244,27,59
YBR189W,4568,3488,74,385
YBR192W,240,172,29,27
YBR194W,76,41,10,15
YBR199W,430,357,27,25
YBR200W,207,171,3,26
YBR201W,98,66,15,8
YBR202W,507,445,11,26
YBR203W,326,274,13,31
YBR205W,532,506,7,NA
YBR207W,219,179,5,23
YBR210W,67,58,1,0
YBR212W,421,330,52,23
YBR213W,70,47,4,17
YBR214W,514,444,11,31
YBR215W,143,125,0,11
YBR217W,42,29,0,10
YBR225W,212,184,NA,24
YBR228W,28,22,NA,4
YBR230W-A,108,39,5,41
YBR233W,98,70,7,9
YBR233W-A,52,29,1,15
YBR235W,302,283,4,11
YBR237W,120,111,1,4
YBR242W,194,138,27,14
YBR244W,39,23,2,6
YBR246W,181,151,3,20
YBR250W,13,12,1,NA
YBR251W,233,188,5,22
YBR252W,262,204,0,21
YBR253W,86,53,12,4
YBR255W,76,71,0,4
YBR257W,64,54,4,1
YBR259W,100,93,1,3
YBR263W,741,701,3,9
YBR265W,205,171,0,15
YBR267W,199,174,0,12
YBR268W,173,105,0,39
YBR271W,80,66,3,3
YBR274W,149,139,4,0
YBR278W,59,46,0,9
YBR279W,179,164,3,5
YBR282W,195,126,8,37
YBR284W,68,61,4,NA
YBR285W,25,15,NA,9
YBR286W,2273,2084,10,63
YBR287W,543,472,13,30
YBR289W,355,348,0,1
YBR290W,149,132,0,7
YBR293W,69,62,NA,5
YBR294W,2,1,NA,0
YBR295W,200,188,NA,9
YBR297W,86,68,1,15
YBR299W,110,105,2,0
YCL064C,124,105,0,10
YCL061C,304,290,4,NA
YCL059C,575,457,9,53
YCL057C-A,708,499,20,19
YCL056C,66,58,NA,0
YCL052C,602,498,8,57
YCL050C,1303,1110,30,70
YCL049C,589,483,8,44
YCL047C,244,217,NA,9
YCL045C,1763,1617,38,39
YCL044C,505,405,5,68
YCL043C,7574,7180,NA,201
YCL041C,566,508,2,NA
YCL038C,326,303,4,8
YCL037C,1574,1120,63,339
YCL035C,1097,649,5,206
YCL033C,507,448,NA,36
YCL031C,453,394,5,29
YCL030C,1674,1577,15,38
YCL029C,218,156,0,58
YCL026C-B,194,164,4,9
YCL026C-A,10,3,NA,6
YCL025C,1678,1551,15,55
YCL017C,1358,1148,74,65
YCL016C,185,155,2,16
YCL012C,374,234,6,69
YCL011C,764,678,9,42
YCL010C,167,150,0,5
YCL009C,3787,2968,0,481
YCL008C,418,350,NA,40
YCL002C,168,131,1,22
YCR002C,874,714,45,35
YCR004C,1486,981,141,217
YCR005C,1932,1571,26,206
YCR007C,71,42,20,2
YCR009C,679,546,25,80
YCR010C,4,0,NA,3
YCR011C,1141,1069,27,10
YCR014C,93,90,NA,0
YCR015C,124,102,0,10
YCR017C,1598,1453,16,86
YCR020C,49,45,NA,1
YCR020C-A,293,160,0,101
YCR021C,46,37,2,4
YCR022C,12,4,1,7
YCR023C,447,366,7,59
YCR024C,415,373,0,28
YCR024C-B,3355,1638,0,1149
YCR024C-A,1670,318,973,NA
YCR025C,15,5,NA,9
YCR026C,566,479,8,60
YCR027C,214,92,29,82
YCR028C,344,285,10,37
YCR028C-A,1038,532,63,264
YCR030C,1512,1322,29,97
YCR031C,7907,5352,0,1357
YCR035C,354,284,0,37
YCR037C,687,646,NA,28
YCR038C,165,139,NA,7
YCR042C,762,738,0,NA
YCR043C,505,291,13,122
YCR044C,270,236,0,11
YCR045C,3,3,0,0
YCR046C,636,493,NA,97
YCR047C,291,205,6,62
YCR054C,193,173,3,8
YCR057C,941,866,19,31
YCR059C,474,386,0,52
YCR064C,4,4,NA,NA
YCR067C,1197,1107,29,31
YCR071C,345,238,17,41
YCR072C,394,341,4,24
YCR073C,428,408,4,5
YCR075C,156,127,0,17
YCR076C,151,134,0,9
YCR077C,1676,1534,27,78
YCR084C,2569,2116,200,172
YCR087C-A,185,135,6,23
YCR090C,378,290,14,22
YCR092C,298,277,0,16
YCR095C,163,143,3,7
YCR098C,51,42,NA,6
YCR102C,70,60,0,7
YCL063W,321,269,3,26
YCL058W-A,96,79,0,11
YCL057W,1551,1447,0,64
YCL055W,161,132,1,16
YCL054W,667,613,0,33
YCL051W,325,262,41,13
YCL048W,16,13,NA,3
YCL040W,4766,4181,NA,434
YCL039W,420,403,0,6
YCL036W,222,198,NA,15
YCL034W,465,424,4,19
YCL032W,222,188,2,15
YCL028W,1177,1040,13,60
YCL027W,29,27,0,1
YCL024W,427,409,7,NA
YCL021W-A,57,39,7,2
YCL018W,395,353,0,20
YCL014W,1041,988,18,26
YCL005W-A,710,433,20,137
YCL005W,184,152,2,22
YCL004W,206,181,8,7
YCL001W,492,385,4,43
YCR003W,403,318,2,40
YCR008W,910,611,177,101
YCR012W,37620,32073,354,3133
YCR016W,240,197,0,29
YCR019W,143,101,17,14
YCR020W-B,165,30,2,97
YCR032W,475,466,NA,4
YCR033W,597,545,NA,44
YCR034W,1842,1515,10,179
YCR036W,538,470,NA,28
YCR045W-A,139,34,52,48
YCR048W,378,300,6,51
YCR051W,499,346,3,108
YCR052W,896,688,14,127
YCR053W,3867,3527,63,83
YCR061W,782,633,4,123
YCR063W,171,56,2,95
YCR065W,620,481,36,83
YCR066W,127,107,0,9
YCR068W,229,203,20,0
YCR069W,610,432,72,65
YCR073W-A,454,390,0,26
YCR075W-A,122,87,0,11
YCR079W,205,169,0,23
YCR081W,378,375,0,NA
YCR082W,502,349,12,63
YCR083W,249,184,0,41
YCR085W,5,4,1,NA
YCR086W,147,124,3,NA
YCR088W,2578,2269,46,155
YCR089W,339,332,NA,2
YCR091W,152,125,11,10
YCR093W,3128,3058,6,34
YCR094W,471,391,6,52
YCR095W-A,87,4,7,74
YCR097W,0,0,0,0
YCR105W,26,23,NA,2
YCR106W,202,196,0,NA
YCR107W,135,97,NA,31
YDL243C,70,43,18,8
YDL239C,55,51,NA,0
YDL238C,98,90,1,5
YDL235C,524,291,74,94
YDL234C,258,231,18,3
YDL231C,247,243,NA,1
