trx,cds,utr5,utr3,
YBR112C,1352,1320,NA,21
YBR115C,1683,1625,NA,41
YBR120C,160,102,17,11
YBR121C,2411,2266,69,NA
YBR122C,381,245,11,94
YBR123C,203,189,4,0
YBR125C,210,156,21,23
YBR126C,1461,1214,73,106
YBR127C,2168,1894,32,176
YBR128C,22,20,0,NA
YBR129C,191,159,6,8
YBR130C,276,239,7,17
YBR132C,302,238,21,39
YBR133C,493,445,22,15
YBR138C,221,195,1,21
YBR140C,1434,1412,NA,14
YBR141C,72,67,0,2
YBR143C,1368,1215,9,94
YBR144C,1,0,NA,1
YBR150C,351,342,1,2
YBR154C,497,359,27,61
YBR156C,152,132,0,16
YBR157C,36,30,NA,2
YBR162C,2681,2129,211,209
YBR164C,355,243,38,40
YBR166C,391,358,0,14
YBR167C,59,38,NA,12
YBR169C,637,557,1,55
YBR170C,296,256,6,21
YBR172C,603,530,28,19
YBR173C,375,248,0,88
YBR174C,6,1,2,3
YBR177C,818,696,1,72
YBR179C,338,314,9,6
YBR181C,6353,5582,74,255
YBR182C,196,155,NA,35
YBR182C-A,7,2,1,3
YBR185C,263,207,0,31
YBR188C,141,69,12,36
YBR193C,156,105,0,37
YBR195C,116,95,0,12
YBR196C,7941,6974,95,540
YBR197C,210,119,0,79
YBR198C,447,415,5,10
YBR201C-A,16,7,0,6
YBR204C,187,151,5,18
YBR208C,885,664,189,15
YBR211C,76,72,1,NA
YBR216C,309,255,2,36
YBR218C,2134,2022,6,72
YBR221C,1750,1190,269,190
YBR222C,568,495,7,34
YBR223C,219,190,0,27
YBR229C,556,531,0,13
YBR230C,394,277,8,51
YBR231C,72,62,5,3
YBR234C,648,573,18,25
YBR236C,294,257,9,16
YBR238C,277,271,NA,NA
YBR239C,167,148,9,5
YBR240C,41,34,NA,6
YBR241C,176,165,0,4
YBR243C,205,178,1,15
YBR245C,528,526,NA,NA
YBR247C,444,383,0,37
YBR248C,465,404,8,29
YBR249C,1816,1520,97,126
YBR254C,112,80,0,19
YBR255C-A,71,41,1,19
YBR256C,499,438,0,31
YBR258C,45,34,1,3
YBR260C,290,261,0,21
YBR261C,230,173,2,32
YBR262C,268,147,7,78
YBR264C,81,68,0,1
YBR269C,252,149,0,62
YBR270C,137,116,16,0
YBR272C,248,206,0,36
YBR273C,213,192,1,9
YBR275C,442,440,NA,NA
YBR276C,433,399,6,5
YBR277C,1,1,NA,0
YBR280C,132,118,0,10
YBR281C,295,279,1,12
YBR283C,1084,916,77,60
YBR288C,331,301,2,15
YBR291C,230,200,2,7
YBR292C,69,4,60,NA
YBR296C,17,15,0,2
YBR298C,372,284,73,11
YBL102W,405,306,29,31
YBL100W-C,5,0,1,3
YBL099W,4472,3482,602,239
YBL098W,148,142,NA,3
YBL097W,139,119,2,12
YBL095W,113,83,0,18
YBL092W,4572,3454,184,473
YBL090W,208,159,0,26
YBL089W,181,165,3,4
YBL085W,399,387,NA,5
YBL081W,320,260,37,12
YBL079W,1092,1061,15,NA
YBL071W-A,257,98,6,112
YBL068W,322,288,2,16
YBL063W,128,128,0,NA
YBL060W,266,259,0,1
YBL059W,83,79,NA,2
YBL058W,700,590,2,56
YBL056W,838,640,10,156
YBL054W,299,258,12,13
YBL050W,397,328,26,21
YBL048W,15,10,NA,4
YBL046W,125,106,NA,14
YBL043W,263,164,35,49
YBL041W,596,506,6,17
YBL039W-B,64,20,19,14
YBL038W,295,230,14,18
YBL037W,567,504,21,28
YBL032W,415,335,20,42
YBL031W,63,53,1,8
YBL029W,73,61,NA,12
YBL027W,4786,3652,52,466
YBL026W,262,125,36,63
YBL025W,94,47,2,39
YBL024W,805,782,3,NA
YBL020W,181,166,6,7
YBL019W,124,112,NA,8
YBL016W,310,266,NA,30
YBL015W,316,276,13,23
YBL011W,570,502,11,41
YBL009W,243,222,3,10
YBL008W,175,170,NA,4
YBL005W,246,230,1,14
YBL004W,1425,1400,NA,8
YBL002W,1771,1185,7,349
YBR003W,370,343,3,12
YBR005W,193,144,7,33
YBR006W,136,114,11,8
YBR010W,4114,3073,77,443
YBR016W,281,155,8,70
YBR020W,70,66,1,2
YBR021W,528,478,11,27
YBR022W,106,73,2,21
YBR024W,108,90,10,NA
YBR030W,283,253,6,9
YBR031W,9111,8168,0,433
YBR033W,139,133,NA,4
YBR038W,718,674,3,23
YBR039W,1463,1155,52,150
YBR041W,419,380,6,18
YBR047W,22,18,0,0
YBR048W,4102,3142,0,589
YBR051W,1,1,NA,0
YBR054W,1937,1182,320,351
YBR056W,522,502,0,10
YBR056W-A,402,96,9,248
YBR071W,765,489,34,197
YBR072W,407,290,19,60
YBR073W,904,880,NA,18
YBR074W,608,589,NA,8
YBR076W,6,4,NA,2
YBR078W,7169,5345,601,865
YBR083W,344,315,22,NA
YBR084W,1125,1052,0,33
YBR085W,7,7,0,0
YBR087W,247,226,0,5
YBR094W,308,290,9,NA
YBR096W,394,315,13,34
YBR097W,266,255,NA,5
YBR098W,121,111,0,4
YBR103W,227,194,21,8
YBR104W,108,95,3,3
YBR106W,811,617,20,112
YBR108W,420,395,2,19
YBR110W,238,214,1,15
YBR111W-A,127,61,4,40
YBR114W,243,230,4,5
YBR118W,39893,36608,58,1324
YBR119W,93,75,1,5
YBR131W,122,116,0,3
YBR135W,275,185,23,20
YBR136W,383,367,NA,15
YBR137W,139,115,NA,18
YBR139W,910,807,NA,56
YBR141W-A,53,4,0,49
YBR142W,432,391,1,30
YBR145W,131,109,3,8
YBR146W,476,351,20,78
YBR147W,46,37,7,0
YBR148W,19,17,NA,1
YBR149W,1211,1003,13,106
YBR151W,390,298,29,28
YBR152W,57,53,3,NA
YBR153W,155,108,7,25
YBR155W,157,131,4,9
YBR158W,955,733,131,68
YBR159W,586,510,13,31
YBR160W,374,294,23,37
YBR161W,184,136,17,14
YBR162W-A,228,86,0,31
YBR163W,195,188,4,1
YBR165W,135,112,7,8
YBR168W,145,111,31,NA
YBR171W,234,177,8,27
YBR175W,154,142,NA,7
YBR176W,76,59,6,8
YBR178W,3,2,0,0
YBR183W,362,320,17,1
YBR184W,79,68,NA,9
YBR186W,2,2,0,NA
YBR187W,308,220,24,43
YBR189W,4668,3647,68,357
