Geneid,xrn1_1
YAL012W,18615
YAL069W,2
YAL068W-A,0
YAL068C,312
YAL067W-A,0
YAL067C,1147
YAL066W,16
YAL065C,279
YAL064W-B,438
YAL064C-A,138
YAL064W,210
YAL063C-A,235
YAL063C,2144
YAL062W,381
YAL061W,1406
YAL060W,8593
YAL059C-A,6
YAL059W,3626
YAL058W,2969
YAL056C-A,50
YAL056W,8274
YAL055W,665
YAL054C,1737
YAL053W,17936
YAL051W,6719
YAL049C,4165
YAL048C,5100
YAL047W-A,40
YAL047C,2166
YAL046C,1106
YAL045C,19
YAL044W-A,1725
YAL044C,4943
YAL043C,7903
YAL042C-A,10
YAL042W,9997
YAL041W,11277
YAL040C,25067
YAL039C,3814
YAL038W,55609
YAL037C-B,10
YAL037C-A,8
YAL037W,1054
YAL036C,5356
YAL035W,12549
YAL034C-B,5
YAL034W-A,1604
YAL034C,5655
YAL033W,2182
YAL032C,3117
YAL031W-A,19
YAL031C,5184
YAL030W,1759
YAL029C,12392
YAL028W,2242
YAL027W,1592
YAL026C-A,1027
YAL026C,9788
YAL025C,4510
YAL024C,8488
YAL023C,19398
YAL022C,7818
YAL021C,15615
YAL020C,3028
YAL019W-A,55
YAL019W,13788
YAL018C,32
YAL017W,12342
YAL016C-B,4
YAL016C-A,20
YAL016W,9936
YAL015C,1807
YAL014C,6132
YAL013W,2711
YAL011W,1783
YAL010C,3570
YAL009W,2337
YAL008W,1225
YAL007C,5298
YAL005C,20632
YAL004W,6
YAL003W,12830
YAL002W,7807
YAL001C,5427
YAR002W,6106
YAR002C-A,7197
YAR003W,4392
YAR007C,5651
YAR008W,2091
YAR009C,4498
YAR010C,266
YAR014C,10598
YAR015W,4851
YAR018C,3185
YAR019C,5240
YAR019W-A,234
YAR020C,517
YAR023C,1265
YAR027W,3430
YAR028W,2085
YAR029W,722
YAR030C,196
YAR031W,1167
YAR033W,1643
YAR035W,834
YAR035C-A,3
YAR042W,10155
YAR047C,11
YAR050W,1034
YAR053W,46
YAR060C,3
YAR064W,7
YAR066W,191
YAR068W,570
YAR069C,5
YAR070C,5
YAR071W,670
YAR073W,88
YAR075W,14
Q0010,18
Q0017,3
Q0032,1
Q0045,17303
Q0070,14181
Q0065,12257
Q0060,6001
Q0055,12297
Q0050,14669
Q0075,280
Q0080,10
Q0085,166
Q0092,0
Q0105,6652
Q0120,6717
Q0115,4319
Q0110,3785
Q0130,3199
Q0140,50
Q0142,2
Q0143,0
Q0144,0
Q0160,336
Q0182,78
Q0250,3681
Q0255,351
Q0275,6732
Q0297,855
YER054C,1109
YER114C,10264
YER169W,5953
YEL077C,4021
YEL077W-A,8
YEL076C-A,68
YEL076C,227
YEL075W-A,256
YEL075C,38
YEL074W,358
YEL073C,705
YEL072W,2481
YEL071W,11366
YEL070W,255
YEL069C,31
YEL068C,1256
YEL067C,751
YEL066W,1236
YEL065W,7837
YEL064C,4236
YEL063C,18940
YEL062W,4734
YEL061C,6381
YEL060C,8429
YEL059C-A,1020
YEL059W,56
YEL058W,9298
YEL057C,624
YEL056W,4876
YEL055C,11886
YEL054C,10296
YEL053W-A,4
YEL053C,6699
YEL052W,5269
YEL051W,3895
YEL050W-A,5
YEL050C,4462
YEL049W,214
YEL048C,1689
YEL047C,4601
YEL046C,26266
YEL045C,2005
YEL044W,1772
YEL043W,9192
YEL042W,10696
YEL041W,1445
YEL040W,28990
YEL039C,1513
YEL038W,2354
YEL037C,7624
YEL036C,7849
YEL035C,9
YEL034C-A,21
YEL034W,27631
YEL033W,10603
YEL032W,13799
YEL032C-A,2
YEL031W,21918
YEL030C-A,54
YEL030W,2665
YEL029C,3699
YEL028W,1236
YEL027W,7469
YEL026W,6135
YEL025C,9912
YEL024W,7577
YEL023C,2791
YEL022W,11237
YEL021W,3372
YEL020C-B,1
YEL020W-A,2984
YEL020C,3278
YEL019C,1430
YEL018C-A,3
YEL018W,1441
YEL017C-A,2804
YEL017W,4468
YEL016C,3795
YEL015W,7759
YEL014C,3
YEL013W,12192
YEL012W,1255
YEL011W,5598
YEL010W,3
YEL009C-A,161
YEL009C,18536
YEL008W,25
YEL008C-A,624
YEL007W,17383
YEL006W,5969
YEL005C,2247
YEL004W,1936
YEL003W,2114
YEL002C,9116
YEL001C,6563
YER001W,12938
YER002W,2957
YER003C,5763
YER004W,4495
YER005W,8878
YER006W,6666
YER006C-A,112
YER007W,819
YER007C-A,2707
YER008C,8935
YER009W,4357
YER010C,3129
YER011W,156
YER012W,4426
YER013W,5296
YER014W,1742
YER014C-A,119
YER015W,2978
YER016W,3136
YER017C,8842
YER018C,2039
YER019W,7210
YER019C-A,3001
YER020W,5318
YER021W,10002
YER022W,4984
YER023W,6154
YER023C-A,3
YER024W,4326
YER025W,13140
YER026C,6016
YER027C,4438
YER028C,2495
YER029C,1798
YER030W,2001
YER031C,2355
YER032W,7008
YER033C,6565
YER034W,2081
YER035W,5588
YER036C,17913
YER037W,3300
YER038C,2405
YER038W-A,245
YER039C,1706
YER039C-A,654
YER040W,8666
YER041W,3709
YER042W,1396
YER043C,20806
YER044C,2965
YER044C-A,1311
YER045C,4617
YER046W,1131
YER046W-A,35
YER047C,5141
YER048C,3706
YER048W-A,3603
YER049W,8114
YER050C,2988
YER051W,2575
YER052C,14948
YER053C,4837
YER053C-A,2616
YER055C,13131
YER056C,24157
YER056C-A,7081
YER057C,2840
YER058W,572
YER059W,4392
YER060W,1857
YER060W-A,440
YER061C,2442
YER062C,2493
YER063W,2037
YER064C,10909
YER065C,1925
YER066W,1476
YER066C-A,37
YER067W,4363
YER067C-A,8
YER068W,11677
YER068C-A,37
YER069W,12229
YER070W,27965
YER071C,916
YER072W,5827
YER073W,17094
YER074W,7499
YER074W-A,2251
YER075C,7604
YER076C,2848
YER076W-A,127
YER077C,6735
YER078C,2804
YER078W-A,177
YER079W,857
YER079C-A,4
YER080W,4573
YER081W,7145
YER082C,6200
YER083C,5357
YER084W,259
YER084W-A,1
YER085C,62
YER086W,10352
YER087W,2111
YER087C-A,111
YER087C-B,3976
YER088C,16683
YER088C-A,4885
YER088W-B,6
YER089C,13618
YER090W,7600
YER090C-A,7
YER091C,33909
YER091C-A,5
YER092W,2515
YER093C,6359
YER093C-A,1351
YER094C,7789
YER095W,8011
YER096W,1121
YER097W,1027
YER098W,2321
YER099C,5547
YER100W,2793
YER101C,2163
YER102W,6376
YER103W,2799
YER104W,2104
YER105C,14042
YER106W,149
YER107C,4251
YER107W-A,1
YER109C,6661
YER110C,21503
YER111C,11405
YER112W,4200
YER113C,7162
YER115C,2016
YER116C,2123
YER117W,7340
YER118C,6286
YER119C,2961
YER119C-A,29
YER120W,10195
YER121W,266
YER122C,11760
YER123W,7929
YER124C,15973
YER125W,19863
YER126C,5614
YER127W,5608
YER128W,946
YER129W,14039
YER130C,5419
YER131W,10150
YER132C,13984
YER133W,6992
YER133W-A,1
YER134C,2642
YER135C,31
YER136W,10676
YER137C,708
YER137W-A,4
YER138C,1485
YER137C-A,206
YER138W-A,616
YER139C,2654
YER140W,4218
YER141W,8346
YER142C,795
YER143W,4330
YER144C,7929
YER145C,9567
YER145C-A,23
YER146W,2434
YER147C,2782
YER147C-A,6
YER148W,3967
YER148W-A,14
YER149C,2547
YER150W,2133
YER151C,9378
YER152C,4763
YER152W-A,3
YER153C,1346
YER154W,5970
YER155C,20200
YER156C,7052
YER157W,6053
YER158C,3644
YER158W-A,32
YER159C,2549
YER160C,2618
YER159C-A,105
YER161C,4262
YER162C,2155
YER163C,2373
YER164W,10292
YER165W,15390
YER165C-A,2
YER166W,16055
YER167W,10653
YER168C,5576
YER170W,1810
YER171W,6313
YER172C,12797
YER172C-A,3
YER173W,4614
YER174C,3326
YER175C,3591
YER175W-A,254
YER176W,5435
YER177W,13957
YER178W,11052
YER179W,177
YER180C,2913
YER180C-A,481
YER181C,74
YER182W,1721
YER183C,2307
YER184C,6037
YER185W,905
YER186C,3620
YER187W,317
YER188W,408
YER188C-A,236
YER189W,285
YER190W,3368
YER190C-A,0
YER190C-B,10
YJL091C,6060
YJL026W,9814
YJL026C-A,4
YJR125C,4585
YJL225C,1296
YJL225W-A,1
YJL223C,956
YJL222W-B,1
YJL222W-A,3
YJL222W,17146
YJL221C,883
YJL220W,1
YJL219W,110
YJL218W,229
YJL217W,4514
YJL216C,1313
YJL215C,495
YJL214W,641
YJL213W,4087
YJL212C,11249
YJL211C,231
YJL210W,3451
YJL209W,6560
YJL208C,5291
YJL207C,13426
YJL206C,4663
YJL205C,959
YJL204C,3784
YJL203W,1733
YJL202C,18
YJL201W,9182
YJL200C,10710
YJL199C,537
YJL198W,8919
YJL197W,8292
YJL197C-A,1
YJL196C,2143
YJL195C,34
YJL194W,7840
YJL193W,4588
YJL192C,5726
YJL191W,10265
YJL190C,8218
YJL189W,3790
YJL188C,8
YJL187C,7245
YJL186W,10602
YJL185C,1325
YJL184W,2102
YJL183W,6994
YJL182C,4
YJL181W,4746
YJL180C,2525
YJL179W,2398
YJL178C,4669
YJL177W,9337
YJL176C,6890
YJL175W,7
YJL174W,10408
YJL173C,1553
YJL172W,12213
YJL171C,8620
YJL170C,317
YJL169W,13
YJL168C,8102
YJL167W,11347
YJL166W,3328
YJL165C,8042
YJL164C,3627
YJL163C,1867
YJL162C,3521
YJL161W,670
YJL160C,116
YJL159W,52589
YJL158C,16200
YJL157C,16034
YJL156W-A,114
YJL156C,7143
YJL155C,2802
YJL154C,10184
YJL153C,1659
YJL152W,55
YJL151C,3416
YJL150W,343
YJL149W,5843
YJL148W,3738
YJL147C,2301
YJL146W,5615
YJL145W,2915
YJL144W,797
YJL143W,4940
YJL142C,935
YJL141C,8903
YJL140W,4425
YJL139C,4964
YJL138C,12698
YJL137C,2615
YJL136W-A,2
YJL136C,5587
YJL135W,749
YJL134W,5791
YJL133C-A,1174
YJL133W,9452
YJL132W,3382
YJL131C,1220
YJL130C,42698
YJL129C,12882
YJL128C,9475
YJL127W-A,4
YJL127C-B,1797
YJL127C,5307
YJL126W,1561
YJL125C,4052
YJL124C,4161
YJL123C,4356
YJL122W,3497
YJL121C,4674
YJL120W,41
YJL119C,473
YJL118W,4675
YJL117W,5905
YJL116C,1665
YJL115W,1232
YJL114W,453
YJL113W,4690
YJL112W,6341
YJL111W,7650
YJL110C,12539
YJL109C,23218
YJL108C,2259
YJL107C,3377
YJL106W,2371
YJL105W,482
YJL104W,3290
YJL103C,3765
YJL102W,2398
YJL101C,8389
YJL100W,4604
YJL099W,4575
YJL098W,12137
YJL097W,2810
YJL096W,2919
YJL095W,6580
YJL094C,8037
YJL093C,7786
YJL092W,7251
YJL090C,6686
YJL089W,1645
YJL088W,1899
YJL087C,5602
YJL086C,339
YJL085W,3939
YJL084C,9571
YJL083W,4338
YJL082W,8627
YJL081C,5318
YJL080C,15819
YJL079C,5720
YJL078C,24098
YJL077W-B,278
YJL077C,72
YJL077W-A,438
YJL076W,12559
YJL075C,0
YJL074C,5436
YJL073W,5227
YJL072C,2718
YJL071W,4764
YJL070C,3604
YJL069C,6277
YJL068C,2712
YJL067W,6
YJL066C,2832
YJL065C,4319
YJL064W,9
YJL063C,3903
YJL062W-A,1917
YJL062W,8601
YJL061W,8194
YJL060W,5115
YJL059W,2155
YJL058C,3465
YJL057C,4047
YJL056C,5684
YJL055W,3645
YJL054W,5767
YJL053W,3455
YJL052C-A,1
YJL052W,1286
YJL051W,9991
YJL050W,8909
YJL049W,2977
YJL048C,4776
YJL047C-A,319
YJL047C,5003
YJL046W,3572
YJL045W,206
YJL044C,4526
YJL043W,241
YJL042W,9556
YJL041W,7977
YJL039C,19736
YJL038C,64
YJL037W,66
YJL036W,4016
YJL035C,972
YJL034W,27227
YJL033W,7076
YJL032W,1
YJL031C,1980
YJL030W,1349
YJL029C,8719
YJL028W,7
YJL027C,54
YJL025W,5033
YJL024C,2770
YJL023C,1763
YJL022W,110
YJL020C,11155
YJL020W-A,1
YJL019W,4969
YJL016W,6015
YJL015C,12
YJL014W,9659
YJL013C,3295
YJL012C,9559
YJL011C,1253
YJL010C,5736
YJL009W,5
YJL008C,9119
YJL007C,6
YJL006C,2352
YJL005W,13147
YJL004C,3569
YJL003W,807
YJL002C,12631
YJL001W,5876
YJR001W,6330
YJR002W,5767
YJR003C,5851
YJR004C,7941
YJR005W,7454
YJR005C-A,39
YJR006W,5175
YJR007W,9430
YJR008W,2246
YJR009C,19632
YJR010W,5006
YJR010C-A,1484
YJR011C,910
YJR012C,1049
YJR013W,5222
YJR014W,3340
YJR015W,13330
YJR016C,28179
YJR017C,2774
YJR018W,42
YJR019C,2794
YJR020W,90
YJR021C,3658
YJR022W,1399
YJR023C,133
YJR024C,4565
YJR025C,1767
YJR027W,8296
YJR026W,1144
YJR029W,8925
YJR028W,2988
YJR030C,4874
YJR031C,8681
YJR032W,3695
YJR033C,7864
YJR034W,720
YJR035W,3950
YJR036C,2238
YJR037W,2
YJR038C,57
YJR039W,6100
YJR040W,4939
YJR041C,10643
YJR042W,6975
YJR043C,2774
YJR044C,3455
YJR045C,23815
YJR046W,6138
YJR047C,49
YJR048W,5137
YJR049C,2758
YJR050W,2337
YJR051W,2741
YJR052W,3028
YJR053W,3335
YJR054W,4918
YJR055W,822
YJR056C,4154
YJR057W,2482
YJR058C,1677
YJR059W,5375
YJR060W,5482
YJR061W,2026
YJR062C,4748
YJR063W,3936
YJR064W,8351
YJR065C,8999
YJR066W,13112
YJR067C,934
YJR068W,4188
YJR069C,2606
YJR070C,6997
YJR071W,16
YJR072C,3981
YJR073C,4591
YJR074W,2553
YJR075W,5186
YJR076C,6003
YJR077C,8160
YJR078W,957
YJR079W,227
YJR080C,3311
YJR082C,2344
YJR083C,2479
YJR084W,2914
YJR085C,2831
YJR086W,1003
YJR087W,475
YJR088C,4017
YJR089W,4604
YJR090C,10928
YJR091C,16615
YJR092W,7986
YJR093C,3704
YJR094C,927
YJR094W-A,5661
YJR095W,259
YJR096W,2018
YJR097W,2408
YJR098C,2549
YJR099W,2079
YJR100C,3328
YJR101W,3883
YJR102C,1735
YJR103W,5659
YJR104C,7130
YJR105W,9683
YJR106W,4784
YJR107W,2355
YJR108W,687
YJR109C,20192
YJR110W,3232
YJR111C,4999
YJR112W,1880
YJR112W-A,1318
YJR113C,5181
YJR114W,24
YJR115W,1141
YJR116W,3009
YJR117W,12234
YJR118C,3097
YJR119C,2959
YJR120W,1067
YJR121W,28850
YJR122W,3923
YJR123W,18371
YJR124C,7387
YJR126C,5605
YJR127C,10202
YJR128W,114
YJR129C,1881
YJR130C,4185
YJR131W,4365
YJR132W,11713
YJR133W,2372
YJR134C,4413
