Geneid,WT_1
YER112W,1995
YER113C,2826
YER115C,483
YER116C,456
YER117W,7619
YER118C,2712
YER119C,1543
YER119C-A,7
YER120W,7086
YER121W,42
YER122C,4929
YER123W,2016
YER124C,4124
YER125W,9086
YER126C,2841
YER127W,2192
YER128W,364
YER129W,3375
YER130C,3035
YER131W,8357
YER132C,5583
YER133W,3722
YER133W-A,0
YER134C,1176
YER135C,5
YER136W,4278
YER137C,172
YER137W-A,7
YER138C,2134
YER137C-A,319
YER138W-A,518
YER139C,450
YER140W,1093
YER141W,5319
YER142C,240
YER143W,1060
YER144C,2515
YER145C,3985
YER145C-A,17
YER146W,1421
YER147C,861
YER147C-A,0
YER148W,2550
YER148W-A,5
YER149C,946
YER150W,809
YER151C,3514
YER152C,2888
YER152W-A,5
YER153C,500
YER154W,2253
YER155C,11219
YER156C,3574
YER157W,1726
YER158C,1634
YER158W-A,22
YER159C,1132
YER160C,3557
YER159C-A,206
YER161C,1188
YER162C,418
YER163C,890
YER164W,4250
YER165W,15460
YER165C-A,1
YER166W,7330
YER167W,3346
YER168C,1430
YER170W,466
YER171W,2114
YER172C,4494
YER172C-A,0
YER173W,632
YER174C,1374
YER175C,566
YER175W-A,30
YER176W,1701
YER177W,10622
YER178W,11491
YER179W,69
YER180C,531
YER180C-A,112
YER181C,19
YER182W,596
YER183C,864
YER184C,670
YER185W,90
YER186C,900
YER187W,48
YER188W,166
YER188C-A,78
YER189W,42
YER190W,1013
YER190C-A,0
YER190C-B,17
YJL091C,2652
YJL026W,9896
YJL026C-A,0
YJR125C,1819
YJL225C,260
YJL225W-A,0
YJL223C,211
YJL222W-B,0
YJL222W-A,0
YJL222W,3623
YJL221C,170
YJL220W,0
YJL219W,43
YJL218W,149
YJL217W,2984
YJL216C,135
YJL215C,57
YJL214W,149
YJL213W,713
YJL212C,5433
YJL211C,93
YJL210W,1296
YJL209W,1181
YJL208C,2097
YJL207C,4659
YJL206C,860
YJL205C,735
YJL204C,953
YJL203W,478
YJL202C,8
YJL201W,1640
YJL200C,5046
YJL199C,115
YJL198W,3722
YJL197W,2781
YJL197C-A,0
YJL196C,2000
YJL195C,4
YJL194W,1128
YJL193W,1359
YJL192C,3522
YJL191W,5638
YJL190C,8349
YJL189W,3980
YJL188C,12
YJL187C,1975
YJL186W,5305
YJL185C,286
YJL184W,870
YJL183W,3108
YJL182C,1
YJL181W,739
YJL180C,1033
YJL179W,1161
YJL178C,2329
YJL177W,7814
YJL176C,2462
YJL175W,3
YJL174W,4200
YJL173C,1051
YJL172W,9966
YJL171C,5243
YJL170C,152
YJL169W,13
YJL168C,1565
YJL167W,6994
YJL166W,1961
YJL165C,2612
YJL164C,1004
YJL163C,377
YJL162C,662
YJL161W,123
YJL160C,54
YJL159W,29456
YJL158C,13800
YJL157C,3728
YJL156W-A,38
YJL156C,1972
YJL155C,596
YJL154C,3201
YJL153C,203
YJL152W,11
YJL151C,2639
YJL150W,73
YJL149W,1022
YJL148W,2098
YJL147C,426
YJL146W,833
YJL145W,1672
YJL144W,110
YJL143W,3396
YJL142C,179
YJL141C,1816
YJL140W,2349
YJL139C,1690
YJL138C,10697
YJL137C,866
YJL136W-A,4
YJL136C,5449
YJL135W,166
YJL134W,1865
YJL133C-A,374
YJL133W,2658
YJL132W,612
YJL131C,404
YJL130C,30469
YJL129C,4637
YJL128C,2939
YJL127W-A,1
YJL127C-B,632
YJL127C,1098
YJL126W,370
YJL125C,1419
YJL124C,1906
YJL123C,2278
YJL122W,1855
YJL121C,4986
YJL120W,7
YJL119C,166
YJL118W,1001
YJL117W,3206
YJL116C,462
YJL115W,329
YJL114W,60
YJL113W,442
YJL112W,1233
YJL111W,4392
YJL110C,1812
YJL109C,10376
YJL108C,364
YJL107C,418
YJL106W,173
YJL105W,52
YJL104W,1927
YJL103C,630
YJL102W,809
YJL101C,4594
YJL100W,972
YJL099W,1132
YJL098W,3852
YJL097W,2125
YJL096W,1118
YJL095W,2567
YJL094C,2957
YJL093C,2144
YJL092W,2540
YJL090C,1302
YJL089W,123
YJL088W,367
YJL087C,1608
YJL086C,96
YJL085W,1023
YJL084C,2311
YJL083W,941
YJL082W,2238
YJL081C,1937
YJL080C,13407
YJL079C,3124
YJL078C,12911
YJL077W-B,53
YJL077C,16
YJL077W-A,145
YJL076W,5508
YJL075C,1
YJL074C,2039
YJL073W,1925
YJL072C,652
YJL071W,856
YJL070C,598
YJL069C,2308
YJL068C,1647
YJL067W,16
YJL066C,759
YJL065C,840
YJL064W,4
YJL063C,1370
YJL062W-A,1428
YJL062W,3386
YJL061W,2365
YJL060W,2386
YJL059W,708
YJL058C,774
YJL057C,729
YJL056C,1487
YJL055W,1819
YJL054W,2167
YJL053W,984
YJL052C-A,1
YJL052W,3395
YJL051W,2041
YJL050W,5389
YJL049W,530
YJL048C,2092
YJL047C-A,330
YJL047C,1363
YJL046W,1060
YJL045W,112
YJL044C,1321
YJL043W,34
YJL042W,5899
YJL041W,3744
YJL039C,7005
YJL038C,42
YJL037W,22
YJL036W,1090
YJL035C,520
YJL034W,17521
YJL033W,3328
YJL032W,3
YJL031C,749
