trx,cds,utr5,utr3,
YBR121C,868,827,5,NA
YBR122C,191,149,1,0
YBR123C,108,106,0,0
YBR125C,49,40,2,0
YBR126C,959,901,2,1
YBR127C,1000,929,1,1
YBR128C,4,4,0,NA
YBR129C,94,86,0,1
YBR130C,146,140,0,0
YBR132C,84,78,2,0
YBR133C,67,65,0,0
YBR138C,102,99,0,0
YBR140C,105,103,NA,0
YBR141C,32,31,0,0
YBR143C,639,602,0,0
YBR144C,0,0,0,0
YBR150C,55,55,0,0
YBR154C,326,294,0,0
YBR156C,50,49,0,0
YBR157C,6,4,NA,0
YBR162C,715,666,14,0
YBR164C,162,122,5,0
YBR166C,178,162,0,0
YBR167C,37,33,NA,0
YBR169C,214,203,0,0
YBR170C,153,144,0,0
YBR172C,146,141,0,0
YBR173C,242,227,0,0
YBR174C,1,0,1,0
YBR177C,438,412,0,0
YBR179C,108,103,1,1
YBR181C,2584,2383,0,1
YBR182C,31,30,NA,0
YBR182C-A,0,0,0,0
YBR185C,108,95,0,0
YBR188C,105,81,2,0
YBR193C,63,61,0,0
YBR195C,39,35,0,1
YBR196C,3154,2979,1,3
YBR197C,54,50,0,0
YBR198C,185,176,0,1
YBR201C-A,13,9,0,0
YBR204C,61,58,0,0
YBR208C,111,88,19,1
YBR211C,30,29,0,NA
YBR216C,51,48,0,0
YBR218C,487,463,2,0
YBR221C,588,533,17,1
YBR222C,213,203,0,1
YBR223C,31,27,0,0
YBR229C,133,130,0,0
YBR230C,202,165,0,0
YBR231C,60,51,0,0
YBR234C,411,390,0,0
YBR236C,164,144,0,0
YBR238C,84,82,NA,NA
YBR239C,51,48,1,0
YBR240C,7,7,NA,0
YBR241C,45,41,0,0
YBR243C,48,44,0,0
YBR245C,299,299,NA,NA
YBR247C,227,217,0,0
YBR248C,291,272,0,0
YBR249C,1133,1091,1,0
YBR254C,57,52,0,0
YBR255C-A,39,24,0,0
YBR256C,188,172,0,0
YBR258C,34,27,1,0
YBR260C,134,130,0,0
YBR261C,142,133,0,0
YBR262C,102,79,0,0
YBR264C,41,40,0,0
YBR269C,151,131,0,0
YBR270C,6,6,0,0
YBR272C,68,67,0,0
YBR273C,134,125,0,0
YBR275C,80,80,NA,NA
YBR276C,28,25,2,0
YBR277C,0,0,0,0
YBR280C,44,42,0,0
YBR281C,91,86,0,0
YBR283C,363,341,4,1
YBR288C,131,118,0,0
YBR291C,52,49,0,0
YBR292C,4,1,3,NA
YBR296C,2,2,0,0
YBR298C,2,1,1,0
YBL102W,105,91,2,0
YBL100W-C,1,0,0,0
YBL099W,1562,1464,40,7
YBL098W,49,45,NA,0
YBL097W,36,33,0,0
YBL095W,18,15,0,0
YBL092W,1757,1510,12,2
YBL090W,104,93,2,0
YBL089W,30,29,0,0
YBL085W,123,122,NA,0
YBL081W,197,193,0,0
YBL079W,148,142,0,NA
YBL071W-A,105,85,0,0
YBL068W,158,146,1,0
YBL063W,21,19,0,NA
YBL060W,38,35,0,0
YBL059W,47,44,NA,0
YBL058W,454,435,0,0
YBL056W,222,199,0,0
YBL054W,112,107,1,0
YBL050W,251,228,0,0
YBL048W,0,0,0,0
YBL046W,82,79,NA,0
YBL043W,15,10,3,0
YBL041W,386,354,0,0
YBL039W-B,21,10,7,0
YBL038W,233,205,0,0
YBL037W,169,159,2,1
YBL032W,211,188,1,0
YBL031W,27,24,0,0
YBL029W,29,26,NA,1
YBL027W,1726,1567,1,1
YBL026W,128,90,6,0
YBL025W,55,38,3,0
YBL024W,484,461,0,NA
YBL020W,33,23,4,0
YBL019W,21,21,NA,0
YBL016W,138,130,NA,0
YBL015W,106,96,0,0
YBL011W,83,79,1,0
YBL009W,102,98,1,0
YBL008W,47,47,NA,0
YBL005W,23,21,0,0
YBL004W,231,229,NA,0
YBL002W,908,725,0,1
YBR003W,95,89,0,0
YBR005W,52,44,1,0
YBR006W,43,42,0,0
YBR010W,1522,1248,2,1
YBR016W,359,318,0,0
YBR020W,0,0,0,0
YBR021W,132,128,0,1
YBR022W,67,58,0,0
YBR024W,65,59,1,NA
YBR030W,19,19,0,0
YBR031W,3583,3329,0,1
YBR033W,11,11,NA,0
YBR038W,295,272,0,0
YBR039W,640,593,0,1
YBR041W,94,87,0,0
YBR047W,3,1,0,0
YBR048W,1510,1399,0,1
YBR051W,0,0,0,0
YBR054W,391,323,31,0
YBR056W,208,202,0,0
YBR056W-A,126,98,0,1
YBR071W,293,267,3,0
YBR072W,168,157,1,0
YBR073W,280,274,NA,0
YBR074W,112,108,NA,0
YBR076W,2,1,NA,0
YBR078W,1988,1870,6,3
YBR083W,189,180,2,NA
YBR084W,458,442,0,1
YBR085W,6,6,0,0
YBR087W,103,92,0,0
YBR094W,94,92,0,NA
YBR096W,160,144,0,0
YBR097W,45,44,NA,0
YBR098W,20,20,0,0
YBR103W,71,67,2,0
YBR104W,64,56,1,0
YBR106W,366,302,0,1
YBR108W,175,173,0,0
YBR110W,76,72,0,0
YBR111W-A,81,68,0,0
YBR114W,53,51,0,0
YBR118W,12446,11861,0,3
YBR119W,67,60,1,0
YBR131W,23,21,0,0
YBR135W,139,120,3,0
YBR136W,41,39,NA,1
YBR137W,81,79,NA,0
YBR139W,385,380,NA,0
YBR141W-A,7,0,0,1
YBR142W,187,177,1,0
YBR145W,60,50,2,0
YBR146W,144,128,1,0
YBR147W,10,6,0,0
YBR148W,3,2,NA,0
YBR149W,592,560,0,0
YBR151W,106,101,0,0
YBR152W,38,37,0,NA
YBR153W,52,52,0,0
YBR155W,119,113,0,0
YBR158W,195,175,6,0
YBR159W,205,189,0,0
YBR160W,217,205,2,0
YBR161W,60,50,1,0
YBR162W-A,200,154,0,0
YBR163W,8,8,0,0
YBR165W,81,75,0,0
YBR168W,18,17,1,NA
YBR171W,173,162,0,0
YBR175W,29,26,NA,1
YBR176W,41,36,0,0
YBR178W,0,0,0,0
YBR183W,120,99,0,0
YBR184W,20,19,NA,0
YBR186W,0,0,0,0
YBR187W,112,87,3,0
YBR189W,1828,1576,0,1
YBR192W,78,72,3,0
YBR194W,43,29,5,0
YBR199W,207,198,1,0
YBR200W,106,98,2,0
YBR201W,24,16,1,0
YBR202W,191,183,0,0
YBR203W,46,45,0,0
YBR205W,149,132,0,NA
YBR207W,97,93,0,1
YBR210W,51,38,0,0
YBR212W,327,318,3,1
YBR213W,33,31,0,2
YBR214W,314,298,2,1
YBR215W,122,118,0,0
YBR217W,27,15,0,0
YBR225W,67,67,NA,0
YBR228W,16,16,NA,0
YBR230W-A,88,57,0,0
YBR233W,61,57,0,0
YBR233W-A,17,13,0,1
YBR235W,37,37,0,0
YBR237W,34,33,0,0
YBR242W,118,91,9,1
YBR244W,28,20,0,0
YBR246W,74,65,0,0
YBR250W,0,0,0,0
YBR251W,177,168,0,1
YBR252W,149,117,0,1
YBR253W,47,35,2,0
YBR255W,31,28,0,1
YBR257W,47,44,0,0
YBR259W,18,16,0,0
YBR263W,174,159,0,0
YBR265W,126,108,0,0
YBR267W,150,146,0,0
YBR268W,72,56,0,0
YBR271W,44,41,0,0
YBR274W,35,30,0,0
YBR278W,37,32,0,0
YBR279W,240,225,0,0
YBR282W,203,167,0,0
YBR284W,11,9,2,NA
YBR285W,10,9,NA,0
YBR286W,903,862,0,0
YBR287W,148,141,0,0
YBR289W,303,299,0,0
YBR290W,122,109,0,0
YBR293W,5,5,NA,0
YBR294W,1,1,NA,0
YBR295W,20,19,NA,0
YBR297W,38,37,0,0
YBR299W,21,19,1,0
YCL064C,28,24,0,0
YCL061C,252,244,0,NA
YCL059C,474,424,0,0
YCL057C-A,387,286,0,0
YCL056C,32,31,NA,0
YCL052C,143,125,0,0
YCL050C,1160,1058,3,0
YCL049C,240,202,0,0
YCL047C,84,71,NA,0
YCL045C,580,558,0,0
YCL044C,174,165,0,0
YCL043C,1989,1929,NA,0
YCL041C,166,142,0,NA
YCL038C,88,81,0,0
YCL037C,999,963,3,1
YCL035C,797,646,0,0
YCL033C,154,138,NA,0
YCL031C,339,308,0,1
