trx,cds,utr5,utr3,
YAL067C,4,4,NA,0
YAL063C-A,2,0,2,0
YAL063C,18,17,NA,1
YAL054C,18,17,NA,0
YAL049C,416,361,0,0
YAL047C,70,63,0,0
YAL046C,143,109,0,0
YAL044C,876,738,0,0
YAL043C,402,390,0,0
YAL040C,108,92,9,0
YAL039C,535,473,1,0
YAL037C-A,0,0,0,0
YAL036C,589,545,0,1
YAL034C-B,1,1,NA,0
YAL034C,79,69,9,0
YAL032C,94,88,0,0
YAL031C,88,79,0,0
YAL029C,172,166,NA,0
YAL026C-A,9,8,NA,0
YAL026C,230,229,0,NA
YAL025C,495,465,0,1
YAL024C,62,62,NA,0
YAL023C,993,943,4,1
YAL022C,197,188,0,0
YAL021C,731,685,0,0
YAL020C,50,44,NA,0
YAL018C,1,1,0,0
YAL015C,113,110,NA,0
YAL014C,106,87,1,0
YAL010C,94,89,0,0
YAL007C,373,303,4,0
YAL005C,13658,13330,21,NA
YAL001C,143,141,0,NA
YAR002C-A,483,417,0,0
YAR007C,723,697,0,1
YAR014C,241,236,1,0
YAR018C,175,165,0,0
YAR019C,64,63,NA,0
YAR023C,21,4,17,NA
YAR047C,0,0,0,0
YAL066W,1,1,0,NA
YAL064W-B,15,1,14,0
YAL062W,93,93,NA,0
YAL061W,92,84,0,0
YAL060W,641,577,3,0
YAL059W,229,222,NA,1
YAL058W,73,65,0,0
YAL056W,123,120,0,0
YAL055W,42,39,0,0
YAL053W,1014,949,15,0
YAL051W,155,153,NA,1
YAL047W-A,0,0,0,0
YAL044W-A,178,133,NA,0
YAL042W,461,421,0,0
YAL041W,221,212,1,0
YAL038W,13629,12862,4,9
YAL037W,5,4,NA,NA
YAL035W,2805,2679,0,NA
YAL034W-A,61,53,0,0
YAL033W,130,113,NA,0
YAL030W,218,180,0,0
YAL028W,29,26,1,0
YAL027W,81,73,NA,1
YAL019W,434,426,NA,0
YAL017W,425,410,9,NA
YAL016W,1175,1128,7,0
YAL013W,194,184,0,0
YAL012W,2677,2483,5,0
YAL011W,75,74,NA,0
YAL009W,36,31,NA,0
