trx,cds,utr5,utr3,
YAL067C,3,3,NA,0
YAL063C-A,12,0,12,0
YAL063C,24,24,NA,0
YAL054C,26,24,NA,1
YAL049C,609,518,3,1
YAL047C,137,127,0,1
YAL046C,187,145,0,0
YAL044C,1069,881,0,5
YAL043C,632,601,0,0
YAL040C,162,130,17,0
YAL039C,685,602,4,0
YAL037C-A,1,0,1,0
YAL036C,870,825,0,0
YAL034C-B,1,1,NA,0
YAL034C,95,84,10,0
YAL032C,128,116,0,0
YAL031C,108,98,0,1
YAL029C,251,246,NA,0
YAL026C-A,11,10,NA,0
YAL026C,311,309,0,NA
YAL025C,786,737,0,5
YAL024C,90,87,NA,0
YAL023C,1453,1364,5,2
YAL022C,327,305,0,1
YAL021C,1075,1013,1,1
YAL020C,59,57,NA,0
YAL018C,3,3,0,0
YAL015C,147,139,NA,0
YAL014C,203,157,18,0
YAL010C,125,117,0,0
YAL007C,595,479,3,1
YAL005C,17548,17098,30,NA
YAL001C,215,208,0,NA
YAR002C-A,728,618,0,0
YAR007C,1004,961,0,0
YAR014C,336,321,3,0
YAR018C,282,248,0,0
YAR019C,50,47,NA,0
YAR023C,22,3,19,NA
YAR047C,0,0,0,0
YAL066W,0,0,0,0
YAL064W-B,13,0,13,0
YAL062W,106,105,NA,0
YAL061W,84,73,1,0
YAL060W,939,832,3,1
YAL059W,370,360,NA,0
YAL058W,101,91,0,0
YAL056W,102,90,0,0
YAL055W,62,52,0,0
YAL053W,1305,1179,44,2
YAL051W,195,191,NA,0
YAL047W-A,1,1,NA,0
YAL044W-A,266,190,NA,0
YAL042W,684,621,0,1
YAL041W,323,309,0,1
YAL038W,19389,18214,7,33
YAL037W,8,7,NA,NA
YAL035W,3956,3771,0,NA
YAL034W-A,104,88,1,1
YAL033W,213,182,NA,0
YAL030W,299,250,0,1
YAL028W,36,34,1,0
YAL027W,101,92,NA,0
YAL019W,624,620,NA,0
YAL017W,506,484,12,NA
YAL016W,1618,1541,8,0
YAL013W,268,247,0,1
YAL012W,3278,3001,3,3
YAL011W,122,115,NA,0
