Geneid,xrn1_2
YER101C,2298
YER102W,6637
YER103W,3315
YER104W,2283
YER105C,15151
YER106W,155
YER107C,4669
YER107W-A,0
YER109C,7455
YER110C,22790
YER111C,13442
YER112W,4878
YER113C,7561
YER115C,2180
YER116C,2505
YER117W,7770
YER118C,7041
YER119C,3187
YER119C-A,31
YER120W,10824
YER121W,330
YER122C,13491
YER123W,9076
YER124C,17129
YER125W,21314
YER126C,6503
YER127W,6800
YER128W,1165
YER129W,15043
YER130C,6202
YER131W,11004
YER132C,15153
YER133W,7850
YER133W-A,0
YER134C,2962
YER135C,45
YER136W,11708
YER137C,848
YER137W-A,6
YER138C,1496
YER137C-A,191
YER138W-A,653
YER139C,2947
YER140W,4667
YER141W,9578
YER142C,976
YER143W,4861
YER144C,9229
YER145C,10251
YER145C-A,28
YER146W,2817
YER147C,3172
YER147C-A,8
YER148W,4823
YER148W-A,13
YER149C,2777
YER150W,2245
YER151C,11013
YER152C,4885
YER152W-A,6
YER153C,1325
YER154W,6122
YER155C,22177
YER156C,7566
YER157W,6696
YER158C,3994
YER158W-A,45
YER159C,3470
YER160C,2733
YER159C-A,82
YER161C,5378
YER162C,2967
YER163C,2709
YER164W,11819
YER165W,16277
YER165C-A,2
YER166W,17308
YER167W,11505
YER168C,6106
YER170W,2065
YER171W,7231
YER172C,14583
YER172C-A,2
YER173W,5447
YER174C,3614
YER175C,3999
YER175W-A,292
YER176W,7065
YER177W,14580
YER178W,11826
YER179W,232
YER180C,3351
YER180C-A,581
YER181C,72
YER182W,1926
YER183C,2590
YER184C,6514
YER185W,971
YER186C,4079
YER187W,344
YER188W,443
YER188C-A,284
YER189W,287
YER190W,3696
YER190C-A,0
YER190C-B,16
YJL091C,6373
YJL026W,10254
YJL026C-A,7
YJR125C,5225
YJL225C,1442
YJL225W-A,3
YJL223C,992
YJL222W-B,0
YJL222W-A,0
YJL222W,18751
YJL221C,972
YJL220W,0
YJL219W,96
YJL218W,281
YJL217W,4939
YJL216C,1409
YJL215C,589
YJL214W,703
YJL213W,4966
YJL212C,11839
YJL211C,259
YJL210W,3553
YJL209W,7437
YJL208C,5918
YJL207C,14882
YJL206C,5100
YJL205C,1115
YJL204C,4330
YJL203W,2299
YJL202C,23
YJL201W,10148
YJL200C,11823
YJL199C,644
YJL198W,9818
YJL197W,9663
YJL197C-A,1
YJL196C,2300
YJL195C,36
YJL194W,8511
YJL193W,4880
YJL192C,6081
YJL191W,10696
YJL190C,8691
YJL189W,4010
YJL188C,9
YJL187C,8297
YJL186W,11477
YJL185C,1456
YJL184W,2397
YJL183W,7512
YJL182C,3
YJL181W,5258
YJL180C,2809
YJL179W,2689
YJL178C,5406
YJL177W,10202
YJL176C,8040
YJL175W,7
YJL174W,11031
YJL173C,1612
YJL172W,13189
YJL171C,9054
YJL170C,334
YJL169W,13
YJL168C,10006
YJL167W,12291
YJL166W,3751
YJL165C,9694
YJL164C,4276
YJL163C,2178
YJL162C,4130
YJL161W,717
YJL160C,117
YJL159W,53171
YJL158C,16946
YJL157C,17621
YJL156W-A,122
YJL156C,8077
YJL155C,3300
YJL154C,11197
YJL153C,1671
YJL152W,61
YJL151C,3659
YJL150W,367
YJL149W,6568
YJL148W,4847
YJL147C,2520
YJL146W,6103
YJL145W,3210
YJL144W,1069
YJL143W,5737
YJL142C,982
YJL141C,9718
YJL140W,5255
YJL139C,5584
YJL138C,13125
YJL137C,2878
YJL136W-A,5
YJL136C,6220
YJL135W,779
YJL134W,6236
YJL133C-A,1282
YJL133W,10016
YJL132W,3686
YJL131C,1649
YJL130C,43066
YJL129C,14627
YJL128C,10703
YJL127W-A,2
YJL127C-B,1972
YJL127C,6067
YJL126W,1674
YJL125C,4789
YJL124C,4827
YJL123C,5816
YJL122W,3958
YJL121C,4809
YJL120W,36
YJL119C,506
YJL118W,4764
YJL117W,6444
YJL116C,1756
YJL115W,1877
YJL114W,577
YJL113W,5494
YJL112W,7318
YJL111W,9458
YJL110C,14145
YJL109C,24265
YJL108C,2511
YJL107C,3875
YJL106W,2562
YJL105W,526
YJL104W,3944
YJL103C,4128
YJL102W,2827
YJL101C,8956
YJL100W,4925
YJL099W,5092
YJL098W,14354
YJL097W,2911
YJL096W,3282
YJL095W,7042
YJL094C,8676
YJL093C,8653
YJL092W,8103
YJL090C,7494
YJL089W,1978
YJL088W,2116
YJL087C,6412
YJL086C,390
YJL085W,4618
YJL084C,10345
YJL083W,4644
YJL082W,9277
YJL081C,6068
YJL080C,16715
YJL079C,6207
YJL078C,25269
YJL077W-B,342
YJL077C,100
YJL077W-A,448
YJL076W,14205
YJL075C,0
YJL074C,6716
YJL073W,5890
YJL072C,3077
YJL071W,5115
YJL070C,4085
YJL069C,7132
YJL068C,2811
YJL067W,10
YJL066C,3090
YJL065C,4769
YJL064W,3
YJL063C,4407
YJL062W-A,2028
YJL062W,9023
YJL061W,9210
YJL060W,5697
YJL059W,2343
YJL058C,3993
YJL057C,4634
YJL056C,5939
YJL055W,4396
YJL054W,6594
YJL053W,3700
YJL052C-A,1
YJL052W,1318
YJL051W,11149
YJL050W,10659
YJL049W,3925
YJL048C,5108
YJL047C-A,358
YJL047C,5742
YJL046W,4160
YJL045W,257
YJL044C,5193
YJL043W,213
YJL042W,10288
YJL041W,8896
YJL039C,21198
YJL038C,84
YJL037W,63
YJL036W,4759
YJL035C,1206
YJL034W,29524
YJL033W,8204
YJL032W,2
YJL031C,2283
YJL030W,1701
YJL029C,9540
YJL028W,18
YJL027C,41
YJL025W,5580
YJL024C,3149
YJL023C,1953
YJL022W,128
YJL020C,12988
YJL020W-A,3
YJL019W,5493
YJL016W,6356
YJL015C,7
YJL014W,10909
YJL013C,3895
YJL012C,10705
YJL011C,1516
YJL010C,6558
YJL009W,11
YJL008C,9974
YJL007C,4
YJL006C,2664
YJL005W,14233
YJL004C,3912
YJL003W,943
YJL002C,13315
YJL001W,6440
YJR001W,7522
YJR002W,6984
YJR003C,6598
YJR004C,8039
YJR005W,8239
YJR005C-A,36
YJR006W,5822
YJR007W,9912
YJR008W,2594
YJR009C,20411
YJR010W,5612
YJR010C-A,1532
YJR011C,1003
YJR012C,1246
YJR013W,5683
YJR014W,3928
YJR015W,14104
YJR016C,29441
YJR017C,3011
YJR018W,35
YJR019C,2956
YJR020W,96
YJR021C,4095
YJR022W,1622
YJR023C,133
YJR024C,4694
YJR025C,1907
YJR027W,8070
YJR026W,905
YJR029W,9355
YJR028W,3110
YJR030C,5154
YJR031C,9606
YJR032W,4334
YJR033C,8281
YJR034W,864
YJR035W,4812
YJR036C,2749
YJR037W,5
YJR038C,67
YJR039W,6864
YJR040W,5248
YJR041C,11776
YJR042W,8441
YJR043C,3186
YJR044C,3709
YJR045C,26337
YJR046W,6513
YJR047C,56
YJR048W,5614
YJR049C,3125
YJR050W,2627
YJR051W,3234
YJR052W,3564
YJR053W,3661
YJR054W,5442
YJR055W,1004
YJR056C,4844
YJR057W,2818
YJR058C,2092
YJR059W,6163
YJR060W,6517
YJR061W,2324
YJR062C,5245
YJR063W,4195
YJR064W,9203
YJR065C,9731
YJR066W,14148
YJR067C,1218
YJR068W,4583
YJR069C,2992
YJR070C,7605
YJR071W,15
YJR072C,4846
YJR073C,5046
YJR074W,2686
YJR075W,5559
YJR076C,7045
YJR077C,8658
YJR078W,1032
YJR079W,237
YJR080C,3760
YJR082C,2627
YJR083C,2812
YJR084W,3314
YJR085C,2934
YJR086W,1044
YJR087W,443
YJR088C,4433
YJR089W,5756
YJR090C,12287
YJR091C,18111
YJR092W,9428
YJR093C,4377
YJR094C,1007
YJR094W-A,5957
YJR095W,257
YJR096W,2227
YJR097W,2776
YJR098C,2949
YJR099W,2254
YJR100C,3734
YJR101W,4209
YJR102C,1913
YJR103W,5856
YJR104C,7501
YJR105W,10003
YJR106W,5165
YJR107W,2598
YJR108W,771
YJR109C,21370
YJR110W,3608
YJR111C,5256
YJR112W,2152
YJR112W-A,1541
YJR113C,5025
YJR114W,26
YJR115W,1184
YJR116W,3177
YJR117W,13013
YJR118C,3287
YJR119C,3175
YJR120W,1197
YJR121W,30301
YJR122W,4336
YJR123W,19270
YJR124C,8004
YJR126C,6276
YJR127C,10748
YJR128W,118
YJR129C,2084
YJR130C,4849
YJR131W,4932
YJR132W,12679
YJR133W,2438
YJR134C,5452
YJR135C,1398
YJR135W-A,1056
YJR136C,3865
YJR137C,12063
YJR138W,9732
YJR139C,6849
YJR140C,9184
YJR140W-A,1
YJR141W,1565
YJR142W,3176
YJR143C,14660
YJR144W,3464
YJR145C,14638
YJR146W,399
YJR147W,3843
YJR148W,6827
YJR149W,2406
YJR150C,3
YJR151C,5141
YJR151W-A,0
YJR152W,4987
YJR153W,409
YJR154W,2564
YJR155W,2877
YJR156C,373
YJR157W,6
YJR158W,6
YJR159W,1650
YJR160C,121
YJR161C,4304
YJR162C,6
YBL047C,25005
YBR012W-B,8616
YBR078W,27516
YBR140C,28677
YBL113C,5213
YBL113W-A,5
YBL112C,953
