GeneID,dcp2.2
YAL001C,416
YAL002W,427
YAL003W,19288
YAL005C,12454
YAL007C,3534
YAL008W,720
YAL009W,391
YAL010C,313
YAL011W,168
YAL012W,22333
YAL013W,257
YAL014C,1851
YAL015C,310
YAL016C-A,0
YAL016W,2589
YAL017W,496
YAL018C,56
YAL019W,1075
YAL020C,1078
YAL021C,667
YAL022C,630
YAL023C,438
YAL024C,245
YAL025C,1708
YAL026C,689
YAL027W,417
YAL028W,263
YAL029C,830
YAL030W,617
YAL031C,854
YAL032C,142
YAL033W,1186
YAL034C,523
YAL034W-A,319
YAL035W,2500
YAL036C,2069
YAL037W,141
YAL038W,52521
YAL039C,750
YAL040C,7183
YAL041W,392
YAL042W,3806
YAL043C,197
YAL044C,1980
YAL044W-A,5432
YAL045C,42
YAL046C,360
YAL047C,198
YAL048C,516
YAL049C,913
YAL051W,249
YAL053W,2915
YAL054C,64
YAL055W,163
YAL056W,294
YAL058W,211
YAL059C-A,0
YAL059W,1723
YAL060W,1664
YAL061W,113
YAL062W,252
YAL063C,0
YAL063C-A,778
YAL064W-B,229
YAL066W,0
YAL067C,36
YAR002C-A,3145
YAR002W,470
YAR003W,301
YAR007C,380
YAR008W,547
YAR014C,1168
YAR015W,1768
YAR018C,264
YAR019C,62
YAR019W-A,0
YAR020C,91
YAR023C,368
YAR027W,746
YAR028W,685
YAR029W,0
YAR030C,21
YAR033W,775
YAR035W,0
YAR042W,409
YAR075W,51
YBL001C,1560
YBL002W,9186
YBL003C,7715
YBL004W,1232
YBL005W,190
YBL005W-A,316
YBL006C,3180
YBL006W-A,29
YBL007C,1688
YBL008W,315
YBL009W,116
YBL010C,529
YBL011W,693
YBL013W,46
YBL014C,271
YBL015W,463
YBL016W,972
YBL017C,903
YBL018C,1560
YBL019W,91
YBL020W,804
YBL021C,523
YBL022C,627
YBL023C,256
YBL024W,1398
YBL025W,575
YBL026W,664
YBL027W,29493
YBL028C,2943
YBL029C-A,1585
YBL029W,126
YBL030C,18526
YBL031W,78
YBL032W,571
YBL033C,631
YBL034C,330
YBL035C,275
YBL036C,358
YBL037W,366
YBL038W,932
YBL039C,2003
YBL039W-B,502
YBL040C,7547
YBL041W,3392
YBL042C,2972
YBL043W,309
YBL045C,4139
YBL046W,222
YBL047C,1142
YBL049W,416
YBL050W,1804
YBL051C,1633
YBL052C,280
YBL054W,314
YBL055C,313
YBL056W,975
YBL057C,914
YBL058W,1402
YBL059C-A,2241
YBL060W,359
YBL061C,509
YBL063W,108
YBL064C,3208
YBL066C,700
YBL067C,372
YBL068W,1874
YBL069W,682
YBL071W-A,3843
YBL072C,19275
YBL074C,322
YBL075C,82
YBL076C,2741
YBL078C,911
YBL079W,1117
YBL080C,233
YBL081W,1383
YBL082C,1743
YBL084C,321
YBL085W,977
YBL086C,84
YBL087C,4794
YBL088C,347
YBL089W,829
YBL090W,3079
YBL091C,919
YBL091C-A,740
YBL092W,31885
YBL093C,932
YBL094C,0
YBL095W,481
YBL097W,89
YBL098W,176
YBL099W,5861
YBL100W-A,50
YBL101C,316
YBL102W,690
YBL103C,792
YBL104C,161
YBL105C,1042
YBL106C,0
YBL107C,1306
YBR001C,474
YBR002C,665
YBR003W,1008
YBR004C,980
YBR005W,2280
YBR006W,294
YBR007C,245
YBR008C,1303
YBR009C,12790
YBR010W,4983
YBR011C,7243
YBR014C,1552
YBR015C,2243
YBR016W,1813
YBR017C,894
YBR018C,24
YBR021W,508
YBR022W,935
YBR023C,3374
YBR024W,144
YBR025C,4250
YBR026C,1220
YBR028C,912
YBR029C,757
YBR030W,829
YBR031W,11928
YBR033W,53
YBR034C,1791
YBR035C,1392
YBR036C,3280
YBR037C,759
YBR038W,1334
YBR039W,2417
YBR041W,601
YBR042C,374
YBR043C,3559
YBR044C,227
YBR046C,376
YBR047W,280
YBR048W,41408
YBR049C,461
YBR050C,0
YBR051W,101
YBR052C,1684
YBR053C,1249
YBR054W,2056
YBR055C,552
YBR056C-B,29
YBR056W,518
YBR056W-A,1090
YBR057C,736
YBR058C,769
YBR058C-A,7312
YBR059C,1085
YBR060C,368
YBR061C,707
YBR062C,394
YBR065C,1552
YBR066C,535
YBR067C,11213
YBR068C,4973
YBR069C,4665
YBR070C,1569
YBR071W,3430
YBR072W,544
YBR073W,1364
YBR074W,1186
YBR076C-A,63
YBR077C,2454
YBR078W,11225
YBR079C,377
YBR080C,1111
YBR081C,456
YBR082C,7603
YBR083W,879
YBR084C-A,17248
YBR084W,1000
YBR085C-A,15128
YBR085W,144
YBR086C,996
YBR087W,612
YBR088C,2743
YBR089C-A,2934
YBR091C,1591
YBR092C,1698
YBR093C,78
YBR094W,140
YBR095C,542
YBR096W,2359
YBR097W,273
YBR098W,332
YBR101C,382
YBR102C,438
YBR103C-A,23
YBR103W,163
YBR104W,615
YBR105C,1144
YBR106W,3452
YBR107C,405
YBR108W,365
YBR109C,16994
YBR110W,2010
YBR111C,3261
YBR111W-A,1007
YBR112C,287
YBR114W,230
YBR115C,1211
YBR116C,0
YBR117C,132
YBR118W,78336
YBR119W,224
YBR120C,1021
YBR121C,6414
YBR122C,1855
YBR123C,121
YBR124W,66
YBR125C,595
YBR126C,1722
YBR126W-A,2057
YBR127C,4847
YBR128C,42
YBR129C,307
YBR130C,616
YBR131W,94
YBR132C,442
YBR133C,607
YBR135W,2025
YBR136W,183
YBR137W,1426
YBR138C,378
YBR139W,2861
YBR140C,1027
YBR141C,188
YBR141W-A,903
YBR142W,483
YBR143C,2036
YBR145W,1050
YBR146W,1520
YBR147W,278
YBR149W,2998
YBR150C,235
YBR151W,935
YBR152W,71
YBR153W,634
YBR154C,2246
YBR155W,346
YBR156C,151
YBR157C,600
YBR158W,1360
YBR159W,2081
YBR160W,696
YBR161W,569
YBR162C,2994
YBR162W-A,6832
YBR163W,523
YBR164C,3314
YBR165W,651
YBR166C,1397
YBR167C,1315
YBR168W,454
YBR169C,130
YBR170C,806
YBR171W,833
YBR172C,558
YBR173C,2527
YBR175W,820
YBR176W,209
YBR177C,1121
YBR178W,18
YBR179C,281
YBR181C,46014
YBR182C,152
YBR182C-A,47
YBR183W,1587
YBR184W,45
YBR185C,468
YBR187W,2652
YBR188C,1010
YBR189W,20463
YBR191W,26636
YBR191W-A,0
