Geneid,dcp2_2
YER107C,1168
YER107W-A,2
YER109C,3065
YER110C,10218
YER111C,2634
YER112W,2050
YER113C,2571
YER115C,637
YER116C,1084
YER117W,6599
YER118C,3015
YER119C,2362
YER119C-A,22
YER120W,5842
YER121W,216
YER122C,5172
YER123W,2258
YER124C,6055
YER125W,8945
YER126C,2735
YER127W,2417
YER128W,482
YER129W,3947
YER130C,2695
YER131W,6083
YER132C,4264
YER133W,3902
YER133W-A,1
YER134C,1491
YER135C,24
YER136W,3967
YER137C,422
YER137W-A,8
YER138C,1004
YER137C-A,170
YER138W-A,664
YER139C,1055
YER140W,1123
YER141W,5912
YER142C,324
YER143W,1481
YER144C,3965
YER145C,3720
YER145C-A,14
YER146W,1391
YER147C,1041
YER147C-A,2
YER148W,2126
YER148W-A,4
YER149C,947
YER150W,2348
YER151C,4380
YER152C,3041
YER152W-A,8
YER153C,758
YER154W,3185
YER155C,9692
YER156C,2919
YER157W,1619
YER158C,1804
YER158W-A,27
YER159C,2238
YER160C,1939
YER159C-A,129
YER161C,1363
YER162C,687
YER163C,1642
YER164W,3944
YER165W,7382
YER165C-A,2
YER166W,7272
YER167W,3738
YER168C,1767
YER170W,810
YER171W,2533
YER172C,5347
YER172C-A,5
YER173W,1631
YER174C,1099
YER175C,1549
YER175W-A,113
YER176W,1666
YER177W,10728
YER178W,8758
YER179W,83
YER180C,1014
YER180C-A,163
YER181C,17
YER182W,895
YER183C,914
YER184C,1961
YER185W,547
YER186C,1402
YER187W,70
YER188W,147
YER188C-A,208
YER189W,129
YER190W,2072
YER190C-A,0
YER190C-B,50
YJL091C,3654
YJL026W,5913
YJL026C-A,1
YJR125C,2259
YJL225C,825
YJL225W-A,1
YJL223C,284
YJL222W-B,0
YJL222W-A,1
YJL222W,6361
YJL221C,546
YJL220W,0
YJL219W,89
YJL218W,139
YJL217W,3102
YJL216C,495
YJL215C,194
YJL214W,278
YJL213W,850
YJL212C,8351
YJL211C,202
YJL210W,2318
YJL209W,1199
YJL208C,2168
YJL207C,4313
YJL206C,1176
YJL205C,684
YJL204C,1594
YJL203W,662
YJL202C,14
YJL201W,2458
YJL200C,6242
YJL199C,489
YJL198W,3518
YJL197W,2514
YJL197C-A,0
YJL196C,1896
YJL195C,23
YJL194W,1440
YJL193W,1816
YJL192C,3622
YJL191W,3737
YJL190C,6161
YJL189W,3628
YJL188C,4
YJL187C,2524
YJL186W,5767
YJL185C,838
YJL184W,1425
YJL183W,2679
YJL182C,1
YJL181W,1081
YJL180C,998
YJL179W,1623
YJL178C,2562
YJL177W,5754
YJL176C,2392
YJL175W,4
YJL174W,5223
YJL173C,918
YJL172W,7834
YJL171C,3796
YJL170C,4
YJL169W,2
YJL168C,2037
YJL167W,7417
YJL166W,2255
YJL165C,2240
YJL164C,1340
YJL163C,1034
YJL162C,1426
YJL161W,866
YJL160C,77
YJL159W,50703
YJL158C,17085
YJL157C,3597
YJL156W-A,147
YJL156C,2428
YJL155C,1242
YJL154C,3491
YJL153C,975
YJL152W,37
YJL151C,4309
YJL150W,115
YJL149W,1723
YJL148W,1702
YJL147C,745
YJL146W,1450
YJL145W,1564
YJL144W,536
YJL143W,4833
YJL142C,556
YJL141C,5562
YJL140W,2775
YJL139C,2302
YJL138C,8313
YJL137C,743
YJL136W-A,5
YJL136C,5124
YJL135W,257
YJL134W,2317
YJL133C-A,2300
YJL133W,3502
YJL132W,1576
YJL131C,545
YJL130C,21528
YJL129C,3197
YJL128C,3711
YJL127W-A,4
YJL127C-B,1371
YJL127C,1859
YJL126W,673
YJL125C,1363
YJL124C,2282
YJL123C,2062
YJL122W,1690
YJL121C,2898
YJL120W,22
YJL119C,316
YJL118W,2050
YJL117W,2269
YJL116C,2133
YJL115W,621
YJL114W,305
YJL113W,2202
YJL112W,1869
YJL111W,3782
YJL110C,5235
YJL109C,8886
YJL108C,645
YJL107C,877
YJL106W,1371
YJL105W,181
YJL104W,2388
YJL103C,1098
YJL102W,926
YJL101C,4489
YJL100W,1547
YJL099W,1491
YJL098W,3297
YJL097W,2361
YJL096W,1354
YJL095W,2236
YJL094C,3321
YJL093C,4083
YJL092W,2550
YJL090C,2600
YJL089W,373
YJL088W,1656
YJL087C,1357
YJL086C,97
YJL085W,1542
YJL084C,3612
YJL083W,1178
YJL082W,3591
YJL081C,2290
YJL080C,7547
YJL079C,6993
YJL078C,12893
YJL077W-B,240
YJL077C,76
YJL077W-A,309
YJL076W,4904
YJL075C,0
YJL074C,2223
YJL073W,1984
YJL072C,1080
YJL071W,1515
YJL070C,1051
YJL069C,2316
YJL068C,2256
YJL067W,7
YJL066C,1399
YJL065C,2203
YJL064W,4
YJL063C,1632
YJL062W-A,1683
YJL062W,3715
YJL061W,2887
YJL060W,3022
YJL059W,1336
YJL058C,1121
YJL057C,1576
YJL056C,1665
YJL055W,2199
YJL054W,2304
YJL053W,1491
YJL052C-A,3
YJL052W,3485
YJL051W,1907
YJL050W,4827
YJL049W,1363
YJL048C,2677
YJL047C-A,215
YJL047C,1405
YJL046W,1479
YJL045W,120
YJL044C,2406
YJL043W,52
YJL042W,5063
YJL041W,4258
YJL039C,6793
YJL038C,52
YJL037W,63
YJL036W,1609
YJL035C,547
YJL034W,13222
YJL033W,2873
YJL032W,0
YJL031C,725
YJL030W,521
YJL029C,2638
YJL028W,14
YJL027C,20
YJL025W,1751
YJL024C,1786
YJL023C,674
YJL022W,108
YJL020C,6870
YJL020W-A,2
YJL019W,1799
YJL016W,2781
YJL015C,11
YJL014W,4972
YJL013C,1372
YJL012C,3165
YJL011C,599
YJL010C,2329
YJL009W,6
YJL008C,4367
YJL007C,7
YJL006C,658
YJL005W,6652
YJL004C,1956
YJL003W,490
YJL002C,7573
YJL001W,2904
YJR001W,5239
YJR002W,3113
YJR003C,1738
YJR004C,10799
YJR005W,2509
YJR005C-A,19
YJR006W,2785
YJR007W,5075
YJR008W,1496
YJR009C,20676
YJR010W,2577
YJR010C-A,529
YJR011C,256
YJR012C,500
YJR013W,2446
YJR014W,2186
YJR015W,7415
YJR016C,18797
YJR017C,1633
YJR018W,33
YJR019C,1428
YJR020W,158
YJR021C,1269
YJR022W,464
YJR023C,98
YJR024C,2843
YJR025C,1626
YJR027W,7006
YJR026W,1112
YJR029W,8136
YJR028W,2950
YJR030C,1645
YJR031C,2919
YJR032W,1532
YJR033C,2911
YJR034W,515
YJR035W,1778
YJR036C,813
YJR037W,1
YJR038C,18
YJR039W,1916
YJR040W,2000
YJR041C,3688
YJR042W,3357
YJR043C,1235
YJR044C,2685
YJR045C,15609
YJR046W,2893
YJR047C,81
YJR048W,2193
YJR049C,1655
YJR050W,773
YJR051W,1567
YJR052W,1099
YJR053W,659
YJR054W,1144
YJR055W,347
YJR056C,1313
YJR057W,1269
YJR058C,1260
YJR059W,3333
YJR060W,1822
YJR061W,605
YJR062C,2225
YJR063W,2553
YJR064W,4024
YJR065C,5574
YJR066W,4336
YJR067C,675
YJR068W,1712
YJR069C,1449
YJR070C,3221
YJR071W,11
YJR072C,1985
YJR073C,4606
YJR074W,1450
YJR075W,2678
YJR076C,2406
YJR077C,4967
YJR078W,484
YJR079W,129
YJR080C,1891
YJR082C,1486
YJR083C,812
YJR084W,1129
YJR085C,1945
YJR086W,518
YJR087W,232
YJR088C,1948
YJR089W,1328
YJR090C,2928
YJR091C,6749
YJR092W,2823
YJR093C,1475
YJR094C,334
YJR094W-A,5101
YJR095W,127
YJR096W,1047
YJR097W,864
YJR098C,640
YJR099W,1243
YJR100C,1402
YJR101W,1867
YJR102C,797
YJR103W,3700
YJR104C,7417
YJR105W,8676
YJR106W,2553
YJR107W,1389
YJR108W,335
YJR109C,15115
YJR110W,1255
YJR111C,1668
YJR112W,593
YJR112W-A,1096
YJR113C,1776
YJR114W,34
YJR115W,869
YJR116W,2009
YJR117W,6706
YJR118C,1256
YJR119C,923
YJR120W,847
YJR121W,19806
YJR122W,1538
YJR123W,14035
YJR124C,2580
YJR126C,2228
YJR127C,6509
YJR128W,114
YJR129C,666
YJR130C,2325
YJR131W,2097
YJR132W,3453
YJR133W,1203
YJR134C,1699
YJR135C,588
YJR135W-A,857
YJR136C,1027
YJR137C,4789
YJR138W,2542
YJR139C,6137
YJR140C,2403
YJR140W-A,1
YJR141W,361
YJR142W,1457
YJR143C,8659
YJR144W,1365
YJR145C,9791
YJR146W,405
YJR147W,3248
YJR148W,5168
YJR149W,836
YJR150C,8
YJR151C,2524
YJR151W-A,0
YJR152W,1380
YJR153W,504
YJR154W,1068
YJR155W,1423
YJR156C,305
YJR157W,5
YJR158W,8
YJR159W,510
YJR160C,68
YJR161C,2953
YJR162C,3
YBL047C,12364
YBR012W-B,5359
YBR078W,18567
YBR140C,11257
YBL113C,2225
YBL113W-A,43
YBL112C,352
YBL111C,1792
YBL109W,85
YBL108C-A,6
YBL108W,7
YBL107W-A,4
YBL107C,885
YBL106C,1355
YBL105C,4147
YBL104C,1710
YBL103C,2453
YBL102W,3381
YBL101C,2181
YBL100W-C,20
YBL100W-B,7621
YBL100W-A,1452
YBL100C,1
YBL099W,9194
YBL098W,474
YBL097W,702
YBL096C,38
YBL095W,857
YBL094C,75
YBL093C,1281
YBL092W,6365
YBL091C-A,423
YBL091C,3263
YBL090W,1162
YBL089W,2262
YBL088C,4750
YBL087C,5572
YBL086C,1296
YBL085W,4228
YBL084C,1556
YBL083C,1169
YBL082C,3161
YBL081W,5615
YBL080C,765
YBL079W,8092
YBL078C,897
YBL077W,0
YBL076C,14701
YBL075C,2359
YBL074C,918
YBL073W,4
YBL072C,9366
YBL071C-B,166
YBL071W-A,1533
YBL071C,32
YBL070C,6
YBL069W,1318
YBL068W-A,340
YBL068W,2041
YBL067C,2115
YBL066C,3333
YBL065W,20
YBL064C,1587
YBL063W,923
YBL062W,1
YBL061C,2999
YBL060W,2008
YBL059C-A,1209
YBL059W,861
YBL058W,3584
YBL057C,1598
YBL056W,3588
YBL055C,1190
YBL054W,2913
YBL053W,30
YBL052C,1469
YBL051C,5458
YBL050W,2234
YBL049W,532
YBL048W,193
YBL046W,994
YBL045C,5844
YBL044W,18
YBL043W,1222
YBL042C,7018
YBL041W,2323
YBL040C,2955
YBL039W-B,243
YBL039C,6257
YBL039C-A,1521
YBL038W,1850
YBL037W,2486
YBL036C,1469
YBL035C,1832
YBL034C,1695
YBL033C,1951
YBL032W,2698
YBL031W,637
YBL030C,9868
YBL029C-A,1095
YBL029W,592
YBL028C,1591
YBL027W,8230
YBL026W,1149
YBL025W,718
YBL024W,4745
YBL023C,2641
YBL022C,4583
YBL021C,674
YBL020W,2483
YBL019W,1052
YBL018C,838
YBL017C,8433
YBL016W,3339
YBL015W,1587
YBL014C,1820
YBL013W,485
YBL012C,3
YBL011W,3075
YBL010C,1059
YBL009W,1476
YBL008W-A,26
YBL008W,1524
YBL007C,8390
YBL006C,2106
YBL006W-A,28
YBL005W,1937
YBL005W-B,13054
YBL005W-A,6939
YBL004W,10076
YBL003C,2598
YBL002W,7219
YBL001C,1481
YBR001C,2279
YBR002C,1801
YBR003W,2151
YBR004C,2801
YBR005W,1623
YBR006W,1377
YBR007C,1894
YBR008C,2947
YBR009C,5651
YBR010W,3514
YBR011C,8066
YBR012C,0
YBR012W-A,1521
YBR013C,0
YBR014C,1625
YBR015C,4984
YBR016W,2355
YBR017C,6095
YBR018C,89
YBR019C,244
YBR020W,498
YBR021W,3133
YBR022W,876
YBR023C,9786
YBR024W,535
YBR025C,7803
YBR026C,2209
YBR027C,133
YBR028C,2378
YBR029C,4252
YBR030W,2178
YBR031W,8327
YBR032W,1
YBR033W,815
YBR034C,3373
YBR035C,2062
YBR036C,6448
YBR037C,1516
YBR038W,4326
YBR039W,3602
YBR040W,396
YBR041W,3252
YBR042C,815
YBR043C,7305
YBR044C,1558
YBR045C,369
YBR046C,798
YBR047W,224
YBR048W,8240
YBR049C,2996
YBR050C,186
YBR051W,38
YBR052C,1872
YBR053C,1969
YBR054W,3391
YBR055C,2739
YBR056W,2169
YBR056W-A,576
YBR056C-B,46
YBR057C,1459
YBR058C,3330
YBR058C-A,1116
YBR059C,4685
YBR060C,1593
YBR061C,1662
YBR062C,629
YBR063C,1205
YBR064W,1
YBR065C,1985
YBR066C,778
YBR067C,7308
YBR068C,22199
YBR069C,7788
YBR070C,986
YBR071W,3918
YBR072W,788
YBR072C-A,15
YBR073W,5133
YBR074W,5980
YBR076W,27
YBR076C-A,1008
YBR077C,1779
YBR079C,8023
YBR080C,3905
YBR081C,2728
YBR082C,7537
YBR083W,3965
YBR084W,6565
YBR084C-A,8031
YBR085W,215
YBR085C-A,3451
YBR086C,9616
YBR087W,1394
YBR088C,2295
YBR089W,29
YBR089C-A,2172
YBR090C,1898
YBR091C,678
YBR092C,7701
YBR093C,660
YBR094W,1964
YBR095C,1279
YBR096W,3220
YBR097W,1619
YBR098W,943
YBR099C,48
YBR101C,2675
YBR102C,1813
YBR103W,1436
YBR103C-A,22
YBR104W,1051
YBR105C,4402
YBR106W,2639
YBR107C,607
YBR108W,2356
YBR109C,3308
YBR109W-A,126
YBR110W,2543
YBR111C,2237
YBR111W-A,688
YBR112C,4520
YBR113W,42
YBR114W,1283
YBR115C,10683
YBR116C,95
YBR117C,366
YBR118W,34213
YBR119W,689
YBR120C,667
YBR121C,10110
YBR121C-A,758
YBR122C,2027
YBR123C,1251
YBR124W,80
YBR125C,2064
YBR126C,7683
YBR126W-A,1665
YBR126W-B,1636
YBR127C,9614
YBR128C,210
YBR129C,1506
YBR130C,1737
YBR131W,1115
YBR131C-A,3
YBR132C,2453
YBR133C,4956
YBR134W,17
YBR135W,2262
YBR136W,2984
YBR137W,1005
YBR138C,1319
YBR139W,6632
YBR141C,640
YBR141W-A,222
YBR142W,3486
YBR143C,6788
YBR144C,22
YBR145W,1827
YBR146W,2474
YBR147W,450
YBR148W,143
YBR149W,4900
YBR150C,1195
YBR151W,3372
YBR152W,573
YBR153W,1133
YBR154C,2489
YBR155W,1257
YBR156C,1289
YBR157C,738
YBR158W,8067
YBR159W,2258
YBR160W,2236
YBR161W,1307
YBR162C,10026
YBR162W-A,1942
YBR163W,1590
YBR164C,1798
YBR165W,1488
YBR166C,2716
YBR167C,700
YBR168W,1318
YBR169C,2379
YBR170C,1782
YBR171W,1903
YBR172C,4089
YBR173C,3136
YBR174C,18
YBR175W,2638
YBR176W,700
YBR177C,3489
YBR178W,18
YBR179C,1882
YBR180W,58
YBR181C,3930
YBR182C,532
YBR182C-A,49
YBR183W,2463
YBR184W,559
YBR185C,1428
YBR186W,32
YBR187W,3004
YBR188C,830
YBR189W,8988
YBR190W,569
YBR191W,7075
YBR191W-A,350
YBR192W,1080
YBR193C,1179
YBR194W,793
YBR195C,926
YBR196C,23886
YBR196C-A,62
YBR196C-B,108
YBR197C,1373
YBR198C,2497
YBR199W,4058
YBR200W,2396
YBR200W-A,0
YBR201W,633
YBR201C-A,794
YBR202W,3795
YBR203W,2295
YBR204C,1074
YBR205W,2543
YBR206W,911
YBR207W,3901
YBR208C,6257
YBR209W,12
YBR210W,1415
YBR211C,926
YBR212W,6447
YBR213W,446
YBR214W,5506
YBR215W,1567
YBR216C,2328
YBR217W,1028
YBR218C,9651
YBR219C,478
YBR220C,1936
YBR221C,8106
YBR221W-A,2
YBR222C,5223
YBR223C,1525
YBR223W-A,0
YBR224W,202
YBR225W,2425
YBR226C,19
YBR227C,1150
YBR228W,977
YBR229C,4108
YBR230C,2618
YBR230W-A,655
YBR231C,294
YBR232C,7
YBR233W,1350
YBR233W-A,915
YBR234C,4884
YBR235W,2354
YBR236C,1661
YBR237W,1693
YBR238C,5757
YBR239C,2218
YBR240C,271
YBR241C,2004
YBR242W,1800
YBR243C,2150
YBR244W,840
YBR245C,3413
YBR246W,3159
YBR247C,2688
YBR248C,2849
YBR249C,8682
YBR250W,196
YBR251W,1163
YBR252W,1613
YBR253W,1105
YBR254C,1011
YBR255W,965
YBR255C-A,789
YBR256C,3124
YBR257W,806
YBR258C,745
YBR259W,1281
YBR260C,1754
YBR261C,1520
YBR262C,2024
YBR263W,2594
YBR264C,783
YBR265W,2939
YBR267W,2124
YBR266C,13
YBR268W,1461
YBR269C,1473
YBR270C,1358
YBR271W,917
YBR272C,1407
YBR273C,1185
YBR274W,1695
YBR275C,2433
YBR276C,2434
YBR277C,31
YBR278W,759
YBR279W,2470
YBR280C,1038
YBR281C,2714
YBR282W,1024
YBR283C,8793
YBR284W,611
YBR285W,57
YBR286W,10154
YBR287W,5126
YBR288C,1265
YBR289W,1958
YBR290W,1650
YBR291C,2247
YBR292C,268
YBR293W,3259
YBR294W,457
YBR295W,2606
YBR296C,338
YBR296C-A,18
YBR297W,2297
YBR298C,3936
YBR298C-A,7
YBR299W,233
YBR300C,40
YBR301W,37
YBR302C,1707
YDR293C,12701
YDL183C,387
YDL112W,5709
YDL033C,1757
YDR036C,1489
YDR100W,1798
YDR166C,2344
YDR351W,3478
YDR420W,6102
YDR496C,3793
YDL248W,1734
YDL247W-A,184
YDL247W,427
YDL246C,7
YDL245C,53
YDL244W,344
YDL243C,1456
YDL242W,90
YDL241W,875
YDL240C-A,3
YDL240W,1723
YDL239C,702
YDL238C,905
YDL237W,2812
YDL236W,2024
YDL235C,2083
YDL234C,2559
YDL233W,1058
YDL232W,1026
YDL231C,7637
YDL230W,926
YDL229W,30837
YDL228C,2
YDL227C,1010
YDL226C,2640
YDL225W,2174
YDL224C,6658
YDL223C,1771
YDL222C,629
YDL221W,172
YDL220C,1947
