trx,cds,utr5,utr3,
YBR120C,95,56,21,8
YBR121C,1855,1752,41,NA
YBR122C,218,153,5,44
YBR123C,107,99,3,1
YBR125C,141,116,11,10
YBR126C,956,794,47,67
YBR127C,1748,1526,22,157
YBR128C,4,4,0,NA
YBR129C,113,98,3,4
YBR130C,162,135,8,7
YBR132C,184,142,11,26
YBR133C,324,291,16,7
YBR138C,92,79,0,10
YBR140C,695,692,NA,2
YBR141C,56,44,0,5
YBR143C,837,744,4,49
YBR144C,1,1,NA,0
YBR150C,72,71,0,0
YBR154C,268,206,19,17
YBR156C,60,57,0,2
YBR157C,15,14,NA,0
YBR162C,1935,1532,183,140
YBR164C,209,148,22,16
YBR166C,253,230,3,8
YBR167C,45,36,NA,5
YBR169C,396,354,0,22
YBR170C,212,174,8,12
YBR172C,273,227,23,9
YBR173C,293,213,4,39
YBR174C,4,0,0,4
YBR177C,593,520,0,42
YBR179C,185,176,3,2
YBR181C,5014,4392,54,219
YBR182C,112,94,NA,12
YBR182C-A,5,4,0,0
YBR185C,150,120,0,14
YBR188C,92,59,5,10
YBR193C,104,69,0,27
YBR195C,83,72,0,8
YBR196C,6642,5978,85,251
YBR197C,145,71,0,61
YBR198C,257,242,3,6
YBR201C-A,14,5,1,7
YBR204C,100,80,2,10
YBR208C,459,345,108,5
YBR211C,53,48,1,NA
YBR216C,161,139,2,13
YBR218C,1607,1527,10,32
YBR221C,1287,897,198,122
YBR222C,368,319,4,24
YBR223C,115,94,0,13
YBR229C,297,288,0,2
YBR230C,280,189,6,42
YBR231C,40,32,2,3
YBR234C,532,469,14,17
YBR236C,197,170,5,12
YBR238C,204,200,NA,NA
YBR239C,112,90,10,8
YBR240C,33,27,NA,5
YBR241C,126,119,0,5
YBR243C,139,124,1,7
YBR245C,345,345,NA,NA
YBR247C,270,231,0,22
YBR248C,360,321,10,11
YBR249C,1623,1383,75,93
YBR254C,70,54,0,7
YBR255C-A,51,27,0,10
YBR256C,260,228,0,15
YBR258C,21,16,0,3
YBR260C,180,172,0,7
YBR261C,205,146,3,33
