GeneID,xrn1.1
YAL001C,325
YAL002W,334
YAL003W,29807
YAL005C,10144
YAL007C,4155
YAL008W,762
YAL009W,353
YAL010C,262
YAL011W,140
YAL012W,15694
YAL013W,224
YAL014C,1534
YAL015C,189
YAL016C-A,0
YAL016W,3704
YAL017W,424
YAL018C,37
YAL019W,1154
YAL020C,881
YAL021C,574
YAL022C,649
YAL023C,464
YAL024C,299
YAL025C,1636
YAL026C,807
YAL027W,403
YAL028W,139
YAL029C,816
YAL030W,650
YAL031C,602
YAL032C,170
YAL033W,1850
YAL034C,358
YAL034W-A,259
YAL035W,3043
YAL036C,2792
YAL037W,108
YAL038W,80866
YAL039C,731
YAL040C,4644
YAL041W,469
YAL042W,4044
YAL043C,278
YAL044C,3059
YAL044W-A,3881
YAL045C,0
YAL046C,457
YAL047C,201
YAL048C,382
YAL049C,1234
YAL051W,188
YAL053W,1950
YAL054C,0
YAL055W,103
YAL056W,455
YAL058W,185
YAL059C-A,0
YAL059W,1550
YAL060W,1231
YAL061W,45
YAL062W,143
YAL063C,0
YAL063C-A,245
YAL064W-B,65
YAL066W,0
YAL067C,90
YAR002C-A,4318
YAR002W,403
YAR003W,651
YAR007C,403
YAR008W,474
YAR014C,1310
YAR015W,3268
YAR018C,284
YAR019C,59
YAR019W-A,0
YAR020C,0
YAR023C,225
YAR027W,355
YAR028W,538
YAR029W,0
YAR030C,0
YAR033W,441
YAR035W,0
YAR042W,297
YAR075W,0
YBL001C,1626
YBL002W,10213
YBL003C,7843
YBL004W,1169
YBL005W,172
YBL005W-A,153
YBL006C,2614
YBL006W-A,0
YBL007C,2146
YBL008W,429
YBL009W,125
YBL010C,291
YBL011W,633
YBL013W,56
YBL014C,330
YBL015W,434
YBL016W,551
YBL017C,705
YBL018C,1460
YBL019W,98
YBL020W,1516
YBL021C,461
YBL022C,937
YBL023C,307
YBL024W,2160
YBL025W,682
YBL026W,981
YBL027W,48773
YBL028C,3183
YBL029C-A,1551
YBL029W,202
YBL030C,24125
YBL031W,69
YBL032W,734
YBL033C,347
YBL034C,420
YBL035C,250
YBL036C,588
YBL037W,424
YBL038W,569
YBL039C,3452
YBL039W-B,578
YBL040C,5022
YBL041W,3363
YBL042C,3215
YBL043W,134
YBL045C,4248
YBL046W,227
YBL047C,1585
YBL049W,62
YBL050W,2191
YBL051C,1858
YBL052C,290
YBL054W,335
YBL055C,301
YBL056W,1382
YBL057C,1158
YBL058W,1440
YBL059C-A,2440
YBL060W,232
YBL061C,541
YBL063W,239
YBL064C,2812
YBL066C,502
