ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	source	PC
GO:0006790	sulfur compound metabolic process	140	-0.4456593540256695	-1.6624733795462547	1.7616877985639513e-4	0.0013610732174482065	9.699981400999895e-4	1242	tags=42%, list=27%, signal=32%	YHR063C/YOL164W/YPL091W/YMR009W/YGL184C/YJR025C/YFR044C/YKL215C/YPL214C/YCR020C/YBR244W/YER178W/YHR074W/YNL071W/YJR130C/YGR204W/YFL018C/YDR196C/YGR154C/YPR167C/YNL333W/YFL059W/YGL126W/YGR286C/YER163C/YOL055C/YLL060C/YDR148C/YLR450W/YNL239W/YOR054C/YOR142W/YIR037W/YLR299W/YJL060W/YIR017C/YGL059W/YFR047C/YJR078W/YNR058W/YFR055W/YIL042C/YHR112C/YNR001C/YJR019C/YOR317W/YGR244C/YDR513W/YLL057C/YGR209C/YML004C/YNR057C/YOR285W/YKR076W/YIR038C/YMR020W/YJR148W/YHR137W/YMR169C	GO:BP	PC1
GO:0046527	glucosyltransferase activity	14	-0.7672343275512806	-1.9360151006442239	1.6416041117251105e-4	0.0013759627191005015	9.394059892934126e-4	609	tags=57%, list=13%, signal=50%	YLR189C/YMR261C/YJL137C/YGR032W/YKR058W/YLR258W/YBR126C/YML100W	GO:MF	PC1
GO:0006605	protein targeting	165	-0.4312908853807412	-1.6404689039486737	1.8036858336276557e-4	0.0013868531744687285	9.883707816604834e-4	1217	tags=38%, list=26%, signal=29%	YIL173W/YDR126W/YPL065W/YDR200C/YPL120W/YBL045C/YFR021W/YMR035W/YBR097W/YPL002C/YGL095C/YMR004W/YCL008C/YKR004C/YGL212W/YDR080W/YDL029W/YNL098C/YPL149W/YLR119W/YJR126C/YOR089C/YBR290W/YKR020W/YKR051W/YPR049C/YEL030W/YMR150C/YAL002W/YGR028W/YBL017C/YMR258C/YKR014C/YJL036W/YLR246W/YBR137W/YDL142C/YER101C/YDL113C/YLR431C/YGL087C/YNL242W/YOL110W/YPR185W/YPL100W/YLR417W/YLL040C/YGR141W/YPL240C/YAL005C/YGL180W/YOL129W/YNR007C/YBR105C/YNL223W/YBR230C/YPL154C/YOR036W/YGL104C/YBL078C/YBL075C/YER103W	GO:BP	PC1
GO:0016301	kinase activity	204	-0.4059226150015718	-1.5669748155582455	1.810423980195053e-4	0.001490366883696285	0.0010175127257111296	1419	tags=42%, list=31%, signal=31%	YPL258C/YDR109C/YBR136W/YPL153C/YDL017W/YCR036W/YPR111W/YDR466W/YJL106W/YKL025C/YBL088C/YNL250W/YPL026C/YJL187C/YOL128C/YPL188W/YBL105C/YHR135C/YHR082C/YLR260W/YFL029C/YBR097W/YNL020C/YHR102W/YPL214C/YBR059C/YBR020W/YOL113W/YOL045W/YDR196C/YGR092W/YNR047W/YLR362W/YJR049C/YLR240W/YDR236C/YJL100W/YAR019C/YKL171W/YPR106W/YDR009W/YGR205W/YDR315C/YFR019W/YHL032C/YOL100W/YER004W/YMR156C/YNL278W/YOL055C/YDL025C/YPL236C/YPL031C/YLL019C/YKL126W/YFL033C/YLR133W/YDR490C/YKL168C/YJL155C/YJL165C/YLR248W/YFR014C/YDR247W/YDR122W/YGL180W/YGL059W/YMR139W/YMR104C/YPL203W/YIL042C/YIL107C/YGL208W/YJR059W/YDL101C/YAL017W/YMR291W/YJL057C/YDR516C/YCR091W/YKL067W/YJL141C/YOR347C/YOL016C/YML070W/YCL040W	GO:MF	PC1
GO:0022857	transmembrane transporter activity	302	-0.37775742022940456	-1.500591777425597	1.9357120451680575e-4	0.0015655495663552186	0.001068841923370728	1663	tags=46%, list=36%, signal=32%	YGL187C/YBL099W/YEL024W/YER083C/YNL026W/YAL053W/YML038C/YLR447C/YOR332W/YCR023C/YJR121W/YEL063C/YEL006W/YJR040W/YDL138W/YKL175W/YKL174C/YLR038C/YPR036W/YKR093W/YDR298C/YKR050W/YKL016C/YIL023C/YNL003C/YDR497C/YBR293W/YDL128W/YBR036C/YKR052C/YBR039W/YJL210W/YLR220W/YPL078C/YGL153W/YPL221W/YDL004W/YGL186C/YHL047C/YBR008C/YGR289C/YJR001W/YFR033C/YDL067C/YOR065W/YBL089W/YPL270W/YDR270W/YDR377W/YBL045C/YBR041W/YHR175W/YDL185W/YKL146W/YDR456W/YHR002W/YOR011W/YBR298C/YDL194W/YLL028W/YMR256C/YPL224C/YJL093C/YNL125C/YHR051W/YLR138W/YLL015W/YDR529C/YJL094C/YGR183C/YPL271W/YDL054C/YDR011W/YKL064W/YKR051W/YHR001W-A/YBR295W/YNL214W/YJL166W/YIL006W/YDR265W/YPL060W/YGR138C/YLR348C/YNL101W/YCL025C/YOL060C/YGL191W/YCR098C/YDL119C/YBR132C/YBR235W/YPR198W/Q0070/Q0085/YMR034C/YKL209C/YNL321W/YFL055W/YGR121C/Q0045/YJR106W/YLR241W/YPR194C/Q0130/YPL092W/YKL188C/YIL088C/YDR040C/YHL035C/YHL036W/YPL006W/YMR056C/YPL147W/YCR011C/YOL119C/YGL006W/YNL055C/YOR328W/YPL134C/YOR273C/YLL055W/YHL016C/YER119C/YNL305C/YOR153W/YPL265W/YKR039W/YGL104C/YKL217W/YDR342C/YGR243W/YBR241C/YMR088C/YER053C/YBR147W/YGR281W/YIL111W/YNL142W/YJR152W	GO:MF	PC1
GO:0031369	translation initiation factor binding	20	0.6442270091033624	2.1272714636779404	2.1593487135155255e-4	0.0017163099257425124	0.0011717699915447227	590	tags=50%, list=13%, signal=44%	YOR361C/YMR309C/YPR041W/YMR260C/YER025W/YAL035W/YOR276W/YPL237W/YNL244C/YOR204W	GO:MF	PC1
GO:0031667	response to nutrient levels	151	-0.4304283495738929	-1.6228041141088974	2.27434589665569e-4	0.0017404161218693781	0.001240345030356587	1165	tags=40%, list=25%, signal=31%	YDL171C/YPL120W/YGR178C/YBR097W/YEL062W/YGR023W/YBR020W/YDR080W/YDR028C/YOL113W/YNL098C/YPL149W/YJR138W/YDR517W/YLR240W/YPR049C/YJL056C/YDR294C/YDR009W/YJL083W/YCR009C/YGR163W/YPR075C/YMR140W/YIL056W/YOR042W/YJL103C/YML121W/YPR185W/YGR121C/YKL100C/YLL040C/YFL033C/YBL101C/YGL180W/YDR040C/YGR130C/YLR423C/YGL208W/YNL036W/YIL033C/YMR297W/YMR291W/YDR533C/YPL166W/YPR026W/YGL227W/YDR074W/YER037W/YLR155C/YLR157C/YLR158C/YLR160C/YOR152C/YBR139W/YLR270W/YER175C/YBL078C/YBR214W/YNL142W	GO:BP	PC1
GO:0006995	cellular response to nitrogen starvation	40	-0.5891382791012448	-1.829741515197688	2.3383968806176973e-4	0.0017725489562040752	0.001263245186748786	709	tags=52%, list=15%, signal=45%	YPL149W/YJR138W/YPR049C/YGR163W/YOR042W/YML121W/YPR185W/YFL033C/YGL180W/YLR423C/YIL033C/YMR297W/YPL166W/YDR074W/YLR155C/YLR157C/YLR158C/YLR160C/YOR152C/YBR139W/YBL078C	GO:BP	PC1
GO:0043562	cellular response to nitrogen levels	40	-0.5891382791012448	-1.829741515197688	2.3383968806176973e-4	0.0017725489562040752	0.001263245186748786	709	tags=52%, list=15%, signal=45%	YPL149W/YJR138W/YPR049C/YGR163W/YOR042W/YML121W/YPR185W/YFL033C/YGL180W/YLR423C/YIL033C/YMR297W/YPL166W/YDR074W/YLR155C/YLR157C/YLR158C/YLR160C/YOR152C/YBR139W/YBL078C	GO:BP	PC1
GO:0001522	pseudouridine synthesis	17	0.7047420447026967	2.1478212571503867	2.4197113103065934e-4	0.0018255756223768524	0.0013010357823640098	465	tags=53%, list=10%, signal=48%	YHR089C/YLR175W/YDL208W/YOR243C/YHR072W-A/YNL292W/YOR006C/YNL124W/YPL212C	GO:BP	PC1
GO:0000271	polysaccharide biosynthetic process	45	-0.5707157675308028	-1.8105201733039125	2.435666694527621e-4	0.0018290263449092928	0.0013034950140905321	590	tags=33%, list=13%, signal=29%	YMR311C/YPL031C/YLR273C/YPL219W/YJL137C/YIL045W/YGR032W/YAL017W/YIL050W/YKL035W/YKR058W/YLR258W/YPR184W/YFR017C/YMR105C	GO:BP	PC1
GO:0008289	lipid binding	147	-0.43433959890316093	-1.6306753241793228	2.369157953940836e-4	0.0018511556216385175	0.0012638326997828904	1726	tags=53%, list=37%, signal=34%	YOR122C/YGL124C/YGR241C/YDL161W/YBL007C/YGL119W/YLR072W/YPL232W/YHL002W/YKR031C/YDR150W/YER008C/YOR069W/YCR002C/YPL048W/YDR323C/YER048C/YLR148W/YPL045W/YDL077C/YBL088C/YAR042W/YNR006W/YOR357C/YBR080C/YFR024C-A/YDL019C/YGR037C/YDR276C/YNL231C/YHR001W/YLR371W/YFR021W/YGL219C/YDR229W/YML072C/YMR004W/YPR091C/YGL212W/YDR080W/YKR003W/YNL243W/YOL009C/YDR313C/YGR086C/YHR080C/YLL006W/YHR105W/YGR223C/YCR009C/YFR019W/YOR086C/YIL105C/YJL036W/YJR125C/YDL113C/YDL046W/YDR388W/YNL242W/YLR206W/YOR132W/YPL100W/YLR417W/YLL040C/YHR161C/YIL065C/YAL044C/Q0130/YLR201C/YJL079C/YDR425W/YPL006W/YFL042C/YPL004C/YDR358W/YKL091C/YBL078C/YLR178C	GO:MF	PC1
GO:0043934	sporulation	117	-0.45673452887758687	-1.6675310429830676	2.6201332081733793e-4	0.0019583972397835443	0.0013956939684174477	1193	tags=40%, list=26%, signal=31%	YNL231C/YBL058W/YMR148W/YOR081C/YDR104C/YDR369C/YNR049C/YDL029W/YAL056W/YNL098C/YDR273W/YDR403W/YEL072W/YHL027W/YAR019C/YER046W/YNL294C/YBR148W/YIL073C/YDR099W/YOR208W/YOR275C/YDL070W/YDR512C/YBR273C/YLR189C/YJL103C/YGL197W/YLL040C/YOL071W/YOL048C/YIL088C/YPR036W-A/YBR045C/YER096W/YJR094C/YMR139W/YER020W/YGR032W/YPL127C/YJL048C/YDL239C/YIL017C/YDR516C/YOR003W/YEL060C/YDL222C	GO:BP	PC1
GO:0000172	ribonuclease MRP complex	11	0.7519355059991493	2.0417138130661123	3.7951234182503213e-4	0.002039878837309548	0.0012920897164108824	996	tags=82%, list=22%, signal=64%	YHR062C/YNL282W/YGR030C/YDR478W/YAL033W/YBR257W/YBL018C/YNL221C/YBR167C	GO:CC	PC1
GO:1990145	maintenance of translational fidelity	11	0.7951724269017446	2.175214022220416	2.878698487967419e-4	0.0021279700346232898	0.0015165436725314509	591	tags=82%, list=13%, signal=72%	YFR031C-A/YNL178W/YLR167W/YMR116C/YOR369C/YAL003W/YOR063W/YNL244C/YOR133W	GO:BP	PC1
