set	n_members	p_value	p.adjust	s.PC1	s.PC2
biological_process (GO:0008150)	267	1.1246450160946209e-10	4.127686495240896e-9	-0.23748554940661354	0.036753357315078526
methyltransferase activity (GO:0008168)	67	1.2242172819204918e-10	4.3995308569017674e-9	0.45118835617561076	-0.32804664876015377
methylation (GO:0032259)	66	1.3283688760161438e-10	4.676400634954792e-9	0.4556971294668968	-0.32553789210204004
nucleus (GO:0005634)	1810	2.237884250359583e-10	7.720700663740562e-9	0.10695015032031646	-0.0834391871684698
maturation of LSU-rRNA (GO:0000470)	22	3.160099628734805e-10	1.068857227366184e-8	0.7905688741197887	-0.49590553050082936
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	16	3.9369994531827796e-10	1.3060238570654412e-8	0.8843709256844874	-0.6710397653194276
RNA processing (GO:0006396)	38	8.290424430240512e-10	2.698298517389601e-8	0.5793265915881428	-0.39798896805332057
large ribosomal subunit (GO:0015934)	27	8.686009689205013e-10	2.774697539607157e-8	0.683858112087257	-0.47562461176052867
membrane (GO:0016020)	553	8.84727813218561e-10	2.774828141458214e-8	-0.15646067853083456	0.1202916441460991
steroid metabolic process (GO:0008202)	23	1.0898753920600976e-9	3.35720544875655e-8	0.0324643989213219	0.6955480910252159
tRNA binding (GO:0000049)	45	1.4523285929002646e-9	4.395204952198169e-8	0.490954151177203	-0.4252059187987476
maturation of SSU-rRNA (GO:0030490)	22	1.4996699189935043e-9	4.4602251901099916e-8	0.7772964633277992	-0.41211725611203476
tRNA transcription by RNA polymerase III (GO:0042797)	19	1.621879220968564e-9	4.7419350104589373e-8	0.8404916400590488	-0.394513681463935
cellular response to nitrogen starvation (GO:0006995)	40	2.069067027370585e-9	5.948567703690432e-8	-0.4567715159458285	-0.14283529925731675
sequence-specific mRNA binding (GO:1990825)	22	2.8141619991797904e-9	7.958081063254324e-8	0.7220310151119553	-0.03641506448295076
vacuolar membrane (GO:0005774)	153	3.7549853728887376e-9	1.0447338335859795e-7	-0.2949637339071501	0.12792159790381077
RNA polymerase III complex (GO:0005666)	17	4.505233432886329e-9	1.233575820909352e-7	0.8607208151680591	-0.44878990500786303
peroxisome (GO:0005777)	97	7.437533602342991e-9	2.0046477287565094e-7	-0.3585581148226947	0.18830110116136223
sterol biosynthetic process (GO:0016126)	28	8.029310811612044e-9	2.1308555615431965e-7	0.030687830687832564	0.5983815748521644
RNA polymerase I complex (GO:0005736)	13	8.544955389664703e-9	2.23334061320782e-7	0.910565438904201	-0.6859600768395563
lysine biosynthetic process (GO:0009085)	9	1.7125944708922034e-8	4.409291734759777e-7	0.32099033292350404	0.8836575781683187
tRNA methylation (GO:0030488)	18	2.5517082197909158e-8	6.379270549477289e-7	0.7376328502415503	-0.5907246376811597
U3 snoRNA binding (GO:0034511)	12	2.53248740306895e-8	6.379270549477289e-7	0.8726299030250423	-0.7689969604863215
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	25	3.132945093015132e-8	7.720471836358717e-7	-0.5505682560417983	0.5854735467015021
ubiquitin-dependent protein catabolic process (GO:0006511)	81	3.834315339545991e-8	9.315766141854697e-7	-0.3171155138681427	0.3148787609150546
translational elongation (GO:0006414)	20	4.849257410927997e-8	1.1618012547014993e-6	0.6831883427577234	0.009569377990429983
NAD binding (GO:0051287)	19	5.335078088539926e-8	1.2606862606481333e-6	-0.16416612307023287	0.7522802439889683
ribosome binding (GO:0043022)	41	5.549745945438648e-8	1.293690777821847e-6	0.5214247270285659	-0.24294857106316173
lysine biosynthetic process via alpha-aminoadipate and saccharopine (GO:0051975)	8	6.622383842266888e-8	1.5231482837213843e-6	0.3172993492407815	0.9078091106290685
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	70	8.163095563300264e-8	1.8528078745648626e-6	-0.37655484357331526	0.26512752858399163
mitochondrial small ribosomal subunit (GO:0005763)	35	8.599355713511695e-8	1.926479039715282e-6	0.15599887784046887	-0.5533929740344753
actin cortical patch (GO:0030479)	57	8.724599424969048e-8	1.9294787189835395e-6	-0.43558853283174803	0.21733076387526634
helicase activity (GO:0004386)	76	8.88671926028236e-8	1.94045452202368e-6	0.3575111821826725	-0.2610952745138927
transcription by RNA polymerase I (GO:0006360)	20	9.662391565080666e-8	2.0834531812205186e-6	0.6449108307960019	-0.5799478033927792
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	19	1.0322656219584e-7	2.1983434541706666e-6	0.7422551813323285	-0.40639269406392664
lysine biosynthetic process via aminoadipic acid (GO:0019878)	11	1.192547602444771e-7	2.5087129441673535e-6	0.1675513546579306	0.8203129624879137
snoRNA binding (GO:0030515)	11	1.3546353847033984e-7	2.8153566730281474e-6	0.9178720129447332	-0.6789865224855458
steroid biosynthetic process (GO:0006694)	25	1.373411766651022e-7	2.8203991636583485e-6	-0.011852819507948769	0.6002786849553661
mitochondrion (GO:0005739)	988	1.4731487137938966e-7	2.9896253309346724e-6	-0.11061107951059973	0.012118423840911378
mitochondrial inner membrane (GO:0005743)	222	1.5820973887156648e-7	3.1733930180633977e-6	-0.21683717384354373	0.13023100443482538
proton motive force-driven ATP synthesis (GO:0015986)	15	1.81864664784943e-7	3.485739408378074e-6	-0.37655152436816797	0.8293286986747764
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	15	1.81864664784943e-7	3.485739408378074e-6	-0.37655152436816797	0.8293286986747764
cellular_component (GO:0005575)	141	1.7846898624807084e-7	3.485739408378074e-6	-0.2707312552573694	0.06459017484162673
