ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042254	ribosome biogenesis	254/462	371/4617	0.6846361185983828	6.84191549690202	39.121959965072264	4.74776333336583e-193	4.1590406800284674e-190	3.8731753509037043e-190	YGR159C/YPL093W/YMR290C/YER131W/YKL009W/YGR103W/YNL248C/YJL122W/YDL014W/YDL229W/YHR089C/YHR052W/YER126C/YNR053C/YDR496C/YGL078C/YJL033W/YNL132W/YOR272W/YMR131C/YKR081C/YPR010C/YER006W/YDR365C/YGR128C/YOR206W/YLR197W/YOR004W/YOR341W/YEL026W/YDR299W/YNL110C/YGL171W/YJL148W/YEL054C/YKL172W/YPL012W/YDR083W/YLR409C/YMR229C/YBR267W/YIL069C/YDR060W/YHR170W/YBR247C/YLR048W/YPL043W/YDL083C/YBR189W/YGR145W/YCR057C/YAL059W/YPR144C/YLR196W/YHR196W/YOR294W/YIL133C/YDL153C/YPL126W/YJR063W/YKL006W/YJL069C/YLR388W/YLR435W/YNL002C/YCL054W/YGR271C-A/YOL010W/YGR034W/YIR026C/YDR025W/YLR175W/YLL034C/YGR245C/YCL059C/YDL060W/YGL135W/YML093W/YKL099C/YGL029W/YDL208W/YLL045C/YGR214W/YLL011W/YGL120C/YLR448W/YML026C/YHR169W/YKR057W/YOR293W/YER127W/YNL075W/YNL096C/YHL033C/YFR031C-A/YPR110C/YGL076C/YPR137W/YLR002C/YER102W/YOR234C/YLR029C/YIL096C/YBL004W/YJL050W/YBR142W/YPL081W/YNL209W/YNL178W/YHR085W/YHR088W/YPL090C/YOR096W/YLR068W/YPL198W/YJL177W/YPL266W/YBR181C/YER056C-A/YGL123W/YPL131W/YCR047C/YML063W/YDL148C/YOL041C/YLR276C/YOL121C/YDR064W/YJL109C/YKL180W/YLR167W/YIL091C/YGR081C/YMR128W/YLR221C/YLR186W/YGR085C/YML073C/YJR123W/YMR194W/YDR418W/YNL113W/YLR344W/YER074W/YDR361C/YOR369C/YNL302C/YOR243C/YLL008W/YKL014C/YPR102C/YPL146C/YOR145C/YGL030W/YLR340W/YPL220W/YKR060W/YLR074C/YBR048W/YDR450W/YDL136W/YDL061C/YJL010C/YKL082C/YDR091C/YKR024C/YDR447C/YLR441C/YPL226W/YOR056C/YHR021C/YHL001W/YOL127W/YCR031C/YLR185W/YDR500C/YIL052C/YKL156W/YNR038W/YPL143W/YOR063W/YNL069C/YPL249C-A/YOR224C/YMR230W/YGR162W/YJR002W/YER036C/YOL040C/YPR132W/YMR269W/YLR264W/YDR161W/YPL217C/YEL055C/YKR094C/YOL144W/YBR154C/YJR041C/YHR065C/YHR062C/YHL015W/YHR072W-A/YNR054C/YIL148W/YGL099W/YDL213C/YJL191W/YPR187W/YDR412W/YOR078W/YGR090W/YPR143W/YDR398W/YMR143W/YGR280C/YER002W/YMR014W/YNL308C/YGR118W/YBL072C/YLR075W/YFR001W/YMR239C/YER082C/YOR006C/YJL136C/YGR158C/YDL191W/YLR051C/YOR167C/YPR016C/YNR024W/YIR012W/YFL023W/YNL282W/YML024W/YOL022C/YPR041W/YNR046W/YGL111W/YNL207W/YKL021C/YIL110W/YGR285C/YHR143W-A/YLR106C/YLR293C/YOR001W/YNL124W/YOR210W/YDL031W/YNL022C/YGL189C	254
BP	GO:0022613	ribonucleoprotein complex biogenesis	265/462	446/4617	0.594170403587444	5.937845786500495	36.58080266263686	1.3609619064425803e-178	5.9610131502185016e-176	5.551291986805262e-176	YGR159C/YPL093W/YMR290C/YER131W/YKL009W/YGR103W/YNL248C/YJL122W/YDL014W/YDL229W/YHR089C/YHR052W/YER126C/YNR053C/YDR496C/YGL078C/YJL033W/YNL132W/YOR272W/YMR131C/YKR081C/YPR010C/YER006W/YDR365C/YGR128C/YOR206W/YLR197W/YOR004W/YOR341W/YEL026W/YDR299W/YNL110C/YGL171W/YJL148W/YEL054C/YKL172W/YPL012W/YDR083W/YLR409C/YMR229C/YBR267W/YIL069C/YDR060W/YHR170W/YBR247C/YLR048W/YPL043W/YDL083C/YBR189W/YGR145W/YCR057C/YAL059W/YPR144C/YLR196W/YHR196W/YOR294W/YIL133C/YDL153C/YPL126W/YJR063W/YKL006W/YJL069C/YLR388W/YLR435W/YNL002C/YCL054W/YGR271C-A/YOL010W/YGR034W/YIR026C/YDR025W/YLR175W/YLL034C/YGR245C/YCL059C/YDL060W/YGL135W/YML093W/YKL099C/YGL029W/YDL208W/YLL045C/YGR214W/YLL011W/YGL120C/YLR448W/YML026C/YHR169W/YKR057W/YOR293W/YER127W/YNL075W/YNL096C/YHL033C/YFR031C-A/YPR110C/YGL076C/YPR137W/YLR002C/YER102W/YOR234C/YLR325C/YLR029C/YIL096C/YBL004W/YJL050W/YBR142W/YPL081W/YNL209W/YNL178W/YHR085W/YHR088W/YPL090C/YOR096W/YLR068W/YPL198W/YJL177W/YPL266W/YBR181C/YER056C-A/YGL123W/YPL131W/YCR047C/YML063W/YDL148C/YOL041C/YLR276C/YOL121C/YDR064W/YJL109C/YKL180W/YLR167W/YIL091C/YGR081C/YMR128W/YLR221C/YLR186W/YGR085C/YML073C/YJR123W/YMR194W/YDR418W/YNL113W/YLR344W/YER074W/YDR361C/YOR369C/YNL302C/YOR243C/YLL008W/YKL014C/YPR102C/YPL146C/YOR145C/YGL030W/YLR340W/YPL220W/YKR060W/YLR074C/YBR048W/YDR450W/YDL136W/YDL061C/YJL010C/YKL082C/YDR091C/YKR024C/YDR447C/YLR441C/YPL226W/YOR056C/YHR021C/YHL001W/YOL127W/YCR031C/YLR185W/YDR500C/YIL052C/YKL156W/YBR079C/YNR038W/YPL143W/YOR063W/YNL069C/YPL249C-A/YOR361C/YOR224C/YMR230W/YGR162W/YJR002W/YER036C/YOL040C/YPR132W/YMR309C/YMR269W/YLR264W/YDR161W/YPL217C/YEL055C/YPR163C/YKR094C/YOL144W/YBR154C/YJR041C/YHR065C/YHR062C/YHL015W/YHR072W-A/YNR054C/YIL148W/YGL099W/YDL213C/YJL191W/YPR187W/YDR412W/YOR078W/YGR090W/YPR143W/YDR429C/YDR398W/YMR143W/YGR280C/YER002W/YMR014W/YNL308C/YGR118W/YBL072C/YLR075W/YFR001W/YMR239C/YER082C/YOR006C/YJL136C/YGR158C/YDL191W/YLR051C/YOR167C/YPR016C/YNR024W/YIR012W/YFL023W/YNL282W/YML024W/YOL022C/YJL138C/YPR041W/YNR046W/YGL111W/YNL207W/YKL021C/YIL110W/YGR285C/YHR143W-A/YMR260C/YLR106C/YLR293C/YOR001W/YNL124W/YOR210W/YER025W/YDL031W/YNL022C/YOL139C/YJR007W/YGL189C	265
BP	GO:0006364	rRNA processing	191/462	265/4617	0.720754716981132	7.202866944376377	34.67682548117677	3.91877895158849e-145	1.144283453863839e-142	1.065632872800379e-142	YGR159C/YPL093W/YMR290C/YER131W/YKL009W/YGR103W/YDL014W/YDL229W/YHR089C/YHR052W/YER126C/YGL078C/YJL033W/YNL132W/YOR272W/YMR131C/YKR081C/YER006W/YDR365C/YGR128C/YLR197W/YOR004W/YEL026W/YDR299W/YNL110C/YGL171W/YKL172W/YPL012W/YDR083W/YLR409C/YMR229C/YIL069C/YBR247C/YLR048W/YPL043W/YDL083C/YBR189W/YGR145W/YCR057C/YPR144C/YLR196W/YHR196W/YOR294W/YIL133C/YDL153C/YPL126W/YKL006W/YJL069C/YLR388W/YLR435W/YNL002C/YCL054W/YGR271C-A/YOL010W/YDR025W/YLR175W/YCL059C/YDL060W/YML093W/YKL099C/YGL029W/YDL208W/YLL045C/YGR214W/YLL011W/YGL120C/YML026C/YHR169W/YKR057W/YER127W/YNL075W/YNL096C/YHL033C/YGL076C/YPR137W/YLR002C/YER102W/YLR029C/YIL096C/YBL004W/YJL050W/YBR142W/YPL081W/YNL209W/YHR085W/YHR088W/YPL090C/YOR096W/YLR068W/YPL198W/YJL177W/YPL266W/YBR181C/YGL123W/YCR047C/YML063W/YDL148C/YOL041C/YLR276C/YDR064W/YJL109C/YKL180W/YLR167W/YIL091C/YGR081C/YMR128W/YLR186W/YJR123W/YMR194W/YER074W/YOR369C/YOR243C/YLL008W/YKL014C/YPL146C/YOR145C/YGL030W/YKR060W/YBR048W/YDR450W/YDL136W/YDL061C/YJL010C/YKL082C/YDR091C/YKR024C/YLR441C/YOR056C/YHR021C/YHL001W/YCR031C/YLR185W/YDR500C/YKL156W/YNR038W/YPL143W/YOR063W/YNL069C/YPL249C-A/YJR002W/YPR132W/YLR264W/YPL217C/YEL055C/YOL144W/YJR041C/YHR065C/YHR062C/YHL015W/YHR072W-A/YNR054C/YDL213C/YJL191W/YDR412W/YOR078W/YGR090W/YPR143W/YDR398W/YMR143W/YGR280C/YER002W/YMR014W/YNL308C/YGR118W/YBL072C/YFR001W/YMR239C/YER082C/YOR006C/YJL136C/YGR158C/YDL191W/YLR051C/YOR167C/YPR016C/YNR024W/YFL023W/YNL282W/YOL022C/YNR046W/YGL111W/YNL207W/YKL021C/YGR285C/YLR106C/YLR293C/YOR001W/YNL124W/YDL031W/YNL022C/YGL189C	191
BP	GO:0016072	rRNA metabolic process	203/462	324/4617	0.6265432098765432	6.261363636363637	32.74603740134579	3.225086010901958e-136	7.062938363875288e-134	6.577478048550046e-134	YGR159C/YPL093W/YMR290C/YER131W/YKL009W/YGR103W/YNL248C/YDL014W/YDL229W/YHR089C/YHR052W/YER126C/YGL078C/YJL033W/YNL132W/YOR272W/YMR131C/YKR081C/YPR010C/YER006W/YDR365C/YGR128C/YLR197W/YOR004W/YOR341W/YEL026W/YDR299W/YNL110C/YGL171W/YJL148W/YKL172W/YPL012W/YDR083W/YLR409C/YMR229C/YIL069C/YBR247C/YLR048W/YPL043W/YDL083C/YBR189W/YGR145W/YCR057C/YPR144C/YLR196W/YHR196W/YOR294W/YIL133C/YDL153C/YPL126W/YJR063W/YKL006W/YJL069C/YLR388W/YLR435W/YNL002C/YCL054W/YGR271C-A/YOL010W/YDR025W/YLR175W/YCL059C/YDL060W/YML093W/YKL099C/YGL029W/YDL208W/YLL045C/YGR214W/YLL011W/YGL120C/YML026C/YHR169W/YKR057W/YER127W/YNL075W/YNL096C/YHL033C/YPR110C/YGL076C/YPR137W/YLR002C/YER102W/YLR029C/YIL096C/YBL004W/YJL050W/YBR142W/YPL081W/YNL209W/YNL178W/YML043C/YHR085W/YHR088W/YPL090C/YOR096W/YLR068W/YPL198W/YJL177W/YPL266W/YBR181C/YGL123W/YCR047C/YML063W/YDL148C/YOL041C/YLR276C/YDR064W/YJL109C/YKL180W/YLR167W/YIL091C/YGR081C/YMR128W/YLR186W/YJR123W/YMR194W/YNL113W/YER074W/YMR116C/YOR369C/YOR243C/YLL008W/YKL014C/YPL146C/YOR145C/YGL030W/YKR060W/YBR048W/YDR450W/YDL136W/YDL061C/YJL010C/YKL082C/YDR091C/YKR024C/YLR441C/YOR056C/YHR021C/YHL001W/YCR031C/YLR185W/YDR500C/YKL156W/YNR038W/YPL143W/YOR063W/YNL069C/YPL249C-A/YJR002W/YPR132W/YLR264W/YPL217C/YEL055C/YOL144W/YBR154C/YJR041C/YHR065C/YHR062C/YHL015W/YHR072W-A/YNR054C/YDL213C/YJL191W/YPR187W/YDR412W/YOR078W/YGR090W/YPR143W/YDR398W/YMR143W/YGR280C/YER002W/YMR014W/YNL308C/YGR118W/YBL072C/YFR001W/YMR239C/YER082C/YOR006C/YJL136C/YGR158C/YDL191W/YLR051C/YOR167C/YPR016C/YNR024W/YFL023W/YNL282W/YOL022C/YNR046W/YGL111W/YNL207W/YKL021C/YGR285C/YLR106C/YLR293C/YOR001W/YNL124W/YDL031W/YNL022C/YGL189C	203
BP	GO:0002181	cytoplasmic translation	131/462	167/4617	0.7844311377245509	7.839217668558986	30.01601473623416	2.7783197420687605e-104	4.867616188104468e-102	4.5330480002174515e-102	YER131W/YDL229W/YGL147C/YEL054C/YLR249W/YIL069C/YLR048W/YJL190C/YLR406C/YDL082W/YIL133C/YLR061W/YKL006W/YLR388W/YDR471W/YGR034W/YGL135W/YLL045C/YGR214W/YMR242C/YLR448W/YML026C/YOR293W/YNL096C/YHL033C/YFR031C-A/YGL076C/YAL036C/YOR234C/YLR325C/YLR029C/YNL209W/YNL178W/YJR094W-A/YER117W/YOR096W/YBL027W/YPL198W/YJL177W/YIL018W/YER056C-A/YPL131W/YML063W/YBR191W/YBL087C/YKL180W/YNL301C/YOL120C/YGR085C/YML073C/YHR010W/YMR194W/YDR418W/YLR344W/YER074W/YDL130W/YPL079W/YOR091W/YNL162W/YHR203C/YPR102C/YGL030W/YLR340W/YPL220W/YDR450W/YDL136W/YDL061C/YOL039W/YOR312C/YDR447C/YLR441C/YHL001W/YOL127W/YCR031C/YLR333C/YLR185W/YGL031C/YDL075W/YDL081C/YDR500C/YIL052C/YJR145C/YHR141C/YBR079C/YPL143W/YNL069C/YPL249C-A/YOR361C/YGR173W/YMR230W/YGR162W/YGL103W/YDR382W/YOL040C/YMR142C/YMR309C/YGR148C/YLR264W/YBR061C/YBR031W/YDR012W/YPR043W/YPR163C/YBL092W/YKR094C/YIL148W/YLR367W/YJL191W/YBR084C-A/YOR182C/YDR429C/YGR027C/YLR075W/YJL189W/YKL056C/YDL191W/YFL023W/YML024W/YJL138C/YPR041W/YDR152W/YNL255C/YNL067W/YKR059W/YMR260C/YBR143C/YER025W/YFR032C-A/YOL139C/YJR007W/YGL189C	131
BP	GO:0042274	ribosomal small subunit biogenesis	107/462	126/4617	0.8492063492063492	8.486549165120593	28.4095137045165	2.0060570726439797e-91	2.9288433260602104e-89	2.727533739121201e-89	YGR159C/YMR290C/YGR103W/YNL132W/YGR128C/YOR004W/YEL026W/YDR299W/YGL171W/YPL012W/YMR229C/YIL069C/YBR247C/YLR048W/YDL083C/YBR189W/YGR145W/YCR057C/YPR144C/YHR196W/YOR294W/YDL153C/YPL126W/YJL069C/YLR388W/YLR435W/YGR271C-A/YOL010W/YDR025W/YCL059C/YDL060W/YML093W/YKL099C/YGR214W/YLL011W/YGL120C/YML026C/YHR169W/YKR057W/YER127W/YNL075W/YNL096C/YPR137W/YER102W/YBL004W/YPL081W/YPL090C/YOR096W/YLR068W/YPL266W/YBR181C/YCR047C/YML063W/YDL148C/YOL121C/YDR064W/YJL109C/YLR167W/YIL091C/YGR081C/YMR128W/YLR186W/YJR123W/YER074W/YOR369C/YNL302C/YOR145C/YKR060W/YBR048W/YDR450W/YDL061C/YJL010C/YKL082C/YDR447C/YLR441C/YPL226W/YOR056C/YHR021C/YCR031C/YKL156W/YJR002W/YPR132W/YMR269W/YLR264W/YPL217C/YHR065C/YHL015W/YNR054C/YDL213C/YJL191W/YOR078W/YDR398W/YMR143W/YMR014W/YNL308C/YGR118W/YBL072C/YFR001W/YER082C/YOR006C/YJL136C/YLR051C/YOR167C/YML024W/YOL022C/YNR046W/YNL207W	107
BP	GO:0030490	maturation of SSU-rRNA	94/462	106/4617	0.8867924528301887	8.862166135751043	27.30405245105966	8.454044729118801e-84	1.0579633118154385e-81	9.852458142958005e-82	YMR290C/YGR103W/YNL132W/YGR128C/YOR004W/YEL026W/YDR299W/YGL171W/YPL012W/YMR229C/YIL069C/YBR247C/YLR048W/YDL083C/YBR189W/YGR145W/YCR057C/YPR144C/YHR196W/YOR294W/YDL153C/YPL126W/YJL069C/YLR388W/YLR435W/YGR271C-A/YOL010W/YDR025W/YCL059C/YDL060W/YML093W/YKL099C/YGR214W/YLL011W/YGL120C/YML026C/YHR169W/YKR057W/YER127W/YPR137W/YER102W/YBL004W/YPL081W/YPL090C/YLR068W/YPL266W/YBR181C/YCR047C/YML063W/YDL148C/YDR064W/YJL109C/YLR167W/YIL091C/YGR081C/YMR128W/YLR186W/YJR123W/YER074W/YOR369C/YOR145C/YBR048W/YDR450W/YDL061C/YJL010C/YLR441C/YOR056C/YHR021C/YCR031C/YKL156W/YJR002W/YPR132W/YLR264W/YPL217C/YHR065C/YHL015W/YNR054C/YJL191W/YOR078W/YDR398W/YMR143W/YMR014W/YNL308C/YGR118W/YBL072C/YFR001W/YER082C/YOR006C/YJL136C/YLR051C/YOR167C/YOL022C/YNR046W/YNL207W	94
BP	GO:0042273	ribosomal large subunit biogenesis	96/462	119/4617	0.8067226890756303	8.061988431736332	26.023106000387145	2.2045639318688162e-77	2.4139975053963536e-75	2.248075062103069e-75	YPL093W/YMR290C/YER131W/YKL009W/YGR103W/YJL122W/YHR052W/YER126C/YDR496C/YGL078C/YOR272W/YKR081C/YER006W/YOR206W/YNL110C/YEL054C/YKL172W/YDR083W/YMR229C/YBR267W/YDR060W/YPL043W/YOR294W/YIL133C/YKL006W/YLR435W/YNL002C/YCL054W/YGR034W/YIR026C/YLL034C/YGR245C/YLL045C/YGL120C/YLR448W/YHL033C/YFR031C-A/YGL076C/YLR002C/YOR234C/YLR029C/YBR142W/YHR085W/YHR088W/YPL198W/YJL177W/YPL131W/YOL041C/YLR276C/YKL180W/YLR221C/YGR085C/YML073C/YMR194W/YDR418W/YLR344W/YLL008W/YKL014C/YPR102C/YPL146C/YLR340W/YDL136W/YKL082C/YDR091C/YKR024C/YHL001W/YOL127W/YLR185W/YDR500C/YNR038W/YPL143W/YOR063W/YNL069C/YPL249C-A/YGR162W/YDR161W/YEL055C/YKR094C/YOL144W/YIL148W/YGL099W/YDR412W/YPR143W/YER002W/YLR075W/YFR001W/YDL191W/YPR016C/YIR012W/YNR046W/YGL111W/YKL021C/YIL110W/YLR106C/YDL031W/YGL189C	96
BP	GO:0006412	translation	182/462	446/4617	0.4080717488789238	4.078067672238076	22.80309895627231	2.9296093814982294e-77	2.8514864646582763e-75	2.655493883814185e-75	YER131W/YDL229W/YDR496C/YGL147C/YEL054C/YLR249W/YIL069C/YLR048W/YDL083C/YBR189W/YJL190C/YLR406C/YDL082W/YIL133C/YLR061W/YKL006W/YLR388W/YDR471W/YGR034W/YDR025W/YGL135W/YLL045C/YGR214W/YMR242C/YLR448W/YML026C/YKR057W/YOR293W/YKL081W/YNL096C/YHL033C/YFR031C-A/YGL076C/YAL036C/YER102W/YOR234C/YLR325C/YLR029C/YPL081W/YNL209W/YNL178W/YJR094W-A/YPL090C/YER117W/YOR096W/YBL027W/YPL198W/YJL177W/YIL018W/YBR181C/YER056C-A/YGL123W/YPL131W/YML063W/YBR191W/YOL121C/YBL087C/YDR064W/YKL180W/YLR167W/YNL301C/YOL120C/YGR085C/YML073C/YHR010W/YJR123W/YMR194W/YDR418W/YLR344W/YER074W/YMR116C/YDL130W/YPL079W/YOR369C/YOR091W/YNL302C/YNL162W/YHR203C/YPR102C/YAL003W/YGL030W/YIL064W/YLR340W/YPL220W/YBR048W/YDR450W/YDL136W/YDL061C/YOL039W/YDR091C/YOR312C/YDR447C/YLR441C/YPL226W/YHR021C/YHL001W/YOL127W/YCR031C/YLR333C/YLR185W/YGL031C/YDL075W/YHR020W/YDL081C/YDR500C/YIL052C/YJR145C/YHR141C/YKL156W/YBR079C/YPL143W/YOR063W/YNL069C/YPL249C-A/YOR361C/YGR173W/YMR230W/YGR162W/YGL103W/YDR382W/YOL040C/YMR142C/YPR132W/YMR309C/YGR148C/YLR264W/YBR061C/YBR031W/YDR012W/YPR043W/YPR163C/YBL092W/YKR094C/YGR264C/YHL015W/YIL148W/YLR367W/YJL191W/YDR385W/YPL160W/YBR084C-A/YOR182C/YDR429C/YMR143W/YBR271W/YGR027C/YGR118W/YBL072C/YLR075W/YJL189W/YKL056C/YFR001W/YJL136C/YOL097C/YDL191W/YOR167C/YPR016C/YGL169W/YFL023W/YML024W/YJL138C/YPR041W/YDR037W/YDR152W/YNL255C/YBR121C/YER049W/YNL067W/YIL110W/YKR059W/YGR285C/YLR150W/YDR341C/YMR260C/YBR143C/YPR080W/YER025W/YFR032C-A/YFL022C/YOL139C/YJR007W/YGL189C	182
BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	82/462	90/4617	0.9111111111111111	9.105194805194806	25.890941215956822	4.006479583550417e-75	3.509676115190165e-73	3.2684438707911307e-73	YMR290C/YGR103W/YGR128C/YOR004W/YEL026W/YDR299W/YGL171W/YPL012W/YMR229C/YIL069C/YBR247C/YLR048W/YDL083C/YBR189W/YGR145W/YCR057C/YPR144C/YHR196W/YOR294W/YDL153C/YPL126W/YJL069C/YLR435W/YGR271C-A/YOL010W/YDR025W/YCL059C/YDL060W/YML093W/YKL099C/YGR214W/YLL011W/YGL120C/YML026C/YHR169W/YKR057W/YER127W/YPR137W/YER102W/YBL004W/YPL081W/YPL090C/YLR068W/YPL266W/YBR181C/YCR047C/YML063W/YDL148C/YDR064W/YJL109C/YIL091C/YGR081C/YMR128W/YLR186W/YER074W/YOR145C/YBR048W/YDR450W/YJL010C/YLR441C/YOR056C/YHR021C/YCR031C/YKL156W/YJR002W/YPR132W/YPL217C/YHR065C/YHL015W/YNR054C/YJL191W/YOR078W/YDR398W/YMR143W/YNL308C/YGR118W/YBL072C/YFR001W/YER082C/YJL136C/YLR051C/YNL207W	82
