gene_id	WT_small_hl	WT_large_hl	WT_hl_fc
YMR056C	8.139036664937036	22.37300270633164	1.4588289425891507
YJR155W	2.959769190041901	5.949994851540911	1.007403744681426
YNL331C	4.353551783851909	15.169852762691237	1.8009422941092674
YCR107W	5.229858749888777	8.358280730338532	0.6764342332889705
YDL243C	7.270487091963824	14.066090620580674	0.9520974900129027
YNL141W	5.714634585906353	10.66935610806976	0.9007399572042789
YHR047C	11.131109924546339	17.31296045011115	0.6372549847769259
YKL106W	3.104471484505748	4.13902083065151	0.41494182913374994
YLR027C	9.613963748915605	14.812545354269112	0.6236163027081038
YBR236C	6.296415653460783	11.175350122783506	0.8277173440290503
YKL112W	4.656557929472373	7.862999289544016	0.7558157976905208
YMR072W	12.604072524557829	20.473134035146337	0.6998420067303293
YCR088W	11.471654496517939	19.154672863197028	0.739622907931175
YOR239W	8.12370429695468	12.458187320856666	0.6168845384449738
YNR033W	8.326599449235307	12.825334609630644	0.6231971359100612
YMR289W	7.642276645009199	16.006850952927472	1.0666151243420356
YER045C	6.20008939239264	6.56304138515222	0.08207551414875677
YGR037C	15.60806408523832	26.98265458764515	0.7897406827876894
YNR016C	12.333329743599663	23.51461215688321	0.9309951868929321
YLR131C	5.869864337492807	10.006934169130513	0.7696009767513661
YLR144C	4.665624328291082	7.835967732931652	0.7480413093232188
YJR083C	5.262256884160207	7.563222650606133	0.5233194131245228
YBL015W	11.938889360686693	16.85587978234909	0.49758329665095674
YDL203C	4.775700423213819	7.470387093725382	0.6454706611535032
YPL267W	15.599133609959754	4.917166304140644	-1.6655668480418626
YDR511W	13.952937741033399	15.907577138846527	0.1891452092010567
YLR304C	10.3614231145037	20.246361868915606	0.9664405219305343
YJL200C	6.439818383008655	14.036769368009242	1.1241190235739356
YKL192C	15.69277775207048	19.73256588022128	0.3304778219723358
YAL054C	11.788735622696139	16.317901393770555	0.4690465344458312
YLR153C	9.651776160637892	19.921382092274175	1.0454513784432231
YFL039C	18.8922916575603	35.2711436189139	0.9006906409752734
YDR448W	3.935045660633233	5.99753777286676	0.6079899624675085
YMR184W	7.142232401865845	11.243813907780545	0.654684497705651
YKL206C	6.7470236961667105	10.817519991506636	0.6810466531241514
YAR015W	10.754766492707958	22.142895565237342	1.0418676903648316
YNL220W	10.789226525903894	18.533161877089917	0.7805175929852155
YLR359W	11.604299600930968	23.84084693640978	1.0387760390964556
YLR028C	10.149896244970739	17.532108960152293	0.7885345703354203
YMR120C	9.84715232692264	27.397799518441126	1.4762815456837928
YOR128C	5.60273814438967	15.712733265410929	1.4877301906147684
YGR204W	7.331920677714649	16.334876976090097	1.1556925064505017
YMR300C	4.527825410122316	12.911117851167369	1.5117236803127139
YGL234W	9.092858817245403	23.24567839697837	1.3541566720476659
YGR061C	10.745811674056561	21.853323625786373	1.024078253453755
YDR408C	10.42696042056117	16.252510560485707	0.6403439347097658
YCL058W-A	3.0067291375579517	7.4968876799148925	1.318096879536622
YOL086C	21.414066590937985	33.71431343310927	0.6548024250042551
YMR303C	19.400854557600567	28.60844681289997	0.56032097332527
YMR083W	13.862833997494892	26.930117200088464	0.9579982887919335
YGL256W	4.146374758027617	6.3817859172487665	0.6221096967884131
YBR145W	12.821334098479682	13.734420928209534	0.09924969813131372
YMR318C	14.018098202495217	24.225826050415762	0.789255223301026
YMR009W	9.910517635582433	18.817479245085526	0.9250410624348007
YDR226W	14.232753232071516	24.90795085727291	0.8073915692473658
YER170W	9.325087605656751	11.492987593546811	0.30156469011940656
YJR105W	14.183422021481775	25.64183633531875	0.8542939316821461
YCR011C	6.454640890652523	9.833493019050636	0.6073671444812453
