ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0046390	ribose phosphate biosynthetic process	16/462	61/4617	0.26229508196721313	2.621247604854162	4.250018114214878	2.2290561799111948e-4	0.0030183240313695465	0.0025977722397461296	YNL220W/Q0085/YHR216W/YJR103W/YDR377W/YJR121W/YDL004W/YBR039W/Q0130/YNL333W/YKL016C/YDR298C/YOR128C/YPL271W/YPR020W/YPL078C	16
BP	GO:0046487	glyoxylate metabolic process	6/462	11/4617	0.5454545454545454	5.451003541912632	4.927886419570945	2.8971048558153943e-4	0.003844458143667028	0.003308798703747056	YLR304C/YDL066W/YJL200C/YLR174W/YNL274C/YCL018W	6
BP	GO:1902047	polyamine transmembrane transport	6/462	11/4617	0.5454545454545454	5.451003541912632	4.927886419570945	2.8971048558153943e-4	0.003844458143667028	0.003308798703747056	YLL028W/YKR039W/YPL274W/YGR138C/YOR273C/YBR132C	6
BP	GO:0006573	valine metabolic process	7/462	15/4617	0.4666666666666667	4.663636363636363	4.7386328100261705	3.0229240819709273e-4	0.003971703224530119	0.00341831436054034	YCL009C/YLR044C/YMR083W/YDL168W/YFL018C/YHR208W/YMR108W	7
BP	GO:0009073	aromatic amino acid family biosynthetic process	9/462	24/4617	0.375	3.747564935064935	4.499598228586641	3.080446343835983e-4	0.004007600292421911	0.003449209786441736	YOR202W/YCL030C/YGL202W/YGR204W/YGL026C/YIL116W/YER090W/YBR166C/YDR007W	9
BP	GO:0006090	pyruvate metabolic process	11/462	35/4617	0.3142857142857143	3.1408163265306124	4.238910643454164	4.0089959736182567e-4	0.00516498801649653	0.004445335341211864	YGR254W/YOR344C/YGL059W/YKL060C/YKL152C/YBR196C/YFL018C/YAL038W/YJR009C/YNL071W/YER178W	11
BP	GO:0016054	organic acid catabolic process	20/462	90/4617	0.2222222222222222	2.220779220779221	3.899613001602213	4.3533553224259556e-4	0.005448239127956677	0.00468912025846428	YIR034C/YDL170W/YPL111W/YJR078W/YNL239W/YGL202W/YBR222C/YLR044C/YMR083W/YDR216W/YIL116W/YDL168W/YPL028W/YFL018C/YHR208W/YNL274C/YJR025C/YPR006C/YER010C/YLL057C	20
BP	GO:0006568	L-tryptophan metabolic process	9/462	25/4617	0.36	3.5976623376623373	4.342303115452722	4.3930790255566275e-4	0.005448239127956677	0.00468912025846428	YJR078W/YGL202W/YLR044C/YGL026C/YMR083W/YDL168W/YER090W/YDR007W/YJR025C	9
BP	GO:0042430	indole-containing compound metabolic process	9/462	25/4617	0.36	3.5976623376623373	4.342303115452722	4.3930790255566275e-4	0.005448239127956677	0.00468912025846428	YJR078W/YGL202W/YLR044C/YGL026C/YMR083W/YDL168W/YER090W/YDR007W/YJR025C	9
BP	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	9/462	25/4617	0.36	3.5976623376623373	4.342303115452722	4.3930790255566275e-4	0.005448239127956677	0.00468912025846428	YGR295C/YNL336W/YBR302C/YML132W/YKL219W/YHL048W/YKL124W/YDL248W/YJR161C	9
