gene_bins	experiment_strain_condition	experiment	strain	condition	timepoint	size	translation	time	molecules_per_fL
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T1	small	ON	4	1.497563334185746
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T3	small	ON	10	0.7885780161648812
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T4	small	ON	13	0.5349621273802632
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T5	small	ON	18	0.3286272916933625
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T6	small	ON	28	0.12608400317407356
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T7	small	ON	44	0.04326874446115714
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	Tbackground	small	ON	NA	0
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T1	small	OFF_short	4	2.1347192086321356
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T3	small	OFF_short	10	1.3000210893514152
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T4	small	OFF_short	13	1.0195852163320398
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T5	small	OFF_short	18	0.6965467527253971
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T6	small	OFF_short	28	0.35686074603999096
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T7	small	OFF_short	44	0.16554629548577443
[  1.00,   7.78)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	Tbackground	small	OFF_short	NA	0
[  1.00,   7.78)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T1	small	OFF	4	2.3416577375536303
[  1.00,   7.78)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T3	small	OFF	10	1.3076667563877313
[  1.00,   7.78)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T4	small	OFF	13	1.0828178147910865
[  1.00,   7.78)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T5	small	OFF	18	0.7862935826897796
[  1.00,   7.78)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T6	small	OFF	28	0.5922805102678064
[  1.00,   7.78)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T7	small	OFF	44	0.34882151433068076
[  1.00,   7.78)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	Tbackground	small	OFF	NA	0
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T1	big	ON	4	1.4557789111250046
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T3	big	ON	10	1.0048746992693454
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T4	big	ON	13	0.7858326403567628
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T5	big	ON	18	0.47906795185687534
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T6	big	ON	28	0.2989063603270443
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T7	big	ON	44	0.14278662232843845
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	Tbackground	big	ON	NA	0
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T1	big	OFF_short	4	0.9603248228198312
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T3	big	OFF_short	10	0.5194015870168845
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T4	big	OFF_short	13	0.39466443557514735
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T5	big	OFF_short	18	0.25836820445955483
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T6	big	OFF_short	28	0.15300289365643965
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T7	big	OFF_short	44	0.07316824855889682
[  1.00,   7.78)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	Tbackground	big	OFF_short	NA	0
[  1.00,   7.78)	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	T1	big	OFF	4	0.6292798354938369
[  1.00,   7.78)	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	T3	big	OFF	10	0.3356403087692832
[  1.00,   7.78)	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	T4	big	OFF	13	0.2730519731000873
[  1.00,   7.78)	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	T5	big	OFF	18	0.2126718363743758
[  1.00,   7.78)	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	T6	big	OFF	28	0.15890937502169616
[  1.00,   7.78)	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	T7	big	OFF	44	0.12021129462638792
[  1.00,   7.78)	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	Tbackground	big	OFF	NA	0
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T1	small	ON	4	3.667626050794097
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T3	small	ON	10	1.9097896185590189
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T4	small	ON	13	1.2444704599411986
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T5	small	ON	18	0.7403730079715433
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T6	small	ON	28	0.26255416662617154
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	T7	small	ON	44	0.084376811744461655
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	exp250624	MS1039	1.5hr-arrest_1hr-DMSO	Tbackground	small	ON	NA	0
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T1	small	OFF_short	4	5.205186125439442
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T3	small	OFF_short	10	3.2309703128729463
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T4	small	OFF_short	13	2.475111716880245
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T5	small	OFF_short	18	1.7134968177458945
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T6	small	OFF_short	28	0.8266807755609987
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	T7	small	OFF_short	44	0.3688030063766283
[  7.78,  14.27)	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	exp250624	MS1039	1.5hr-arrest_30min-PhIAA	Tbackground	small	OFF_short	NA	0
[  7.78,  14.27)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T1	small	OFF	4	5.3840380394470095
[  7.78,  14.27)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T3	small	OFF	10	2.8167205445803387
[  7.78,  14.27)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T4	small	OFF	13	2.370928944297119
[  7.78,  14.27)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T5	small	OFF	18	1.9044887810083173
[  7.78,  14.27)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T6	small	OFF	28	1.3724843500293042
[  7.78,  14.27)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	T7	small	OFF	44	0.8094099208100466
[  7.78,  14.27)	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	Tbackground	small	OFF	NA	0
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T1	big	ON	4	2.3887225421858824
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T3	big	ON	10	1.6668643542562886
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T4	big	ON	13	1.245854943153169
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T5	big	ON	18	0.7632032175955823
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T6	big	ON	28	0.43472800264295924
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	T7	big	ON	44	0.19825203107697895
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	exp250624	MS1039	7.5hr-arrest_1hr-DMSO	Tbackground	big	ON	NA	0
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T1	big	OFF_short	4	1.6671160453616936
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T3	big	OFF_short	10	1.107334382539134
[  7.78,  14.27)	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	exp250624	MS1039	7.5hr-arrest_30min-PhIAA	T4	big	OFF_short	13	0.8465004704502934
