query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	1.5493284112391824e-27	362	462	113	0.24458874458874458	0.31215469613259667	GO:0042254	GO:BP	ribosome biogenesis	4618	9411	
query_1	TRUE	1.8917525599084198e-26	315	462	103	0.22294372294372294	0.326984126984127	GO:0016072	GO:BP	rRNA metabolic process	4618	4856	
query_1	TRUE	1.5080052667768513e-25	258	462	91	0.19696969696969696	0.35271317829457366	GO:0006364	GO:BP	rRNA processing	4618	2032	
query_1	TRUE	3.569771912850797e-24	451	462	123	0.2662337662337662	0.2727272727272727	GO:0022613	GO:BP	ribonucleoprotein complex biogenesis	4618	6185	
query_1	TRUE	2.82515894284762e-17	125	462	53	0.11471861471861472	0.424	GO:0030490	GO:BP	maturation of SSU-rRNA	4618	6372	
query_1	TRUE	5.8060112173895634e-15	518	462	117	0.2532467532467532	0.22586872586872586	GO:0006396	GO:BP	RNA processing	4618	2049	
query_1	TRUE	1.562496712375896e-14	145	462	54	0.11688311688311688	0.3724137931034483	GO:0042274	GO:BP	ribosomal small subunit biogenesis	4618	9422	
query_1	TRUE	6.388584865830716e-14	94	462	42	0.09090909090909091	0.44680851063829785	GO:0000462	GO:BP	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	151	
query_1	TRUE	2.732293342660084e-13	124	462	48	0.1038961038961039	0.3870967741935484	GO:0042273	GO:BP	ribosomal large subunit biogenesis	4618	9421	
query_1	TRUE	1.954752999832629e-12	1144	462	192	0.4155844155844156	0.16783216783216784	GO:0141187	GO:BP	nucleic acid biosynthetic process	4618	18825	
query_1	TRUE	5.3766471362612095e-12	1103	462	186	0.4025974025974026	0.1686310063463282	GO:0032774	GO:BP	RNA biosynthetic process	4618	7314	
query_1	TRUE	1.6620048171834715e-11	1234	462	200	0.4329004329004329	0.1620745542949757	GO:0016070	GO:BP	RNA metabolic process	4618	4854	
query_1	TRUE	3.1552364492522175e-10	1759	462	254	0.5497835497835498	0.14440022740193292	GO:0010467	GO:BP	gene expression	4618	3976	
query_1	TRUE	6.465482441316847e-10	1932	462	271	0.5865800865800865	0.14026915113871635	GO:0009059	GO:BP	macromolecule biosynthetic process	4618	3095	
query_1	TRUE	8.666364030224857e-10	1250	462	197	0.4264069264069264	0.1576	GO:0034654	GO:BP	nucleobase-containing compound biosynthetic process	4618	8134	
query_1	TRUE	9.050425204802558e-10	80	462	34	0.0735930735930736	0.425	GO:0001510	GO:BP	RNA methylation	4618	312	
query_1	TRUE	2.2454497858067754e-9	65	462	30	0.06493506493506493	0.46153846153846156	GO:0000154	GO:BP	rRNA modification	4618	51	
query_1	TRUE	1.0602655713141053e-8	151	462	47	0.10173160173160173	0.31125827814569534	GO:0009451	GO:BP	RNA modification	4618	3341	
query_1	TRUE	1.638211663774963e-8	101	462	37	0.08008658008658008	0.36633663366336633	GO:0043414	GO:BP	macromolecule methylation	4618	10009	
query_1	TRUE	2.3365714126355756e-08	102	462	37	0.08008658008658008	0.3627450980392157	GO:0032259	GO:BP	methylation	4618	6959	
query_1	TRUE	3.880050092994132e-7	81	462	31	0.0670995670995671	0.38271604938271603	GO:0000466	GO:BP	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	155	
query_1	TRUE	4.5848589423273893e-7	91	462	33	0.07142857142857142	0.3626373626373626	GO:0000460	GO:BP	maturation of 5.8S rRNA	4618	149	
query_1	TRUE	8.461798978964178e-7	52	462	24	0.05194805194805195	0.46153846153846156	GO:0031167	GO:BP	rRNA methylation	4618	6631	
query_1	TRUE	1.1215941818798696e-6	61	462	26	0.05627705627705628	0.4262295081967213	GO:0000470	GO:BP	maturation of LSU-rRNA	4618	158	
query_1	TRUE	1.4585005254876834e-6	1250	462	187	0.40476190476190477	0.1496	GO:0044085	GO:BP	cellular component biogenesis	4618	10211	
query_1	TRUE	3.852898347247586e-6	39	462	20	0.04329004329004329	0.5128205128205128	GO:0000447	GO:BP	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	139	
query_1	TRUE	8.5063030959612e-6	1482	462	210	0.45454545454545453	0.1417004048582996	GO:0090304	GO:BP	nucleic acid metabolic process	4618	16982	
query_1	TRUE	2.0959055959640896e-5	46	462	21	0.045454545454545456	0.45652173913043476	GO:0000463	GO:BP	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	152	
query_1	TRUE	7.523206072730032e-5	53	462	22	0.047619047619047616	0.41509433962264153	GO:0000479	GO:BP	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4618	166	
