ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006793	phosphorus metabolic process	68/462	456/4617	0.14912280701754385	1.4902597402597402	3.6768690929600116	3.102993060890314e-4	0.004835833341647242	0.004191055562760943	YMR169C/YGR043C/YGR256W/YKL151C/YJL052W/YMR105C/YOR120W/YOR374W/YCL040W/YNL200C/YMR271C/YGL037C/YIL155C/YJL153C/YMR020W/YMR120C/YMR096W/YJR073C/YER037W/YGL248W/YML070W/YOL016C/YOR347C/YDL022W/YKL067W/YDR516C/YGR254W/YLR099C/YPR149W/YKL035W/YGR209C/YGR149W/YMR095C/YJL057C/YGR244C/YMR291W/YBL091C-A/YLR174W/YPL134C/YOR317W/YJR019C/YGR110W/YOL032W/YNR001C/YIL107C/YOR155C/YIL042C/YIL124W/YJR078W/YDR530C/YFR047C/YGL059W/YPL014W/YBR111C/YDR287W/YJL060W/YGL180W/YPL206C/YCR068W/YOR163W/YDR284C/YOR142W/YDR481C/YOR054C/YJL005W/YJL155C/YDL066W/Q0130	68
BP	GO:0098869	cellular oxidant detoxification	10/462	29/4617	0.3448275862068966	3.446036721898791	4.405737734804797	3.1642491227084095e-4	0.004868075573397553	0.004218998830277879	YDR453C/YBL064C/YCL035C/YIR038C/YKR076W/YDR513W/YHR106W/YHR008C/YDL010W/YIR037W	10
BP	GO:0043605	amide catabolic process	8/462	20/4617	0.4	3.9974025974025977	4.479104542956923	4.018911309873396e-4	0.006104675407402627	0.00529071868641561	YIR029W/YIR031C/YDR242W/YIR032C/YJR078W/YBR208C/YFR047C/YJL060W	8
BP	GO:0006089	lactate metabolic process	10/462	30/4617	0.3333333333333333	3.331168831168831	4.2710864191687525	4.328953403418444e-4	0.006493430105127667	0.005627639424443978	YJL052W/YOR374W/YCL040W/YOR347C/YGR254W/YDR533C/YML004C/YOR040W/YBR145W/YDR272W	10
BP	GO:0062197	cellular response to chemical stress	27/462	140/4617	0.19285714285714287	1.9273191094619666	3.7150790049714812	5.434078841859828e-4	0.00805048717312567	0.006977088883375581	YGR043C/YDR453C/YOR120W/YJR096W/YBR006W/YBL064C/YPL230W/YBR046C/YHR104W/YCL035C/YDL124W/YOL016C/YDL022W/YDR533C/YDR513W/YMR291W/YCR083W/YKL150W/YHR106W/YHR008C/YNL036W/YDL010W/YCL033C/YIR037W/YFR014C/YLR248W/YBR024W	27
BP	GO:0009250	glucan biosynthetic process	12/462	42/4617	0.2857142857142857	2.855287569573284	4.027251060995817	5.859484795588965e-4	0.008574855798422876	0.007431541691966493	YMR105C/YFR017C/YPR184W/YLR258W/YKR058W/YKL035W/YIL050W/YAL017W/YGR032W/YIL045W/YJL137C/YPL219W	12
BP	GO:0015718	monocarboxylic acid transport	9/462	26/4617	0.34615384615384615	3.459290709290709	4.192868775830021	6.132993284895691e-4	0.008866978243222686	0.007684714477459662	YJR152W/YML042W/YER024W/YGR243W/YKL217W/YOR317W/YPL147W/YJL079C/YKL188C	9
BP	GO:0046434	organophosphate catabolic process	14/462	54/4617	0.25925925925925924	2.590909090909091	3.9208965404058524	6.221356576303244e-4	0.008887652251861779	0.00770263195161354	YJL052W/YCL040W/YER037W/YGL248W/YOR347C/YDL022W/YDR516C/YGR254W/YNR001C/YDR287W/YPL206C/YCR068W/YOR163W/YDR481C	14
BP	GO:0044042	glucan metabolic process	15/462	61/4617	0.2459016393442623	2.457419629550777	3.8205514118001247	7.368820465422859e-4	0.010403040657067566	0.009015968569458558	YMR105C/YFR017C/YPR184W/YLR258W/YBR056W/YKR058W/YKL035W/YIL050W/YAL017W/YGR032W/YIL045W/YNR007C/YJL137C/YFR003C/YPL219W	15
BP	GO:0009117	nucleotide metabolic process	30/462	165/4617	0.18181818181818182	1.8170011806375443	3.5633251424488326	7.66515781554692e-4	0.01069556904494919	0.0092694931722893	YGR043C/YGR256W/YKL151C/YJL052W/YOR374W/YCL040W/YNL200C/YMR271C/YGL037C/YIL155C/YMR120C/YER037W/YGL248W/YOR347C/YKL067W/YDR516C/YGR254W/YGR209C/YLR174W/YPL134C/YOR155C/YJR078W/YDR530C/YFR047C/YJL060W/YOR163W/YDR481C/YJL005W/YDL066W/Q0130	30
