sample	sample_updated	sample_short	strain_id	strain_info	media	arrest	treatment	experiment	DNA_ratio_A_file_name	DNA_ratio_A	DNA_ratio_B_file_name	DNA_ratio_B	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	ref1	ref2	sample_ref1	sample_ref2	exp_group_1	exp_group_2
2026-01-03-AC251128L01_exp251111_MS756c2_SCD_1hr-arrest_polyA-RNA	exp251111_MS756c2_SCD_1hr-arrest_polyA-RNA	MS756_SCD_1hr-arrest	MS756c2	AID-Bcy1	SCD	1hr-arrest	control	exp251111								66.49	TRUE	TRUE	MS756_SCD_1hr-arrest	MS756_SCD_1hr-arrest	A	A
2026-01-03-AC251128L02_exp251111_MS756c2_SCD_1hr-arrest_PhIAA_polyA-RNA	exp251111_MS756c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_PhIAA	MS756c2	AID-Bcy1	SCD	1hr-arrest	PhIAA	exp251111								69.52	FALSE	TRUE	MS756_SCD_1hr-arrest	MS756_SCD_1hr-arrest_PhIAA	A	A
2026-01-03-AC251128L03_exp251111_MS756c2_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	exp251111_MS756c2_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_Torin+PhIAA	MS756c2	AID-Bcy1	SCD	1hr-arrest	Torin+PhIAA	exp251111								66.88	FALSE	TRUE	MS756_SCD_1hr-arrest	MS756_SCD_1hr-arrest_Torin+PhIAA	A	A
2026-01-03-AC251128L04_exp251111_MS756c2_SCD_4hr50min-arrest_polyA-RNA	exp251111_MS756c2_SCD_4hr50min-arrest_polyA-RNA	MS756_SCD_Large-G1arrest	MS756c2	AID-Bcy1	SCD	4hr50min	control	exp251111								262.46	FALSE	FALSE	MS756_SCD_1hr-arrest	MS756_SCD_1hr-arrest	A	A
2026-01-03-AC251128L05_exp251111_MS756c2_SCD_4hr50min-arrest_PhIAA_polyA-RNA	exp251111_MS756c2_SCD_4hr50min-arrest_PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_PhIAA	MS756c2	AID-Bcy1	SCD	4hr50min	PhIAA	exp251111								267.91	FALSE	FALSE	MS756_SCD_1hr-arrest	MS756_SCD_1hr-arrest_PhIAA	A	A
2026-01-03-AC251128L06_exp251111_MS756c2_SCD_4hr50min-arrest_Torin+PhIAA_polyA-RNA	exp251111_MS756c2_SCD_4hr50min-arrest_Torin+PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_Torin+PhIAA	MS756c2	AID-Bcy1	SCD	4hr50min	Torin+PhIAA	exp251111								294.49	FALSE	FALSE	MS756_SCD_1hr-arrest	MS756_SCD_1hr-arrest_Torin+PhIAA	A	A
2026-01-03-AC251202L01_exp251106_MS1007_SCD_1hr-arrest_ATC_polyA-RNA	exp251106_MS1007_SCD_1hr-arrest_ATC_polyA-RNA	MS1007_SCD_1hr-arrest_ATC	MS1007	Sch9(2d3E)	SCD	1hr-arrest	ATC	exp251106								70.98	FALSE	TRUE	MS951_SCD_1hr-arrest_ATC	MS1007_SCD_1hr-arrest_ATC	B	B
2026-01-03-AC251202L02_exp251106_MS1007_SCD_5hr-arrest_ATC_polyA-RNA	exp251106_MS1007_SCD_5hr-arrest_ATC_polyA-RNA	MS1007_SCD_5hr-arrest_ATC	MS1007	Sch9(2d3E)	SCD	5hr-arrest	ATC	exp251106								293.86	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1007_SCD_1hr-arrest_ATC	B	B
2026-01-03-AC251202L03_exp251106_MS1007_SCD_5hr-arrest_ATCLong_polyA-RNA	exp251106_MS1007_SCD_5hr-arrest_ATCLong_polyA-RNA	MS1007_SCD_5hr-arrest_ATCLong	MS1007	Sch9(2d3E)	SCD	5hr-arrest	ATC	exp251106								287.31	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1007_SCD_1hr-arrest_ATC	B	B
2026-01-03-AC251202L04_exp251106_MS1116_SCD_1hr-arrest_ATC_polyA-RNA	exp251106_MS1116_SCD_1hr-arrest_ATC_polyA-RNA	MS1116_SCD_1hr-arrest_ATC	MS116	Gtr2(s23L)-Gtr1(q65L)	SCD	1hr-arrest	ATC	exp251106								65.94	FALSE	TRUE	MS951_SCD_1hr-arrest_ATC	MS1116_SCD_1hr-arrest_ATC	B	C
