sample	sample_updated	sample_short	strain_id	strain_info	media	arrest	treatment	experiment	DNA_ratio_A_file_name	DNA_ratio_A	DNA_ratio_B_file_name	DNA_ratio_B	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	ref1	ref2	sample_ref1	sample_ref2	exp_group_1	exp_group_2
2026-01-03-AC251202L05_exp251106_MS1116_SCD_5hr-arrest_ATC_polyA-RNA	exp251106_MS1116_SCD_5hr-arrest_ATC_polyA-RNA	MS1116_SCD_5hr-arrest_ATC	MS116	Gtr2(s23L)-Gtr1(q65L)	SCD	5hr-arrest	ATC	exp251106								221.56	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1116_SCD_1hr-arrest_ATC	B	C
2026-01-03-AC251202L06_exp251106_MS1116_SCD_5hr-arrest_ATCLong_polyA-RNA	exp251106_MS1116_SCD_5hr-arrest_ATCLong_polyA-RNA	MS1116_SCD_5hr-arrest_ATCLong	MS116	Gtr2(s23L)-Gtr1(q65L)	SCD	5hr-arrest	ATC	exp251106								209.13	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1116_SCD_1hr-arrest_ATC	B	C
2026-01-03-AC251202L07_exp251106_MS951_SCD_1hr-arrest_ATC_polyA-RNA	exp251106_MS951_SCD_1hr-arrest_ATC_polyA-RNA	MS951_SCD_1hr-arrest_ATC	MS951	WT	SCD	1hr-arrest	ATC	exp251106								66.9	TRUE	TRUE	MS951_SCD_1hr-arrest_ATC	MS951_SCD_1hr-arrest_ATC	B	D
2026-01-03-AC251202L08_exp251106_MS951_SCD_5hr-arrest_ATC_polyA-RNA	exp251106_MS951_SCD_5hr-arrest_ATC_polyA-RNA	MS951_SCD_5hr-arrest_ATC	MS951	WT	SCD	5hr-arrest	ATC	exp251106								272.89	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS951_SCD_1hr-arrest_ATC	B	D
2026-01-03-AC251202L09_exp251106_MS951_SCD_5hr-arrest_ATCLong_polyA-RNA	exp251106_MS951_SCD_5hr-arrest_ATCLong_polyA-RNA	MS951_SCD_5hr-arrest_ATCLong	MS951	WT	SCD	5hr-arrest	ATC	exp251106								285.74	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS951_SCD_1hr-arrest_ATC	B	D
2026-01-03-AC251203L01_exp251017_MS69_SCD_1hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_1hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_1hr-arrest	MS69	WT	SCD	1hr-arrest	OD 0.1	exp251017								72.61	TRUE	TRUE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L01_exp251017_MS69_SCD_1hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L02_exp251017_MS69_SCD_1hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_1hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_1hr-arrest	MS69	WT	SCD	1hr-arrest	OD 0.3	exp251017								70.88	TRUE	FALSE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L01_exp251017_MS69_SCD_1hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L03_exp251017_MS69_SCD_2hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_2hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_2hr-arrest	MS69	WT	SCD	2hr-arrest	OD 0.1	exp251017								84.64	FALSE	TRUE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L03_exp251017_MS69_SCD_2hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L04_exp251017_MS69_SCD_2hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_2hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_2hr-arrest	MS69	WT	SCD	2hr-arrest	OD 0.3	exp251017								84.48	FALSE	FALSE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L03_exp251017_MS69_SCD_2hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L05_exp251017_MS69_SCD_3hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_3hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_3hr-arrest	MS69	WT	SCD	3hr-arrest	OD 0.1	exp251017								133.51	FALSE	TRUE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L05_exp251017_MS69_SCD_3hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L06_exp251017_MS69_SCD_3hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_3hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_3hr-arrest	MS69	WT	SCD	3hr-arrest	OD 0.3	exp251017								130.03	FALSE	FALSE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L05_exp251017_MS69_SCD_3hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L07_exp251017_MS69_SCD_4hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_4hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_4hr-arrest	MS69	WT	SCD	4hr-arrest	OD 0.1	exp251017								198.5	FALSE	TRUE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L07_exp251017_MS69_SCD_4hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L08_exp251017_MS69_SCD_4hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_4hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_4hr-arrest	MS69	WT	SCD	4hr-arrest	OD 0.3	exp251017								195.48	FALSE	FALSE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L07_exp251017_MS69_SCD_4hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L09_exp251017_MS69_SCD_5hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_5hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_5hr-arrest	MS69	WT	SCD	5hr-arrest	OD 0.1	exp251017								288.42	FALSE	TRUE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L09_exp251017_MS69_SCD_5hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L10_exp251017_MS69_SCD_5hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_5hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_5hr-arrest	MS69	WT	SCD	5hr-arrest	OD 0.3	exp251017								276.46	FALSE	FALSE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L09_exp251017_MS69_SCD_5hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L11_exp251017_MS69_SCD_6hr-arrest_OD-0.1_polyA-RNA	exp251017_MS69_SCD_6hr-arrest_OD-0.1_polyA-RNA	MS69_SCD_6hr-arrest	MS69	WT	SCD	6hr-arrest	OD 0.1	exp251017								349.1	FALSE	TRUE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L11_exp251017_MS69_SCD_6hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L12_exp251017_MS69_SCD_6hr-arrest_OD-0.3_polyA-RNA	exp251017_MS69_SCD_6hr-arrest_OD-0.3_polyA-RNA	MS69_SCD_6hr-arrest	MS69	WT	SCD	6hr-arrest	OD 0.3	exp251017								343.24	FALSE	FALSE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L11_exp251017_MS69_SCD_6hr-arrest_OD-0.1_polyA-RNA	C	E
2026-01-03-AC251203L13_exp251017_MS69_SCD_6hr10min-arrest_OD-0.1_Torin-washout_polyA-RNA	exp251017_MS69_SCD_6hr10min-arrest_OD-0.1_Torin-washout_polyA-RNA	MS69_SCD_6hr10min-arrest_OD-0.1_Torin-washout	MS69	WT	SCD	6hr10min-arrest	Torin_OD 0.1	exp251017								89.34	FALSE	TRUE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L13_exp251017_MS69_SCD_6hr10min-arrest_OD-0.1_Torin-washout_polyA-RNA	C	E
2026-01-03-AC251203L14_exp251017_MS69_SCD_6hr10min-arrest_OD-0.3_Torin-washout_polyA-RNA	exp251017_MS69_SCD_6hr10min-arrest_OD-0.3_Torin-washout_polyA-RNA	MS69_SCD_6hr10min-arrest_OD-0.3_Torin-washout	MS69	WT	SCD	6hr10min-arrest	Torin_OD 0.3	exp251017								97.01	FALSE	FALSE	MS69_SCD_1hr-arrest	2026-01-03-AC251203L13_exp251017_MS69_SCD_6hr10min-arrest_OD-0.1_Torin-washout_polyA-RNA	C	E
