sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2022-12-22-221209L01_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-04min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-04min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-04min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T1	4	input
2022-12-22-221209L02_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-10min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-10min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-10min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T3	10	input
2022-12-22-221209L03_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-16min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-16min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-16min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T5	16	input
2022-12-22-221209L04_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-28min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-28min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-28min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T6	28	input
2022-12-22-221209L05_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-40min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-40min-chase_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-40min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T7	40	input
2022-12-22-221209L06_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_00uM-EU_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_00uM-EU_input	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_00uM-EU	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	Tbackground	NA	input
2022-12-22-221209L07_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-04min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-04min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-04min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T1	4	input
2022-12-22-221209L08_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-10min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-10min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-10min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T3	10	input
2022-12-22-221209L09_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-16min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-16min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-16min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T5	16	input
2022-12-22-221209L10_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-28min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-28min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-28min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T6	28	input
2022-12-22-221209L11_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-40min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-40min-chase_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-40min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T7	40	input
