sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-05-12-MS250423L01_exp250415_MS908_SCGEuri_1.5hr-arrest_no-EU_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	Tbackground	NA	input
2025-05-12-MS250423L02_exp250415_MS908_SCGEuri_1.5hr-arrest_04min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T1	4	input
2025-05-12-MS250423L03_exp250415_MS908_SCGEuri_1.5hr-arrest_07min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T2	7	input
2025-05-12-MS250423L04_exp250415_MS908_SCGEuri_1.5hr-arrest_10min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T3	10	input
2025-05-12-MS250423L05_exp250415_MS908_SCGEuri_1.5hr-arrest_13min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T4	13	input
2025-05-12-MS250423L06_exp250415_MS908_SCGEuri_1.5hr-arrest_18min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T5	18	input
2025-05-12-MS250423L07_exp250415_MS908_SCGEuri_1.5hr-arrest_28min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T6	28	input
2025-05-12-MS250423L08_exp250415_MS908_SCGEuri_1.5hr-arrest_44min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase_input	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T7	44	input
2025-05-12-MS250423L09_exp250415_MS908_SCGEuri_7.5hr-arrest_no-EU_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	Tbackground	NA	input
2025-05-12-MS250423L10_exp250415_MS908_SCGEuri_7.5hr-arrest_04min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T1	4	input
2025-05-12-MS250423L11_exp250415_MS908_SCGEuri_7.5hr-arrest_07min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T2	7	input
2025-05-12-MS250423L12_exp250415_MS908_SCGEuri_7.5hr-arrest_10min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T3	10	input
2025-05-12-MS250423L13_exp250415_MS908_SCGEuri_7.5hr-arrest_13min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T4	13	input
2025-05-12-MS250423L14_exp250415_MS908_SCGEuri_7.5hr-arrest_18min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T5	18	input
2025-05-12-MS250423L15_exp250415_MS908_SCGEuri_7.5hr-arrest_28min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T6	28	input
