gene_id,TE_WT_Arava,TE_WT_Park_HP,TE_WT_Park_LP,TE_WT_Gerashchenko,is_ambiguous_Gerashchenko,TE_WT_Sen,TE_WT_Arava_mean_norm,TE_WT_Park_HP_mean_norm,TE_WT_Park_LP_mean_norm,TE_WT_Gerashchenko_mean_norm,TE_WT_Sen_mean_norm,TE_WT_PP,TE_WT_RS,TPMsc_input_small_YM,TPMsc_MandP_small_YM,TPMsc_P_small_YM,TPMsc_input_large_YM,TPMsc_MandP_large_YM,TPMsc_P_large_YM,TE_rRNAdep_MandP_small_YM,TE_rRNAdep_P_small_YM,TE_rRNAdep_MandP_large_YM,TE_rRNAdep_P_large_YM,TE_polyA_MandP_small_YM,TE_polyA_P_small_YM,TE_polyA_MandP_large_YM,TE_polyA_P_large_YM,TPMsc_input_polyA_small_YM,TPMsc_input_polyA_large_YM
YBR158W,0.031722364,0.810530146,0.799451476,0.182361153,FALSE,0.353553391,0.093490359,0.739928754,0.692199885,0.19275812,0.292567754,0.508539666,0.242662937,154.0016956,144.8619553,144.0260587,22.36321513,23.05594576,36.56853838,0.94065169,0.93522385,1.030976344,1.635209346,0.820757156,0.816021142,0.60393431,0.957887186,176.4979499,38.17624759
YKL116C,0.139193449,1.008005818,0.978962343,0.504269925,FALSE,0.517632462,0.410223076,0.920203267,0.847628207,0.533019896,0.428344263,0.726018183,0.48068208,35.18447981,32.3235799,30.35661755,35.8970795,30.7136062,32.6149344,0.918688583,0.862784322,0.85560181,0.908567907,0.905211338,0.850127197,1.191915034,1.265700628,35.70832418,25.76828492
YIL009W,NA,0.703298946,0.611257677,0.398500794,FALSE,1.117287138,NA,0.642037949,0.529253503,0.421220544,0.924562447,0.585645726,0.672891495,53.72469388,38.25099676,43.30913456,65.79377588,59.19938372,64.34009089,0.711981661,0.806130876,0.899771793,0.977905433,0.614533877,0.695797041,0.785852601,0.85409382,62.24391882,75.331409
YLR273C,NA,0.765139739,0.781723451,0.334626284,FALSE,0.5,NA,0.698492087,0.676850189,0.353704352,0.413753285,0.687671138,0.383728819,44.76659905,29.74051263,31.66789685,80.16012647,66.99666966,70.99791309,0.664346036,0.707400105,0.835785479,0.885701111,0.901542561,0.959968552,1.333154918,1.412774955,32.98847321,50.25422684
YKL163W,0.474215644,1.405472954,1.077100252,0.176364097,FALSE,1.765405993,1.397581578,1.283048948,0.93260028,0.186419154,1.460885057,1.204410268,0.823652106,458.0641773,344.6403298,342.4966133,3974.824198,2608.999281,2844.379107,0.752384375,0.747704427,0.65638105,0.71559872,1.465455309,1.456339948,0.982599536,1.071248126,235.1762812,2655.20101
YKL164C,0.457959649,1.114643732,0.858606227,2.932726153,FALSE,2.250116969,1.349672827,1.017552464,0.743418642,3.099929841,1.861986575,1.036881311,2.480958208,807.187592,644.6955615,666.6054025,1779.322616,1270.753622,1300.478031,0.798693597,0.825837029,0.714178312,0.730883775,1.182051582,1.222223353,1.12799681,1.154381971,545.4039158,1126.557815
YNL327W,0.244126695,0.535075475,0.415454555,2.428005356,FALSE,1.057018041,0.719476416,0.488467618,0.359718637,2.566433367,0.874689373,0.522554224,1.72056137,271.8551485,166.3774037,157.2754557,12.84924552,10.80896446,11.58843286,0.612007551,0.578526677,0.841213941,0.901876522,0.922180643,0.871731242,2.328907887,2.496852754,180.4173673,4.641215964
YLR079W,NA,1.088665664,0.979493666,0.576158034,FALSE,0.732042848,NA,0.993837221,0.848088249,0.609006565,0.605770266,0.920962735,0.607388416,63.39713015,69.50021949,74.4551689,68.75211946,79.46089033,85.790445,1.096267596,1.17442491,1.155759138,1.24782255,0.609241105,0.652676347,0.718741145,0.775993352,114.0767078,110.5556443
YGR086C,0.612234412,1.312662602,1.185824856,1.97622167,FALSE,2.411615655,1.804342699,1.19832286,1.026738775,2.088892112,1.995627799,1.343134778,2.042259955,1219.53134,1126.982918,1128.675936,1137.414206,1074.401841,1032.415635,0.924111486,0.925499739,0.944600337,0.907686601,1.627192379,1.62963684,1.85969483,1.787020409,692.5935329,577.7301868
YNR067C,0.019696869,0.589893599,0.519558682,2.301490473,FALSE,1.765405993,0.058049502,0.538510798,0.449856521,2.432705484,1.460885057,0.348805607,1.946795271,188.223426,101.533531,92.90646971,0.756313947,0.669132148,0.862168426,0.539430895,0.493596741,0.88472803,1.139961031,1.084181367,0.992061069,1.643143194,2.11716951,93.64995023,0.407226924
YBL111C,0.021838454,0.640081724,0.464002219,0.255186686,TRUE,0.293208737,0.064361059,0.584327276,0.401753317,0.269735659,0.242632156,0.350147217,0.256183908,0.677405138,3.478141452,1.11152303,3.058270622,5.82855486,4.080323613,5.134507043,1.640854147,1.905833584,1.334193117,2.061860378,0.658916644,6.011123041,4.20813184,1.686894752,0.969628274
