Gene_ID	Gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Direction	Model_factor
YNR002C	ATO2	62.37548878	2.845464389	0.226974253	10.3336143	4.97E-25	6.87E-23	Upregulated	Age_48h_vs_log
YNL014W	HEF3	333.3606486	1.922222582	0.138562406	10.26413024	1.02E-24	1.39E-22	Upregulated	Age_48h_vs_log
YOR134W	BAG7	116.5077057	2.344411812	0.180246187	10.23273692	1.41E-24	1.88E-22	Upregulated	Age_48h_vs_log
YIR039C	YPS6	395.468546	2.220081239	0.168303446	10.22011895	1.61E-24	2.10E-22	Upregulated	Age_48h_vs_log
YEL070W	DSF1	107.8586226	2.806555844	0.22682491	10.16888243	2.73E-24	3.49E-22	Upregulated	Age_48h_vs_log
YOR062C	YOR062C	230.2142499	1.747007314	0.123094156	10.13051598	4.05E-24	5.07E-22	Upregulated	Age_48h_vs_log
YKL026C	GPX1	94.77159923	2.076018765	0.156093897	10.09660723	5.72E-24	7.03E-22	Upregulated	Age_48h_vs_log
YGR243W	MPC3	86.47959298	2.920011326	0.240040107	10.08169575	6.66E-24	8.04E-22	Upregulated	Age_48h_vs_log
YJR008W	MHO1	243.1578539	1.661946243	0.115466821	10.06303137	8.05E-24	9.55E-22	Upregulated	Age_48h_vs_log
YPR151C	SUE1	55.9647343	2.77707126	0.226400426	10.05771632	8.49E-24	9.90E-22	Upregulated	Age_48h_vs_log
YHR139C	SPS100	55.73347055	3.362277501	0.28486898	10.04769809	9.40E-24	1.08E-21	Upregulated	Age_48h_vs_log
YFL030W	AGX1	216.8099373	2.236768978	0.173402038	10.01585098	1.30E-23	1.46E-21	Upregulated	Age_48h_vs_log
YGR225W	AMA1	95.90512721	2.498673926	0.20077659	9.954715984	2.41E-23	2.66E-21	Upregulated	Age_48h_vs_log
YKL163W	PIR3	3560.43709	3.800700259	0.332385795	9.930328869	3.07E-23	3.35E-21	Upregulated	Age_48h_vs_log
YNL237W	YTP1	85.88824886	2.197653049	0.171685135	9.888177266	4.68E-23	5.02E-21	Upregulated	Age_48h_vs_log
YLR377C	FBP1	57.95573634	4.248609525	0.379224431	9.884936775	4.84E-23	5.10E-21	Upregulated	Age_48h_vs_log
YBR203W	COS111	429.2390481	1.962970493	0.148899387	9.825228441	8.77E-23	9.10E-21	Upregulated	Age_48h_vs_log
YBR085C-A	YBR085C-A	951.1186385	1.689530258	0.121308807	9.805802985	1.06E-22	1.07E-20	Upregulated	Age_48h_vs_log
YIL155C	GUT2	965.5945549	1.699217633	0.122291815	9.806197	1.06E-22	1.07E-20	Upregulated	Age_48h_vs_log
YBR033W	EDS1	128.3669266	2.581475334	0.213262633	9.760150219	1.67E-22	1.65E-20	Upregulated	Age_48h_vs_log
YDL169C	UGX2	107.0305082	2.488005935	0.204094791	9.740601051	2.02E-22	1.98E-20	Upregulated	Age_48h_vs_log
YLR356W	ATG33	461.3376803	1.552515945	0.108228533	9.7249396	2.36E-22	2.24E-20	Upregulated	Age_48h_vs_log
YEL039C	CYC7	175.8687032	2.032431491	0.15758082	9.724733581	2.37E-22	2.24E-20	Upregulated	Age_48h_vs_log
YFL054C	AQY3	482.7565439	1.846140925	0.139129385	9.675460921	3.83E-22	3.59E-20	Upregulated	Age_48h_vs_log
YIL107C	PFK26	1157.68158	1.586571077	0.112687557	9.642334168	5.30E-22	4.89E-20	Upregulated	Age_48h_vs_log
YDR034W-B	YDR034W-B	55.20562923	2.83483664	0.242236519	9.638664912	5.49E-22	4.93E-20	Upregulated	Age_48h_vs_log
YLR258W	GSY2	1446.013387	1.652420533	0.119557259	9.639067847	5.47E-22	4.93E-20	Upregulated	Age_48h_vs_log
YLR142W	PUT1	1438.5118	3.422219129	0.303922961	9.614999533	6.91E-22	6.12E-20	Upregulated	Age_48h_vs_log
YPL222W	FMP40	383.7298684	1.45882349	0.099784085	9.608982099	7.33E-22	6.40E-20	Upregulated	Age_48h_vs_log
YHR215W	PHO12	1159.042579	-2.312768517	0.189204771	-9.580987363	9.61E-22	8.29E-20	Downregulated	Age_48h_vs_log
YIL101C	XBP1	282.558382	3.458304492	0.308916088	9.576401523	1.00E-21	8.56E-20	Upregulated	Age_48h_vs_log
YJL161W	FMP33	130.9074703	2.085363039	0.165887932	9.556831641	1.21E-21	1.02E-19	Upregulated	Age_48h_vs_log
YIL053W	YIL053W	8663.826473	-1.702351858	0.125866661	-9.55258408	1.27E-21	1.05E-19	Downregulated	Age_48h_vs_log
YGR110W	CLD1	113.9236377	2.269612097	0.185620065	9.533517259	1.52E-21	1.25E-19	Upregulated	Age_48h_vs_log
YDL110C	TMA17	676.7169761	1.827895683	0.139830014	9.496499672	2.17E-21	1.76E-19	Upregulated	Age_48h_vs_log
YOL052C-A	DDR2	129.9947997	3.99398161	0.368924703	9.470717407	2.78E-21	2.20E-19	Upregulated	Age_48h_vs_log
YNL093W	YPT53	39.29940961	2.834419235	0.246495186	9.470445547	2.79E-21	2.20E-19	Upregulated	Age_48h_vs_log
YDR037W	KRS1	7400.528907	-1.323535102	0.087385496	-9.424162401	4.34E-21	3.35E-19	Downregulated	Age_48h_vs_log
YHR174W	ENO2	76307.48848	-1.913950915	0.150024309	-9.424812048	4.31E-21	3.35E-19	Downregulated	Age_48h_vs_log
YMR118C	SHH3	40.91495073	4.484362165	0.423401179	9.410370975	4.94E-21	3.73E-19	Upregulated	Age_48h_vs_log
YBL075C	SSA3	1050.903151	2.064386885	0.166232769	9.410821339	4.92E-21	3.73E-19	Upregulated	Age_48h_vs_log
YMR104C	YPK2	926.5879925	1.78386266	0.136663406	9.394341154	5.76E-21	4.30E-19	Upregulated	Age_48h_vs_log
YJL048C	UBX6	419.7735511	1.500250483	0.106730353	9.371752759	7.13E-21	5.26E-19	Upregulated	Age_48h_vs_log
YLR251W	SYM1	213.5829939	1.919816183	0.152157066	9.331253716	1.05E-20	7.64E-19	Upregulated	Age_48h_vs_log
YPL017C	IRC15	105.6608636	2.330351219	0.196546719	9.312550365	1.25E-20	9.01E-19	Upregulated	Age_48h_vs_log
YKL148C	SDH1	1175.109615	1.637823186	0.122204255	9.310831148	1.27E-20	9.06E-19	Upregulated	Age_48h_vs_log
