gene_id	gene_name	MS791_SCD_1hr-arrest_PhIAA_rep2	MS791_SCD_4hr45m-arrest_PhIAA_rep2	MS791_SCD_1hr-arrest_DMSO_rep2	MS791_SCD_4hr45m-arrest_DMSO_rep2	MS793_SCD_1hr-arrest_PhIAA_rep1	MS793_SCD_4hr45m-arrest_PhIAA_rep1	MS793_SCD_1hr-arrest_DMSO_rep1	MS793_SCD_4hr45m-arrest_DMSO_rep1	MS756_SCD_1hr-arrest_PhIAA_rep2	MS756_SCD_4hr45m-arrest_PhIAA_rep2	MS756_SCD_4hr45m-arrest_longPhIAA_rep2	MS756_SCD_1hr-arrest_DMSO_rep2	MS756_SCD_4hr45m-arrest_DMSO_rep2	MS756_SCD_4hr45m-arrest_longDMSO_rep2	MS69_1hr-arrest_Torin_rep1	MS69_1hr-arrest_DMSO_rep1	MS69_4.75hr-arrest_Torin_rep1	MS69_4.75hr-arrest_DMSO_rep1	MS69_1hr-arrest_Rapa_rep2	MS69_1hr-arrest_DMSO_rep2	MS69_4.75hr-arrest_Rapa_rep2	MS69_4.75hr-arrest_DMSO_rep2	MS756_1hr-arrest_PhIAA_rep1	MS756_1hr-arrest_DMSO_rep1	MS756_4.75hr-arrest_PhIAA_rep1	MS756_4.75hr-arrest_DMSO_rep1	MS791_1hr-arrest_PhIAA_rep1	MS791_1hr-arrest_DMSO_rep1	MS791_4.75hr-arrest_PhIAA_rep1	MS791_4.75hr-arrest_DMSO_rep1
YNL183C	NPR1	-0.477093129	-0.638228107	-0.054275692	-0.804290151	-0.212537952	-0.199415906	-0.088884894	-0.177428059	-0.555048047	-0.651304351	-0.337079336	-0.179729574	-0.447228837	-0.615534888	1.307078132	-0.016482967	-0.839389013	-0.224779465	1.242704989	0.016296772	-0.948545692	-0.631241138	-0.558259072	-0.146704215	-0.642413101	-0.597651457	-0.528473767	-0.376856295	-0.272829771	-1.079516518
YGR043C	NQM1	-0.690692159	1.009163361	-0.597539728	2.362481114	0.796178138	1.593257447	-0.354129132	2.083658661	-2.151063567	-2.177894075	0.178656871	-0.176945798	0.306643815	0.472689939	5.176316339	-0.391666359	6.849501622	3.858904391	3.343475449	0.307721494	5.002542367	2.032009705	-1.894610835	0.814471638	-1.315653268	-0.482050546	-0.296483285	0.211746592	0.998993975	2.130061933
YDR001C	NTH1	-0.499765121	1.850152795	0.046926547	2.841524303	-0.092635432	1.345546948	-0.459036536	2.316738176	-0.536148198	0.084510211	0.894594792	-0.141977909	1.450481764	1.44712842	3.113525985	-0.029970547	3.581155391	2.55576483	2.922482091	0.029360589	3.314855771	2.377157162	-0.491762275	-0.214818616	0.203272738	1.637350777	0.111724293	0.630544488	1.557670296	2.595719305
YBR230C	OM14	-0.563667907	1.075411253	-0.317753787	1.354203518	-0.182624883	1.184907966	-0.246405932	1.256461393	-1.626814526	-0.214196958	0.052363538	-0.202766656	0.763995167	0.92699202	1.807632275	-0.145646299	3.219137666	1.50698345	1.338908433	0.132281596	2.440000577	1.34464889	-1.125672377	0.022704337	0.015715415	0.679053622	-0.966380478	-0.265422483	1.094681488	1.31273977
YIL136W	OM45	-0.36853162	2.912726922	0.004693033	4.184031309	0.053249546	1.815732369	-0.328174463	2.555069022	-2.14902146	-2.282483256	-1.514239943	-0.313247156	0.455791147	0.647036965	3.7046145	-0.199040015	5.83514585	2.760597493	3.603685299	0.174879317	5.381436454	2.858234109	-2.242531466	0.021097157	-2.654331545	0.396310966	0.160910265	0.505952782	2.560897458	4.066879708
YFL044C	OTU1	0.139968714	0.006990616	0.241736009	0.517996643	0.305610652	-0.324420871	0.138786169	-0.186850745	-0.327440006	-1.976574713	-0.989147817	0.330957458	-0.633076704	-0.444531762	1.984014118	-0.376815371	0.553327141	-0.991848086	1.953969263	0.29849911	1.015428632	-0.110947092	-0.195189924	0.254348905	-2.110560542	-0.611973165	0.52297114	0.451269265	0.198445232	0.45066684
YPL196W	OXR1	0.233387513	0.632457135	0.17406058	0.7507032	-0.064230073	0.160959761	-0.038903875	0.560091711	-0.668145683	-1.410316758	-0.600243027	0.223957953	0.1638165	0.232288025	2.202553739	-0.143002717	1.876537902	0.277371788	1.900331172	0.130097585	2.006171139	0.433480105	-1.085936158	0.092271639	-1.887968422	0.12848119	0.166356196	-0.086122074	0.204204602	1.073306802
YMR174C	PAI3	0.468778919	2.424727895	1.522219923	3.584263505	1.543105955	2.569067661	1.133590401	3.163078175	-0.635337117	0.077246844	1.430407787	0.894619774	1.786561404	1.670193146	5.323868307	-0.404314843	8.094166807	4.303986078	5.096905514	0.315456038	6.509379259	3.271854813	1.250263963	1.743280797	0.307755824	1.791256564	2.588830713	4.204657749	3.300811669	3.774465148
YNL015W	PBI2	-1.013113286	0.388184079	-0.697110417	1.04999966	-0.42671647	-0.560314655	-0.718589107	0.011639902	-2.780801505	-1.996337049	-0.709218811	-0.703671913	-1.000644355	-0.881524081	2.85148866	0.158227613	3.42183753	0.88008039	2.323845342	-0.177743608	2.977666298	0.586493318	-2.195419398	-0.42044976	-1.77220847	-0.957838694	-0.069281255	0.412139958	0.407123371	1.016490712
YGL248W	PDE1	-0.350958486	0.839794354	-0.015162464	2.648897986	-0.464980693	0.286347856	-0.263691583	2.078279914	-1.167369762	-0.038496293	0.506439177	-0.028894135	1.015445814	1.183600507	3.12475692	0.101334526	3.193908506	2.021393758	3.304982475	-0.108993594	3.502473909	1.775155881	-1.361412505	0.155028689	-0.24552161	1.060914399	-0.086807016	0.281643215	0.589562469	2.217440367
YPL154C	PEP4	-0.744330014	0.909235058	-0.316962407	1.572989052	-0.169021432	0.707737954	-0.381262578	1.06077244	-2.143077164	-1.210908926	-0.03176184	-0.359647293	0.443989766	0.416417799	2.428982415	-0.02331198	2.379102028	1.41855741	2.135002487	0.022941272	2.214688368	1.124079132	-2.217314876	0.248031562	-0.775737031	0.396187748	0.481922924	0.885175307	0.673931665	1.375794741
YIL107C	PFK26	-0.392595835	1.35970485	-0.013254668	2.055385918	-0.400024801	0.219585101	-0.212971924	1.676726564	-1.007589654	-0.477464083	0.267796275	-0.127599768	1.037368249	0.909735027	1.303279396	0.013175031	1.737808375	1.778843416	2.291755107	-0.013296459	2.466785525	1.682688916	-1.402282932	-0.013046927	-1.12324753	0.742574739	0.132673369	0.173913076	1.205771107	1.761262131
YMR105C	PGM2	-0.269172806	1.435672248	0.035587545	2.605502006	-0.101368108	1.363069322	-0.210642628	1.72323473	-1.443632211	-1.547923819	-1.284235303	-0.29589715	-1.103275571	-0.792534986	3.683301421	-0.082845658	5.864409913	2.1940279	2.488318226	0.078345555	4.692286921	1.970491987	-1.55136902	-0.011350152	-1.74315877	-1.018190728	-0.038552483	0.315333413	0.84420448	2.553182198
YER037W	PHM8	-0.467015887	1.017159697	-0.388428858	1.832678185	0.137181771	0.968984772	-0.297501638	1.279944737	-1.539843967	-2.247810321	-1.773429117	-0.392422035	0.054705089	0.176199253	2.806097638	0.099257135	2.199446842	1.297740319	3.230585214	-0.10659388	2.823528576	1.480406379	-2.042567493	-0.380111698	-2.272333145	0.134716767	-0.941879045	-0.371784218	0.690694504	1.831539933
