sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2024-11-28-MS241108L15_exp241101_MS917_SCGEuri_7.5hr-arrest_28min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_28min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_28min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T6	28	input
2024-11-28-MS241108L16_exp241101_MS917_SCGEuri_7.5hr-arrest_44min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_44min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_44min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T7	44	input
2024-11-28-MS241108L17_exp241101_MS917_SCGEuri_1.5hr-arrest_no-EU_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_no-EU_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_no-EU	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	Tbackground	NA	EU
2024-11-28-MS241108L18_exp241101_MS917_SCGEuri_1.5hr-arrest_04min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_04min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_04min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T1	4	EU
2024-11-28-MS241108L19_exp241101_MS917_SCGEuri_1.5hr-arrest_07min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_07min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_07min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T2	7	EU
2024-11-28-MS241108L20_exp241101_MS917_SCGEuri_1.5hr-arrest_10min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_10min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_10min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T3	10	EU
2024-11-28-MS241108L21_exp241101_MS917_SCGEuri_1.5hr-arrest_13min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_13min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_13min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T4	13	EU
2024-11-28-MS241108L22_exp241101_MS917_SCGEuri_1.5hr-arrest_18min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_18min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_18min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T5	18	EU
2024-11-28-MS241108L23_exp241101_MS917_SCGEuri_1.5hr-arrest_28min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_28min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_28min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T6	28	EU
2024-11-28-MS241108L24_exp241101_MS917_SCGEuri_1.5hr-arrest_44min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_44min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_44min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T7	44	EU
2024-11-28-MS241108L25_exp241101_MS917_SCGEuri_7.5hr-arrest_no-EU_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_no-EU_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_no-EU	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	Tbackground	NA	EU
2024-11-28-MS241108L26_exp241101_MS917_SCGEuri_7.5hr-arrest_04min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_04min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_04min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T1	4	EU
2024-11-28-MS241108L27_exp241101_MS917_SCGEuri_7.5hr-arrest_07min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_07min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_07min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T2	7	EU
2024-11-28-MS241108L28_exp241101_MS917_SCGEuri_7.5hr-arrest_10min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_10min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_10min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T3	10	EU
2024-11-28-MS241108L29_exp241101_MS917_SCGEuri_7.5hr-arrest_13min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_13min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_13min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T4	13	EU
2024-11-28-MS241108L30_exp241101_MS917_SCGEuri_7.5hr-arrest_18min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_18min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_18min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T5	18	EU
2024-11-28-MS241108L31_exp241101_MS917_SCGEuri_7.5hr-arrest_28min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_28min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_28min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T6	28	EU
2024-11-28-MS241108L32_exp241101_MS917_SCGEuri_7.5hr-arrest_44min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_44min-EU-chase_EU-enrich	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_44min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T7	44	EU
