sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2024-11-28-MS241108L01_exp241101_MS917_SCGEuri_1.5hr-arrest_no-EU_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_no-EU_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_no-EU	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	Tbackground	NA	input
2024-11-28-MS241108L02_exp241101_MS917_SCGEuri_1.5hr-arrest_04min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_04min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_04min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T1	4	input
2024-11-28-MS241108L03_exp241101_MS917_SCGEuri_1.5hr-arrest_07min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_07min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_07min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T2	7	input
2024-11-28-MS241108L04_exp241101_MS917_SCGEuri_1.5hr-arrest_10min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_10min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_10min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T3	10	input
2024-11-28-MS241108L05_exp241101_MS917_SCGEuri_1.5hr-arrest_13min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_13min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_13min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T4	13	input
2024-11-28-MS241108L06_exp241101_MS917_SCGEuri_1.5hr-arrest_18min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_18min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_18min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T5	18	input
2024-11-28-MS241108L07_exp241101_MS917_SCGEuri_1.5hr-arrest_28min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_28min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_28min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T6	28	input
2024-11-28-MS241108L08_exp241101_MS917_SCGEuri_1.5hr-arrest_44min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_44min-EU-chase_input	exp241101_MS917_SCGEuri_1.5hr-arrest_PhIAA_44min-EU-chase	exp241101	MS917	XRN1-AID	1.5hr-arrest_PhIAA	exp241101_MS917_1.5hr-arrest_PhIAA	T7	44	input
2024-11-28-MS241108L09_exp241101_MS917_SCGEuri_7.5hr-arrest_no-EU_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_no-EU_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_no-EU	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	Tbackground	NA	input
2024-11-28-MS241108L10_exp241101_MS917_SCGEuri_7.5hr-arrest_04min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_04min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_04min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T1	4	input
2024-11-28-MS241108L11_exp241101_MS917_SCGEuri_7.5hr-arrest_07min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_07min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_07min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T2	7	input
2024-11-28-MS241108L12_exp241101_MS917_SCGEuri_7.5hr-arrest_10min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_10min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_10min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T3	10	input
2024-11-28-MS241108L13_exp241101_MS917_SCGEuri_7.5hr-arrest_13min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_13min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_13min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T4	13	input
2024-11-28-MS241108L14_exp241101_MS917_SCGEuri_7.5hr-arrest_18min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_18min-EU-chase_input	exp241101_MS917_SCGEuri_7.5hr-arrest_PhIAA_18min-EU-chase	exp241101	MS917	XRN1-AID	7.5hr-arrest_PhIAA	exp241101_MS917_7.5hr-arrest_PhIAA	T5	18	input
