gene_id	log2FC_pat1D	log2FC_lsm1D	log2FC_dhh1D
YDR313C	0.123721883	0.0839227823	0.250869155
YDR314C	0.114821711	0.1523870909	0.024526149
YDR315C	0.787038614	0.8111724171	0.254940262
YDR316W	0.572509271	0.6168524515	0.897741508
YDR317W	0.45118096	0.534383058	-0.856177584
YDR318W	0.22373735	0.2857470514	0.722644361
YDR319C	0.153393129	0.0962384802	0.133743225
YDR320C-A	0.64234476	0.5451604725	-0.019616945
YDR320C	-0.0987544	-0.0393319665	0.720204643
YDR320W-B	0.161522123	-0.1282798029	-0.001326614
YDR321W	-0.495359428	-0.4359572343	-0.921061083
YDR322C-A	0.469613497	0.4233381655	0.282525754
YDR322W	0.382791735	0.3529729051	0.533483762
YDR323C	0.171767373	0.0703052514	0.147469829
YDR324C	-0.446128814	-0.4232743675	-0.310065756
YDR325W	-0.338498206	-0.2092051765	0.233434714
YDR326C	-0.886743066	-0.8493403052	-0.215936966
YDR327W	0.386560249	1.0088941711	-2.145295151
YDR328C	0.438972165	0.4173006819	0.20429129
YDR329C	0.356694201	0.4069624939	0.321155562
YDR330W	-0.10785896	-0.1331913773	0.101339316
YDR331W	-0.065472023	-0.1126476122	0.23754377
YDR332W	-0.338846288	-0.3279839791	-0.842163014
YDR333C	-0.041310247	0.0254331711	0.005995878
YDR334W	-0.526853471	-0.5442132195	-0.262237072
YDR335W	-0.675901436	-0.6346319559	-0.161021412
YDR336W	-0.60226989	-0.5885399963	-0.938039181
YDR337W	0.623962226	0.5940283707	0.811522446
YDR338C	-0.282580129	-0.2910294148	0.618100997
YDR339C	0.507240001	0.421257495	0.559087687
YDR340W	-2.179489831	-2.3448926089	-2.090496511
YDR341C	-0.367118745	-0.30072812	-0.573435962
YDR342C	2.131680049	1.9652353244	2.563487129
YDR343C	4.709149742	4.3659885861	3.108430763
YDR344C	0.077499188	-0.0370637298	-0.337232475
YDR345C	-0.777689381	-0.7772325755	-1.491157322
YDR346C	-0.273491938	-0.2345466815	-0.259171985
YDR347W	0.067844355	0.0137264044	-0.059690528
YDR348C	-0.588411322	-0.528310576	-0.180503267
YDR349C	-0.303673313	-0.2605711925	-0.541636152
YDR350C	-0.270279905	-0.2914071101	-0.225732863
YDR351W	-0.475898486	-0.4579211533	0.293983809
YDR352W	-0.806002063	-0.7288382435	-0.657730453
YDR353W	-0.094499224	-0.0987046967	-0.144317669
YDR354C-A	0.001510507	0.6567715426	NA
YDR354W	-0.078275721	0.0007036987	-0.477629869
YDR356W	0.01454681	0.0546977868	0.633948399
YDR357C	0.033696913	-0.1335708199	0.383474872
YDR358W	0.503055248	0.5469500614	1.015959828
YDR359C	-0.079842807	-0.0586566636	0.565794629
YDR360W	-2.775916828	0.5377188809	-1.422295341
YDR361C	0.159355863	0.1509947356	-0.370632538
YDR362C	-0.255876419	-0.2208473526	0.04043723
YDR363W-A	0.506742002	0.3931178169	0.429240293
YDR363W	-0.221943495	-0.1945757668	-0.07962467
YDR364C	-0.445789174	-0.4499940436	-0.350547043
YDR365C	0.091547599	0.1814422522	-0.050306765
YDR366C	0.11243545	0.1370302247	-0.324142119
YDR367W	0.040546421	0.0110168959	-0.4699058
YDR368W	-0.255129694	-0.1969293748	0.064318324
YDR369C	-0.463383879	-0.4330570393	-0.224751489
YDR370C	-0.142615151	-0.1857465577	-0.178865907
YDR371C-A	0.653279196	0.3729256193	0.345191997
YDR371W	-0.275223278	-0.2140029512	-0.076548034
YDR372C	0.155732195	0.2005686462	-0.05015936
YDR373W	0.537843112	0.5003872705	-0.15722595
YDR374C	2.645417302	2.5623319684	0.918455275
YDR374W-A	0.000811353	0.0843250243	0.012383727
YDR375C	-0.345233197	-0.2955772454	-0.102387664
YDR376W	-0.092551724	0.0129731016	-0.033546361
YDR377W	0.081779586	-0.0652555584	0.24017507
YDR378C	0.2659775	0.2426164563	-0.215642444
YDR379C-A	1.410610722	1.3533046682	1.489040787
YDR379W	-0.043695066	-0.0606703361	0.297511644
YDR380W	0.307111249	0.3585222241	0.749393672
YDR381C-A	1.142158164	1.0809380081	1.166535095
YDR381W	-0.067805054	-0.0858417083	-0.380663063
YDR382W	-0.747306081	-0.8107027522	-0.990883324
YDR383C	0.485846143	0.5583453811	0.731786901
YDR384C	0.182103153	0.1744977248	-0.232922978
YDR385W	-0.970504699	-0.9053011443	-0.884180381
YDR386W	0.490001891	0.4595286837	0.071357798
YDR387C	-0.338231086	-0.3439031036	-0.487953165
YDR388W	-0.018788246	0.0467379588	0.579791856
YDR389W	-0.549507489	-0.4823353314	0.221202322
YDR390C	-0.069822381	-0.0387317288	0.190506461
YDR391C	0.991239649	0.8772033027	0.793246355
YDR392W	0.470439563	0.5013086308	0.456738638
YDR393W	0.16392409	0.153356385	0.129287289
YDR394W	0.154504162	0.1586977583	0.392721048
YDR395W	-1.057714766	-1.0115731466	-0.061475138
YDR396W	-1.745561041	-1.7172198928	-1.086645497
YDR397C	0.474301679	0.4881054551	0.091818823
YDR398W	-0.363504766	-0.2704367158	-0.148586664
YDR399W	-0.360543907	-0.4071054145	-0.701461785
YDR400W	0.024952629	0.0652900601	-0.162698687
YDR401W	-0.924265045	-0.7290402599	-1.009899343
YDR402C	0.944784013	1.0561792848	-0.417826724
YDR403W	0.480550892	0.4560343752	-0.485137598
YDR404C	0.38505249	0.3261389905	-0.326906737
YDR405W	0.616909293	0.5720225836	1.047006598
YDR406W-A	-0.0171215	-0.1052735875	-0.378056277
YDR406W	0.420985514	0.3014450417	0.505605499
YDR407C	-0.651259834	-0.5829466608	-0.00741528
YDR408C	-0.155815604	-0.1964750068	-0.319433921
YDR409W	0.146373065	0.2091214228	0.221962944
YDR410C	0.07272126	0.0461141129	-0.380590394
YDR411C	0.342756869	0.3755539958	0.537018184
YDR412W	0.622763643	0.6485241653	0.106794898
YDR413C	0.493026557	0.5724718361	-0.403109655
YDR414C	-0.756799491	-0.667640756	-0.52015882
YDR415C	0.493936222	0.4649283464	0.27525554
YDR416W	-0.355418239	-0.2777803635	0.319084662
YDR417C	0.30087865	-0.2822463698	0.286367464
YDR418W	-0.387791225	-0.43733593	-0.479773724
YDR419W	0.195187774	0.1988407316	-0.208918265
YDR420W	-0.729663217	-0.7374543187	-0.069957331
YDR421W	-0.085517254	0.0420363132	0.140361752
YDR422C	-0.214254385	-0.1653078374	-0.028143156
YDR423C	0.241213626	0.2417357735	0.686101029
YDR424C	0.369816387	0.3680772907	0.19259975
YDR425W	0.243335374	0.3175604282	0.994255178
YDR426C	0.398564964	-0.2003019927	-0.955906933
YDR427W	0.345492943	0.3384509698	0.236548297
YDR428C	-0.683839966	-0.6591983554	-0.994795135
YDR429C	0.329416962	0.3363781659	0.259305918
YDR430C	-0.525175686	-0.5042662057	0.477170998
YDR431W	0.544142342	0.240577225	0.093197021
YDR432W	-0.225337862	-0.1983503289	-0.19119533
YDR433W	-0.482642634	-0.3419872642	-0.429270629
YDR434W	-0.122587828	-0.0323939743	-0.449231904
YDR435C	0.753447912	0.8362462486	0.409290081
YDR436W	-0.122674266	-0.0771148536	0.473745726
YDR437W	0.004117047	0.0278051578	-0.112606374
YDR438W	-0.166242058	-0.2020300492	-0.612818188
YDR439W	0.174858738	0.0104434599	-0.097074359
YDR440W	-0.196166841	-0.1504365954	-0.179146136
YDR441C	-0.324404722	-0.2333819555	-0.680226589
YDR442W	2.204239571	1.8852122337	-0.627687509
YDR443C	-0.307512775	-0.2696407923	-0.188345849
YDR444W	-0.43758231	-0.398102925	-0.201387503
YDR445C	-0.309940011	-1.0791835617	-1.502355222
YDR446W	2.881337429	2.7415337726	1.751394662
YDR447C	0.133533988	0.1414885318	-0.199258224
YDR448W	-0.234192355	-0.2919730273	1.639779801
YDR449C	-0.144242751	-0.1496522808	0.314358116
YDR450W	-0.486772631	-0.506190111	-0.757703398
YDR451C	-0.554960026	-0.4853806596	1.05774937
YDR452W	-0.115111404	-0.0559326095	-0.033971124
YDR453C	1.297362734	1.1966713247	1.643540189
YDR454C	-0.751728749	-0.7938900603	-1.182249107
YDR455C	0.548952524	0.607494334	1.288859937
YDR456W	-0.169517436	-0.1649496252	-0.381308609
YDR457W	-0.817541421	-0.7714263771	-0.015804679
YDR458C	-0.005944046	0.0995176861	0.309191197
YDR459C	-0.338623282	-0.1889946637	-0.608934921
YDR460W	0.209686427	0.2344721192	0.655192336
YDR461C-A	1.755409143	1.6414868835	1.51521836
YDR461W	1.422480652	1.0169574082	1.078038252
YDR462W	1.284904743	1.1515915993	1.331733504
YDR463W	0.230049395	0.2279929119	0.521013508
YDR464W	-0.207698781	-0.1346650266	0.437105236
YDR465C	0.037311119	0.0996110929	-0.436382581
YDR466W	-0.258241379	-0.2578352145	0.061970304
YDR467C	0.243598957	-0.2296144655	-0.32140789
YDR468C	0.427298994	0.4672981714	0.38456444
YDR469W	0.508990272	0.4496018567	0.217476947
YDR470C	0.264488591	0.2500484198	0.490000409
YDR471W	0.068444327	0.0158983286	-0.187946342
YDR472W	0.154487922	0.0921214822	-0.176913254
YDR473C	0.395273272	0.4321519935	0.703221556
