name,hl_wt_rep1,k_wt_rep1,R2_wt_rep1,hl_wt_rep2,k_wt_rep2,R2_wt_rep2,hl_wt_rep3,k_wt_rep3,R2_wt_rep3,hl_UPF3_rep1,k_UPF3_rep1,R2_UPF3_rep1,hl_UPF3_rep2,k_UPF3_rep2,R2_UPF3_rep2,hl_UPF3_rep3,k_UPF3_rep3,R2_UPF3_rep3
YAR002W,10.27333764,0.070606038,0.938954841,5.810802378,0.12242151,0.976550328,7.677542706,0.093417969,0.98417425,7.402417637,0.09664898,0.993812474,6.620440948,0.107709072,0.959538149,7.805858002,0.091809367,0.986923912
YAR003W,8.116755734,0.088532616,0.990145674,8.839613709,0.081549284,0.984180414,5.107268559,0.138853329,0.979163376,NA,NA,NA,9.90029138,0.07302384,0.959234559,8.254685753,0.086981182,0.991305748
YAR007C,10.83738843,0.067094419,0.886199432,10.67750069,0.068052156,0.930340804,9.804102304,0.073835252,0.915806087,NA,NA,NA,12.18317605,0.059904834,0.869207621,7.335290539,0.097505884,0.987856984
YAR008W,10.37559651,0.069941069,0.915601384,7.905459878,0.090815095,0.991157927,7.007455684,0.102051214,0.993057206,10.45979523,0.069278792,0.910189334,10.84971451,0.066897248,0.974426203,8.440359753,0.085133977,0.991358582
YAR014C,15.89375744,0.046746828,0.907305534,7.878114114,0.09111944,0.96101352,9.128781951,0.079065408,0.964670018,4.354418323,0.162193531,0.965600288,9.455788943,0.076315037,0.963672252,6.709732354,0.106315778,0.992226028
YAR015W,6.999511469,0.10216348,0.974360527,10.44877247,0.069473209,0.98979275,10.67917453,0.068041981,0.987944361,12.86655104,0.056883061,0.990546568,11.83097997,0.061598504,0.992947714,11.03750652,0.065810288,0.978996314
YAR018C,8.109667458,0.088607257,0.921669147,8.426300674,0.085395506,0.988730354,7.740397413,0.092684844,0.950769137,20.0197371,0.037634225,0.953527107,20.67183012,0.036542036,0.793979143,12.50187254,0.058454503,0.958317532
YAR019C,2.605238752,0.269194529,0.861201815,4.161995754,0.169677563,0.923901383,6.42999571,0.110934554,0.964266116,NA,NA,NA,9.853326213,0.073357551,0.982590844,7.208118257,0.09917305,0.84567675
YAR023C,NA,NA,NA,9.631589365,0.075101566,0.686721786,4.811053398,0.147209434,0.886216235,32.45729348,0.024366702,0.787712069,9.706362785,0.074422663,0.958910568,22.57908151,0.033709678,0.879006497
YAR027W,6.50330693,0.109719345,0.968638901,8.283591974,0.08681267,0.956653105,10.73819473,0.067685237,0.984267902,11.1005062,0.065453878,0.983960503,9.732397941,0.07423163,0.984259742,14.63513679,0.050372886,0.970089425
YAR028W,11.4438915,0.063704728,0.961591915,11.03518481,0.06594801,0.978118263,14.23238254,0.051837661,0.998856717,12.74526543,0.057395714,0.962711676,16.83070323,0.044194529,0.85584903,12.56416865,0.058179601,0.996345556
YAR029W,7.616093441,0.094146399,0.966863306,NA,NA,NA,4.035504407,0.174897759,0.892773621,35.22028272,0.022691375,0.65330882,18.28759129,0.04091363,0.90694134,10.98301808,0.066121845,0.951356769
YAR031W,NA,NA,NA,19.30747808,0.039035995,0.789445754,14.84316556,0.049833613,0.939054375,7.01910195,0.101762582,0.826969288,13.50346175,0.054342107,0.875616961,15.53815475,0.047620397,0.926772313
YAR033W,11.63643891,0.062702494,0.881967283,12.75258444,0.05748901,0.815742726,7.951240983,0.09031026,0.988019139,7.764448823,0.092282945,0.744142387,12.6404352,0.057846739,0.955862613,10.02820545,0.072130797,0.981303683
YAR035W,4.664942532,0.151721978,0.837150935,11.24417363,0.064780552,0.834913577,12.41017915,0.058988659,0.949527247,5.722718305,0.12413305,0.61311379,10.41685484,0.069551961,0.972115093,13.0739434,0.056028487,0.911577966
YAR042W,7.345000364,0.097505474,0.818433007,9.392672235,0.076932133,0.940836085,7.672105542,0.093481951,0.956907167,26.79396375,0.028880561,0.647100303,9.963856381,0.072577189,0.989353202,8.798895428,0.081787647,0.980692055
YAR050W,NA,NA,NA,NA,NA,NA,7.788053044,0.092136886,0.760607956,NA,NA,NA,16.99653705,0.043792705,0.789118172,5.507010088,0.12887737,0.891424629
YAR071W,2.429537795,0.288435563,0.898492099,7.492609185,0.095646331,0.869038317,3.478364849,0.2024094,0.932270132,13.3258079,0.05502643,0.954180549,14.10323507,0.052159132,0.968490037,11.23666049,0.06469726,0.981854856
YBL001C,25.01709346,0.030842486,0.961987134,26.16801339,0.029623881,0.944970268,26.87159674,0.028930332,0.963426436,25.34656356,0.030357825,0.96919538,26.69345879,0.028977964,0.926314237,24.13203654,0.031734146,0.97171876
YBL002W,14.90282492,0.04964667,0.961780668,14.07905295,0.052368058,0.974023934,13.17933351,0.055729036,0.98440107,15.68800664,0.047194288,0.972841902,15.08055067,0.048974023,0.968206932,14.24683002,0.051663764,0.980741718
YBL003C,17.67319353,0.042355799,0.939945798,15.12478662,0.048964102,0.972112561,16.92187369,0.044097152,0.950355374,21.45396685,0.035319613,0.917377237,15.36164219,0.048132979,0.981638869,16.13805549,0.045962131,0.971150773
YBL004W,7.823662641,0.091731794,0.981246352,10.30917653,0.070371484,0.91318331,11.29919212,0.064480387,0.975925131,20.00281138,0.037663522,0.703381146,10.96042587,0.066251933,0.941580953,9.714884063,0.074360026,0.971429895
YBL005W,4.808000738,0.147300908,0.839676949,9.053789062,0.079694338,0.935341301,6.253737989,0.113972803,0.982170224,9.734542048,0.074215943,0.701758101,12.86503454,0.056889411,0.977805629,14.1617462,0.05195607,0.983672633
YBL006C,5.892364147,0.12077036,0.997819242,6.16573091,0.115554847,0.991665952,6.92878579,0.103174309,0.978713226,11.43828466,0.063609909,0.948950152,7.54437818,0.09488702,0.997401502,7.634993883,0.093796592,0.993587852
YBL007C,18.45297217,0.040698445,0.885560671,10.58332962,0.068629788,0.972059382,12.96760853,0.056587741,0.977770733,29.9797449,0.02613155,0.72872036,9.537778913,0.075684891,0.970452022,14.3372837,0.051356815,0.958255512
YBL008W,5.603677996,0.126830584,0.932418123,7.775545776,0.092280048,0.961419315,6.956520196,0.102775472,0.992382152,9.301001651,0.077534962,0.814027102,13.26071897,0.055281743,0.927624987,8.67417087,0.082920364,0.986105225
YBL009W,7.934723904,0.090491724,0.980440485,7.861536046,0.091304977,0.995605285,4.617014099,0.153264428,0.9831691,6.19768478,0.11485073,0.972789646,5.67349335,0.125183942,0.944912595,7.464707277,0.095867613,0.992030267
YBL010C,4.885022288,0.14502787,0.978551174,8.15656054,0.08811587,0.947797164,4.543685087,0.155687308,0.967093807,9.216108531,0.078221431,0.737010402,10.90829672,0.066554152,0.955674308,5.937677301,0.119748126,0.974964676
YBL011W,7.360752926,0.097303516,0.862325442,8.656474119,0.083208234,0.964827337,10.57827751,0.068661067,0.998104079,9.246851954,0.077971376,0.961810051,12.95057882,0.056533521,0.935364897,11.19892399,0.064905121,0.989123533
YBL014C,3.564080129,0.197616911,0.932023411,5.01171248,0.141440999,0.948897378,6.117124122,0.116448133,0.968034706,23.14982572,0.032952822,0.62671299,6.699264105,0.106477201,0.963883068,7.047152776,0.101369506,0.990074274
YBL015W,10.1655271,0.071321597,0.887996156,8.769763122,0.082173844,0.97901508,9.277760139,0.07784616,0.98684908,8.164211894,0.087911719,0.767614115,11.70075928,0.062250538,0.98293056,14.32399586,0.051401664,0.938684635
