sample	sample_short	sample_id	experiment	strain	condition	experiment_strain_condition	timepoint	time	fraction
2025-07-29-MS250627L13_exp250624_MS1039_SCGEuri_7.5hr-arrest_13min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T4	13	input
2025-07-29-MS250627L14_exp250624_MS1039_SCGEuri_7.5hr-arrest_18min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T5	18	input
2025-07-29-MS250627L15_exp250624_MS1039_SCGEuri_7.5hr-arrest_28min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T6	28	input
2025-07-29-MS250627L16_exp250624_MS1039_SCGEuri_7.5hr-arrest_44min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T7	44	input
2025-07-29-MS250627L17_exp250624_MS1039_SCGEuri_1.5hr-arrest_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	Tbackground	NA	EU
2025-07-29-MS250627L18_exp250624_MS1039_SCGEuri_1.5hr-arrest_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T1	4	EU
2025-07-29-MS250627L19_exp250624_MS1039_SCGEuri_1.5hr-arrest_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T2	7	EU
2025-07-29-MS250627L20_exp250624_MS1039_SCGEuri_1.5hr-arrest_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T3	10	EU
2025-07-29-MS250627L21_exp250624_MS1039_SCGEuri_1.5hr-arrest_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T4	13	EU
2025-07-29-MS250627L22_exp250624_MS1039_SCGEuri_1.5hr-arrest_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T5	18	EU
2025-07-29-MS250627L23_exp250624_MS1039_SCGEuri_1.5hr-arrest_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T6	28	EU
2025-07-29-MS250627L24_exp250624_MS1039_SCGEuri_1.5hr-arrest_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase	exp250624	MS1039	1.5hr_arrest_60min-PhIAA	exp250624_MS1039_1.5hr_arrest_60min-PhIAA	T7	44	EU
2025-07-29-MS250627L25_exp250624_MS1039_SCGEuri_7.5hr-arrest_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	Tbackground	NA	EU
2025-07-29-MS250627L26_exp250624_MS1039_SCGEuri_7.5hr-arrest_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T1	4	EU
2025-07-29-MS250627L27_exp250624_MS1039_SCGEuri_7.5hr-arrest_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T2	7	EU
2025-07-29-MS250627L28_exp250624_MS1039_SCGEuri_7.5hr-arrest_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T3	10	EU
2025-07-29-MS250627L29_exp250624_MS1039_SCGEuri_7.5hr-arrest_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T4	13	EU
2025-07-29-MS250627L30_exp250624_MS1039_SCGEuri_7.5hr-arrest_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T5	18	EU
2025-07-29-MS250627L31_exp250624_MS1039_SCGEuri_7.5hr-arrest_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T6	28	EU
2025-07-29-MS250627L32_exp250624_MS1039_SCGEuri_7.5hr-arrest_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase	exp250624	MS1039	7.5hr_arrest_60min-PhIAA	exp250624_MS1039_7.5hr_arrest_60min-PhIAA	T7	44	EU
