sample	sample_updated	sample_short	strain_id	strain_info	media	arrest	treatment	experiment	DNA_ratio_A_file_name	DNA_ratio_A	DNA_ratio_B_file_name	DNA_ratio_B	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	ref1	ref2	sample_ref1	sample_ref2	exp_group_1	exp_group_2
2025-07-29-MS250530L01_exp250523_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS250530L01_exp250523_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	MS69	WT	SCD	1hr-arrest	DMSO	exp250523	2025-07-29-MS250704L29_exp250523_MS69_SCD_1hr-arrest_DMSO_gDNA	0.451830485			0.451830485	DNA_content_analysis_AC250528_MS69_DMSO-1hr_exp250523.fcs	1.287529621	65.88537	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	A	A
2025-07-29-MS250530L02_exp250523_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS250530L02_exp250523_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS69_SCD_1hr-arrest_PhIAA	MS69	WT	SCD	1hr-arrest	PhIAA	exp250523	2025-07-29-MS250704L30_exp250523_MS69_SCD_1hr-arrest_PhIAA_gDNA	0.646490291			0.646490291	DNA_content_analysis_AC250528_MS69_PhIAA-1hr_exp250523.fcs	1.284352248	65.89803	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	A	A
2025-07-29-MS250530L03_exp250523_MS69_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS250530L03_exp250523_MS69_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS69_SCD_4.75hr-arrest_DMSO	MS69	WT	SCD	4.75hr-arrest	DMSO	exp250523	2025-07-29-MS250704L31_exp250523_MS69_SCD_4hr45m-arrest_DMSO_gDNA	0.155702368			0.155702368	DNA_content_analysis_AC250528_MS69_DMSO-4.75hr_exp250523.fcs	1.000589354	245.06509	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	A	A
2025-07-29-MS250530L04_exp250523_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS250530L04_exp250523_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS69_SCD_4.75hr-arrest_PhIAA	MS69	WT	SCD	4.75hr-arrest	PhIAA	exp250523	2025-07-29-MS250704L32_exp250523_MS69_SCD_4hr45m-arrest_PhIAA_gDNA	0.178188828			0.178188828	DNA_content_analysis_AC250528_MS69_PhIAA-4.75hr_exp250523.fcs	1.00042751	242.80898	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	A	A
2025-07-29-MS250530L05_exp250523_MS793c2_SCD_1hr-arrest_DMSO_polyA-RNA	MS250530L05_exp250523_MS793c2_SCD_1hr-arrest_DMSO_polyA-RNA	MS793_SCD_1hr-arrest_DMSO	MS793c2	PKC1-AID	SCD	1hr-arrest	DMSO	exp250523	2025-07-29-MS250704L33_exp250523_MS793c2_SCD_1hr-arrest_DMSO_gDNA	0.603809216			0.603809216	DNA_content_analysis_AC250528_MS793c2_DMSO-1hr_exp250523.fcs	1.287883943	71.99057	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	A	B
2025-07-29-MS250530L06_exp250523_MS793c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS250530L06_exp250523_MS793c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS793_SCD_1hr-arrest_PhIAA	MS793c2	PKC1-AID	SCD	1hr-arrest	PhIAA	exp250523	2025-07-29-MS250704L34_exp250523_MS793c2_SCD_1hr-arrest_PhIAA_gDNA	0.671853385			0.671853385	DNA_content_analysis_AC250528_MS793c2_PhIAA-1hr_exp250523.fcs	1.350674793	72.48502	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	A	B
2025-07-29-MS250530L07_exp250523_MS793c2_SCD_4hr35m-arrest_DMSO_polyA-RNA	MS250530L07_exp250523_MS793c2_SCD_4hr35m-arrest_DMSO_polyA-RNA	MS793_SCD_4.65hr-arrest_DMSO	MS793c2	PKC1-AID	SCD	4.65hr-arrest	DMSO	exp250523	2025-07-29-MS250704L35_exp250523_MS793c2_SCD_4hr35m-arrest_DMSO_gDNA	0.196256642			0.196256642	DNA_content_analysis_AC250528_MS793c2_DMSO-4.65hr_exp250523.fcs	1.00076205	" 256.46337	"	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	A	B
2025-07-29-MS250530L08_exp250523_MS793c2_SCD_4hr35m-arrest_PhIAA_polyA-RNA	MS250530L08_exp250523_MS793c2_SCD_4hr35m-arrest_PhIAA_polyA-RNA	MS793_SCD_4.65hr-arrest_PhIAA	MS793c2	PKC1-AID	SCD	4.65hr-arrest	PhIAA	exp250523	2025-07-29-MS250704L36_exp250523_MS793c2_SCD_4hr35m-arrest_PhIAA_gDNA	0.206751586			0.206751586	DNA_content_analysis_AC250528_MS793c2_PhIAA-4.65hr_exp250523.fcs	1.000765516	243.9075	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	A	B
2025-07-29-MS250701L01_exp250515_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS250701L01_exp250515_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	MS69	WT	SCD	1hr-arrest	DMSO	exp250515	2025-07-29-MS250703L13_exp250515_MS69_SCD_1hr-arrest_DMSO_gDNA	0.604840869			0.604840869	DNA_content_analysis_AC250528_MS69_DMSO-1hr_exp250515.fcs	1.279789653	62.89363	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	A	C
2025-07-29-MS250701L02_exp250515_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS250701L02_exp250515_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	MS69	WT	SCD	1hr-arrest	PhIAA	exp250515	2025-07-29-MS250703L14_exp250515_MS69_SCD_1hr-arrest_PhIAA_gDNA	0.590053837			0.590053837	DNA_content_analysis_AC250528_MS69_PhIAA-1hr_exp250515.fcs	1.277533298	64.30372	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	A	C
