gene_id	log2FC_pop2ccr4_hl	log2FC_dcp2_hl
YAL001C	0.8517778183921034	0.052119016532963115
YAL002W	0.1765629840645588	0.16663968428494846
YAL003W	0.33247745784537575	0.011800527583917341
YAL005C	0.5595946940632411	0.025500866717073554
YAL007C	0.5592196006260485	0.34071800051077894
YAL008W	0.6371891571375383	-0.21181744495595475
YAL009W	0.5619904131716857	0.26894594656377907
YAL010C	-0.4297525211014727	0.5078522130798377
YAL011W	0.22233880772159784	0.36609312746623973
YAL012W	0.2803915256816494	0.05646716759995501
YAL013W	0.28544968134725496	0.47920007351042015
YAL014C	0.11132562582807996	0.3535218800276125
YAL015C	0.5773826593699353	0.17017986340573094
YAL016W	0.42821634299002115	0.49490180091561586
YAL017W	0.24596705726917986	0.05421215538109802
YAL018C	-5.2359232781474265	-0.5312871516041768
YAL019W	0.5697877019442608	0.615612138368157
YAL020C	0.6847323496590938	-0.3404995493124845
YAL021C	1.0011607213129643	0.11294631006581046
YAL022C	0.1925101850680651	0.38784230292342736
YAL023C	0.5429050294425797	0.13319691311427748
YAL024C	0.5219580920842904	0.1579368193697452
YAL025C	0.3220377137001321	0.49001176525991674
YAL026C	0.2729498351459301	0.5383609702348116
YAL027W	-0.4436769714030428	0.042299326380823066
YAL028W	0.3853674690642439	-0.7421427338158143
YAL029C	0.6824870431132399	0.30782345675986883
YAL030W	0.37722673195726414	0.027658893169245823
YAL031C	0.11014319593963193	0.5259442698238329
YAL032C	0.36741100333315013	0.3398730593666175
YAL033W	0.5943184893117515	0.4115154626258389
YAL034C	0.81266183892976	-0.1378077218844166
YAL034W-A	-0.24182124662679072	0.322571257623196
YAL035W	0.9265687901613704	0.13040317311916796
YAL036C	0.5075142777062113	0.6532993491008363
YAL037W	0.7348036768542268	0.5240203571528055
YAL038W	0.7014755967197316	-0.1442740735070862
YAL039C	0.10158183352205324	0.26788921257187953
YAL040C	0.4235381864755599	0.06510387380785927
YAL041W	0.2667500589468668	0.14872495472972264
YAL042W	0.48007920266135073	0.03658291807494415
YAL043C	0.15746518012139005	0.005199228430692705
YAL044C	0.39085771840119304	-0.32922355425546007
YAL044W-A	0.30249823982877483	-0.28709899359945096
YAL046C	0.5145506731822831	-0.2533255283574171
YAL047C	1.5530793276573946	0.11192541910833208
YAL049C	0.4428241448725882	0.09407697729843228
YAL051W	0.6818705598008395	0.6369007602958595
YAL053W	0.5861148941287322	0.19979118517470912
YAL054C	0.08355235732163306	0.33194356588288215
YAL055W	0.6220410370636629	-0.12228317495260507
YAL056W	0.25066485072653694	1.026376373661223
YAL058W	0.7619847862785516	0.006876547342304109
YAL059W	0.8780769107971557	0.36778414220445926
YAL060W	0.11896050179442826	0.07086074887258406
YAL061W	0.6580190032189803	0.018844710788726425
YAL062W	0.6319811182812497	0.21707666087019586
YAL064W-B	-0.14658156224745733	0.35274829975937516
YAR002C-A	0.2916119025539209	0.019097795622869708
YAR002W	0.09631117579038366	0.12152775696908477
YAR003W	0.45054289880359183	0.3133763594598075
YAR007C	0.624136368419343	0.8281877987930075
YAR008W	0.508715804856294	0.460817325860987
YAR014C	0.816411297634844	0.3511245544310906
YAR015W	0.07034639879044495	0.0809238563472963
YAR018C	0.4826507678166688	0.41949247229255154
YAR019C	-0.03882678553795468	0.1440913594308613
YAR027W	0.6432216688933231	0.09914919401802902
YAR028W	1.0858969164397374	0.33233923320172704
YAR031W	-0.15528686174363532	-0.2644103025455016
YAR033W	0.8888389032800144	0.6360943073495329
YAR035W	0.6585952002099016	-0.1774887669653697
YAR042W	0.12567022122826269	0.22497686605127132
YAR050W	1.6981043348478935	0.5178574381097738
YAR071W	-0.054928004799878326	-0.15559243197525968
YBL001C	0.3079206446408223	-0.2628402108158424
YBL002W	0.6195503546162381	0.9447590910839639
YBL003C	0.5799941416645754	0.5373829135476766
YBL004W	0.5332157359701774	0.2426177024127433
YBL005W	0.7557092114863119	-0.36375509506575376
YBL006C	0.10974176175168232	0.05700028179443908
YBL007C	0.4160692911830219	0.20051615396045722
YBL008W	0.38775721506185706	0.26530808576820747
YBL009W	0.8576840211866021	0.596023376634423
YBL010C	-0.3024959326001601	0.4502016241210985
YBL011W	0.462474834177984	0.42214841151671434
YBL013W	0.4089930299893658	-1.0769025327372337
YBL014C	0.08269911730063195	0.06506365720463878
