species	gene_id	verified_ORF
S_pombe	SPAC12B10.01c	TRUE
S_pombe	SPAC12B10.02c	TRUE
S_pombe	SPAC12B10.03	TRUE
S_pombe	SPAC12B10.04	TRUE
S_pombe	SPAC12B10.05	TRUE
S_pombe	SPAC12B10.06c	TRUE
S_pombe	SPAC12B10.07	TRUE
S_pombe	SPAC12B10.08c	TRUE
S_pombe	SPAC12B10.09	TRUE
S_pombe	SPAC12B10.10	TRUE
S_pombe	SPAC12B10.11	TRUE
S_pombe	SPAC12B10.12c	TRUE
S_pombe	SPAC12B10.13	TRUE
S_pombe	SPAC12B10.14c	TRUE
S_pombe	SPAC12B10.15c	TRUE
S_pombe	SPAC12B10.16c	TRUE
S_pombe	SPAC12G12.01c	TRUE
S_pombe	SPAC12G12.02	TRUE
S_pombe	SPAC12G12.03	TRUE
S_pombe	SPAC12G12.04	TRUE
S_pombe	SPAC12G12.05c	TRUE
S_pombe	SPAC12G12.06c	TRUE
S_pombe	SPAC12G12.07c	TRUE
S_pombe	SPAC12G12.08	TRUE
S_pombe	SPAC12G12.09	TRUE
S_pombe	SPAC12G12.10	TRUE
S_pombe	SPAC12G12.11c	TRUE
S_pombe	SPAC12G12.12	TRUE
S_pombe	SPAC12G12.13c	TRUE
S_pombe	SPAC12G12.14c	TRUE
S_pombe	SPAC12G12.15	TRUE
S_pombe	SPAC12G12.16c	TRUE
S_pombe	SPAC12G12.17	TRUE
S_pombe	SPAC1327.01c	TRUE
S_pombe	SPAC139.01c	TRUE
S_pombe	SPAC139.02c	TRUE
S_pombe	SPAC139.03	TRUE
S_pombe	SPAC139.04c	TRUE
S_pombe	SPAC139.05	TRUE
S_pombe	SPAC139.06	TRUE
S_pombe	SPAC1399.01c	TRUE
S_pombe	SPAC1399.02	TRUE
S_pombe	SPAC1399.03	TRUE
S_pombe	SPAC1399.04c	TRUE
S_pombe	SPAC1399.05c	TRUE
S_pombe	SPAC1399.06	TRUE
S_pombe	SPAC13A11.01c	TRUE
S_pombe	SPAC13A11.02c	TRUE
S_pombe	SPAC13A11.03	TRUE
S_pombe	SPAC13A11.04c	TRUE
S_pombe	SPAC13A11.05	TRUE
S_pombe	SPAC13A11.06	TRUE
S_pombe	SPAC13C5.01c	TRUE
S_pombe	SPAC13C5.02	TRUE
S_pombe	SPAC13C5.03	TRUE
S_pombe	SPAC13C5.04	TRUE
S_pombe	SPAC13C5.05c	TRUE
S_pombe	SPAC13C5.06c	TRUE
S_pombe	SPAC13C5.07	TRUE
S_pombe	SPAC13D1.01c	TRUE
S_pombe	SPAC13D6.01	TRUE
S_pombe	SPAC13D6.02c	TRUE
S_pombe	SPAC13D6.03c	TRUE
S_pombe	SPAC13D6.04c	TRUE
S_pombe	SPAC13D6.05	TRUE
S_pombe	SPAC13F5.01c	TRUE
S_pombe	SPAC13F5.02c	TRUE
S_pombe	SPAC13F5.03c	TRUE
S_pombe	SPAC13F5.04c	TRUE
S_pombe	SPAC13F5.05	TRUE
S_pombe	SPAC13F5.06c	TRUE
S_pombe	SPAC13F5.07c	TRUE
S_pombe	SPAC13G6.01c	TRUE
S_pombe	SPAC13G6.02c	TRUE
S_pombe	SPAC13G6.03	TRUE
S_pombe	SPAC13G6.04	TRUE
S_pombe	SPAC13G6.05c	TRUE
S_pombe	SPAC13G6.06c	TRUE
S_pombe	SPAC13G6.07c	TRUE
S_pombe	SPAC13G6.08	TRUE
S_pombe	SPAC13G6.09	TRUE
S_pombe	SPAC13G6.10c	TRUE
S_pombe	SPAC13G6.11c	TRUE
S_pombe	SPAC13G6.12c	TRUE
S_pombe	SPAC13G6.13	TRUE
S_pombe	SPAC13G6.14	TRUE
S_pombe	SPAC13G6.15c	TRUE
S_pombe	SPAC13G7.01c	TRUE
S_pombe	SPAC13G7.02c	TRUE
S_pombe	SPAC13G7.03	TRUE
S_pombe	SPAC13G7.04c	TRUE
S_pombe	SPAC13G7.05	TRUE
S_pombe	SPAC13G7.06	TRUE
S_pombe	SPAC13G7.07	TRUE
S_pombe	SPAC13G7.08c	TRUE
S_pombe	SPAC13G7.09c	TRUE
S_pombe	SPAC13G7.10	TRUE
S_pombe	SPAC13G7.11	TRUE
S_pombe	SPAC13G7.12c	TRUE
S_pombe	SPAC13G7.13c	TRUE
S_pombe	SPAC140.01	TRUE
S_pombe	SPAC140.02	TRUE
S_pombe	SPAC140.03	TRUE
S_pombe	SPAC140.04	TRUE
S_pombe	SPAC1420.01c	TRUE
S_pombe	SPAC1420.02c	TRUE
S_pombe	SPAC1420.03	TRUE
S_pombe	SPAC1420.04c	TRUE
S_pombe	SPAC144.01	TRUE
S_pombe	SPAC144.02	TRUE
S_pombe	SPAC144.03	TRUE
S_pombe	SPAC144.04c	TRUE
S_pombe	SPAC144.05	TRUE
S_pombe	SPAC144.06	TRUE
S_pombe	SPAC144.07c	TRUE
S_pombe	SPAC144.08	TRUE
S_pombe	SPAC144.09c	TRUE
S_pombe	SPAC144.10c	TRUE
S_pombe	SPAC144.11	TRUE
S_pombe	SPAC144.12	TRUE
S_pombe	SPAC144.13c	TRUE
S_pombe	SPAC144.14	TRUE
S_pombe	SPAC144.15c	TRUE
S_pombe	SPAC144.16	TRUE
S_pombe	SPAC144.17c	TRUE
S_pombe	SPAC144.18	TRUE
S_pombe	SPAC144.19	TRUE
S_pombe	SPAC1486.01	TRUE
S_pombe	SPAC1486.02c	TRUE
S_pombe	SPAC1486.03c	TRUE
S_pombe	SPAC1486.04c	TRUE
S_pombe	SPAC1486.05	TRUE
S_pombe	SPAC1486.06	TRUE
S_pombe	SPAC1486.07c	TRUE
S_pombe	SPAC1486.08	TRUE
S_pombe	SPAC1486.09	TRUE
S_pombe	SPAC1486.10	TRUE
S_pombe	SPAC1486.11	TRUE
S_pombe	SPAC14C4.01c	TRUE
S_pombe	SPAC14C4.02c	TRUE
S_pombe	SPAC14C4.03	TRUE
S_pombe	SPAC14C4.04	TRUE
S_pombe	SPAC14C4.05c	TRUE
S_pombe	SPAC14C4.06c	TRUE
S_pombe	SPAC14C4.07	TRUE
S_pombe	SPAC14C4.08	TRUE
S_pombe	SPAC14C4.09	TRUE
S_pombe	SPAC14C4.10c	TRUE
S_pombe	SPAC14C4.11	TRUE
S_pombe	SPAC14C4.12c	TRUE
S_pombe	SPAC14C4.13	TRUE
S_pombe	SPAC14C4.14	TRUE
S_pombe	SPAC14C4.15c	TRUE
S_pombe	SPAC14C4.16	TRUE
S_pombe	SPAC1527.01	TRUE
S_pombe	SPAC1527.02	TRUE
S_pombe	SPAC1527.03	TRUE
S_pombe	SPAC1556.01c	TRUE
S_pombe	SPAC1556.02c	TRUE
S_pombe	SPAC1556.03	TRUE
S_pombe	SPAC1556.04c	TRUE
S_pombe	SPAC1556.05c	TRUE
S_pombe	SPAC1556.06	TRUE
S_pombe	SPAC1556.07	TRUE
S_pombe	SPAC1556.08c	TRUE
S_pombe	SPAC1565.01	TRUE
S_pombe	SPAC1565.02c	TRUE
S_pombe	SPAC1565.03	TRUE
S_pombe	SPAC1565.04c	TRUE
S_pombe	SPAC1565.05	TRUE
S_pombe	SPAC1565.06c	TRUE
S_pombe	SPAC1565.07c	TRUE
S_pombe	SPAC1565.08	TRUE
S_pombe	SPAC15A10.01	TRUE
S_pombe	SPAC15A10.02	TRUE
S_pombe	SPAC15A10.03c	TRUE
S_pombe	SPAC15A10.04c	TRUE
S_pombe	SPAC15A10.05c	TRUE
S_pombe	SPAC15A10.06	TRUE
S_pombe	SPAC15A10.07	TRUE
S_pombe	SPAC15A10.08	TRUE
S_pombe	SPAC15A10.09c	TRUE
S_pombe	SPAC15A10.10	TRUE
S_pombe	SPAC15A10.11	TRUE
S_pombe	SPAC15A10.12c	TRUE
S_pombe	SPAC15A10.13	TRUE
S_pombe	SPAC15A10.15	TRUE
S_pombe	SPAC15A10.16	TRUE
S_pombe	SPAC15A10.17	TRUE
S_pombe	SPAC15E1.02c	TRUE
S_pombe	SPAC15E1.03	TRUE
S_pombe	SPAC15E1.04	TRUE
S_pombe	SPAC15E1.05c	TRUE
S_pombe	SPAC15E1.06	TRUE
S_pombe	SPAC15E1.07c	TRUE
S_pombe	SPAC15E1.08	TRUE
S_pombe	SPAC15E1.09	TRUE
S_pombe	SPAC15E1.10	TRUE
S_pombe	SPAC15F9.01c	TRUE
S_pombe	SPAC15F9.02	TRUE
S_pombe	SPAC15F9.03c	TRUE
S_pombe	SPAC16.01	TRUE
S_pombe	SPAC16.02c	TRUE
S_pombe	SPAC16.03c	TRUE
S_pombe	SPAC16.04	TRUE
S_pombe	SPAC16.05c	TRUE
S_pombe	SPAC1610.01	TRUE
S_pombe	SPAC1610.02c	TRUE
S_pombe	SPAC1610.03c	TRUE
S_pombe	SPAC1610.04	TRUE
S_pombe	SPAC1635.01	TRUE
S_pombe	SPAC1639.01c	TRUE
S_pombe	SPAC1639.02c	TRUE
S_pombe	SPAC167.01	TRUE
S_pombe	SPAC167.02	TRUE
S_pombe	SPAC167.03c	TRUE
S_pombe	SPAC167.04	TRUE
S_pombe	SPAC167.05	TRUE
S_pombe	SPAC167.06c	TRUE
S_pombe	SPAC167.07c	TRUE
S_pombe	SPAC167.08	TRUE
S_pombe	SPAC167.09	TRUE
S_pombe	SPAC1687.01	TRUE
S_pombe	SPAC1687.02	TRUE
S_pombe	SPAC1687.03c	TRUE
S_pombe	SPAC1687.04	TRUE
S_pombe	SPAC1687.05	TRUE
S_pombe	SPAC1687.06c	TRUE
S_pombe	SPAC1687.07	TRUE
S_pombe	SPAC1687.08	TRUE
S_pombe	SPAC1687.09	TRUE
S_pombe	SPAC1687.10	TRUE
S_pombe	SPAC1687.11	TRUE
S_pombe	SPAC1687.12c	TRUE
S_pombe	SPAC1687.13c	TRUE
S_pombe	SPAC1687.14c	TRUE
S_pombe	SPAC1687.15	TRUE
S_pombe	SPAC1687.16c	TRUE
S_pombe	SPAC1687.17c	TRUE
S_pombe	SPAC1687.18c	TRUE
S_pombe	SPAC1687.19c	TRUE
S_pombe	SPAC1687.20c	TRUE
S_pombe	SPAC1687.21	TRUE
S_pombe	SPAC1687.22c	TRUE
