sample,dmso_time,labeling_time,dmso_conc,strain,plate,media,row,col,volume,pr_new,total,pr_new_95ci,p_spikein,spikein,aligned,orf_aligned,od,scale_factor,scaled_rna,scaled_mrna,smoothed_mrna,exp,klac,rep,iaa_time,iaa_conc,xrn1,repeat,control,time,add,treat,remove_sample,hu_conc,alphaFactor
calib|B8,60.0,10.0,5.0,nf164,calib,YPD,B,8,500.0,0.2282131144051598,882110,0.0029056994753057,0.002262046875663,1226,541987,421138,0.5,1.25163132137031,678367.9049755301,527109.5114192496,435092.26186924917,4tU_timecourse_calib,,,,,,,,,,,,,
calib|B9,60.0,10.0,15.0,nf164,calib,YPD,B,9,500.0,0.2245263729048538,915220,0.0028771447653253,0.0022836226708046,1259,551317,431069,0.5,1.2188244638602066,671958.6469420175,525397.4428117553,438536.96057596063,4tU_timecourse_calib,,,,,,,,,,,,,
calib|B10,0.0,10.0,0.0,nf164,calib,YPD,B,10,500.0,0.2261636855028662,953989,0.0029192354771104,0.0023645301781341,1265,534990,417032,0.5,1.2130434782608697,648966.1304347827,505877.947826087,475199.8226968569,4tU_timecourse_calib,,,,,,,,,,,,,
calib|B11,0.0,10.0,5.0,nf164,calib,YPD,B,11,500.0,0.2249083120163965,789591,0.0030794013209106,0.0027914778559447,1338,479316,370708,0.5,1.1468609865470851,549708.8206278026,425150.5426008969,433486.8295210171,4tU_timecourse_calib,,,,,,,,,,,,,
calib|B12,0.0,10.0,15.0,nf164,calib,YPD,B,12,500.0,0.2299759988966613,890890,0.0029343835370067,0.003022612247314,1634,540592,405220,0.5,0.9391064871481029,507673.4541003672,380544.7307221543,371736.9955376381,4tU_timecourse_calib,,,,,,,,,,,,,
calib|C7,,5.0,,nf164,calib,YPD,C,7,500.0,0.0182102104455206,911129,0.0011311183058286,0.0702201160774799,38438,547393,434789,0.5,0.9007232426244862,493049.59794994537,391624.55793745775,,spikin_calib,5.0,A,,,,,,,,,,,
calib|C8,,5.0,,nf164,calib,YPD,C,8,500.0,0.0181654078586439,725291,0.0012305494362071,0.0600328111280558,25981,432780,339389,0.5,1.3325891997998538,576717.9538893807,452266.11593087256,,spikin_calib,4.0,A,,,,,,,,,,,
calib|C9,,5.0,,nf164,calib,YPD,C,9,500.0,0.0174606933047767,742945,0.0012167229753774,0.0391306704243672,17328,442824,343898,0.5,1.9980378578024007,884779.1163434903,687121.22322253,,spikin_calib,3.0,A,,,,,,,,,,,
calib|C10,,5.0,,nf164,calib,YPD,C,10,500.0,0.0155255957334957,689295,0.0012346472677042,0.0279551494063892,11698,418456,333456,0.5,2.9596512224311846,1238483.8119336637,986913.4580270132,,spikin_calib,2.0,A,,,,,,,,,,,
calib|C11,,5.0,,nf164,calib,YPD,C,11,500.0,0.0122115439517013,933933,0.0009938924123635,0.0147302937156681,8439,572901,435968,0.5,4.102618793695935,2350394.409527195,1788610.5102500296,,spikin_calib,1.0,A,,,,,,,,,,,
calib|D7,,5.0,,nf164,calib,YPD,D,7,500.0,0.0202082525713705,837650,0.0012461640506881,0.0695184794086589,32917,473500,369602,0.5,1.051796943828417,498025.8529027554,388746.2540328706,,spikin_calib,5.0,B,,,,,,,,,,,
calib|D8,,5.0,,nf164,calib,YPD,D,8,500.0,0.0195052181346355,852738,0.0012065435805266,0.0554591154026979,27603,497718,379261,0.5,1.2542839546426112,624279.7013368112,475700.98692171136,,spikin_calib,4.0,B,,,,,,,,,,,
calib|D9,,5.0,,nf164,calib,YPD,D,9,500.0,0.0177050359294575,704764,0.0012623126621599,0.0418607608649575,17775,424622,331616,0.5,1.9477918424753868,827075.2677355837,645918.9396343179,,spikin_calib,3.0,B,,,,,,,,,,,
calib|D10,,5.0,,nf164,calib,YPD,D,10,500.0,0.0158958761257937,726660,0.0012419369878835,0.0249194106617622,11124,446399,355132,0.5,3.112369651204603,1389358.6999280837,1105302.058971593,,spikin_calib,2.0,B,,,,,,,,,,,
calib|D11,,5.0,,nf164,calib,YPD,D,11,500.0,0.0142451427415523,853544,0.0011385126347409,0.0144833914337315,7466,515487,399580,0.5,4.637289043664613,2390462.2172515406,1852967.9560675065,,spikin_calib,1.0,B,,,,,,,,,,,
e6tc1|G2,,9.0,,nf164,e6tc1,YPD,G,2,500.0,0.2158712732881961,591176,0.0056763594320399,0.1062301817694609,23786,223910,192147,1.08,1.1577164905593391,259224.29940114167,222451.75051150535,,xrn1_ko,,,0.0,1000.0,wt,A,,,,,,,
e6tc1|G11,,9.0,,nf164,e6tc1,YPD,G,11,500.0,0.2396525949177151,1245612,0.0047283592244693,0.0684432734100268,32990,482005,410482,2.2,0.4097721072501309,197512.20455509936,168204.07412824823,,xrn1_ko,,,0.0,1000.0,wt,B,,,,,,,
e6tc1|H2,,9.0,,aa72,e6tc1,YPD,H,2,500.0,0.1457763602529763,1051766,0.0043004131901197,0.1862063651074978,72492,389310,313829,0.64,0.6410284927992055,249558.8025316587,201173.33086668185,,xrn1_ko,,,0.0,1000.0,ko,A,,,,,,,
e6tc1|H3,,9.0,,aa73,e6tc1,YPD,H,3,500.0,0.132971670538887,586315,0.0052691648669528,0.5257966903585174,97132,184733,144671,0.24,1.275774204175761,235677.59606000083,184567.52989231152,,xrn1_ko,,,0.0,1000.0,ko,A,,,,,,,
e6tc1|H4,,9.0,,aa72,e6tc1,YPD,H,4,500.0,0.1452777320790985,716641,0.0047465215148747,0.1973573551124152,52800,267535,215955,0.64,0.8801029829545455,235458.35154474436,190062.6396839489,,xrn1_ko,,,0.0,1000.0,ko,B,,,,,,,
e6tc1|H5,,9.0,,aa73,e6tc1,YPD,H,5,500.0,0.1357225967769043,429232,0.0060245806782544,0.5241245278867661,71467,136355,107642,0.22,1.8915557975263853,257923.0907717103,203610.8491573352,,xrn1_ko,,,0.0,1000.0,ko,B,,,,,,,
