sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-01-14-MS241218L01_exp241204_MS908_SCGEuri_1.5hr-arrest_no-EU_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	Tbackground	NA	input
2025-01-14-MS241218L02_exp241204_MS908_SCGEuri_1.5hr-arrest_04min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T1	4	input
2025-01-14-MS241218L03_exp241204_MS908_SCGEuri_1.5hr-arrest_07min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T2	7	input
2025-01-14-MS241218L04_exp241204_MS908_SCGEuri_1.5hr-arrest_10min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T3	10	input
2025-01-14-MS241218L05_exp241204_MS908_SCGEuri_1.5hr-arrest_13min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T4	13	input
2025-01-14-MS241218L06_exp241204_MS908_SCGEuri_1.5hr-arrest_18min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T5	18	input
2025-01-14-MS241218L07_exp241204_MS908_SCGEuri_1.5hr-arrest_28min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T6	28	input
2025-01-14-MS241218L08_exp241204_MS908_SCGEuri_1.5hr-arrest_44min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase_input	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T7	44	input
2025-01-14-MS241218L09_exp241204_MS908_SCGEuri_7.5hr-arrest_no-EU_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	Tbackground	NA	input
2025-01-14-MS241218L10_exp241204_MS908_SCGEuri_7.5hr-arrest_04min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T1	4	input
2025-01-14-MS241218L11_exp241204_MS908_SCGEuri_7.5hr-arrest_07min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T2	7	input
2025-01-14-MS241218L12_exp241204_MS908_SCGEuri_7.5hr-arrest_10min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T3	10	input
2025-01-14-MS241218L13_exp241204_MS908_SCGEuri_7.5hr-arrest_13min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T4	13	input
2025-01-14-MS241218L14_exp241204_MS908_SCGEuri_7.5hr-arrest_18min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T5	18	input
2025-01-14-MS241218L15_exp241204_MS908_SCGEuri_7.5hr-arrest_28min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T6	28	input
2025-01-14-MS241218L16_exp241204_MS908_SCGEuri_7.5hr-arrest_44min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase_input	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T7	44	input
2025-01-14-MS241218L17_exp241204_MS908_SCGEuri_1.5hr-arrest_no-EU_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	Tbackground	NA	EU
2025-01-14-MS241218L18_exp241204_MS908_SCGEuri_1.5hr-arrest_04min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T1	4	EU
2025-01-14-MS241218L19_exp241204_MS908_SCGEuri_1.5hr-arrest_07min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T2	7	EU
