sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-08-28-MS250808L07_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_28min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_28min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_28min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T6	28	input
2025-08-28-MS250808L08_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_44min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_44min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_44min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T7	44	input
2025-08-28-MS250808L09_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_no-EU_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_no-EU_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_no-EU	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	Tbackground	NA	input
2025-08-28-MS250808L10_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_04min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_04min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_04min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	T1	4	input
2025-08-28-MS250808L11_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_07min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_07min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_07min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	T2	7	input
2025-08-28-MS250808L12_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_10min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_10min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_10min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	T3	10	input
2025-08-28-MS250808L13_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_13min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_13min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_13min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	T4	13	input
2025-08-28-MS250808L14_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_18min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_18min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_18min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	T5	18	input
2025-08-28-MS250808L15_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_28min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_28min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_28min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	T6	28	input
2025-08-28-MS250808L16_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_44min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_44min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_44min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	T7	44	input
