sample	sample_short	experiment	ref1	ref2	ref3 	sample_ref1	sample_ref2	sample_ref3	replicate_1	exp_group_1	exp_group_2	exp_group_3	exp_group_4	strain_id	strain_info	arrest	condition	strain_info_condition	strain_info_condition_easy	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume
2026-01-03-AC251203L13_exp251017_MS69_SCD_6hr10min-arrest_OD-0.1_Torin-washout_polyA-RNA	MS69_SCD_6hr10min-arrest_OD-0.1_Torin-washout	exp251017	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	A	A	A	A	MS69	WT	6hr10min G1 arrest	Torin_OD 0.1	WT_Torin_OD 0.1	WT_Torin_OD 0.1				89.34
2026-01-03-AC251203L14_exp251017_MS69_SCD_6hr10min-arrest_OD-0.3_Torin-washout_polyA-RNA	MS69_SCD_6hr10min-arrest_OD-0.3_Torin-washout	exp251017	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep2	A	A	A	A	MS69	WT	6hr10min G1 arrest	Torin_OD 0.3	WT_Torin_OD 0.3	WT_Torin_OD 0.3				97.01
2025-01-14-MS241219L01_exp241025_MS69_SCD_1hr-arrest_Torin_polyA-RNA	MS69_SCD_1hr-arrest_Torin	exp241025	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	MS69_SCD_1hr-arrest_DMSO	rep1	B	B	B	A	MS69	WT	1hr G1 arrest	Torin	WT_Torin	TORC1 inhib.	0.851995144	exp241025_MS69_1hr-Torin_G1-arrest.fcs	1.420873529	66.34
2025-01-14-MS241219L02_exp241025_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	exp241025	TRUE	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	B	B	A	MS69	WT	1hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.884606202	exp241025_MS69_1hr-DMSO_G1-arrest.fcs	1.306024165	67.24
2025-01-14-MS241219L03_exp241025_MS69_SCD_4.75hr-arrest_Torin_polyA-RNA	MS69_SCD_4.75hr-arrest_Torin	exp241025	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	MS69_SCD_1hr-arrest_DMSO	rep1	B	B	B	A	MS69	WT	4.75hr G1 arrest	Torin	WT_Torin	TORC1 inhib.	0.299649802	exp241025_MS69_4hr45m-Torin_G1-arrest.fcs	1.001783513	240.3
2025-01-14-MS241219L04_exp241025_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS69_SCD_4.75hr-arrest_DMSO	exp241025	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	B	B	A	MS69	WT	4.75hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.31373272	exp241025_MS69_4hr45m-DMSO_G1-arrest.fcs	1.004088844	242.7
2025-01-14-MS241219L05_exp241002_MS69_SCD_1hr-arrest_Rapa_polyA-RNA	MS69_SCD_1hr-arrest_Rapa	exp241002	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Rapa	MS69_SCD_1hr-arrest_DMSO	rep2	B	B	B	A	MS69	WT	1hr G1 arrest	Rapa	WT_Rapa	TORC1 inhib.	0.798164102	exp241002_MS69_1hr-Rapa_G1-arrest.fcs	1.23983372	66.40407
2025-01-14-MS241219L06_exp241002_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	exp241002	TRUE	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	B	B	A	MS69	WT	1hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.72654178	exp241002_MS69_1hr-DMSO_G1-arrest.fcs	1.24896019	66.05176
2025-01-14-MS241219L07_exp241002_MS69_SCD_4.75hr-arrest_Rapa_polyA-RNA	MS69_SCD_4.75hr-arrest_Rapa	exp241002	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Rapa	MS69_SCD_1hr-arrest_DMSO	rep2	B	B	B	A	MS69	WT	4.75hr G1 arrest	Rapa	WT_Rapa	TORC1 inhib.	0.250728084	exp241002_MS69_4hr45m-Rapa_G1-arrest.fcs	1.00118499	255.09529
2025-01-14-MS241219L08_exp241002_MS69_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS69_SCD_4.75hr-arrest_DMSO	exp241002	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	B	B	A	MS69	WT	4.75hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.308205762	exp241002_MS69_4hr45m-DMSO_G1-arrest.fcs	1.00074858	265.60174
2025-07-29-MS250530L01_exp250523_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	exp250523	TRUE	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	C	B	A	MS69	WT	1hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.451830485	DNA_content_analysis_AC250528_MS69_DMSO-1hr_exp250523.fcs	1.287529621	65.88537
2025-07-29-MS250530L02_exp250523_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS69_SCD_1hr-arrest_PhIAA	exp250523	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	C	B	A	MS69	WT	1hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.646490291	DNA_content_analysis_AC250528_MS69_PhIAA-1hr_exp250523.fcs	1.284352248	65.89803
2025-07-29-MS250530L03_exp250523_MS69_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS69_SCD_4.75hr-arrest_DMSO	exp250523	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	C	B	A	MS69	WT	4.75hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.155702368	DNA_content_analysis_AC250528_MS69_DMSO-4.75hr_exp250523.fcs	1.000589354	245.06509
