sample	sample_short	experiment	ref1	ref2	ref3 	sample_ref1	sample_ref2	sample_ref3	replicate_1	exp_group_1	exp_group_2	exp_group_3	exp_group_4	strain_id	strain_info	arrest	condition	strain_info_condition	strain_info_condition_easy	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume
2026-01-03-AC251128L04_exp251111_MS756c2_SCD_4hr50min-arrest_polyA-RNA	MS756_SCD_Large-G1arrest	exp251111	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	B	E	B	A	MS756c2	AID-Bcy1	Large G1 arrest	no treatment	AID-Bcy1__no-treatment	AID-Bcy1__no-treatment	0.156125548	DNA_content_analysis_AC260123_MS756c2_no-treatment_4hr50min_exp251111_G1-arrest.fcs	1.00081	262.46
2026-01-03-AC251128L05_exp251111_MS756c2_SCD_4hr50min-arrest_PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_PhIAA	exp251111	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	E	B	A	MS756c2	AID-Bcy1	Large G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.154636216	DNA_content_analysis_AC260123_MS756c2_PhIAA_4hr50min_exp251111_G1-arrest.fcs	1.00095	267.91
2026-01-03-AC251128L06_exp251111_MS756c2_SCD_4hr50min-arrest_Torin+PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_Torin+PhIAA	exp251111	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin+PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	E	B	A	MS756c2	AID-Bcy1	Large G1 arrest	Torin+PhIAA	AID-Bcy1_Torin+PhIAA	TORC1 inhib. + PKA hyper.	0.149360969	DNA_content_analysis_AC260123_MS756c2_PhIAA+Torin_4hr50min_exp251111_G1-arrest.fcs	1.00163	294.49
2025-01-14-MS241219L09_exp241010_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_PhIAA	exp241010	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep3	B	F	B	A	MS756	AID-Bcy1	1hr G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.712244463	exp241010_MS756_1hr-phIAA_G1-arrest.fcs	1.204267945	66.91
2025-01-14-MS241219L10_exp241010_MS756_SCD_1hr-arrest_DMSO_polyA-RNA	MS756_SCD_1hr-arrest_DMSO	exp241010	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	F	B	A	MS756	AID-Bcy1	1hr G1 arrest	DMSO	AID-Bcy1_DMSO	Control_DMSO	0.71835053	exp241010_MS756_1hr-DMSO_G1-arrest.fcs	1.196641856	65.33
2025-01-14-MS241219L11_exp241010_MS756_SCD_4.75hr-arrest_PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_PhIAA	exp241010	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep3	B	F	B	A	MS756	AID-Bcy1	Large G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.217089339	exp241010_MS756_4hr45m-phIAA_G1-arrest.fcs	1.001724589	268.5
2025-01-14-MS241219L12_exp241010_MS756_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS756_SCD_Large-G1arrest_DMSO	exp241010	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	F	B	A	MS756	AID-Bcy1	Large G1 arrest	DMSO	AID-Bcy1_DMSO	Control_DMSO	0.210507509	exp241010_MS756_4hr45m-DMSO_G1-arrest.fcs	1.001377232	273.3
2025-02-23-MS250211L09_exp250207_MS756c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_PhIAA	exp250207	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep4	B	F	B	A	MS756c2	AID-Bcy1	1hr G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.633417201	DNA_content_analysis_AC250708_MS756c2_PhIAA_1hr_exp250207.fcs	1.327118838	66.5
2025-02-23-MS250211L10_exp250207_MS756c2_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_PhIAA	exp250207	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep4	B	F	B	A	MS756c2	AID-Bcy1	Large G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.254181103	DNA_content_analysis_AC250708_MS756c2_PhIAA_4hr45min_exp250207.fcs	1.000105407	263.2
2025-02-23-MS250211L11_exp250207_MS756c2_SCD_4hr45m-arrest_PhIAA-4hr35m_polyA-RNA	MS756_SCD_Large-G1arrest_longPhIAA	exp250207	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	F	B	A	MS756c2	AID-Bcy1	Large G1 arrest	PhIAAlong	AID-Bcy1_PhIAA	AID-Bcy1_PhIAA_long				271.8
2025-02-23-MS250211L12_exp250207_MS756c2_SCD_1hr-arrest-DMSO_polyA-RNA	MS756_SCD_1hr-arrest_DMSO	exp250207	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	F	B	A	MS756c2	AID-Bcy1	1hr G1 arrest	DMSO	AID-Bcy1_DMSO	Control_DMSO	0.678337245	DNA_content_analysis_AC250708_MS756c2_DMSO_1hr_exp250207.fcs	1.361991478	63.1
2025-02-23-MS250211L13_exp250207_MS756c2_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS756_SCD_Large-G1arrest_DMSO	exp250207	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	F	B	A	MS756c2	AID-Bcy1	Large G1 arrest	DMSO	AID-Bcy1_DMSO	Control_DMSO	0.227268458	DNA_content_analysis_AC250708_MS756c2_DMSO_4hr45min_exp250207.fcs	1.000346768	263.2
2025-02-23-MS250211L14_exp250207_MS756c2_SCD_4hr45m-arrest_DMSO-4hr35m_polyA-RNA	MS756_SCD_Large-G1arrest_longDMSO	exp250207	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	F	B	A	MS756c2	AID-Bcy1	Large G1 arrest	DMSOlong	AID-Bcy1_DMSO	AID-Bcy1_DMSO_long				259.8
2025-01-14-MS241219L13_exp241010_MS791_SCD_1hr-arrest_PhIAA_polyA-RNA	MS791_SCD_1hr-arrest_PhIAA	exp241010	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	G	B	A	MS791	Hog1-AID	1hr G1 arrest	PhIAA	Hog1-AID_PhIAA	Hog1-AID_PhIAA	0.819120204	exp241010_MS791_1hr-phIAA_G1-arrest.fcs	1.202668816	66.31
2025-01-14-MS241219L14_exp241010_MS791_SCD_1hr-arrest_DMSO_polyA-RNA	MS791_SCD_1hr-arrest_DMSO	exp241010	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	G	B	A	MS791	Hog1-AID	1hr G1 arrest	DMSO	Hog1-AID_DMSO	Hog1-AID_DMSO	0.682510206	exp241010_MS791_1hr-DMSO_G1-arrest.fcs	1.159358022	65.88
2025-01-14-MS241219L15_exp241010_MS791_SCD_4.75hr-arrest_PhIAA_polyA-RNA	MS791_SCD_Large-G1arrest_PhIAA	exp241010	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	G	B	A	MS791	Hog1-AID	Large G1 arrest	PhIAA	Hog1-AID_PhIAA	Hog1-AID_PhIAA	0.228023271	exp241010_MS791_4hr45m-phIAA_G1-arrest.fcs	1.000370596	215.1
2025-01-14-MS241219L16_exp241010_MS791_SCD_4.75hr-arrest_DMSO_polyA-RNA	MS791_SCD_Large-G1arrest_DMSO	exp241010	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	G	B	A	MS791	Hog1-AID	Large G1 arrest	DMSO	Hog1-AID_DMSO	Hog1-AID_DMSO	0.234643686	exp241010_MS791_4hr45m-DMSO_G1-arrest.fcs	1.000995807	206.1
2025-02-23-MS250211L01_exp250206_MS791c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS791_SCD_1hr-arrest_PhIAA	exp250206	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	G	B	A	MS791c2	Hog1-AID	1hr G1 arrest	PhIAA	Hog1-AID_PhIAA	Hog1-AID_PhIAA	0.765529422	DNA_content_analysis_AC250708_MS791c2_PhIAA_1hr_exp250206.fcs	1.454243119	65.9
2025-02-23-MS250211L02_exp250206_MS791c2_SCD_5hr30m-arrest_PhIAA_polyA-RNA	MS791_SCD_Large-G1arrest_PhIAA	exp250206	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	G	B	A	MS791c2	Hog1-AID	Large G1 arrest	PhIAA	Hog1-AID_PhIAA	Hog1-AID_PhIAA	0.264594291	DNA_content_analysis_AC250708_MS791c2_PhIAA_5hr30min_exp250206.fcs	1.00012983	240.7
2025-02-23-MS250211L03_exp250206_MS791c2_SCD_1hr-arrest_DMSO_polyA-RNA	MS791_SCD_1hr-arrest_DMSO	exp250206	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	G	B	A	MS791c2	Hog1-AID	1hr G1 arrest	DMSO	Hog1-AID_DMSO	Hog1-AID_DMSO	0.748267333	DNA_content_analysis_AC250708_MS791c2_DMSO_1hr_exp250206.fcs	1.400248631	67.4
2025-02-23-MS250211L04_exp250206_MS791c2_SCD_5hr30m-arrest_DMSO_polyA-RNA	MS791_SCD_Large-G1arrest_PhIAA	exp250206	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS791_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	G	B	A	MS791c2	Hog1-AID	Large G1 arrest	DMSO	Hog1-AID_DMSO	Hog1-AID_DMSO	0.252046407	DNA_content_analysis_AC250708_MS791c2_DMSO_5hr30min_exp250206.fcs	1.00017794	244.6
2025-02-23-MS250211L05_exp250206_MS793_SCD_1hr-arrest_PhIAA_polyA-RNA	MS793_SCD_1hr-arrest_PhIAA	exp250206	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	H	B	A	MS793	Pkc1-AID	1hr G1 arrest	PhIAA	Pkc1-AID_PhIAA	Pkc1-AID_PhIAA	0.716249759	DNA_content_analysis_AC250708_MS793_PhIAA_1hr_exp250206.fcs	1.4528163	79.7
2025-02-23-MS250211L06_exp250206_MS793_SCD_4hr35m-arrest_PhIAA_polyA-RNA	MS793_SCD_4.65hr-arrest_PhIAA	exp250206	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	H	B	A	MS793	Pkc1-AID	4.65hr G1 arrest	PhIAA	Pkc1-AID_PhIAA	Pkc1-AID_PhIAA	0.267925823	DNA_content_analysis_AC250708_MS793_PhIAA_4hr35min_exp250206.fcs	1.000143419	250.6
2025-02-23-MS250211L07_exp250206_MS793_SCD_1hr-arrest_DMSO_polyA-RNA	MS793_SCD_1hr-arrest_DMSO	exp250206	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	H	B	A	MS793	Pkc1-AID	1hr G1 arrest	DMSO	Pkc1-AID_DMSO	Pkc1-AID_DMSO	0.849390967	DNA_content_analysis_AC250708_MS793_DMSO_1hr_exp250206.fcs	1.446751688	73.4
2025-02-23-MS250211L08_exp250206_MS793_SCD_4hr35m-arrest_DMSO_polyA-RNA	MS793_SCD_4.65hr-arrest_DMSO	exp250206	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	H	B	A	MS793	Pkc1-AID	4.65hr G1 arrest	DMSO	Pkc1-AID_DMSO	Pkc1-AID_DMSO	0.278591453	DNA_content_analysis_AC250708_MS793_DMSO_4hr35min_exp250206.fcs	1.000237655	265.1
2025-07-29-MS250530L05_exp250523_MS793c2_SCD_1hr-arrest_DMSO_polyA-RNA	MS793_SCD_1hr-arrest_DMSO	exp250523	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	H	B	A	MS793c2	Pkc1-AID	1hr G1 arrest	DMSO	PKC1-AID_DMSO	PKC1-AID_DMSO	0.603809216	DNA_content_analysis_AC250528_MS793c2_DMSO-1hr_exp250523.fcs	1.287883943	71.99057
2025-07-29-MS250530L06_exp250523_MS793c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS793_SCD_1hr-arrest_PhIAA	exp250523	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	H	B	A	MS793c2	Pkc1-AID	1hr G1 arrest	PhIAA	PKC1-AID_PhIAA	PKC1-AID_PhIAA	0.671853385	DNA_content_analysis_AC250528_MS793c2_PhIAA-1hr_exp250523.fcs	1.350674793	72.48502
2025-07-29-MS250530L07_exp250523_MS793c2_SCD_4hr35m-arrest_DMSO_polyA-RNA	MS793_SCD_4.65hr-arrest_DMSO	exp250523	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	H	B	A	MS793c2	Pkc1-AID	4.65hr G1 arrest	DMSO	PKC1-AID_DMSO	PKC1-AID_DMSO	0.196256642	DNA_content_analysis_AC250528_MS793c2_DMSO-4.65hr_exp250523.fcs	1.00076205	" 256.46337	"
2025-07-29-MS250530L08_exp250523_MS793c2_SCD_4hr35m-arrest_PhIAA_polyA-RNA	MS793_SCD_4.65hr-arrest_PhIAA	exp250523	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	H	B	A	MS793c2	Pkc1-AID	4.65hr G1 arrest	PhIAA	PKC1-AID_PhIAA	PKC1-AID_PhIAA	0.206751586	DNA_content_analysis_AC250528_MS793c2_PhIAA-4.65hr_exp250523.fcs	1.000765516	243.9075
2026-01-03-AC251202L01_exp251106_MS1007_SCD_1hr-arrest_ATC_polyA-RNA	MS1007_SCD_1hr-arrest_ATC	exp251106	FALSE	TRUE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1007_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS1007	Sch9(2d3E)	1hr G1 arrest	ATC	Sch9(2d3E)_ATC	Sch9(2d3E)_ATC				70.98
2026-01-03-AC251202L02_exp251106_MS1007_SCD_5hr-arrest_ATC_polyA-RNA	MS1007_SCD_5hr-arrest_ATC	exp251106	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1007_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS1007	Sch9(2d3E)	5hr G1 arrest	ATC	Sch9(2d3E)_ATC	Sch9(2d3E)_ATC				293.86
2026-01-03-AC251202L03_exp251106_MS1007_SCD_5hr-arrest_ATCLong_polyA-RNA	MS1007_SCD_5hr-arrest_ATCLong	exp251106	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1007_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS1007	Sch9(2d3E)	5hr G1 arrest	ATC	Sch9(2d3E)_ATC	Sch9(2d3E)_ATC				287.31
2026-01-03-AC251202L04_exp251106_MS1116_SCD_1hr-arrest_ATC_polyA-RNA	MS1116_SCD_1hr-arrest_ATC	exp251106	FALSE	TRUE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1116_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS1116	Gtr2(s23L)-Gtr1(q65L)	1hr G1 arrest	ATC	Gtr2(s23L)-Gtr1(q65L)_ATC	Gtr2(s23L)-Gtr1(q65L)_ATC				65.94
2026-01-03-AC251202L05_exp251106_MS1116_SCD_5hr-arrest_ATC_polyA-RNA	MS1116_SCD_5hr-arrest_ATC	exp251106	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1116_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS1116	Gtr2(s23L)-Gtr1(q65L)	5hr G1 arrest	ATC	Gtr2(s23L)-Gtr1(q65L)_ATC	Gtr2(s23L)-Gtr1(q65L)_ATC				221.56
2026-01-03-AC251202L06_exp251106_MS1116_SCD_5hr-arrest_ATCLong_polyA-RNA	MS1116_SCD_5hr-arrest_ATCLong	exp251106	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1116_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS1116	Gtr2(s23L)-Gtr1(q65L)	5hr G1 arrest	ATC	Gtr2(s23L)-Gtr1(q65L)_ATC	Gtr2(s23L)-Gtr1(q65L)_ATC				209.13
2026-01-03-AC251202L07_exp251106_MS951_SCD_1hr-arrest_ATC_polyA-RNA	MS951_SCD_1hr-arrest_ATC	exp251106	TRUE	TRUE	FALSE	MS951_SCD_1hr-arrest_ATC	MS951_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS951	WT	1hr G1 arrest	ATC	WT_ATC	WT_ATC	1.254105265	DNA_content_analysis_AC260304_MS951_N1_exp2602220_G1-arrest.fcs	1.3316	66.9
2026-01-03-AC251202L08_exp251106_MS951_SCD_5hr-arrest_ATC_polyA-RNA	MS951_SCD_5hr-arrest_ATC	exp251106	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS951_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS951	WT	5hr G1 arrest	ATC	WT_ATC	WT_ATC	0.516990942	DNA_content_analysis_AC260304_MS951_N2_exp2602220_G1-arrest.fcs	1.0046	272.89
2026-01-03-AC251202L09_exp251106_MS951_SCD_5hr-arrest_ATCLong_polyA-RNA	MS951_SCD_5hr-arrest_ATCLong	exp251106	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS951_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	I	B	A	MS951	WT	5hr G1 arrest	ATC	WT_ATC	WT_ATC				285.74
2026-03-17-MS260226L01_exp260220_MS951_SCD_1hr-arrest_1NMPP1_polyA-RNA	MS951_SCD_1hr-arrest_1NMPP1	exp260220	FALSE	TRUE	FALSE	MS951_SCD_1hr-arrest_ATC	MS951_SCD_1hr-arrest_1NMPP1	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS951	WT	1hr G1 arrest	1NMPP1	WT_1NMPP1	WT_1NMPP1	1.254105265	DNA_content_analysis_AC260304_MS951_N1_exp2602220_G1-arrest.fcs	1.3316	53.2
2026-03-17-MS260226L02_exp260220_MS951_SCD_4hr45min-arrest_1NMPP1_polyA-RNA	MS951_SCD_4.75hr-arrest_1NMPP1	exp260220	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS951_SCD_1hr-arrest_1NMPP1	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS951	WT	4.75hr G1 arrest	1NMPP1	WT_1NMPP1	WT_1NMPP1	0.516990942	DNA_content_analysis_AC260304_MS951_N2_exp2602220_G1-arrest.fcs	1.0046	210.9
2026-03-17-MS260226L03_exp260220_MS1154_SCD_1hr-arrest_DMSO	MS1154_SCD_1hr-arrest_DMSO	exp260220	FALSE	TRUE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1154_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS1154	TPK1-3_AS	1hr G1 arrest	DMSO	TPK1-3_AS_1NMPP1	TPK1-3_AS_1NMPP1	1.302981099	DNA_content_analysis_AC260304_MS1154_D1_exp2602220_G1-arrest.fcs	1.3079	55.3
2026-03-17-MS260226L04_exp260220_MS1154_SCD_4hr45min-arrest_DMSO	MS1154_SCD_4.75hr-arrest_DMSO	exp260220	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1154_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS1154	TPK1-3_AS	4.75hr G1 arrest	DMSO	TPK1-3_AS_1NMPP1	TPK1-3_AS_1NMPP1	0.412533415	DNA_content_analysis_AC260304_MS1154_D2_exp2602220_G1-arrest.fcs	1.0072	227.1
2026-03-17-MS260226L05_exp260220_MS1154_SCD_1hr-arrest_1NMPP1_polyA-RNA	MS1154_SCD_1hr-arrest_1NMPP1	exp260220	FALSE	TRUE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1154_SCD_1hr-arrest_1NMPP1	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS1154	TPK1-3_AS	1hr G1 arrest	1NMPP1	TPK1-3_AS_1NMPP1	TPK1-3_AS_1NMPP1	1.20403821	DNA_content_analysis_AC260304_MS1154_N1_exp2602220_G1-arrest.fcs	1.2707	52.4
2026-03-17-MS260226L06_exp260220_MS1154_SCD_4hr45min-arrest_1NMPP1_polyA-RNA	MS1154_SCD_4.75hr-arrest_1NMPP1	exp260220	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1154_SCD_1hr-arrest_1NMPP1	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS1154	TPK1-3_AS	4.75hr G1 arrest	1NMPP1	TPK1-3_AS_1NMPP1	TPK1-3_AS_1NMPP1	0.453869034	DNA_content_analysis_AC260304_MS1154_N2_exp2602220_G1-arrest.fcs	1.0067	207.7
2026-03-17-MS260226L07_exp260220_MS1042_SCD_1hr-arrest_ATC_polyA-RNA	MS1042_SCD_1hr-arrest_ATC	exp260220	FALSE	TRUE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1042_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS1042	Sch9(2d3E)_Tod6-mNG	1hr G1 arrest	ATC	Sch9(2d3E)_Tod6-mNG_ATC	Sch9(2d3E)_Tod6-mNG_ATC				65.6
2026-03-17-MS260226L08_exp260220_MS1042_SCD_4hr45min-arrest_ATC_polyA-RNA	MS1042_SCD_4.75hr-arrest_ATC	exp260220	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS1042_SCD_1hr-arrest_ATC	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS1042	Sch9(2d3E)_Tod6-mNG	4.75hr G1 arrest	ATC	Sch9(2d3E)_Tod6-mNG_ATC	Sch9(2d3E)_Tod6-mNG_ATC				266.2
2026-03-17-MS260226L09_exp241211_MS796_SCD_1hr-arrest_polyA-RNA	MS796_SCD_1hr-arrest	exp260220	FALSE	TRUE	FALSE	MS951_SCD_1hr-arrest_ATC	MS796_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS796	TOR1-L2134M	1hr G1 arrest	no treatment	TOR1-L2134M_no-treatment	TOR1-L2134M_no-treatment				66.8
2026-03-17-MS260226L10_exp241211_MS796_SCD_4hr45min-arrest_polyA-RNA	MS796_SCD_4.75hr-arrest	exp260220	FALSE	FALSE	FALSE	MS951_SCD_1hr-arrest_ATC	MS796_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	C	J	B	A	MS796	TOR1-L2134M	4.75hr G1 arrest	no treatment	TOR1-L2134M_no-treatment	TOR1-L2134M_no-treatment				215.4
