gene_id	log2FC_ccr4_60	log2FC_not1_60	log2FC_xrn1_60	log2FC_dcp2_chapp_60	log2FC_pop2_60	not1_sensitive	xrn1_sensitive	ccr4_sensitive	pop2_sensitive	dcp2_sensitive
YAL001C	-0.47643804394298733	0.09310940439148145	1.032421477692377	0.5178483048626192	0.5025003405291834	FALSE	FALSE	FALSE	TRUE	FALSE
YAL002W	-0.00898878322725465	0.15255786947222438	0.6907226244791764	0.6936687601636563	0.23000560544632323	FALSE	FALSE	FALSE	FALSE	FALSE
YAL003W	-0.5225045607102524	-0.3964009099116985	0.6173051245254979	-0.06599035295149626	-0.6023348987693361	FALSE	FALSE	FALSE	FALSE	FALSE
YAL005C	0.16388975953581858	0.8166526666396938	-0.45699106640631376	0.9104899332179163	0.29080733186432406	TRUE	FALSE	FALSE	FALSE	TRUE
YAL007C	-0.43641115007141096	-0.42981285195924207	0.6052325472896055	-0.276028944951376	-0.16137608103058085	FALSE	FALSE	FALSE	FALSE	FALSE
YAL008W	0.09310940439148176	0.12175254284642328	0.0022481827580185013	0.5558161550616398	-0.01707351335894157	FALSE	FALSE	FALSE	FALSE	FALSE
YAL009W	-0.312939311660108	0.33658362318388196	0.6239056978089239	0.7510657912110599	0.027720757558449747	FALSE	FALSE	FALSE	FALSE	TRUE
YAL010C	-0.25481389902882534	0.6463630453852995	0.8908897199069326	0.2321025462819027	0.10978814553811196	FALSE	FALSE	FALSE	FALSE	FALSE
YAL011W	-0.1604646721932461	0.21209744060856855	0.7173395982445402	0.13606154957602826	0.12052808630012428	FALSE	FALSE	FALSE	FALSE	FALSE
YAL012W	-0.07954841615861753	0.26073528974420557	0.035622954607475	0.1059697836066373	-0.06974690013769919	FALSE	FALSE	FALSE	FALSE	FALSE
YAL013W	0.48062584090642063	0.7854696964365228	0.5756878760362968	0.08426891689760395	0.05967482108999515	TRUE	FALSE	FALSE	FALSE	FALSE
YAL014C	0.09686153925258897	0.10477232191706141	1.0616923224062418	0.951284714966972	-0.6520766965796931	FALSE	FALSE	FALSE	FALSE	TRUE
YAL015C	-0.3275746580285044	0.5573580393265547	0.6090481192454689	-0.058893689053568565	-0.05771549785628733	FALSE	FALSE	FALSE	FALSE	FALSE
YAL016W	0.16653918660293116	0.730232907514781	0.6552449910812439	0.36877938685339295	0.2910487820033905	FALSE	FALSE	FALSE	FALSE	FALSE
YAL017W	-0.1783372412585124	0.2921807514933101	0.7020833444031747	0.6365636972083687	0.058233265585460374	FALSE	FALSE	FALSE	FALSE	FALSE
YAL019W	-0.27774864631881313	-0.09953567355091457	1.2538666454291418	0.16992500144231237	-0.289506617194985	FALSE	FALSE	FALSE	FALSE	FALSE
YAL020C	-0.10342958965540573	0.6591603198494141	0.6344515015162607	0.6877633280912167	-0.22045773546130568	FALSE	FALSE	FALSE	FALSE	FALSE
YAL021C	0	0.4074057274507821	-0.32092238202621737	0.5516554295177223	0.24011859023282164	FALSE	FALSE	FALSE	FALSE	FALSE
YAL022C	-0.4973386354134044	-0.2147762478077037	0.5704808052346183	0.8672974625138858	-0.20020420545677167	FALSE	FALSE	FALSE	FALSE	TRUE
YAL023C	-0.13059656783242277	-0.12117810722629616	-0.12421788630742978	0.33659688574751667	-0.3779662839764407	FALSE	FALSE	FALSE	FALSE	FALSE
YAL024C	0.5849625007211562	0.4480525565068069	0.7247766221564588	0.07400058144377678	0.17799830197799443	FALSE	FALSE	TRUE	FALSE	FALSE
YAL025C	-0.4898052676808162	0.6331297831816666	2.097104815255966	0.1947850827431493	-0.09392606941140051	FALSE	TRUE	FALSE	FALSE	FALSE
YAL026C	-0.6345517824846348	0.4131379663633622	0.7008053888323516	0.5742444824020381	0.27535960429457196	FALSE	FALSE	FALSE	FALSE	FALSE
YAL026C-A	-0.46656779991892583	0.3237694417115301	0.6374299206152918	0.11565197304257001	0.001140921404569718	FALSE	FALSE	FALSE	FALSE	FALSE
YAL027W	-0.32192809488736246	0.43295940727610605	1.0752319136612256	0.4228148498705634	-0.021695071099318897	FALSE	FALSE	FALSE	FALSE	FALSE
YAL028W	0	0	0.8021708317033645	0.6179775579491191	0.19264507794239583	FALSE	FALSE	FALSE	FALSE	FALSE
YAL029C	-0.16710998583525852	0.44431998852682825	1.1216154893310932	0.8002915295350358	-0.2959848276350804	FALSE	FALSE	FALSE	FALSE	TRUE
YAL030W	-0.29850661544593654	0.350679739658014	-0.13154667755172164	0.027480736422107237	0.045928411793702814	FALSE	FALSE	FALSE	FALSE	FALSE
YAL031C	-0.09199578408077297	0.06711419585853703	0.9003078583482473	1.065095028221885	0.0012863978033659889	FALSE	FALSE	FALSE	FALSE	TRUE
YAL032C	-0.16969499824678508	0.10344012800683057	0.5424838694938853	0.3570105540428075	0.5760569474992641	FALSE	FALSE	FALSE	TRUE	FALSE
YAL033W	-0.11103131238874384	0.19639721280350333	0.9545657562901898	0.010888316142735836	0.3466636884753476	FALSE	FALSE	FALSE	FALSE	FALSE
YAL034C	0.11103131238874395	0.09060254878090676	0.386776111019326	0.6974372299795688	0.21412480535284734	FALSE	FALSE	FALSE	FALSE	FALSE
YAL034C-B	-0.22239242133644802	0	-0.41503749927884404	NA	-0.16992500144231246	FALSE	FALSE	FALSE	FALSE	FALSE
YAL034W-A	-0.3625700793847084	0.8479969065549501	0.8051139463656447	-0.21613343086476536	0.4410997958650399	TRUE	FALSE	FALSE	FALSE	FALSE
YAL035W	-0.24570758810392887	-0.060990629889148516	0.02672551929012303	0.20359537750293624	-0.09200217416771518	FALSE	FALSE	FALSE	FALSE	FALSE
