name	hl_wt_mean	hl_upf3_mean	log2FC_upf3_hl	nmd_sensitive
YAL001C	10.8061160436667	17.4405539933333	0.690597787731383	TRUE
YAL002W	8.478558181	11.72308842	0.467461840810095	FALSE
YAL003W	20.93264359	21.3081178	0.0256486403424865	FALSE
YAL005C	21.0472183666667	23.2070544233333	0.140933841856596	FALSE
YAL007C	15.9029953366667	18.36973487	0.208032280817926	FALSE
YAL008W	17.1165151933333	17.2694099333333	0.0128297805606784	FALSE
YAL009W	11.094250755	14.059173965	0.341699593466146	FALSE
YAL010C	7.577772558	11.631754327	0.618222959649592	TRUE
YAL011W	4.54038587066667	8.19155145733333	0.851321808158412	TRUE
YAL012W	12.5360501333333	13.8794693733333	0.146869558762216	FALSE
YAL013W	7.64300290366667	7.922345781	0.051788092451729	FALSE
YAL014C	11.1343708543333	9.96103304166667	-0.160652766603923	FALSE
YAL015C	9.94664899633333	12.8429654066667	0.368695883473851	FALSE
YAL016W	12.1530084866667	9.80680177033333	-0.309458876983378	FALSE
YAL017W	11.772080589	12.5030502333333	0.0869107726733587	FALSE
YAL019W	8.39917079766667	9.84678383766667	0.229405681752346	FALSE
YAL020C	14.30111639	16.74611679	0.227698819150976	FALSE
YAL021C	8.70141983133333	9.8692675005	0.181692183324038	FALSE
YAL022C	10.998791234	14.3764739333333	0.386364894049548	FALSE
YAL023C	16.61931725	19.3418529966667	0.218864900193654	FALSE
YAL024C	5.57430808666667	4.975821391	-0.163858040706691	FALSE
YAL025C	6.74155242566667	5.75524084533333	-0.228204545880286	FALSE
YAL026C	14.49693044	17.62079447	0.281531514294076	FALSE
YAL027W	9.19046993366667	10.998541628	0.259101702184905	FALSE
YAL028W	7.10137061	12.75948396	0.845400576455472	FALSE
YAL029C	11.48133753	10.6436186143333	-0.109301998745944	FALSE
YAL030W	19.87771579	23.6140268	0.248492097360278	FALSE
YAL031C	7.63743589433333	6.12856768066667	-0.317538427281491	FALSE
YAL032C	5.587562469	8.93945750466667	0.67796822768368	FALSE
YAL033W	12.8028942	10.241436188	-0.322051937151539	FALSE
YAL034C	8.74847998166667	7.9754394575	-0.133468359897195	FALSE
YAL034W-A	5.32493249533333	7.600498006	0.513330714814242	FALSE
YAL035W	14.9971915166667	15.2640995766667	0.0254501315999518	FALSE
YAL036C	9.336335207	9.172769266	-0.0254990094519693	FALSE
YAL037W	13.1719304366667	13.9086045666667	0.0785108853726341	FALSE
YAL038W	34.13724818	38.20314719	0.162344726219245	FALSE
YAL039C	10.2932978793333	7.642171855	-0.429650676616527	FALSE
YAL040C	4.905491776	6.34457078433333	0.371124793803446	FALSE
YAL041W	7.35790224	6.92256812133333	-0.0879871627598824	FALSE
YAL042W	16.70069163	16.6435564566667	-0.00494410380381579	FALSE
YAL043C	7.86305073066667	6.91292202966667	-0.18579350868047	FALSE
YAL044C	18.6962373233333	19.86623386	0.0875704472862372	FALSE
YAL044W-A	26.8338530433333	20.98054879	-0.355001809354912	FALSE
YAL046C	14.39954118	15.6535898233333	0.120470703960818	FALSE
YAL047C	6.898786343	10.979839962	0.670442540610798	TRUE
YAL049C	15.54393807	16.164324903	0.0564611970255318	FALSE
YAL051W	8.771322008	6.48255906166667	-0.436230855798548	FALSE
YAL053W	8.609198553	10.8735753903333	0.336875551860648	FALSE
YAL054C	12.3535541733333	8.087813164	-0.611104596267291	FALSE
YAL055W	8.671650045	11.1437669223333	0.361858547388539	FALSE
YAL056W	6.067128401	10.7230668323333	0.821631831208498	FALSE
YAL058W	11.3185836	9.82249556	-0.204531915905679	FALSE
YAL059W	8.642236388	8.85692537366667	0.0354012701262122	FALSE
YAL060W	9.78128555033333	10.3886974096667	0.0869187772099475	FALSE
YAL061W	9.67337045066667	8.62689741933333	-0.165176848004468	FALSE
YAL064W-B	5.1625210185	14.1430059	1.45394112219088	FALSE
YAL067C	8.947775069	18.1627399155	1.0213809596476	FALSE
YAR002C-A	21.4294992833333	22.82021242	0.0907140801592922	FALSE
YAR002W	7.920560908	7.27623886233333	-0.122409696671243	FALSE
YAR003W	7.35454600066667	9.0774885665	0.303656921853664	FALSE
YAR007C	10.439663808	9.7592332945	-0.0972355368087314	FALSE
YAR008W	8.429504024	9.91662316433333	0.234401185543303	FALSE
YAR014C	10.9668845016667	6.83997987333333	-0.68108975465128	FALSE
YAR015W	9.37581948966667	11.9116791766667	0.345360103424795	FALSE
YAR018C	8.09212184833333	17.7311465866667	1.13169588252812	TRUE
YAR019C	4.39907673866667	8.530722235	0.955467121120496	FALSE
YAR023C	7.2213213815	21.5809125916667	1.57942111779848	TRUE
YAR027W	8.50836454466667	11.8226803103333	0.474603392180481	FALSE
YAR028W	12.23715295	14.0467124366667	0.198964569273135	FALSE
YAR029W	5.825798924	21.49696403	1.88360511229291	TRUE
YAR031W	17.07532182	12.0202394833333	-0.506447129723061	FALSE
YAR033W	10.780088111	10.1443631576667	-0.0876906715010742	FALSE
YAR035W	9.439765104	9.73783884833333	0.0448506651325284	FALSE
YAR042W	8.13659271366667	15.185571853	0.900204556148644	FALSE
YAR071W	4.46683727633333	12.88856782	1.52876635570136	TRUE
YBL001C	26.0189011966667	25.3906862966667	-0.0352606461492998	FALSE
YBL002W	14.0537371266667	15.00512911	0.0945019139992156	FALSE
YBL003C	16.5732846133333	17.65122151	0.0909084705374548	FALSE
YBL004W	9.810677097	13.559373771	0.466865935757563	FALSE
YBL005W	6.70517592966667	12.2537742626667	0.869879088531939	TRUE
YBL006C	6.32896028233333	8.872552241	0.487380649730885	FALSE
YBL007C	14.00130344	17.9516025043333	0.358551496404388	FALSE
YBL008W	6.77858132266667	10.4119638303333	0.619186934183452	TRUE
YBL009W	6.804424683	6.44529513566667	-0.0782267640471854	FALSE
YBL010C	5.86175597166667	8.68736085066667	0.567585055580359	FALSE
