gene_id	log2FC_Not1_large_YM	log2FC_Not1_small_YM	log2FC_Pab1_large_YM	log2FC_Pab1_small_YM	log2FC_Xrn1_large_YM	log2FC_Xrn1_small_YM	log2FC_eIF4E_large_YM	log2FC_eIF4E_small_YM	log2FC_eIF4G_large_YM	log2FC_eIF4G_small_YM
YAL001C	0.5579499210353	0.954226005309169	1.20199588456563	0.571445900666395	0.582395873563548	0.447383975879356	0.480707698344378	0.446394784976471	0.142402728967481	0.563613314974819
YAL002W	-0.489658097834948	-0.00879597968704728	0.290112554538103	-0.0328304490602987	0.580795056350766	0.607148527807108	-0.516729163905137	0.215439091865872	-0.218902391522748	0.672286500332588
YAL003W	-0.483229219273223	-0.694287855568333	0.334307868608114	0.0725837802015937	-0.167964243430513	-0.376095678080617	-0.917684313620023	-0.678417437623699	-1.06115946030828	-0.94971627607466
YAL004W	0.0630200199156533	0.945527074365586	-0.0151811770007166	0.0281684878516742	0.601805938492192	-0.00867060750107856	-0.660703873517996	-1.57438787624025	-0.68240936524336	0.397142173854562
YAL005C	0.389662153821775	-0.130245468056419	1.36164895154352	1.45224522447915	0.372103371469035	-0.412052631455384	-0.948402383410291	-2.75636127463349	-3.08173555801078	-2.17836190597966
YAL007C	-0.527932847083046	-0.231523460362814	0.213806842329264	0.367587084289698	-0.162685156535338	-0.0444858330405737	-1.04449244261529	-0.116868353561457	-0.785818346164792	-0.335681246152191
YAL008W	0.219259069804769	0.147704289114631	-0.61456641634993	0.0154780045147486	0.198685316059466	0.0963873582496251	-0.237065114497926	-0.603105720977286	-2.47895435711236	-0.958257751709597
YAL009W	1.62678208288116	0.462625550760275	-0.20781453145859	-0.439248948607547	0.289006691309616	0.766177619378713	0.657646956325135	0.61554879950532	0.226757874475596	0.690064664182639
YAL010C	1.06166139287134	0.849302914455212	-0.2719393902803	-0.796619205614525	-0.36052663553328	0.0215689203153972	0.537336778814484	-0.0510946636213961	0.0350464799769502	0.392419797659366
YAL011W	1.15934111216902	0.954314563055224	-0.125016611199933	-0.498806521004447	0.850520352942285	1.4772449887064	-0.0900249686470162	-0.115027775610721	-0.281434387090942	0.00137475174704862
YAL012W	-0.599698079810927	-0.324586354553012	0.844159318983633	0.170848686875461	-0.392394409164214	-0.58888912428906	-0.140043315656156	0.0819056045362894	0.988083256800315	0.547344007597358
YAL013W	1.5181883199118	1.349678105201	-0.442385241579831	-0.493426287277725	0.0432399591019896	0.535722487236797	0.599968205894088	0.54197961517209	1.02746635900633	0.912058462318827
YAL014C	0.195364082454369	0.109982929982623	-0.406566527492735	-0.151415898765654	0.648392264587483	0.80067422237588	-0.356006411941786	-0.0147920001771293	-0.61725017540854	0.167161538553735
YAL015C	0.705818575400087	0.222655112012531	-0.477608650306455	-0.528504797057547	1.63667336455996	1.16664785344507	0.52938806077018	0.160627500974179	0.187702138443751	0.196207467820324
YAL016C-A	1.63739477985779	2.59205416262599	-2.81010167017889	-1.56501023051832	3.15782048607922	0	-0.307863131168033	-0.503099218138804	0.421860267119686	1.86522457875237
YAL016C-B	0	0	0	0	0	0	0	0	0	0
YAL016W	0.581741798232738	0.822335001307779	0.660767996193983	0.305661732679012	-0.245821301717099	-0.20824212221007	0.116781223909456	0.41184131698911	-0.198673916626021	0.171124048408501
YAL017W	0.458114934605721	0.515239970115854	1.09431242416976	0.971946623286116	-0.0500081162438475	0.1208070762958	-0.0833796700620145	0.203350275126637	-1.35161799812086	-0.0263568884509662
YAL018C	0.0489920070973979	0.0480271277273447	-0.76553828170075	0.342218494635385	0.756489324266782	0.367775433241866	-0.239600043739638	-0.231322664439371	-0.845497959756148	0.62298466496813
YAL019W	-0.142782684985913	0.025436042119822	1.55727029346184	0.698628999899832	0.0816969329874786	0.155826906595199	0.105838413997232	0.995132857003517	0.269670251729181	0.206039025010646
YAL019W-A	0	0.611736880454659	0	0	0	0	0	0.041114871339504	0	0
YAL020C	0.820831157387762	0.772906960715022	-0.917236406605364	-0.390324116948155	0.884391119308702	1.07622668156376	0.988894684320077	1.15102749163441	0.682047541487483	1.110299784093
YAL021C	-0.021778728424244	-0.095716112777808	1.16380093813674	0.8980407044406	-0.239497332689761	-0.539545878429427	-0.235291995059227	0.000603683809408383	-0.755563760120931	-0.520018689131172
YAL022C	0.429444352395918	0.63566399726201	-0.184802479043194	0.172407473196289	0.615157731449023	0.405988584140229	0.354432151667754	0.223543320230471	0.241177492082274	-0.168219399976332
YAL023C	-0.370761878514762	-0.199789937151825	0.555559551659175	0.616801814265718	-0.200218101570488	-0.227118525217375	-0.621264950450673	-0.237809805700331	-0.654162517378513	-0.591344903021988
YAL024C	0.487833421283801	0.956736530629687	0.641997503823874	0.337996896424973	-0.00590732161447075	-0.33452532492585	0.454137440595707	0.416447120010253	0.339907094158293	0.0228263072515739
YAL025C	1.07297152862883	0.397662959293944	-0.629353771112022	-0.909544151503387	0.0283449449557997	0.241588393488719	-0.0315855184546218	0.629871733388202	0.500144146376248	-0.124929739479078
YAL026C	0.780483709310111	0.63528391785606	0.221884471464038	0.294254131900434	-0.0504173027020434	0.0134730785230538	0.138884148435468	0.263389582775035	-0.379045143801563	0.0889116418025555
YAL026C-A	0.325253545928833	0.645807311362443	0.045772743443029	0.136314821764396	0.49170159524521	0.51537915351226	-0.180957620897728	0.0877348462523387	-0.717653738481779	-0.529648966409455
YAL027W	0.963968631113816	0.908981998467171	-0.991113407086979	-0.805810603139454	0.625649221813652	0.484574695189536	-0.493623537555003	-0.89414784627937	-0.534432430045754	0.0200847080186071
YAL028W	-0.617072886536146	-0.542459876253255	-0.397681187143967	0.0953640364772777	0.93563184563081	1.24603383335193	0.332567123964739	0.309352981189877	0.158003776345037	2.32307076736352
YAL029C	0.131483582871678	-0.336011761188245	0.775627058498863	0.277090272808191	-0.564749481209946	-0.057818137281627	-0.204386621263907	0.153286681037959	-0.424974220976368	-0.115662113899146
YAL030W	0.545085022728478	0.458447720252926	-0.353829840528599	-0.192476236066055	-0.119975267718224	-0.238865404946993	-0.253218173958788	0.133550743971012	-0.732768509677008	0.450952605290236
YAL031C	1.16898197473279	1.18505708422184	0.0731934204624057	-0.0139129490570212	-0.112766284953262	0.525837965614653	0.508398864848077	0.715961450404119	0.498458588255212	0.909008012523822
YAL031W-A	-2.39760228463006	0	1.70606014953804	0	0	0	0.0658623502442184	1.14234121962137	0.181450149298249	1.03817522270661
YAL032C	0.966192254176176	0.93829842330387	-0.0331551234732222	-0.255515730465131	0.170602734839947	0.381767816235627	-0.1577343304076	0.202120779324967	-0.234911781532991	0.495188070498614
YAL033W	0.779179403036409	0.622417405914075	0.103514711113453	-0.674884772615796	-0.256383638191631	0.416319876174199	-0.599411151875827	0.299677761483098	0.169816154159262	0.00564417777041725
YAL034C	0.70183192220963	0.947969335085521	-0.585708470372972	-0.0193576446477344	0.591748202877729	0.719658025732801	1.03137929787523	0.868524493102746	-0.19076040894919	0.648512587084559
YAL034C-B	-1.34328899050209	0	1.40457891519479	1.40922961684038	-1.18630214173913	1.13528597190593	0.773519566403655	0	-1.3477441662524	0
YAL034W-A	1.82152753542791	1.11422042615331	-0.52433328467202	-0.158359606481558	0.572099601721891	0.618620897582305	0.232258278339397	0.526123574157291	0.172330987949826	0.375497362904877
YAL035W	0.75737865770892	0.510743794925486	1.22671456546965	0.619693880073096	0.29959788922291	0.459735822230312	-1.05916587079435	-0.472275999952516	-0.962342768073679	-0.793574925894601
YAL036C	0.222056435278101	-0.213440154291327	0.654289149465727	-0.0592776764795649	-0.0441930532017578	0.437355922667978	-0.404606073449451	0.0721050473455717	0.18592520456222	-0.243097381542431
YAL037C-A	0	0	0	2.13283574782874	0	-1.76900237884033	-1.15319603350333	0	-1.37320635746902	0
YAL037C-B	0.986310746881263	-0.243577981188567	0.181894351919852	-0.262829889316297	1.26632240538409	0	-0.997663293549919	-1.24780630179893	-1.06765992680756	0.620087008891925
YAL037W	0.362954851700048	0.970510493149895	-0.595024032569569	-0.875278537659353	2.14769812911211	1.95769593986499	0.290434306676695	0.108362826019987	0.438489724183695	2.69393334629404
YAL038W	-1.08123374162257	-1.49740142097288	0.36567858381825	0.382033350529345	-0.397614985399825	-0.78900739504438	-2.12653160898135	-1.94088352552968	-2.18909538333827	-0.563612514238366
YAL039C	0.436382972296651	-0.351382119922522	-1.14224470507003	-1.49683525530235	0.317350843368158	-0.518839144488626	-1.19860908877465	-1.87519734375642	-1.39654838434998	-1.48954457014938
YAL040C	-0.510392580464715	-0.12911204703521	-0.455625725364103	-0.928689255290402	0.444456505652404	0.954827056215905	0.532494600207733	0.813039338586053	-0.697155885316804	-0.00343005846868364
YAL041W	1.10634708825911	0.932131614040963	0.633897607524201	0.16831442346743	-0.214828698711753	-0.0896495285172953	0.532799779259458	0.627012876387607	0.381273807715858	0.78755916884332
YAL042C-A	0	1.76626057880926	0.956157860612366	0.998468704584816	0.196373061251616	0	-1.06392222933251	-0.446827529880734	0.555200424730647	1.63674339512939
YAL042W	0.42190268984589	0.00880122751912343	-0.350308458810082	-0.149500868583103	-0.134372956914352	0.0166921521251004	-0.47349995632363	-0.35024534520633	-0.848251238565861	-0.628172128809085
YAL043C	0.925811631316305	0.941392562976292	0.262023507103284	0.149818221225195	-0.0819561034763845	-0.133628901258675	0.506601092860973	0.668215475306875	0.324301001408361	0.706394287176636
YAL044C	-0.353978886975676	-0.297303990476587	-0.590824885839567	0.100332534612183	-0.120124171222211	0.110640573318223	0.550378278677055	0.210146965071859	0.37713929292879	0.243107493645831
YAL044W-A	-0.34334691545676	-0.657992201637532	-0.159496469881792	-0.386171605920581	0.342966964257474	0.406529504307736	-0.672151434740912	-0.217433290936182	-1.22998433912593	-1.09957197464951
YAL045C	0	0	0	0	0	-1.17384316533515	-1.15242909445672	0.80197436574061	0	0
YAL046C	-0.135158114439817	-0.901065012843968	-0.628867185661768	-0.451060917546546	0.533014555695016	-0.00233479848731372	-1.50291452211304	-1.03527564160045	-1.89162111214098	-1.52659292325652
YAL047C	0.885757195486652	0.737174740966422	-0.356836395864592	-0.151657118421919	0.270650187914307	0.908562609515824	0.28409781312512	0.893740495208691	0.0499123318325314	0.685148453419641
YAL047W-A	0	0	0	-1.05594180253318	1.30631548886569	0.528478494125834	0	0.684384051274515	0	1.07529639978716
YAL048C	0.71556847360595	0.368899663242871	0.389332802889097	0.0557396883029051	0.763303266779458	0.478875288956272	0.26578021908922	0.177460003363207	0.193676961846247	0.43498500342775
YAL049C	-0.341520455238053	-0.235377727775949	0.138340687392285	0.171616895312919	0.176527571204087	-0.0120998482202184	-0.444572291941039	-0.242238413662568	-0.907375224007935	-0.287880942464515
YAL051W	0.941864659502841	0.76224272946289	0.63892892838056	0.200822758296438	0.301414013979126	0.11436307198307	-0.0706823912672299	0.138152454908635	-0.424480589778514	0.447643062151031
YAL053W	-0.440952612869974	0.0214475089014796	-0.138274024237624	0.427855219873191	0.00397145239554627	-0.518662582672971	0.136564209113653	0.299468465102733	-0.504284021697241	0.880569857711278
YAL054C	-0.487642140646627	-0.886814848510723	1.34871444984556	1.57184624206391	-0.0331849866571379	-0.96009418149169	-2.43597799749998	-3.34279588182361	-6.05811808706244	-5.23993901195765
YAL055W	1.1174292832368	1.52256538500967	-1.51279585414688	-0.722266456490406	1.06512047282952	1.56271067038286	0.42681848186327	0.00836856408039131	-0.730650655578484	-0.152256215263009
YAL056C-A	1.2566695223644	0	0	0	1.3161851406561	2.09666869237242	0.677724263894638	0.702957131897894	-0.0369852955814758	1.26491469477754
YAL056W	0.59762948432226	0.456254680285831	0.0712208701570112	0.0124040847979349	0.268420800298235	0.340967753476088	0.677461516690696	0.603797905608926	0.192704085585028	0.634656528673357
YAL058W	0.103508485755239	-0.0849901045009896	-0.250091315032493	-0.398778143840102	0.526277939176085	0.657070679995819	-0.463861661650977	-0.19679322907408	-0.510167486314516	-0.204307264116096
YAL059C-A	0.986533627379603	0	0	0	0	0	-0.52244540503562	0.548007599585657	0	0.909424780346509
YAL059W	0.0853512880103984	-0.366634408213084	-0.496510904501053	-0.765294321699549	-0.262598325605098	0.238818745206719	-0.284387595256819	0.850576180351438	0.659858663950429	0.55113835658007
YAL060W	-0.336301730812747	-0.913932916256806	-0.504040270532001	-0.196331742166042	0.339259645025574	0.630235531136384	0.37066896571138	-0.265204823992726	-0.641527851919269	0.105119245513436
YAL061W	0.615309112136186	0.563620065645796	-0.784692933602282	-0.34351954667688	0.499156284931267	0.686524205701802	0.085260305457589	-0.151891859810909	-1.92536300379943	0.670052375068837
YAL062W	-1.79473265080853	-1.47275121186782	0.481440342776952	0.70712982793209	-0.195599215844435	-0.438170988225736	-1.92554408179622	-2.20406260241208	-4.61268510843161	-1.9215241521234
YAL063C	-0.537136391790314	0.256809972500626	-0.0958951871393584	0.779780578301092	1.72552218740197	1.13110896433418	-0.460697978841512	-0.0367466081606664	-0.51509582556336	0.360280729849865
YAL063C-A	-0.785105698667031	-0.0355360951577637	-0.388175210454227	-0.0451581670428459	2.32407278410161	1.35153622854268	0.187939451282743	0.653596748988114	-0.193296645200664	0.401579840891273
YAL064C-A	0.590496970322578	0.689578832793067	-0.0179463685026599	2.19201800051665	0.282795859784022	-0.520360401190942	-0.723128200661047	0.406142252252004	1.14502478558421	0.847180415636608
YAL064W	1.25999843564403	2.72447194273186	0.0407945664934257	-2.51749516776013	2.56945560525277	1.44883444885154	-0.340015517376488	0.546405834104963	0.942158622022562	1.69568698016782
YAL064W-B	-0.613672370187987	-0.27281822869565	-0.18276120237552	-0.631050713691387	1.43732587683819	1.43190367139435	-0.44911289156413	-0.668517278367641	-0.480507981494457	-0.16228420913502
YAL065C	0	0	-2.63560138379229	0	1.07277060488191	5.28565373129452e-14	0.79448532199618	2.24174216805804	-3.73832245218286e-07	1.49342543754193
YAL066W	0	3.22240365370411	-2.05286275433308	-0.453110173160531	1.76021241142156	2.48832630485661	-2.19229997008416	1.06095955075262	-2.85653558634042	-0.569106228730609
YAL067C	-1.3042966778519	-1.20337611175813	0.238909765094247	0.38399635419331	0.353530184795811	0.209013820715769	-1.17131144419045	-0.270893830450106	-0.0253887359644819	-0.16632485313467
YAL067W-A	0	0	0	0	0	0	0	0	0	0
YAL068C	0.000531453418902341	3.8441118045779e-15	-0.0341471011588641	-0.154331788708116	0.736964157976387	1.98873230628188	-0.153592929997463	-0.0147698486811619	0.00117359973455535	0.922014685058441
YAL068W-A	0	1.72918079581713e-10	0	0	9.97381969306876e-09	0	2.56274120305193e-15	0	-0.00053806068033784	0
YAL069W	0.699720833237061	-0.626839000149463	-2.35271192196183	-3.08309624559661	2.84943587811368	0.766630483982647	0.264535226066661	-0.673031227003849	0.0673750567431043	0.824384576820648
YAR002C-A	-0.623183365633915	-0.601558184126282	-0.338041652140879	0.00419219512647952	0.249710428848596	-0.295813576286773	-0.628862738344698	-0.438791116091528	-0.965775831759826	-0.747573692057307
YAR002W	1.22950466403756	0.871168552579251	-0.508901806796582	-0.476890614215689	0.0242613560759568	-0.16729359897163	0.0769737334858811	0.583588318979295	0.571248358959198	0.721980735202111
YAR003W	-0.056478593923328	0.11122256083283	-0.0128938676800201	-0.0728914810093849	0.844036939659718	1.04063863010553	0.671014565868528	0.96857306288915	0.374349236518418	1.04984315566572
YAR007C	-0.0197768094893098	0.650968123753114	0.0020291531759516	-0.395307244005749	-0.302806158368691	-0.214210154644421	-0.468910313232731	-0.00359405346763464	-1.02866323608176	-0.631332394175498
YAR008W	-0.192260026922919	0.535027653012841	-1.15558432415806	-0.689648820982623	0.142162979150973	0.44679591223159	0.00145160573125422	0.439698161086298	-0.0051093608240264	0.319466539217652
YAR009C	-0.654264524628984	-0.777896988435803	0.323819995045394	0.382920044983811	-0.0859720304195828	0.0555788891245894	-0.472086539579121	-0.760586457004186	-0.779290407561361	-0.980838179237181
YAR010C	-0.0922482036961294	0.284511529340186	0.207230894954761	9.5226603193127e-09	-0.709845497469751	0.207255908401491	0.0925430162120071	-0.0134444847367199	-0.698011531294551	-0.052206611771301
YAR014C	0.453752922819872	0.225316144692353	0.168696177260505	-0.194440036602553	0.0795269469528083	0.551006569824487	0.821486838032582	0.835895000685057	0.830145876979163	0.639993401658471
YAR015W	0.0119881791304709	0.335401399321304	-0.981447827155407	-0.918677555453511	-0.285815798490668	0.259344383443135	1.05571468660682	0.590780850456395	1.62437855413839	1.10648276159729
YAR018C	0.74383311679175	1.16882192266819	-0.152705452536989	-0.0212320986960845	0.798233042912503	0.145659311873422	-0.0899867125097011	-0.455512389075912	-0.236807337275193	-0.849835265827476
YAR019C	1.13564245841038	0.886212490641528	0.343893656751119	0.186012725125166	0.283098413734799	-0.0987588307216227	0.775291339902212	0.673811450088519	-0.266381160708397	0.346779253250075
YAR019W-A	0	1.43154380318922	0	0	0	1.03357453162336	0	0	0	0
