"gene_id","MS798_small_eIF4F_dep_1hr_mrl100_read_fraction","MS798_large_eIF4F_dep_1hr_mrl100_read_fraction","MS798_small_mrl100_read_fraction","MS798_large_mrl100_read_fraction","MS69_large_mrl100_read_fraction","MS69_small_mrl100_read_fraction","MS798_small_eIF4F_dep_1hr_mrl100_mean_tail_length","MS798_large_eIF4F_dep_1hr_mrl100_mean_tail_length","MS798_small_mrl100_mean_tail_length","MS798_large_mrl100_mean_tail_length","MS69_large_mrl100_mean_tail_length","MS69_small_mrl100_mean_tail_length"
"YMR056C",0.813118811881188,0.68595041322314,0.768202589489718,0.688266273435854,0.791322073383809,0.636202081746636,39.9626865671642,40.8925619834711,36.9230769230769,44.8936170212766,41.5633484162896,46.1602564102564
"YBR085W",0.723128964059197,0.649979338842975,NA,0.403030303030303,0.508434343434343,0.543801652892562,42.7751937984496,41.3863636363636,NA,56.6666666666667,46.1666666666667,53.3030303030303
"YJR155W",1.20511284795757,0.815524425605967,1.2404942475365,0.782249760482795,1.10556661844725,0.974548425483544,41.6227709190672,45.9883040935673,48.4047619047619,50.7768595041322,51.5877094972067,51.4098360655738
"YNL331C",0.43612515248756,0.372015472855809,0.35483625213077,0.363568215892054,0.346758340656567,0.286624795327354,42.7619047619048,40.2040816326531,39.5352112676056,42.8913043478261,43.4196185286104,44.5807228915663
"YOL165C",1.96365042536736,1.77088167053364,2.52900232018561,2.16473317865429,2.22288283062645,3.0149154789526,49.1428571428571,43.125,50.5,27,60.75,56.1428571428571
"YCR107W",0.750194666450717,0.449360918300874,1.10579265064069,0.47717544656735,0.567646878500922,0.722921462291756,42.6470588235294,44.3636363636364,57.3333333333333,51.8709677419355,48.5488721804511,49.0561403508772
"YDL243C",0.480692557590077,0.338841048279292,0.28997228406561,0.311619272635221,0.398421360415877,0.419439096048665,42.5964285714286,44.0877192982456,45.6538461538462,49.8214285714286,48.9751243781095,51.2727272727273
"YNL141W",0.835972557122397,0.657131412349678,0.840596851969794,0.586834449631284,0.712632344572161,0.817124451123697,43.8006379585327,44.3564356435644,41.8103448275862,36.6538461538462,42.8927335640138,45.2764378478664
"YHR047C",0.48209256214904,0.328198538182922,0.564390078151546,0.341066807809927,0.416866420638753,0.480534070206259,42.2100192678227,40.6170212765957,41.1666666666667,46.2692307692308,39.6203007518797,40.6648936170213
"YBL074C",2.78883517495396,1.49769797421731,2.91068139963168,NA,2.19326785348885,2.32014732965009,47.2,51.125,62.3333333333333,NA,50.6666666666667,55.16
"YKL106W",0.642132431470274,0.491504620716211,0.617904108470146,0.477288609364081,0.575945456043503,0.68163109200845,43.0731132075472,47.2589285714286,45.3333333333333,46.037037037037,45,47.3175675675676
"YLR027C",0.774395463698046,0.55336997983506,0.825462318552396,0.555484542419289,0.683467552930657,0.759625013867276,41.5543608124253,42.939879759519,37.25,39.5515695067265,39.6747685185185,38.3609239653513
"YBR236C",0.7703465521646,0.624705657126448,0.893842729970326,0.61780415430267,0.697358583144466,0.808287096377715,40.1490066225166,40.9354838709677,45.6,38.92,40.8110236220473,42.7573964497041
"YKL112W",0.397349824419009,0.268190689118861,0.421474536014141,0.276740867579909,0.344509472307389,0.394492580788146,41.2744860943168,40.6593886462882,44.3064516129032,44.5166666666667,44.1416837782341,45.3251155624037
"YMR072W",0.923164647840654,0.790029414176198,0.899993431424067,0.73941875401413,0.85259252868605,0.91857849433929,43.4261146496815,41.7712765957447,39.8125,43.3555555555556,38.8137313432836,39.6759259259259
"YJR108W",2.44043126684636,1.99050744169694,1.82210242587601,1.90862533692722,1.92768143213141,2.14817205117497,44.7263157894737,50.9130434782609,50.125,48.3,54.4528301886792,55.5492957746479
"YOR239W",0.536341728855721,0.3511460554371,0.611392442549159,0.395122601279318,0.459110696517413,0.546592754442944,42.0707070707071,39.1260504201681,33.4444444444444,41.2,39.1282051282051,40.4229828850856
"YCR088W",0.519786232028356,0.367100699340139,0.536032176028306,0.326710178453404,0.493561051607723,0.561150589753974,42.8104265402844,42.4563758389262,34.7894736842105,33.9213483146067,34.3903095558546,36.1551204819277
"YNR033W",0.471583587518554,0.284515251360391,0.491731086047396,0.243655369890955,0.415953829256959,0.522118162500299,43.0247524752475,46.2272727272727,48.1794871794872,43.5714285714286,43.8641025641026,45.4420289855072
"YMR289W",0.606267271292994,0.400059019339171,0.62170335810471,0.414240461443903,0.527712443698007,0.626654168542413,43.4755905511811,42.0214067278287,39.5,39.2153846153846,43.548632218845,42.4303232998885
"YER045C",0.604118797185631,0.465001462843768,0.619530589688577,0.301556465769456,0.495193513332776,0.599645817429348,42.8373983739837,38.109375,45.3333333333333,35.44,41.6969696969697,44.6291390728477
"YGR037C",2.31428062678063,1.76924648064354,1.7201862602806,1.55130202092819,1.6048020724562,1.63723983939692,43.2163742690058,37.8872549019608,34.3018867924528,33.9470404984424,33.4326923076923,33.0899705014749
"YNR016C",0.159885884072294,0.102306791423762,0.208997959573616,0.100930783388626,0.141109410810262,0.171271363699869,37.298933901919,36.7505070993915,35.0875106202209,33.8871794871795,34.5504651571002,36.8596281767013
"YLR131C",0.395449934792059,0.282863012870868,0.320201623461639,0.308905610451896,0.348268777569642,0.404769881243935,39.368932038835,36.3692307692308,45.7333333333333,38.7894736842105,44.1818181818182,41.3345588235294
"YLR144C",0.522067266914595,0.329265620582414,0.738859528935865,0.302201403346442,0.41285748461321,0.510498592798211,41.8846153846154,42.725,46.1538461538462,40.7727272727273,44.2564102564103,43.9715909090909
"YJR083C",0.799916952774486,0.657765696620829,0.799557419054274,0.702605570530099,0.686641863761183,0.81101166478525,42.6038647342995,43.6610169491525,47,50.1428571428571,43.6197183098592,48.8076923076923
"YBL015W",0.542906529584983,0.374988314365704,0.650889864949757,0.38112160751848,0.534691416945778,0.625216993518283,40.3969072164948,38.0900900900901,38.1995305164319,37.219801980198,37.4409550999221,37.8045536973605
"YDL203C",0.641131647211414,0.461128404669261,0.674138024210981,0.394516050583658,0.508124960132678,0.612158044151513,41.1666666666667,40.28,42.0555555555556,39.875,37.344262295082,43.7857142857143
"YPL267W",0.9332609759731,0.782017826912465,0.809104258443465,0.852667645619187,0.846055009601265,0.980531476481455,42.1159420289855,40.8726114649682,21,48.9444444444444,43.3173076923077,46.8387096774194
"YDR511W",0.855198374871591,0.782255414865924,0.88196191160618,0.711263499467627,0.816144378616778,0.870185828638231,40.541993281075,44.4434250764526,37.2546583850932,36.159509202454,38.3671061762665,37.9872298624754
"YLR304C",0.526704665594116,0.395608337082021,0.618001663300463,0.358802182532958,0.47848428524728,0.561842677281439,42.1448326055313,41.5940170940171,37.0158013544018,38.1049581455248,38.4416592724046,38.7105882352941
"YJL200C",0.48436487049257,0.326127580746186,0.622368679913437,0.319778048038918,0.469073243738796,0.512341978502766,40.5635430038511,39.4134275618375,37.2745098039216,39.7878787878788,38.4603174603175,39.6897274633124
"YKL192C",1.27605534619923,1.14782973621103,1.26974420463629,1.12730356255536,1.21191387903502,1.24751118364309,43.7380952380952,45.31,38.2066666666667,42.2387387387387,40.7718894009217,40.3474309681929
"YAL054C",0.484094258843347,0.309990875912409,0.658456074035454,0.36330596107056,0.492639928494417,0.548661366006257,40.9038461538462,42.7931034482759,42.5785714285714,41.7491228070175,43.1165817770232,44.4885714285714
"YLR153C",0.624252190142523,0.459391766342189,0.738214731655213,0.424239773244217,0.551941394758873,0.63509706092721,41.9564606741573,40.8694885361552,37.7081712062257,36.7951219512195,37.8413998510797,38.5151645515165
"YFL039C",0.605149200538137,0.45298724117084,0.724585035880547,0.42556684772254,0.581518975552333,0.67737818998461,38.8899624261943,37.979743083004,32.3143274853801,31.428320655354,33.8720005888415,34.912011407482
"YDR448W",0.661779988944168,0.633862706173566,0.729625681118218,0.384709107523606,0.54698054443231,0.645808414374122,56.2044444444444,49.7586206896552,58.9166666666667,43.2857142857143,47.3170731707317,57.469512195122
"YMR184W",0.903747052144292,0.822035397026214,0.91803630894833,0.813990370999717,0.876292484861213,0.929871539080822,39.1514018691589,39.3275109170306,33.7931034482759,37.4727272727273,36.9370786516854,40.8651685393258
"YKL206C",0.876492691086277,0.75966607546939,0.890633501748931,0.597163654618474,0.795526788003076,0.910989117761368,40.4527162977867,40.238578680203,39.4193548387097,37.6041666666667,39.6436170212766,42.5215053763441
"YNL220W",0.667672832756212,0.47310713197088,0.767076872220219,0.428412890579961,0.635462021343377,0.713084607964724,41.3817204301075,41.4454203262233,39.8297872340426,39.4013605442177,37.0311111111111,38.4253658536585
"YLR359W",0.650924383345074,0.458091372047665,0.70444202247522,0.502402456150012,0.616599075211549,0.69187840146561,43.8519121236778,43.2777085927771,37.8372093023256,36.2282608695652,37.7710843373494,37.58835546476
"YLR028C",0.581659455158094,0.4217512106057,0.625424185795703,0.404507111769193,0.551205561509354,0.625876477490627,39.2489959839357,39.1938461538462,36.1891891891892,38.070652173913,36.3589743589744,37.4567699836868
"YMR120C",0.662198717615836,0.503410407126314,0.725447125582798,0.474514502521092,0.594492451794059,0.691668039538715,43.2690726359068,42.661918328585,38.5882352941176,46.4242424242424,37.7452830188679,39.17
"YAR015W",0.803660482322377,0.608939868740022,0.931947115384615,0.548110465116279,0.756067307692308,0.854557357130887,41.8201174743025,41.7440430438125,40.775,44.1279069767442,40.1414285714286,40.8812636165577
"YOR128C",0.607857555709174,0.424954779692124,0.693056265481854,0.37112314709236,0.534204684499028,0.635907536021561,41.2106715731371,40.4023960535588,44.3965517241379,38.675,38.7176079734219,42.6527272727273
"YGR204W",0.415565119846157,0.251916387978539,0.534079258062512,0.224210171236829,0.34074213747535,0.427991159501511,43.466985645933,40.8879813302217,38.1363636363636,40.2857142857143,39.0583554376658,39.5367298578199
"YMR300C",0.644740850880837,0.458659544853162,0.666162532768703,0.472003764199771,0.585294729280097,0.686595565873667,41.5349397590361,44.619512195122,42.375,37.2888888888889,41.4401041666667,43.082910321489
"YGL234W",0.439425934171786,0.297988687261252,0.491436366629819,0.260536645556831,0.397814867860905,0.466748533747123,39.5163352272727,40.3967426710098,36.9882352941176,39.0322580645161,37.1764705882353,38.2318652849741
"YGR061C",0.266410269831955,0.193709923078674,0.359928727392576,0.164787661561855,0.229451579357522,0.270056777501398,40.3020753266718,41.086258776329,36.7758620689655,38.3863636363636,37.8444924406048,37.3142076502732
"YDR408C",1.05657325338895,0.914473409801877,1.08436090225564,0.82804347826087,0.993108504398827,1.062200968523,38.4087591240876,41.7664233576642,34.9824561403509,42.5869565217391,42.2492668621701,40.7813559322034
"YCL058W-A",1.00188583337569,0.919439330322256,1.05105477645931,0.918155758285906,0.994432262636812,1.03489924636999,39.8732984293194,38.2291950886767,33.7308641975309,33.4137931034483,32.6896267837541,33.1549448171391
"YOL086C",0.849179143601597,0.700726695427631,0.902819266287901,0.673611235764894,0.795965879081156,0.880890021069691,41.4749011256465,42.0338266384778,32.3132275132275,31.2119527449618,31.1215945634367,31.9758946585962
"YMR303C",0.857954407697315,0.645183523000481,0.90093466461757,0.685790351216529,0.800177380554711,0.890890941246512,40.4229979466119,37.8176470588235,32.8096885813149,29.3732176069436,30.2808655377044,35.262080590785
"YMR083W",0.743761670699949,0.552240534321489,0.800873454999777,0.526061915519596,0.6815213569571,0.768987949838744,42.0835475578406,40.6376146788991,36.236301369863,35.6895161290323,37.168806466952,38.7364888731897
"YGL256W",0.812555604020591,0.622599549211119,0.886014811634646,0.3883506662976,0.615070968789977,0.708641262894476,43.3657289002558,44.9666666666667,54.3142857142857,40,44.5243243243243,50.4524714828897
"YBR145W",0.532900807381776,0.442134206623826,0.77995811327627,0.447726149283243,0.597944363503916,0.65704442266536,41.0888888888889,50.6785714285714,51.0526315789474,45.2142857142857,43.7039473684211,43.2196531791908
"YMR318C",0.928830786749345,0.762945811570011,0.942183955932047,0.749448233517532,0.863112463472069,0.916309183412777,42.1335012594458,40.3945578231293,36.8508771929825,37.1698113207547,38.1915322580645,42.0915706488781
"YCR105W",0.971771670759191,0.848921658986175,0.846697388632872,1.56635944700461,0.68836991330157,0.735409141860755,44.0656934306569,51.84,47.25,35.5,42.271186440678,46.3333333333333
"YMR009W",1.27107445841539,0.855958808644231,1.01805124223602,0.899125833908443,0.905456168408525,1.00169886572927,41.0573170731707,39.7363834422658,34.40625,34.0185185185185,35.7065868263473,38.2310838445808
"YDR226W",0.836935284782225,0.697010957660637,0.946939152096692,0.660512578616352,0.800590519606602,0.873398941752347,44.1308411214953,43.1422680412371,35.0586797066015,34.3725,35.3963087248322,35.8856476079347
"YER170W",0.710016022787965,0.463579991732121,0.769095200629426,0.503039399624766,0.686186088527552,0.777919926369075,47.5839416058394,44.4745762711864,43.4193548387097,45.6153846153846,45.6666666666667,46.0062893081761
